"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX MSA",15,13,2,0,0,0
"Albany","GA MSA",40,40,0,0,0,0
"Albany-Schenectady-Troy","NY MSA",239,137,0,8,94,4
"Albuquerque","NM MSA",406,406,0,0,0,0
"Alexandria","LA MSA",27,27,0,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",210,187,2,7,14,1
"Altoona","PA MSA",6,6,0,0,0,0
"Amarillo","TX MSA",41,41,0,0,0,0
"Anchorage","AK MSA",115,68,26,0,21,3
"Anniston","AL MSA",25,13,0,7,5,1
"Appleton-Oshkosh-Neenah","WI MSA",216,123,16,0,77,6
"Asheville","NC MSA",86,82,4,0,0,0
"Athens","GA MSA",238,74,10,0,154,11
"Atlanta","GA MSA",6599,4108,8,11,2472,73
"Auburn-Opelika","AL MSA",73,33,34,0,6,1
"Augusta-Aiken","GA-SC MSA",165,165,0,0,0,0
"Austin-San Marcos","TX MSA",943,924,8,0,11,1
"Bakersfield","CA MSA",266,253,2,0,11,1
"Bangor","ME MSA",16,16,0,0,0,0
"Barnstable-Yarmouth","MA MSA",84,76,8,0,0,0
"Baton Rouge","LA MSA",92,84,0,0,8,1
"Beaumont-Port Arthur","TX MSA",34,34,0,0,0,0
"Bellingham","WA MSA",117,77,4,3,33,3
"Benton Harbor","MI MSA",6,6,0,0,0,0
"Billings","MT MSA",44,44,0,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",415,164,0,0,251,24
"Binghamton","NY MSA",16,11,0,0,5,1
"Birmingham","AL MSA",577,346,0,3,228,1
"Bismarck","ND MSA",66,50,0,16,0,0
"Bloomington","IN MSA",64,44,6,4,10,2
"Bloomington-Normal","IL MSA",95,92,0,3,0,0
"Boise City","ID MSA",504,424,4,43,33,4
"Boston-Worcester-Lawrence MA-NH-ME-CT CMSA","1561",1134,30,17,380,14,NA
"Brownsville-Harlingen-San Benito","TX MSA",169,139,4,18,8,1
"Bryan-College Station","TX MSA",74,72,2,0,0,0
