"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX MSA",20,18,2,0,0,0
"Albany","GA MSA",51,51,0,0,0,0
"Albany-Schenectady-Troy","NY MSA",206,198,2,0,6,1
"Albuquerque","NM MSA",467,459,0,8,0,0
"Alexandria","LA MSA",34,31,0,3,0,0
"Allentown-Bethlehem-Easton","PA MSA",169,163,2,4,0,0
"Altoona","PA MSA",5,5,0,0,0,0
"Amarillo","TX MSA",43,43,0,0,0,0
"Anchorage","AK MSA",258,89,54,3,112,14
"Anniston","AL MSA",21,21,0,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",259,133,12,0,114,11
"Asheville","NC MSA",110,102,4,4,0,0
"Athens","GA MSA",88,72,16,0,0,0
"Atlanta","GA MSA",5709,4285,16,29,1379,38
"Auburn-Opelika","AL MSA",27,27,0,0,0,0
"Augusta-Aiken","GA-SC MSA",223,219,4,0,0,0
"Austin-San Marcos","TX MSA",817,449,8,0,360,19
"Bakersfield","CA MSA",264,250,2,3,9,1
"Bangor","ME MSA",31,29,2,0,0,0
"Barnstable-Yarmouth","MA MSA",153,88,0,0,65,3
"Baton Rouge","LA MSA",106,106,0,0,0,0
"Beaumont-Port Arthur","TX MSA",41,41,0,0,0,0
"Bellingham","WA MSA",150,93,8,3,46,3
"Benton Harbor","MI MSA",16,16,0,0,0,0
"Billings","MT MSA",60,60,0,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",188,186,2,0,0,0
"Binghamton","NY MSA",6,6,0,0,0,0
"Birmingham","AL MSA",403,381,0,0,22,3
"Bismarck","ND MSA",48,38,4,6,0,0
"Bloomington","IN MSA",53,41,0,0,12,2
"Bloomington-Normal","IL MSA",175,105,2,0,68,4
"Boise City","ID MSA",555,484,8,4,59,3
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",1449,1236,68,24,121,10
"Brownsville-Harlingen-San Benito","TX MSA",267,232,8,14,13,2
"Bryan-College Station","TX MSA",65,65,0,0,0,0
"Buffalo-Niagara Falls","NY MSA",232,161,0,0,71,4
"Burlington","VT MSA",72,65,4,3,0,0
"Canton-Massillon","OH MSA",88,88,0,0,0,0
"Casper","WY MSA",9,9,0,0,0,0
"Cedar Rapids","IA MSA",149,67,8,28,46,5
"Champaign-Urbana","IL MSA",46,38,8,0,0,0
"Charleston-North Charleston","SC MSA",388,328,0,0,60,6
"Charleston","WV MSA",30,30,0,0,0,0
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",1759,1480,4,3,272,17
"Charlottesville","VA MSA",123,103,4,0,16,3
"Chattanooga","TN-GA MSA",189,168,8,8,5,1
"Cheyenne","WY MSA",22,22,0,0,0,0
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",4351,3017,46,107,1181,72
"Chico-Paradise","CA MSA",133,115,18,0,0,0
"Cincinnati-Hamilton","OH-KY- IN CMSA",1177,969,20,33,155,16
"Clarksville-Hopkinsville","TN-KY MSA",104,101,0,3,0,0
"Cleveland-Akron","OH CMSA",1007,913,14,28,52,5
"Colorado Springs","CO MSA",545,531,0,8,6,1
"Columbia","MO MSA",91,83,0,0,8,1
"Columbia","SC MSA",378,375,0,3,0,0
"Columbus","GA-AL MSA",109,96,8,0,5,1
"Columbus","OH MSA",1392,961,10,122,299,24
"Corpus Christi","TX MSA",86,78,0,8,0,0
"Corvallis","Corvallis OR MSA",24,17,2,0,5,1
"Cumberland","MD-WV MSA",14,14,0,0,0,0
"Dallas-Fort Worth","TX CMSA",3492,3010,12,0,470,51
"Danville","VA MSA",27,27,0,0,0,0
"Davenport-Moline-Rock Island","IA-IL MSA",55,55,0,0,0,0
"Dayton-Springfield","OH MSA",173,161,4,8,0,0
"Daytona Beach","FL MSA",811,533,10,0,268,13
"Decatur","Al MSA",28,28,0,0,0,0
"Decatur","IL MSA",20,20,0,0,0,0
"Denver-Boulder-Greeley","CO CMSA",3234,1814,50,46,1324,59
"Des Moines","IA MSA",301,232,6,22,41,5
"Detroit-Ann Arbor-Flint","MI CMSA",2168,1858,14,66,230,21
"Dothan","AL MSA",52,29,0,23,0,0
"Dover","DE MSA",102,102,0,0,0,0
"Dubuque","IA MSA",38,33,2,3,0,0
"Duluth-Superior","MN-WI MSA",73,62,2,4,5,1
"Eau Claire","WI MSA",80,64,4,12,0,0
"El Paso","TX MSA",299,275,6,12,6,1
"Elkhart-Goshen","IN MSA",135,91,4,4,36,1
"Elmira","NY MSA",6,6,0,0,0,0
"Enid","OK MSA",105,5,4,0,96,6
"Erie","PA MSA",41,34,0,0,7,1
"Eugene-Springfield","OR MSA",125,121,4,0,0,0
"Evansville-Henderson","IN-KY MSA",125,120,2,3,0,0
"Fargo-Moorhead","ND-MN MSA",193,65,0,0,128,3
"Fayetteville","NC MSA",88,88,0,0,0,0
"Fayetteville-Springdale- Rogers","AR MSA",391,178,0,0,213,25
"Flagstaff","AZ-UT MSA",115,115,0,0,0,0
