"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf","Monthly_Coverage_Percent"
"Fond du Lac","WI",3,3,0,0,0,0,44
"Fort Collins-Loveland","CO",26,26,0,0,0,0,100
"Fort Smith","AR-OK",56,34,0,0,22,2,92
"Fort Walton Beach-Crestview-Destin","FL",22,17,0,0,5,1,77
"Fort Wayne","IN",49,49,0,0,0,0,100
"Fresno","CA",148,121,2,8,17,3,81
"Gadsden","AL",5,5,0,0,0,0,62
"Gainesville","FL",38,27,0,0,11,1,99
"Gainesville","GA",13,11,2,0,0,0,94
"Glens Falls","NY",9,9,0,0,0,0,77
"Goldsboro","NC",13,13,0,0,0,0,79
"Grand Forks","ND-MN",0,0,0,0,0,0,221
"Grand Junction","CO",21,21,0,0,0,0,100
"Grand Rapids-Wyoming","MI",42,40,2,0,0,0,100
"Great Falls","MT",6,6,0,0,0,0,91
"Greeley","CO",49,44,0,0,5,1,100
"Green Bay","WI",16,16,0,0,0,0,80
"Greensboro-High Point","NC",216,104,0,0,112,6,100
"Greenville","NC",87,75,12,0,0,0,99
"Greenville","SC",161,161,0,0,0,0,100
"Gulfport-Biloxi","MS",168,128,24,16,0,0,93
"Hagerstown-Martinsburg","MD-WV",61,61,0,0,0,0,96
"Hanford-Corcoran","CA",14,14,0,0,0,0,78
"Harrisburg-Carlisle","PA",72,56,0,0,16,1,54
"Harrisonburg","VA",57,45,0,0,12,1,100
"Hartford-West Hartford-East Hartford","CT",42,37,0,0,5,1,88
"Hattiesburg","MS",33,8,2,0,23,1,92
"Hickory-Lenoir-Morganton","NC",39,39,0,0,0,0,98
"Hinesville-Fort Stewart","GA",6,6,0,0,0,0,68
"Holland-Grand Haven","MI",15,15,0,0,0,0,77
"Honolulu","HI",49,49,0,0,0,0,100
"Hot Springs","AR",3,3,0,0,0,0,97
"Houma-Bayou Cane-Thibodaux","LA",51,51,0,0,0,0,94
"Houston-Sugar Land-Baytown","TX",2062,1708,4,0,350,11,100
"Huntington-Ashland","WV-KY-OH",2,2,0,0,0,0,8
"Huntsville","AL",282,127,0,0,155,8,98
"Idaho Falls","ID",29,29,0,0,0,0,97
"Indianapolis-Carmel","IN",543,297,6,0,240,11,100
"Iowa City","IA",62,50,0,0,12,1,94
"Ithaca","NY",3,3,0,0,0,0,58
"Jackson","MI",3,3,0,0,0,0,61
"Jackson","MS",89,89,0,0,0,0,94
"Jackson","TN",7,7,0,0,0,0,92
"Jacksonville","FL",223,181,2,0,40,2,100
"Jacksonville","NC",107,107,0,0,0,0,97
"Janesville","WI",15,9,6,0,0,0,79
"Jefferson City","MO",21,21,0,0,0,0,70
"Johnson City","TN",41,39,2,0,0,0,99
"Johnstown","PA",1,1,0,0,0,0,7
"Jonesboro","AR",30,30,0,0,0,0,92
"Joplin","MO",8,6,2,0,0,0,49
"Kalamazoo-Portage","MI",27,27,0,0,0,0,70
"Kankakee-Bradley","IL",1,1,0,0,0,0,30
"Kansas City","MO-KS",129,115,6,8,0,0,100
"Kennewick-Pasco-Richland","WA",48,37,0,0,11,2,89
"Killeen-Temple-Fort Hood","TX",172,162,10,0,0,0,81
"Kingsport-Bristol-Bristol","TN-VA",28,28,0,0,0,0,58
"Kingston","NY",8,6,2,0,0,0,70
"Knoxville","TN",132,112,0,0,20,2,84
"Kokomo","IN",61,1,0,0,60,1,79
"La Crosse","WI-MN",8,8,0,0,0,0,3
"Lafayette","IN",35,35,0,0,0,0,90
"Lafayette","LA",59,53,0,0,6,1,85
"Lake Charles","LA",44,30,2,0,12,1,83
"Lake Havasu City-Kingman","AZ",22,22,0,0,0,0,100
"Lakeland-Winter Haven","FL",106,106,0,0,0,0,100
"Lancaster","PA",43,34,2,7,0,0,63
"Lansing-East Lansing","MI",15,10,0,0,5,1,81
"Laredo","TX",54,47,0,0,7,1,100
"Las Cruces","NM",51,49,2,0,0,0,100
"Las Vegas-Paradise","NV",737,229,10,0,498,20,100
"Lawrence","KS",163,7,0,0,156,13,96
"Lawton","OK",23,23,0,0,0,0,89
"Lebanon","PA",28,28,0,0,0,0,92
"Lewiston","ID-WA",1,1,0,0,0,0,55
"Lewiston-Auburn","ME",7,7,0,0,0,0,71
"Lexington-Fayette","KY",129,119,6,4,0,0,98
"Lima","OH",0,0,0,0,0,0,11
"Lincoln","NE",49,47,2,0,0,0,87
"Little Rock-North Little Rock","AR",223,140,4,0,79,2,91
"Logan","UT-ID",19,19,0,0,0,0,3
"Longview","TX",14,9,0,0,5,1,73
"Longview","WA",10,10,0,0,0,0,73
"Los Angeles-Long Beach-Santa Ana","CA",632,230,40,25,337,15,100
"Louisville-Jefferson County","KY-IN",180,148,0,4,28,3,100
"Lubbock","TX",66,66,0,0,0,0,96
"Lynchburg","VA",31,31,0,0,0,0,86
"Macon","GA",13,13,0,0,0,0,54
"Madera-Chowchilla","CA",56,6,2,48,0,0,89
"Madison","WI",57,47,2,3,5,1,100
"Manchester-Nashua","NH",27,22,0,0,5,1,91
"Manhattan","KS",37,25,0,0,12,1,41
"Mankato-North Mankato","MN",16,16,0,0,0,0,75
"Mansfield","OH",4,4,0,0,0,0,74
"McAllen-Edinburg-Mission","TX",298,288,4,6,0,0,100
"Medford","OR",31,27,0,4,0,0,100
"Memphis","TN-MS-AR",105,105,0,0,0,0,100
"Merced","CA",3,3,0,0,0,0,81
"Miami-Fort Lauderdale-Pompano Beach","FL",297,173,2,0,122,7,100
"Michigan City-La Porte","IN",7,7,0,0,0,0,68
"Midland","TX",33,33,0,0,0,0,100
"Milwaukee-Waukesha-West Allis","WI",112,75,4,4,29,2,100
"Minneapolis-St. Paul-Bloomington","MN-WI",250,212,4,6,28,3,100
"Missoula","MT",20,20,0,0,0,0,100
"Mobile","AL",66,64,2,0,0,0,95
"Modesto","CA",31,24,0,0,7,1,85
"Monroe","LA",17,9,0,3,5,1,85
"Monroe","MI",1,1,0,0,0,0,54
"Montgomery","AL",29,29,0,0,0,0,91
"Morgantown","WV",1,1,0,0,0,0,91
"Morristown","TN",13,13,0,0,0,0,80
"Mount Vernon-Anacortes","WA",15,15,0,0,0,0,83
"Muncie","IN",4,4,0,0,0,0,77
"Muskegon-Norton Shores","MI",5,3,2,0,0,0,60
"Myrtle Beach-North Myrtle Beach-Conway","SC",119,106,0,0,13,1,99
"Napa","CA",0,0,0,0,0,0,69
"Naples-Marco Island","FL",48,38,0,0,10,1,100
"Nashville-Davidson--Murfreesboro","TN",449,345,0,0,104,13,100
