"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX",44,42,2,0,0,0
"Akron","OH",266,257,0,4,5,1
"Albany","GA",83,75,8,0,0,0
"Albany-Schenectady-Troy","NY",250,208,4,0,38,5
"Albuquerque","NM",694,674,0,20,0,0
"Alexandria","LA",49,49,0,0,0,0
"Allentown-Bethlehem-Easton","PA-NJ",568,509,4,4,51,3
"Altoona","PA",17,17,0,0,0,0
"Amarillo","TX",55,55,0,0,0,0
"Ames","IA",30,10,0,0,20,2
"Anchorage","AK",114,78,6,10,20,1
"Anderson","IN",56,56,0,0,0,0
"Anderson","SC",162,158,0,4,0,0
"Ann Arbor","MI",208,184,0,0,24,2
"Anniston-Oxford","AL",36,20,0,0,16,1
"Appleton","WI",107,85,6,0,16,1
"Asheville","NC",608,338,10,0,260,10
"Athens-Clarke County","GA",177,170,0,7,0,0
"Atlanta-Sandy Springs-Marietta","GA",6843,5828,30,20,965,27
"Atlantic City","NJ",158,152,2,4,0,0
"Auburn-Opelika","AL",130,74,20,0,36,3
"Augusta-Richmond County","GA-SC",390,390,0,0,0,0
"Austin-Round Rock","TX",1309,1201,24,24,60,4
"Bakersfield","CA",707,563,12,46,86,6
"Baltimore-Towson","MD",826,691,0,0,135,5
"Bangor","ME",42,38,4,0,0,0
"Barnstable Town","MA",121,90,8,23,0,0
"Baton Rouge","LA",433,433,0,0,0,0
"Battle Creek","MI",11,11,0,0,0,0
"Bay City","MI",12,10,2,0,0,0
"Beaumont-Port Arthur","TX",75,73,2,0,0,0
"Bellingham","WA",217,130,0,3,84,7
"Bend","OR",440,305,12,17,106,1
"Billings","MT",39,39,0,0,0,0
"Binghamton","NY",21,21,0,0,0,0
"Birmingham-Hoover","AL",694,630,56,3,5,1
"Bismarck","ND",62,60,2,0,0,0
"Blacksburg-Christiansburg-Radford","VA",75,70,0,0,5,1
"Bloomington","IN",90,59,16,0,15,1
"Bloomington-Normal","IL",129,120,0,4,5,1
"Boise City-Nampa","ID",788,701,10,72,5,1
"Boston-Cambridge-Quincy","MA-NH",899,685,46,44,124,13
"Boulder","CO",163,147,0,3,13,2
"Bowling Green","KY",97,97,0,0,0,0
"Bremerton-Silverdale","WA",117,111,6,0,0,0
"Bridgeport-Stamford-Norwalk","CT",224,150,6,0,68,2
"Brownsville-Harlingen","TX",285,247,4,18,16,3
"Brunswick","GA",95,95,0,0,0,0
"Buffalo-Niagara Falls","NY",261,143,4,0,114,2
"Burlington","NC",182,180,2,0,0,0
"Burlington-South Burlington","VT",149,58,8,3,80,4
"Canton-Massillon","OH",102,102,0,0,0,0
"Cape Coral-Fort Myers","FL",1445,1012,168,100,165,13
"Carson City","NV",15,15,0,0,0,0
"Casper","WY",17,17,0,0,0,0
"Cedar Rapids","IA",290,113,0,23,154,13
"Champaign-Urbana","IL",66,66,0,0,0,0
"Charleston","WV",36,28,2,0,6,1
"Charleston-North Charleston","SC",667,613,2,9,43,4
"Charlotte-Gastonia-Concord","NC-SC",2311,1882,8,16,405,13
"Charlottesville","VA",315,179,8,4,124,6
"Chattanooga","TN-GA",315,281,14,7,13,2
"Cheyenne","WY",35,30,0,0,5,1
"Chicago-Naperville-Joliet","IL-IN-WI",4383,3376,52,168,787,68
"Chico","CA",161,119,4,10,28,4
"Cincinnati-Middletown","OH-KY-IN",1176,1099,10,15,52,7
"Clarksville","TN-KY",225,200,2,0,23,3
"Cleveland","TN",63,55,4,4,0,0
"Cleveland-Elyria-Mentor","OH",656,626,8,17,5,1
"Coeur d""Alene","ID",195,185,10,0,0,0
"College Station-Bryan","TX",131,125,0,0,6,1
"Colorado Springs","CO",586,586,0,0,0,0
"Columbia","MO",299,277,10,12,0,0
"Columbia","SC",623,597,2,0,24,2
"Columbus","GA-AL",152,146,6,0,0,0
"Columbus","IN",18,18,0,0,0,0
"Columbus","OH",1365,1040,10,37,278,25
"Corpus Christi","TX",191,146,24,11,10,1
"Corvallis","OR",28,26,2,0,0,0
"Cumberland","MD-WV",24,24,0,0,0,0
"Dallas-Fort Worth-Arlington","TX",5169,4255,26,19,869,51
"Dalton","GA",67,65,2,0,0,0
"Danville","IL",0,0,0,0,0,0
"Danville","VA",30,30,0,0,0,0
"Davenport-Moline-Rock Island","IA-IL",89,82,2,0,5,1
"Dayton","OH",332,253,16,43,20,3
"Decatur","AL",34,34,0,0,0,0
"Decatur","IL",20,18,2,0,0,0
"Deltona-Daytona Beach-Ormond Beach","FL",788,428,16,0,344,14
"Denver-Aurora","CO",1778,1549,50,39,140,19
"Des Moines","IA",488,451,2,0,35,4
"Detroit-Warren-Livonia","MI",1876,1515,22,22,317,39
"Dothan","AL",256,40,0,0,216,6
"Dover","DE",176,176,0,0,0,0
"Dubuque","IA",56,56,0,0,0,0
"Duluth","MN-WI",57,55,2,0,0,0
"Durham","NC",362,352,0,0,10,1
"Eau Claire","WI",67,57,10,0,0,0
"El Centro","CA",180,101,0,0,79,10
"El Paso","TX",425,404,4,12,5,1
"Elizabethtown","KY",111,111,0,0,0,0
"Elkhart-Goshen","IN",88,80,0,3,5,1
"Elmira","NY",4,4,0,0,0,0
"Erie","PA",89,68,0,15,6,1
"Eugene-Springfield","OR",158,131,8,19,0,0
"Evansville","IN-KY",215,125,0,0,90,12
"Fairbanks","AK",22,20,2,0,0,0
"Fargo","ND-MN",153,131,0,0,22,2
"Farmington","NM",31,31,0,0,0,0
"Fayetteville","NC",361,212,0,0,149,14
"Fayetteville-Springdale-Rogers","AR-MO",658,397,8,12,241,27
"Flagstaff","AZ",80,77,0,3,0,0
"Flint","MI",180,151,2,3,24,1
"Florence","SC",81,79,2,0,0,0
