"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Grand Rapids-Wyoming","MI",429,357,0,0,72,6
"Great Falls","MT",19,19,0,0,0,0
"Greeley","CO",367,281,2,60,24,1
"Green Bay","WI",248,187,16,13,32,2
"Greensboro-High Point","NC",475,463,0,0,12,2
"Greenville","NC",99,77,6,0,16,2
"Greenville","SC",467,458,4,0,5,1
"Gulfport-Biloxi","MS",144,92,2,10,40,5
"Hagerstown-Martinsburg","MD-WV",298,269,6,3,20,4
"Hanford-Corcoran","CA",61,49,0,4,8,1
"Harrisburg-Carlisle","PA",115,112,0,3,0,0
"Harrisonburg","VA",67,61,6,0,0,0
"Hartford-West Hartford-East Hartford","CT",355,319,4,0,32,5
"Hattiesburg","MS",12,12,0,0,0,0
"Hickory-Lenoir-Morganton","NC",137,137,0,0,0,0
"Hinesville-Fort Stewart","GA",35,35,0,0,0,0
"Holland-Grand Haven","MI",239,140,18,18,63,4
"Honolulu","HI",262,166,0,12,84,12
"Hot Springs","AR",12,12,0,0,0,0
"Houma-Bayou Cane-Thibodaux","LA",107,107,0,0,0,0
"Houston-Baytown-Sugar Land","TX",4515,3634,16,0,865,42
"Huntington-Ashland","WV-KY-OH",4,4,0,0,0,0
"Huntsville","AL",199,104,0,0,95,7
"Idaho Falls","ID",95,93,2,0,0,0
"Indianapolis","IN",1167,1072,20,21,54,5
"Iowa City","IA",133,51,0,0,82,7
"Ithaca","NY",22,15,2,0,5,1
"Jackson","MI",34,26,0,0,8,1
"Jackson","MS",367,332,0,8,27,3
"Jackson","TN",51,51,0,0,0,0
"Jacksonville","FL",1595,1209,6,8,372,16
"Jacksonville","NC",339,99,0,0,240,10
"Janesville","WI",61,49,4,3,5,1
"Jefferson City","MO",31,31,0,0,0,0
"Johnson City","TN",107,107,0,0,0,0
"Johnstown","PA",3,3,0,0,0,0
"Jonesboro","AR",35,33,2,0,0,0
"Joplin","MO",21,21,0,0,0,0
"Kalamazoo-Portage","MI",177,89,16,44,28,3
"Kankakee-Bradley","IL",62,52,2,8,0,0
"Kansas City","MO-KS",1195,1033,26,70,66,2
"Kennewick-Richland-Pasco","WA",212,187,2,0,23,2
"Killeen-Temple-Fort Hood","TX",303,200,32,59,12,2
"Kingsport-Bristol-Bristol","TN-VA",96,86,0,0,10,1
"Kingston","NY",75,48,0,3,24,2
"Knoxville","TN",649,357,0,0,292,14
"Kokomo","IN",27,25,2,0,0,0
"La Crosse","WI-MN",78,54,0,0,24,1
"Lafayette","IN",104,96,8,0,0,0
"Lafayette","LA",379,379,0,0,0,0
"Lake Charles","LA",125,101,2,4,18,1
"Lakeland","FL",499,485,14,0,0,0
"Lancaster","PA",148,114,4,0,30,6
"Lansing-East Lansing","MI",151,122,4,0,25,1
"Laredo","TX",160,151,0,3,6,1
"Las Cruces","NM",103,103,0,0,0,0
"Las Vegas-Paradise","NV",2255,2184,0,0,71,8
"Lawrence","KS",61,53,8,0,0,0
"Lawton","OK",12,12,0,0,0,0
"Lebanon","PA",46,46,0,0,0,0
"Lewiston","ID-WA",5,5,0,0,0,0
"Lewiston-Auburn","ME",43,43,0,0,0,0
"Lexington-Fayette","KY",370,310,0,12,48,2
"Lima","OH",9,9,0,0,0,0
"Lincoln","NE",222,189,4,0,29,2
"Little Rock-North Little Rock","AR",480,333,2,0,145,17
"Logan","UT-ID",85,66,12,7,0,0
"Longview","TX",14,14,0,0,0,0
"Longview","WA",33,28,2,3,0,0
"Los Angeles-Long Beach-Santa Ana","CA",2578,1381,54,54,1089,35
"Louisville","KY-IN",798,719,8,12,59,4
"Lubbock","TX",925,111,34,0,780,17
"Lynchburg","VA",93,87,0,0,6,1
"Macon","GA",140,68,4,24,44,4
"Madera","CA",121,119,2,0,0,0
"Madison","WI",444,286,20,22,116,9
"Manchester-Nashua","NH",152,117,4,8,23,2
"Mansfield","OH",33,26,0,7,0,0
"McAllen-Edinburg-Pharr","TX",738,617,18,29,74,7
"Medford","OR",202,140,6,51,5,1
"Memphis","TN-MS-AR",1270,881,0,0,389,31
"Merced","CA",269,269,0,0,0,0
"Miami-Fort Lauderdale-Miami Beach","FL",4642,2098,50,62,2432,59
"Michigan City-La Porte","IN",33,33,0,0,0,0
"Midland","TX",26,26,0,0,0,0
"Milwaukee-Waukesha-West Allis","WI",468,337,38,3,90,7
"Minneapolis-St. Paul-Bloomington","MN-WI",2935,1946,30,72,887,25
"Missoula","MT",83,42,10,6,25,1
"Mobile","AL",147,147,0,0,0,0
"Modesto","CA",333,299,2,0,32,2
"Monroe","LA",16,16,0,0,0,0
"Monroe","MI",133,96,0,0,37,5
"Montgomery","AL",119,119,0,0,0,0
"Morgantown","WV",3,1,2,0,0,0
"Morristown","TN",49,47,2,0,0,0
"Mount Vernon-Anacortes","WA",74,64,10,0,0,0
"Muncie","IN",45,23,0,3,19,1
"Muskegon-Norton Shores","MI",77,68,4,0,5,1
"Myrtle Beach-Conway-North Myrtle Beach","SC",427,332,6,4,85,4
"Napa","CA",52,52,0,0,0,0
"Naples-Marco Island","FL",646,451,12,11,172,7
"Nashville-Davidson--Murfreesboro","TN",1359,1140,10,9,200,16
"New Haven-Milford","CT",226,191,8,27,0,0
"New Orleans-Metairie-Kenner","LA",487,487,0,0,0,0
"New York-Northern New Jersey-Long Island","NY-NJ-PA",5023,1923,968,459,1673,78
"Niles-Benton Harbor","MI",16,16,0,0,0,0
"Norwich-New London","CT",117,93,2,14,8,1
"Ocala","FL",500,476,8,10,6,1
"Ocean City","NJ",181,103,28,19,31,5
"Odessa","TX",24,24,0,0,0,0
"Ogden-Clearfield","UT",360,339,2,11,8,1
"Oklahoma City","OK",656,616,12,28,0,0
"Olympia","WA",158,156,2,0,0,0
"Omaha-Council Bluffs","NE-IA",752,585,2,7,158,7
"Orlando","FL",2567,2348,12,4,203,16
"Oshkosh-Neenah","WI",88,60,2,3,23,2
"Owensboro","KY",31,31,0,0,0,0
"Oxnard-Thousand Oaks-Ventura","CA",293,220,2,0,71,4
"Palm Bay-Melbourne-Titusville","FL",636,597,0,0,39,4
"Panama City-Lynn Haven","FL",158,152,0,6,0,0
"Parkersburg-Marietta","WV-OH",14,14,0,0,0,0
"Pascagoula","MS",139,89,2,0,48,6
"Pensacola-Ferry Pass-Brent","FL",474,363,6,0,105,6
"Peoria","IL",138,109,18,4,7,1
"Philadelphia-Camden-Wilmington","PA-NJ-DE-MD",1850,1430,22,21,377,22
"Phoenix-Mesa-Scottsdale","AZ",5282,4998,32,128,124,14
"Pine Bluff","AR",22,12,2,3,5,1
"Pittsburgh","PA",457,412,8,17,20,4
"Pittsfield","MA",15,13,2,0,0,0
"Pocatello","ID",42,42,0,0,0,0
"Port St. Lucie-Fort Pierce","FL",805,733,0,16,56,4
"Portland-South Portland-Biddeford","ME",291,250,12,19,10,2
"Portland-Vancouver-Beaverton","OR-WA",1886,1181,30,36,639,20
"Poughkeepsie-Newburgh-Middletown","NY",257,207,2,0,48,7
"Prescott","AZ",262,248,14,0,0,0
"Providence-New Bedford-Fall River","RI-MA",401,301,12,3,85,9
"Provo-Orem","UT",399,314,4,3,78,7
"Pueblo","CO",98,90,8,0,0,0
"Punta Gorda","FL",244,131,0,3,110,9
"Racine","WI",111,93,6,4,8,1
"Raleigh-Cary","NC",1106,1088,8,0,10,1
"Rapid City","SD",121,105,4,4,8,1
"Reading","PA",104,101,0,3,0,0
"Redding","CA",101,89,0,4,8,1
"Reno-Sparks","NV",493,491,2,0,0,0
"Richmond","VA",742,740,2,0,0,0
"Riverside-San Bernardino-Ontario","CA",4320,3786,6,16,512,47
"Roanoke","VA",123,121,2,0,0,0
"Rochester","MN",138,138,0,0,0,0
"Rochester","NY",181,153,12,6,10,2
"Rockford","IL",257,255,2,0,0,0
"Rocky Mount","NC",57,55,2,0,0,0
"Rome","GA",77,27,14,0,36,2
"Sacramento--Arden-Arcade--Roseville","CA",1603,1592,2,4,5,1
"Saginaw-Saginaw Township North","MI",53,53,0,0,0,0
"Salem","OR",190,168,12,0,10,2
"Salinas","CA",101,101,0,0,0,0
"Salisbury","MD",108,81,2,4,21,2
"Salt Lake City","UT",770,673,12,15,70,6
"San Angelo","TX",18,18,0,0,0,0
"San Antonio","TX",1417,1143,0,43,231,11
