"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX",26,24,2,0,0,0
"Akron","OH",280,249,2,11,18,1
"Albany","GA",75,59,0,16,0,0
"Albany-Schenectady-Troy","NY",232,188,2,0,42,3
"Albuquerque","NM",642,642,0,0,0,0
"Alexandria","LA",62,62,0,0,0,0
"Allentown-Bethlehem-Easton","PA-NJ",416,387,0,13,16,1
"Altoona","PA",3,3,0,0,0,0
"Amarillo","TX",105,72,2,16,15,1
"Ames","IA",24,24,0,0,0,0
"Anchorage","AK",180,110,22,24,24,2
"Anderson","IN",41,41,0,0,0,0
"Anderson","SC",106,104,2,0,0,0
"Ann Arbor","MI",258,171,2,3,82,9
"Anniston-Oxford","AL",13,13,0,0,0,0
"Appleton","WI",106,100,6,0,0,0
"Asheville","NC",303,280,4,3,16,2
"Athens-Clarke County","GA",90,78,0,0,12,2
"Atlanta-Sandy Springs-Marietta","GA",7555,4759,26,12,2758,37
"Atlantic City","NJ",238,221,10,7,0,0
"Auburn-Opelika","AL",90,42,0,0,48,6
"Augusta-Richmond County","GA-SC",280,280,0,0,0,0
"Austin-Round Rock","TX",1443,1161,6,11,265,13
"Bakersfield","CA",616,598,4,4,10,1
"Baltimore-Towson","MD",794,655,0,16,123,6
"Bangor","ME",41,41,0,0,0,0
"Barnstable Town","MA",125,104,2,19,0,0
"Baton Rouge","LA",363,363,0,0,0,0
"Battle Creek","MI",28,28,0,0,0,0
"Bay City","MI",13,13,0,0,0,0
"Beaumont-Port Arthur","TX",76,64,0,0,12,1
"Bellingham","WA",196,125,6,13,52,3
"Bend","OR",309,284,16,9,0,0
"Billings","MT",76,49,0,3,24,1
"Binghamton","NY",15,15,0,0,0,0
"Birmingham-Hoover","AL",609,592,4,0,13,2
"Bismarck","ND",81,73,0,8,0,0
"Blacksburg-Christiansburg-Radford","VA",100,100,0,0,0,0
"Bloomington","IN",105,64,18,4,19,2
"Bloomington-Normal","IL",111,111,0,0,0,0
"Boise City-Nampa","ID",861,683,16,148,14,1
"Boston-Cambridge-Quincy","MA-NH",1248,775,88,60,325,24
"Boulder","CO",85,85,0,0,0,0
"Bowling Green","KY",172,49,0,3,120,5
"Bremerton-Silverdale","WA",142,142,0,0,0,0
"Bridgeport-Stamford-Norwalk","CT",318,211,8,59,40,4
"Brownsville-Harlingen","TX",240,230,4,0,6,1
"Brunswick","GA",79,79,0,0,0,0
"Buffalo-Niagara Falls","NY",202,124,0,0,78,4
"Burlington","NC",132,102,0,0,30,4
"Burlington-South Burlington","VT",111,60,10,6,35,3
"Canton-Massillon","OH",115,107,0,3,5,1
"Cape Coral-Fort Myers","FL",1815,1496,4,6,309,9
"Carson City","NV",10,8,2,0,0,0
"Casper","WY",26,26,0,0,0,0
"Cedar Rapids","IA",194,95,2,23,74,7
