"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Hickory-Morganton-Lenoir","NC MSA",235,198,6,8,23,2
"Honolulu","HI MSA",265,233,10,4,18,1
"Houma","LA MSA",77,77,0,0,0,0
"Houston-Galveston-Brazoria TX CMSA","3527",2877,8,0,642,64,NA
"Huntington-Ashland","WV-KY- OH MSA",7,3,0,4,0,0
"Huntsville","AL MSA",86,82,0,4,0,0
"Indianapolis","IN MSA",1827,1743,52,20,12,2
"Iowa City","IA MSA",98,48,6,0,44,4
"Jackson","MI MSA",7,7,0,0,0,0
"Jackson","MS MSA",254,254,0,0,0,0
"Jackson","TN MSA",47,47,0,0,0,0
"Jacksonville","FL MSA",1315,878,2,3,432,33
"Jacksonville","NC MSA",85,85,0,0,0,0
"Jamestown","NY MSA",1,1,0,0,0,0
"Janesville-Beloit","WI MSA",52,26,18,3,5,1
"Johnson City-Kingsport- Bristol","TN-VA MSA",92,82,0,0,10,2
"Johnstown","PA MSA",10,7,0,3,0,0
"Jonesboro","AR MSA",33,29,4,0,0,0
"Joplin","MO MSA",18,18,0,0,0,0
"Kalamazoo-Battle Creek","MI MSA",122,102,2,0,18,2
"Kansas City","MO-KS MSA",1479,953,58,41,427,40
"Killeen-Temple","TX MSA",181,129,16,36,0,0
"Knoxville","TN MSA",317,279,4,4,30,3
"Kokomo","IN MSA",39,39,0,0,0,0
"La Crosse","WI-MN MSA",41,33,8,0,0,0
"Lafayette","LA MSA",108,108,0,0,0,0
"Lafayette","IN MSA",111,101,10,0,0,0
"Lake Charles","LA MSA",76,76,0,0,0,0
"Lakeland-Winter Haven","FL MSA",377,367,10,0,0,0
"Lancaster","PA MSA",104,98,2,4,0,0
"Lansing-East Lansing","MI MSA",131,121,0,0,10,1
"Laredo","TX MSA",181,143,0,4,34,1
"Las Cruces","NM MSA",296,64,0,0,232,14
"Las Vegas","NV-AZ MSA",2396,2155,6,0,235,24
"Lawrence","KS MSA",140,72,32,0,36,4
"Lawton","OK MSA",13,13,0,0,0,0
"Lewiston-Auburn","ME MSA",29,29,0,0,0,0
"Lexington","KY MSA",349,299,2,48,0,0
"Lima","OH MSA",11,11,0,0,0,0
"Lincoln","NE MSA",166,136,4,0,26,2
"Little Rock-North Little Rock","AR MSA",186,177,0,0,9,1
"Longview-Marshall","TX MSA",14,14,0,0,0,0
"Los Angeles-Riverside- Orange County","CA CMSA",4950,3741,38,93,1078,63
"Louisville","KY-IN MSA",573,536,2,0,35,5
"Lubbock","TX MSA",91,81,6,4,0,0
"Lynchburg","VA MSA",90,70,20,0,0,0
"Macon","GA MSA",212,212,0,0,0,0
"Madison","WI MSA",403,208,24,37,134,6
"Mansfield","OH MSA",78,40,10,11,17,2
"McAllen-Edinburg-Mission","TX MSA",536,481,10,26,19,3
"Medford-Ashland","OR MSA",173,131,0,11,31,4
"Melbourne-Titusville-Palm Bay","FL MSA",384,344,0,0,40,3
"Memphis","TN-AR-MS MSA",667,605,2,60,0,0
"Merced","CA MSA",89,87,2,0,0,0
"Miami-Fort Lauderdale","FL CMSA",2417,1540,20,68,789,24
"Milwaukee-Racine","WI CMSA",652,456,24,23,149,9
"Minneapolis-St. Paul","MN-WI MSA",2316,1792,48,26,450,31
"Missoula","MT MSA",42,38,4,0,0,0
"Mobile","AL MSA",321,302,2,0,17,2
"Modesto","CA MSA",443,419,4,0,20,4
