"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX MSA",7,7,0,0,0,0
"Albany","GA MSA",36,36,0,0,0,0
"Albany-Schenectady-Troy","NY MSA",170,157,0,0,13,2
"Albuquerque","NM MSA",420,420,0,0,0,0
"Alexandria","LA MSA",26,26,0,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",187,171,0,0,16,1
"Altoona","PA MSA",7,7,0,0,0,0
"Amarillo","TX MSA",111,51,0,32,28,1
"Anchorage","AK MSA",171,63,108,0,0,0
"Anniston","AL MSA",20,20,0,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",326,95,6,7,218,23
"Asheville","NC MSA",100,86,6,3,5,1
"Athens","GA MSA",93,59,10,0,24,2
"Atlanta","GA MSA",4603,3373,6,4,1220,34
"Auburn-Opelika","AL MSA",84,26,2,0,56,8
"Augusta-Aiken","GA-SC MSA",264,264,0,0,0,0
"Austin-San Marcos","TX MSA",1001,360,0,172,469,20
"Bakersfield","CA MSA",214,199,4,4,7,1
"Bangor","ME MSA",11,11,0,0,0,0
"Barnstable-Yarmouth","MA MSA",63,61,2,0,0,0
"Baton Rouge","LA MSA",94,94,0,0,0,0
"Beaumont-Port Arthur","TX MSA",30,30,0,0,0,0
"Bellingham","WA MSA",111,73,4,3,31,2
"Benton Harbor","MI MSA",20,16,0,4,0,0
"Billings","MT MSA",46,42,0,4,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",194,103,10,0,81,4
"Binghamton","NY MSA",7,7,0,0,0,0
"Birmingham","AL MSA",310,274,0,0,36,3
"Bismarck","ND MSA",40,25,4,11,0,0
"Bloomington","IN MSA",66,44,12,0,10,2
"Bloomington-Normal","IL MSA",69,58,8,3,0,0
"Boise City","ID MSA",384,382,2,0,0,0
"Boston-Worcester-Lawrence MA-NH-ME-CT CMSA","1124",907,44,33,140,10,NA
"Brownsville-Harlingen-San Benito","TX MSA",202,184,6,3,9,1
"Bryan-College Station","TX MSA",49,49,0,0,0,0
"Buffalo-Niagara Falls","NY MSA",172,157,2,0,13,1
"Burlington","VT MSA",57,46,2,4,5,1
"Canton-Massillon","OH MSA",79,65,14,0,0,0
"Casper","WY MSA",12,12,0,0,0,0
"Cedar Rapids","IA MSA",101,51,6,0,44,7
"Champaign-Urbana","IL MSA",130,27,2,0,101,8
