"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Hickory-Morganton-Lenoir","NC MSA",173,143,4,4,22,3
"Honolulu","HI MSA",184,138,0,0,46,9
"Houma","LA MSA",42,42,0,0,0,0
"Houston-Galveston-Brazoria TX CMSA","3133",2145,24,3,961,47,NA
"Huntington-Ashland","WV-KY- OH MSA",7,7,0,0,0,0
"Huntsville","AL MSA",219,163,0,8,48,6
"Indianapolis","IN MSA",1217,959,42,59,157,8
"Iowa City","IA MSA",49,31,2,0,16,2
"Jackson","MI MSA",34,14,0,0,20,2
"Jackson","MS MSA",237,143,0,0,94,10
"Jackson","TN MSA",36,36,0,0,0,0
"Jacksonville","FL MSA",1001,609,0,0,392,23
"Jacksonville","NC MSA",41,30,0,0,11,2
"Jamestown","NY MSA",0,0,0,0,0,0
"Janesville-Beloit","WI MSA",34,22,4,3,5,1
"Johnson City-Kingsport- Bristol","TN-VA MSA",120,56,0,0,64,8
"Johnstown","PA MSA",3,3,0,0,0,0
"Jonesboro","AR MSA",25,25,0,0,0,0
"Joplin","MO MSA",12,12,0,0,0,0
"Kalamazoo-Battle Creek","MI MSA",144,68,2,0,74,4
"Kansas City","MO-KS MSA",1004,648,88,99,169,11
"Killeen-Temple","TX MSA",112,70,2,40,0,0
"Knoxville","TN MSA",321,241,6,6,68,4
"Kokomo","IN MSA",30,26,4,0,0,0
"La Crosse","WI-MN MSA",71,29,6,36,0,0
"Lafayette","LA MSA",51,51,0,0,0,0
"Lafayette","IN MSA",137,63,0,4,70,8
"Lake Charles","LA MSA",71,55,12,4,0,0
"Lakeland-Winter Haven","FL MSA",333,241,2,0,90,11
"Lancaster","PA MSA",80,69,0,0,11,2
"Lansing-East Lansing","MI MSA",73,69,4,0,0,0
"Laredo","TX MSA",116,94,0,3,19,1
"Las Cruces","NM MSA",182,52,0,7,123,15
"Las Vegas","NV-AZ MSA",2420,1800,2,96,522,59
"Lawrence","KS MSA",33,23,6,4,0,0
"Lawton","OK MSA",9,9,0,0,0,0
"Lewiston-Auburn","ME MSA",18,15,0,3,0,0
"Lexington","KY MSA",251,249,2,0,0,0
"Lima","OH MSA",3,1,2,0,0,0
"Lincoln","NE MSA",106,73,4,0,29,3
"Little Rock-North Little Rock","AR MSA",146,142,0,4,0,0
"Longview-Marshall","TX MSA",4,4,0,0,0,0
"Los Angeles-Riverside- Orange County","CA CMSA",4097,3040,62,59,936,63
"Louisville","KY-IN MSA",769,448,2,12,307,20
"Lubbock","TX MSA",47,45,2,0,0,0
"Lynchburg","VA MSA",65,63,2,0,0,0
"Macon","GA MSA",125,118,2,0,5,1
"Madison","WI MSA",314,144,26,41,103,7
"Mansfield","OH MSA",64,24,4,0,36,2
"McAllen-Edinburg-Mission","TX MSA",356,317,8,18,13,2
"Medford-Ashland","OR MSA",96,85,2,4,5,1
"Melbourne-Titusville-Palm Bay","FL MSA",273,233,0,0,40,3
"Memphis","TN-AR-MS MSA",951,234,46,59,612,47
"Merced","CA MSA",110,110,0,0,0,0
"Miami-Fort Lauderdale","FL CMSA",2056,1039,8,20,989,35
"Milwaukee-Racine","WI CMSA",521,310,38,12,161,11
"Minneapolis-St. Paul","MN-WI MSA",1888,1096,30,3,759,25
"Missoula","MT MSA",23,21,2,0,0,0
"Mobile","AL MSA",485,237,0,0,248,8
"Modesto","CA MSA",242,238,4,0,0,0
"Monroe","LA MSA",44,28,0,4,12,2
"Montgomery","AL MSA",51,51,0,0,0,0
"Muncie","IN MSA",14,14,0,0,0,0
"Myrtle Beach","SC MSA",223,144,0,16,63,5
"Naples","FL MSA",604,289,4,66,245,18
"Nashville","TN MSA",807,656,10,20,121,9
"New London-Norwich","CT-RI MSA",81,78,0,3,0,0
"New Orleans","LA MSA",220,200,6,0,14,1
"New York-Northern New Jersey-Long Island","NY-NJ- CT-PA CMSA",5627,2589,410,198,2430,61
"Norfolk-Virginia Beach- Newport News","VA-NC MSA",521,481,0,0,40,4
"Ocala","FL MSA",190,186,0,4,0,0
"Odessa-Midland","TX MSA",17,17,0,0,0,0
"Oklahoma City","OK MSA",284,252,0,0,32,2
"Omaha","NE-IA MSA",310,262,6,4,38,1
"Orlando","FL MSA",1923,1194,6,7,716,63
"Owensboro","KY MSA",66,62,0,4,0,0
"Panama City","FL MSA",60,48,4,8,0,0
"Parkersburg-Marietta","WV-OH MSA",11,11,0,0,0,0
"Pensacola","FL MSA",153,153,0,0,0,0
"Peoria-Pekin","IL MSA",41,39,2,0,0,0
"Philadelphia-Wilmington- Atlantic City","PA-NJ-DE-MD CMSA",1691,1430,54,35,172,22
"Phoenix-Mesa","AZ MSA",3070,2092,16,51,911,99
"Pine Bluff","AR MSA",9,9,0,0,0,0
"Pittsburgh","PA MSA",507,384,8,24,91,4
"Pittsfield","MA MSA",0,0,0,0,0,0
"Pocatello","ID MSA",4,4,0,0,0,0
"Portland","ME MSA",120,84,0,3,33,4
"Portland-Salem","OR-WA CMSA",1309,857,20,11,421,36
"Providence-Fall River- Warwick","RI-MA MSA",204,183,12,4,5,1
"Provo-Orem","UT MSA",216,194,16,0,6,1
