"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Hickory-Morganton-Lenoir","NC MSA",107,107,0,0,0,0
"Honolulu","HI MSA",363,272,4,0,87,4
"Houma","LA MSA",67,65,2,0,0,0
"Houston-Galveston-Brazoria TX CMSA","3607",3040,8,12,547,32,NA
"Huntington-Ashland","WV-KY- OH MSA",5,5,0,0,0,0
"Huntsville","AL MSA",83,83,0,0,0,0
"Indianapolis","IN MSA",1518,1346,46,23,103,13
"Iowa City","IA MSA",66,42,0,0,24,2
"Jackson","MI MSA",32,16,0,0,16,2
"Jackson","MS MSA",234,221,0,0,13,2
"Jackson","TN MSA",50,50,0,0,0,0
"Jacksonville","FL MSA",1016,1001,0,7,8,1
"Jacksonville","NC MSA",71,71,0,0,0,0
"Jamestown","NY MSA",1,1,0,0,0,0
"Janesville-Beloit","WI MSA",55,19,2,4,30,3
"Johnson City-Kingsport- Bristol","TN-VA MSA",123,109,2,0,12,2
"Johnstown","PA MSA",4,4,0,0,0,0
"Jonesboro","AR MSA",21,21,0,0,0,0
"Joplin","MO MSA",23,23,0,0,0,0
"Kalamazoo-Battle Creek","MI MSA",120,101,0,8,11,2
"Kansas City","MO-KS MSA",1223,1029,56,78,60,6
"Killeen-Temple","TX MSA",223,117,18,88,0,0
"Knoxville","TN MSA",314,254,4,20,36,2
"Kokomo","IN MSA",40,34,2,4,0,0
"La Crosse","WI-MN MSA",42,40,2,0,0,0
"Lafayette","LA MSA",85,85,0,0,0,0
"Lafayette","IN MSA",70,58,6,0,6,1
"Lake Charles","LA MSA",12,10,2,0,0,0
"Lakeland-Winter Haven","FL MSA",403,403,0,0,0,0
"Lancaster","PA MSA",279,89,0,4,186,4
"Lansing-East Lansing","MI MSA",169,117,2,0,50,4
"Laredo","TX MSA",163,137,0,3,23,2
"Las Cruces","NM MSA",97,95,2,0,0,0
"Las Vegas","NV-AZ MSA",2479,2447,8,0,24,3
