"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX MSA",17,17,0,0,0,0
"Albany","GA MSA",49,38,0,11,0,0
"Albany-Schenectady-Troy","NY MSA",159,91,2,0,66,3
"Albuquerque","NM MSA",402,402,0,0,0,0
"Alexandria","LA MSA",32,32,0,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",139,127,0,7,5,1
"Altoona","PA MSA",3,3,0,0,0,0
"Amarillo","TX MSA",273,49,0,0,224,1
"Anchorage","AK MSA",139,75,48,16,0,0
"Anniston","AL MSA",18,13,0,0,5,1
"Appleton-Oshkosh-Neenah","WI MSA",138,105,10,0,23,2
"Asheville","NC MSA",116,92,4,4,16,2
"Athens","GA MSA",103,89,14,0,0,0
"Atlanta","GA MSA",5916,4162,20,8,1726,44
"Auburn-Opelika","AL MSA",25,21,4,0,0,0
"Augusta-Aiken","GA-SC MSA",233,169,0,0,64,8
"Austin-San Marcos","TX MSA",1147,477,8,3,659,34
"Bakersfield","CA MSA",194,190,0,4,0,0
"Bangor","ME MSA",7,7,0,0,0,0
"Barnstable-Yarmouth","MA MSA",77,75,2,0,0,0
"Baton Rouge","LA MSA",90,88,2,0,0,0
"Beaumont-Port Arthur","TX MSA",33,33,0,0,0,0
"Bellingham","WA MSA",106,66,6,3,31,2
"Benton Harbor","MI MSA",9,9,0,0,0,0
"Billings","MT MSA",38,38,0,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",158,154,0,4,0,0
"Binghamton","NY MSA",7,7,0,0,0,0
"Birmingham","AL MSA",304,304,0,0,0,0
"Bismarck","ND MSA",25,18,2,0,5,1
"Bloomington","IN MSA",93,31,2,0,60,3
"Bloomington-Normal","IL MSA",41,41,0,0,0,0
"Boise City","ID MSA",488,364,4,0,120,8
"Boston-Worcester-Lawrence MA-NH-ME-CT CMSA","1376",859,50,42,425,17,NA
"Brownsville-Harlingen-San Benito","TX MSA",168,136,6,19,7,1
"Bryan-College Station","TX MSA",94,92,2,0,0,0
"Buffalo-Niagara Falls","NY MSA",214,90,0,0,124,8
"Burlington","VT MSA",46,46,0,0,0,0
"Canton-Massillon","OH MSA",61,57,4,0,0,0
"Casper","WY MSA",4,4,0,0,0,0
"Cedar Rapids","IA MSA",65,32,0,4,29,3
"Champaign-Urbana","IL MSA",13,13,0,0,0,0
"Charleston-North Charleston","SC MSA",392,314,0,3,75,4
"Charleston","WV MSA",29,29,0,0,0,0
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",1472,1305,24,10,133,19
"Charlottesville","VA MSA",85,85,0,0,0,0
"Chattanooga","TN-GA MSA",490,145,4,0,341,17
"Cheyenne","WY MSA",16,16,0,0,0,0
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",2544,1829,30,111,574,21
"Chico-Paradise","CA MSA",55,55,0,0,0,0
"Cincinnati-Hamilton","OH-KY- IN CMSA",787,732,6,0,49,6
"Clarksville-Hopkinsville","TN-KY MSA",106,94,0,12,0,0
"Cleveland-Akron","OH CMSA",601,563,6,4,28,2
"Colorado Springs","CO MSA",965,380,0,0,585,41
"Columbia","MO MSA",83,57,2,16,8,1
"Columbia","SC MSA",337,337,0,0,0,0
"Columbus","GA-AL MSA",106,98,8,0,0,0
"Columbus","OH MSA",897,522,2,20,353,22
"Corpus Christi","TX MSA",48,43,2,3,0,0
"Corvallis OR MSA","20",20,0,0,0,0,NA
"Cumberland","MD-WV MSA",8,8,0,0,0,0
"Dallas-Fort Worth","TX CMSA",3278,2933,28,43,274,12
"Danville","VA MSA",24,24,0,0,0,0
"Davenport-Moline-Rock Island","IA-IL MSA",52,26,2,0,24,2
"Dayton-Springfield","OH MSA",232,109,2,7,114,11
"Daytona Beach","FL MSA",390,340,2,13,35,1
"Decatur","Al MSA",22,22,0,0,0,0
"Decatur","IL MSA",4,4,0,0,0,0
"Denver-Boulder-Greeley","CO CMSA",1992,1752,14,13,213,13
"Des Moines","IA MSA",106,85,0,16,5,1
"Detroit-Ann Arbor-Flint","MI CMSA",1709,1150,36,65,458,24
"Dothan","AL MSA",38,30,0,3,5,1
"Dover","DE MSA",48,48,0,0,0,0
"Dubuque","IA MSA",15,11,0,4,0,0
"Duluth-Superior","MN-WI MSA",38,25,2,0,11,1
"Eau Claire","WI MSA",21,21,0,0,0,0
"El Paso","TX MSA",178,178,0,0,0,0
"Elkhart-Goshen","IN MSA",58,58,0,0,0,0
"Elmira","NY MSA",22,2,0,0,20,1
"Enid","OK MSA",4,4,0,0,0,0
"Erie","PA MSA",25,19,0,0,6,1
"Eugene-Springfield","OR MSA",104,98,6,0,0,0
"Evansville-Henderson","IN-KY MSA",99,90,6,3,0,0
"Fargo-Moorhead","ND-MN MSA",7,7,0,0,0,0
"Fayetteville","NC MSA",139,91,0,8,40,4
"Fayetteville-Springdale- Rogers","AR MSA",154,152,2,0,0,0
"Flagstaff","AZ-UT MSA",76,58,2,0,16,2
"Florence","AL MSA",12,7,0,0,5,1
"Florence","SC MSA",48,42,0,0,6,1
"Fort Collins-Loveland","CO MSA",254,187,2,7,58,6
"Fort Myers-Cape Coral","FL MSA",1004,421,48,63,472,25
"Fort Pierce-Port St. Lucie","FL MSA",145,141,0,4,0,0
"Fort Smith","AR-OK MSA",31,27,4,0,0,0
"Fort Walton Beach","FL MSA",124,104,0,3,17,2
"Fort Wayne","IN MSA",162,158,4,0,0,0
"Fresno","CA MSA",337,259,10,68,0,0
"Gadsden","AL MSA",5,5,0,0,0,0
"Gainesville","FL MSA",471,93,0,0,378,20
"Glens Falls","NY MSA",12,12,0,0,0,0
"Goldsboro","NC MSA",45,45,0,0,0,0
"Grand Forks","ND-MN MSA",0,0,0,0,0,0
"Grand Junction","CO MSA",98,95,0,3,0,0
"Grand Rapids-Muskegon- Holland","MI MSA",406,330,2,3,71,3
"Great Falls","MT MSA",2,2,0,0,0,0
"Green Bay","WI MSA",95,76,14,0,5,1
"Greensboro--Winston-Salem-- High Point","NC MSA",787,683,0,4,100,13
"Greenville","NC MSA",52,50,2,0,0,0
"Greenville-Spartanburg- Anderson","SC MSA",626,539,52,0,35,3
