"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX MSA",15,13,2,0,0,0
"Albany","GA MSA",43,33,10,0,0,0
"Albany-Schenectady-Troy","NY MSA",175,151,0,0,24,4
"Albuquerque","NM MSA",411,407,0,4,0,0
"Alexandria","LA MSA",38,38,0,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",193,190,0,3,0,0
"Altoona","PA MSA",4,4,0,0,0,0
"Amarillo","TX MSA",47,47,0,0,0,0
"Anchorage","AK MSA",75,45,0,30,0,0
"Anniston","AL MSA",17,17,0,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",201,101,6,4,90,7
"Asheville","NC MSA",151,119,4,8,20,1
"Athens","GA MSA",106,106,0,0,0,0
"Atlanta","GA MSA",4346,3473,12,11,850,22
"Auburn-Opelika","AL MSA",80,31,8,4,37,3
"Augusta-Aiken","GA-SC MSA",211,211,0,0,0,0
"Austin-San Marcos","TX MSA",857,568,20,0,269,15
"Bakersfield","CA MSA",534,405,2,12,115,13
"Bangor","ME MSA",27,19,8,0,0,0
"Barnstable-Yarmouth","MA MSA",50,50,0,0,0,0
"Baton Rouge","LA MSA",124,120,0,4,0,0
"Beaumont-Port Arthur","TX MSA",34,34,0,0,0,0
"Bellingham","WA MSA",325,81,0,8,236,6
"Benton Harbor","MI MSA",7,7,0,0,0,0
"Billings","MT MSA",75,23,2,0,50,1
"Biloxi-Gulfport-Pascagoula","MS MSA",186,186,0,0,0,0
"Binghamton","NY MSA",8,8,0,0,0,0
"Birmingham","AL MSA",383,375,0,0,8,1
"Bismarck","ND MSA",83,29,0,0,54,2
"Bloomington","IN MSA",87,46,18,3,20,1
"Bloomington-Normal","IL MSA",171,39,0,0,132,1
"Boise City","ID MSA",538,467,4,25,42,7
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",1667,922,86,81,578,26
"Brownsville-Harlingen-San Benito","TX MSA",259,239,2,0,18,2
"Bryan-College Station","TX MSA",93,93,0,0,0,0
