"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Grand Rapids-Wyoming","MI",302,276,4,3,19,2
"Great Falls","MT",6,6,0,0,0,0
"Greeley","CO",332,318,2,0,12,1
"Green Bay","WI",169,132,8,0,29,3
"Greensboro-High Point","NC",491,404,2,0,85,4
"Greenville","NC",146,110,4,0,32,4
"Greenville","SC",437,406,2,3,26,2
"Gulfport-Biloxi","MS",181,135,4,4,38,3
"Hagerstown-Martinsburg","MD-WV",287,281,6,0,0,0
"Hanford-Corcoran","CA",63,63,0,0,0,0
"Harrisburg-Carlisle","PA",173,169,4,0,0,0
"Harrisonburg","VA",127,127,0,0,0,0
"Hartford-West Hartford-East Hartford","CT",321,239,24,4,54,4
"Hattiesburg","MS",2,2,0,0,0,0
"Hickory-Lenoir-Morganton","NC",114,106,8,0,0,0
"Hinesville-Fort Stewart","GA",12,12,0,0,0,0
"Holland-Grand Haven","MI",140,109,6,14,11,1
"Honolulu","HI",167,167,0,0,0,0
"Hot Springs","AR",13,13,0,0,0,0
"Houma-Bayou Cane-Thibodaux","LA",74,74,0,0,0,0
"Houston-Baytown-Sugar Land","TX",5538,4697,42,4,795,36
"Huntington-Ashland","WV-KY-OH",5,5,0,0,0,0
"Huntsville","AL",287,287,0,0,0,0
"Idaho Falls","ID",171,127,0,20,24,1
"Indianapolis","IN",1346,1033,34,46,233,12
"Iowa City","IA",105,59,0,0,46,4
"Ithaca","NY",7,5,2,0,0,0
"Jackson","MI",227,19,0,0,208,12
"Jackson","MS",291,256,0,0,35,3
"Jackson","TN",63,63,0,0,0,0
"Jacksonville","FL",1886,1698,2,11,175,12
"Jacksonville","NC",84,84,0,0,0,0
"Janesville","WI",54,54,0,0,0,0
"Jefferson City","MO",34,31,0,3,0,0
"Johnson City","TN",158,47,6,0,105,6
"Johnstown","PA",2,2,0,0,0,0
"Jonesboro","AR",46,46,0,0,0,0
"Joplin","MO",21,21,0,0,0,0
"Kalamazoo-Portage","MI",82,82,0,0,0,0
"Kankakee-Bradley","IL",27,27,0,0,0,0
"Kansas City","MO-KS",1277,994,52,39,192,15
"Kennewick-Richland-Pasco","WA",258,172,2,19,65,3
"Killeen-Temple-Fort Hood","TX",306,266,16,4,20,1
"Kingsport-Bristol-Bristol","TN-VA",103,103,0,0,0,0
"Kingston","NY",36,36,0,0,0,0
"Knoxville","TN",362,360,2,0,0,0
"Kokomo","IN",21,19,2,0,0,0
"La Crosse","WI-MN",45,39,2,4,0,0
"Lafayette","IN",74,74,0,0,0,0
"Lafayette","LA",103,103,0,0,0,0
"Lake Charles","LA",155,26,2,0,127,2
"Lakeland","FL",591,376,4,4,207,10
"Lancaster","PA",112,98,0,0,14,2
"Lansing-East Lansing","MI",136,125,2,0,9,1
"Laredo","TX",195,144,0,4,47,2
"Las Cruces","NM",176,176,0,0,0,0
"Las Vegas-Paradise","NV",3564,2871,6,88,599,17
"Lawrence","KS",44,34,10,0,0,0
"Lawton","OK",13,13,0,0,0,0
"Lebanon","PA",84,84,0,0,0,0
"Lewiston","ID-WA",5,5,0,0,0,0
"Lewiston-Auburn","ME",42,35,2,0,5,1
"Lexington-Fayette","KY",404,339,0,6,59,3
"Lima","OH",4,4,0,0,0,0
"Lincoln","NE",204,134,4,0,66,11
"Little Rock-North Little Rock","AR",529,289,2,0,238,19
"Logan","UT-ID",68,64,0,4,0,0
"Longview","TX",21,21,0,0,0,0
"Longview","WA",28,28,0,0,0,0
"Los Angeles-Long Beach-Santa Ana","CA",1772,1114,70,101,487,33
"Louisville","KY-IN",757,686,6,8,57,4
"Lubbock","TX",115,83,32,0,0,0
"Lynchburg","VA",251,231,0,4,16,2
"Macon","GA",65,65,0,0,0,0
"Madera","CA",162,160,2,0,0,0
