"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Hickory-Morganton-Lenoir","NC MSA",316,293,10,0,13,2
"Honolulu","HI MSA",110,110,0,0,0,0
"Houma","LA MSA",68,66,2,0,0,0
"Houston-Galveston-Brazoria","Houston-Galveston-Brazoria TX CMSA",3356,2576,20,51,709,54
"Huntington-Ashland","WV-KY- OH MSA",2,2,0,0,0,0
"Huntsville","AL MSA",108,108,0,0,0,0
"Indianapolis","IN MSA",976,805,18,8,145,13
"Iowa City","IA MSA",62,38,0,0,24,2
"Jackson","MI MSA",4,4,0,0,0,0
"Jackson","MS MSA",567,199,0,0,368,27
"Jackson","TN MSA",104,54,0,0,50,5
"Jacksonville","FL MSA",784,739,0,0,45,1
"Jacksonville","NC MSA",79,79,0,0,0,0
"Jamestown","NY MSA",0,0,0,0,0,0
"Janesville-Beloit","WI MSA",22,17,0,0,5,1
"Johnson City-Kingsport- Bristol","TN-VA MSA",183,94,0,0,89,9
"Johnstown","PA MSA",3,3,0,0,0,0
"Jonesboro","AR MSA",27,27,0,0,0,0
"Joplin","MO MSA",20,20,0,0,0,0
"Kalamazoo-Battle Creek","MI MSA",73,66,0,0,7,1
"Kansas City","MO-KS MSA",1001,888,24,44,45,8
"Killeen-Temple","TX MSA",253,152,8,88,5,1
"Knoxville","TN MSA",338,277,8,7,46,3
"Kokomo","IN MSA",30,30,0,0,0,0
"La Crosse","WI-MN MSA",54,17,6,4,27,1
"Lafayette","LA MSA",102,102,0,0,0,0
"Lafayette","IN MSA",70,36,30,4,0,0
"Lake Charles","LA MSA",18,18,0,0,0,0
"Lakeland-Winter Haven","FL MSA",379,377,2,0,0,0
"Lancaster","PA MSA",106,104,2,0,0,0
"Lansing-East Lansing","MI MSA",93,77,0,0,16,1
"Laredo","TX MSA",162,132,0,4,26,1
"Las Cruces","NM MSA",75,46,0,0,29,2
"Las Vegas","NV-AZ MSA",2437,1864,22,0,551,70
"Lawrence","KS MSA",47,30,4,3,10,1
"Lawton","OK MSA",12,12,0,0,0,0
"Lewiston-Auburn","ME MSA",8,8,0,0,0,0
"Lexington","KY MSA",446,414,0,20,12,2
"Lima","OH MSA",3,3,0,0,0,0
"Lincoln","NE MSA",108,84,2,0,22,2
"Little Rock-North Little Rock","AR MSA",217,198,8,11,0,0
"Longview-Marshall","TX MSA",19,19,0,0,0,0
"Los Angeles-Riverside- Orange County","CA CMSA",4580,3315,16,29,1220,68
"Louisville","KY-IN MSA",487,408,4,10,65,5
"Lubbock","TX MSA",114,106,8,0,0,0
"Lynchburg","VA MSA",40,36,4,0,0,0
"Macon","GA MSA",140,138,2,0,0,0
"Madison","WI MSA",188,145,4,16,23,4
"Mansfield","OH MSA",19,15,4,0,0,0
"McAllen-Edinburg-Mission","TX MSA",547,466,26,25,30,5
"Medford-Ashland","OR MSA",108,101,2,0,5,1
"Melbourne-Titusville-Palm Bay","FL MSA",495,397,0,0,98,12
"Memphis","TN-AR-MS MSA",673,534,2,72,65,13
"Merced","CA MSA",91,91,0,0,0,0
