"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX MSA",14,14,0,0,0,0
"Albany","GA MSA",40,38,2,0,0,0
"Albany-Schenectady-Troy","NY MSA",193,174,2,0,17,3
"Albuquerque","NM MSA",558,558,0,0,0,0
"Alexandria","LA MSA",27,27,0,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",185,185,0,0,0,0
"Altoona","PA MSA",4,4,0,0,0,0
"Amarillo","TX MSA",266,82,0,0,184,1
"Anchorage","AK MSA",300,107,134,0,59,8
"Anniston","AL MSA",18,18,0,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",249,152,32,0,65,8
"Asheville","NC MSA",129,111,4,0,14,2
"Athens","GA MSA",122,86,8,0,28,2
"Atlanta","GA MSA",5089,4001,28,19,1041,24
"Auburn-Opelika","AL MSA",77,32,4,0,41,3
"Augusta-Aiken","GA-SC MSA",200,198,2,0,0,0
"Austin-San Marcos","TX MSA",744,503,14,11,216,9
"Bakersfield","CA MSA",292,292,0,0,0,0
"Bangor","ME MSA",26,24,2,0,0,0
"Barnstable-Yarmouth","MA MSA",67,67,0,0,0,0
"Baton Rouge","LA MSA",109,109,0,0,0,0
"Beaumont-Port Arthur","TX MSA",39,39,0,0,0,0
"Bellingham","WA MSA",143,99,4,3,37,3
"Benton Harbor","MI MSA",21,17,0,4,0,0
"Billings","MT MSA",54,54,0,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",191,187,0,4,0,0
"Binghamton","NY MSA",7,7,0,0,0,0
"Birmingham","AL MSA",318,318,0,0,0,0
"Bismarck","ND MSA",163,81,0,16,66,2
"Bloomington","IN MSA",55,37,18,0,0,0
"Bloomington-Normal","IL MSA",118,90,0,4,24,3
"Boise City","ID MSA",496,471,6,19,0,0
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",1379,1129,54,30,166,19
"Brownsville-Harlingen-San Benito","TX MSA",216,197,6,3,10,2
"Bryan-College Station","TX MSA",68,54,2,0,12,2
"Buffalo-Niagara Falls","NY MSA",306,157,6,10,133,2
"Burlington","VT MSA",41,37,4,0,0,0
"Canton-Massillon","OH MSA",95,82,10,3,0,0
"Casper","WY MSA",18,13,0,0,5,1
"Cedar Rapids","IA MSA",258,80,14,0,164,8
"Champaign-Urbana","IL MSA",56,56,0,0,0,0
"Charleston-North Charleston","SC MSA",382,364,0,3,15,2
"Charleston","WV MSA",21,21,0,0,0,0
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",1484,1371,14,7,92,6
"Charlottesville","VA MSA",117,91,2,0,24,1
"Chattanooga","TN-GA MSA",182,164,6,7,5,1
"Cheyenne","WY MSA",47,40,0,0,7,1
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",4281,3029,76,222,954,71
"Chico-Paradise","CA MSA",102,99,0,3,0,0
"Cincinnati-Hamilton","OH-KY- IN CMSA",1026,840,6,37,143,18
"Clarksville-Hopkinsville","TN-KY MSA",135,119,0,0,16,2
"Cleveland-Akron","OH CMSA",864,720,10,28,106,17
"Colorado Springs","CO MSA",949,335,2,0,612,36
"Columbia","MO MSA",182,104,4,0,74,11
"Columbia","SC MSA",341,331,2,3,5,1
"Columbus","GA-AL MSA",103,103,0,0,0,0
"Columbus","OH MSA",1431,898,38,108,387,36
"Corpus Christi","TX MSA",82,72,2,8,0,0
"Corvallis","Corvallis OR MSA",72,24,4,3,41,4
"Cumberland","MD-WV MSA",15,15,0,0,0,0
"Dallas-Fort Worth","TX CMSA",4176,3066,10,8,1092,27
"Danville","VA MSA",26,26,0,0,0,0
"Davenport-Moline-Rock Island","IA-IL MSA",42,38,4,0,0,0
"Dayton-Springfield","OH MSA",233,169,12,52,0,0
"Daytona Beach","FL MSA",586,529,16,0,41,3
"Decatur","Al MSA",32,32,0,0,0,0
"Decatur","IL MSA",120,2,0,0,118,3
"Denver-Boulder-Greeley","CO CMSA",2838,1514,18,59,1247,86
"Des Moines","IA MSA",345,277,4,0,64,3
"Detroit-Ann Arbor-Flint","MI CMSA",2074,1690,32,55,297,31
"Dothan","AL MSA",20,20,0,0,0,0
"Dover","DE MSA",114,114,0,0,0,0
"Dubuque","IA MSA",23,17,6,0,0,0
"Duluth-Superior","MN-WI MSA",56,54,2,0,0,0
"Eau Claire","WI MSA",80,74,6,0,0,0
"El Paso","TX MSA",290,273,6,6,5,1
"Elkhart-Goshen","IN MSA",74,63,2,0,9,1
"Elmira","NY MSA",6,6,0,0,0,0
"Enid","OK MSA",11,11,0,0,0,0
"Erie","PA MSA",24,24,0,0,0,0
"Eugene-Springfield","OR MSA",131,117,8,0,6,1
"Evansville-Henderson","IN-KY MSA",117,115,2,0,0,0
"Fargo-Moorhead","ND-MN MSA",251,177,0,8,66,5
"Fayetteville","NC MSA",170,90,0,0,80,6
"Fayetteville-Springdale- Rogers","AR MSA",213,134,6,6,67,8
"Flagstaff","AZ-UT MSA",85,80,2,3,0,0
"Florence","AL MSA",27,4,0,3,20,3
"Florence","SC MSA",4,4,0,0,0,0
"Fort Collins-Loveland","CO MSA",332,228,4,4,96,6
"Fort Myers-Cape Coral","FL MSA",812,598,56,60,98,11
"Fort Pierce-Port St. Lucie","FL MSA",272,246,0,0,26,1
"Fort Smith","AR-OK MSA",181,65,8,0,108,1
"Fort Walton Beach","FL MSA",273,100,2,0,171,5
"Fort Wayne","IN MSA",214,206,8,0,0,0
"Fresno","CA MSA",477,447,2,3,25,5
"Gadsden","AL MSA",7,7,0,0,0,0
"Gainesville","FL MSA",93,93,0,0,0,0
"Glens Falls","NY MSA",48,41,4,3,0,0
"Goldsboro","NC MSA",37,37,0,0,0,0
"Grand Forks","ND-MN MSA",21,19,2,0,0,0
"Grand Junction","CO MSA",90,90,0,0,0,0
"Grand Rapids-Muskegon- Holland","MI MSA",603,538,10,20,35,7
"Great Falls","MT MSA",18,18,0,0,0,0
"Green Bay","WI MSA",159,88,16,0,55,3
"Greensboro--Winston-Salem-- High Point","NC MSA",836,709,10,11,106,12
"Greenville","NC MSA",118,64,4,0,50,6
"Greenville-Spartanburg- Anderson","SC MSA",503,489,2,12,0,0
"Harrisburg-Lebanon- Carlisle","PA MSA",170,162,0,8,0,0
"Hartford","CT MSA",340,259,12,6,63,7
"Hattiesburg","MS MSA",5,5,0,0,0,0
"Hickory-Morganton-Lenoir","NC MSA",132,132,0,0,0,0
"Honolulu","HI MSA",363,249,0,0,114,3
"Houma","LA MSA",58,56,2,0,0,0
"Houston-Galveston-Brazoria","Houston-Galveston-Brazoria TX CMSA",3252,2582,8,404,258,15
"Huntington-Ashland","WV-KY- OH MSA",3,3,0,0,0,0
"Huntsville","AL MSA",121,79,0,0,42,2
"Indianapolis","IN MSA",1320,1167,30,6,117,15
"Iowa City","IA MSA",77,56,0,9,12,1
"Jackson","MI MSA",12,10,2,0,0,0
"Jackson","MS MSA",209,209,0,0,0,0
"Jackson","TN MSA",42,42,0,0,0,0
"Jacksonville","FL MSA",960,760,0,0,200,12
"Jacksonville","NC MSA",80,74,2,4,0,0
"Jamestown","NY MSA",2,2,0,0,0,0
"Janesville-Beloit","WI MSA",40,28,4,3,5,1
"Johnson City-Kingsport- Bristol","TN-VA MSA",97,97,0,0,0,0
"Johnstown","PA MSA",7,4,0,3,0,0
"Jonesboro","AR MSA",45,33,0,12,0,0
"Joplin","MO MSA",21,21,0,0,0,0
"Kalamazoo-Battle Creek","MI MSA",94,85,0,0,9,1
"Kansas City","MO-KS MSA",1427,885,66,61,415,29
"Killeen-Temple","TX MSA",125,105,12,8,0,0
"Knoxville","TN MSA",624,269,4,42,309,18
"Kokomo","IN MSA",20,20,0,0,0,0
"La Crosse","WI-MN MSA",38,38,0,0,0,0
"Lafayette","LA MSA",97,97,0,0,0,0
"Lafayette","IN MSA",108,106,2,0,0,0
"Lake Charles","LA MSA",85,71,2,0,12,1
"Lakeland-Winter Haven","FL MSA",377,369,0,0,8,1
"Lancaster","PA MSA",91,89,2,0,0,0
"Lansing-East Lansing","MI MSA",134,110,0,0,24,2
"Laredo","TX MSA",147,124,0,3,20,1
"Las Cruces","NM MSA",77,77,0,0,0,0
"Las Vegas","NV-AZ MSA",2792,2114,14,0,664,43
"Lawrence","KS MSA",77,31,46,0,0,0
"Lawton","OK MSA",11,11,0,0,0,0
"Lewiston-Auburn","ME MSA",20,20,0,0,0,0
"Lexington","KY MSA",351,331,0,4,16,2
"Lima","OH MSA",7,7,0,0,0,0
"Lincoln","NE MSA",153,119,8,0,26,2
"Little Rock-North Little Rock","AR MSA",960,198,0,0,762,65
"Longview-Marshall","TX MSA",10,10,0,0,0,0
"Los Angeles-Riverside- Orange County","CA CMSA",5083,3364,62,56,1601,78
"Louisville","KY-IN MSA",714,437,6,4,267,20
"Lubbock","TX MSA",211,183,28,0,0,0
"Lynchburg","VA MSA",107,105,2,0,0,0
"Macon","GA MSA",160,156,4,0,0,0
"Madison","WI MSA",426,182,12,34,198,7
"Mansfield","OH MSA",23,17,6,0,0,0
