"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Greeley","CO",395,353,0,6,36,3
"Green Bay","WI",270,166,24,11,69,8
"Greensboro-High Point","NC",556,458,2,3,93,7
"Greenville","NC",146,94,4,0,48,4
"Greenville","SC",439,407,6,0,26,2
"Gulfport-Biloxi","MS",183,155,4,3,21,1
"Hagerstown-Martinsburg","MD-WV",322,320,2,0,0,0
"Hanford-Corcoran","CA",69,69,0,0,0,0
"Harrisburg-Carlisle","PA",161,159,2,0,0,0
"Harrisonburg","VA",86,86,0,0,0,0
"Hartford-West Hartford-East Hartford","CT",278,223,4,0,51,6
"Hattiesburg","MS",3,3,0,0,0,0
"Hickory-Lenoir-Morganton","NC",170,130,0,0,40,5
"Hinesville-Fort Stewart","GA",6,6,0,0,0,0
"Holland-Grand Haven","MI",124,95,6,6,17,2
"Honolulu","HI",367,175,2,7,183,9
"Hot Springs","AR",13,13,0,0,0,0
"Houma-Bayou Cane-Thibodaux","LA",85,85,0,0,0,0
"Houston-Baytown-Sugar Land","TX",5323,4805,12,15,491,28
"Huntington-Ashland","WV-KY-OH",5,5,0,0,0,0
"Huntsville","AL",313,307,0,0,6,1
"Idaho Falls","ID",111,104,4,3,0,0
"Indianapolis","IN",1299,1178,50,40,31,5
"Iowa City","IA",120,102,0,0,18,1
"Ithaca","NY",11,11,0,0,0,0
"Jackson","MI",35,35,0,0,0,0
"Jackson","MS",365,322,4,4,35,3
"Jackson","TN",57,57,0,0,0,0
"Jacksonville","FL",2134,1660,6,0,468,29
"Jacksonville","NC",105,105,0,0,0,0
"Janesville","WI",61,55,6,0,0,0
"Jefferson City","MO",41,33,0,3,5,1
"Johnson City","TN",92,83,0,9,0,0
"Johnstown","PA",2,2,0,0,0,0
"Jonesboro","AR",42,42,0,0,0,0
"Joplin","MO",31,31,0,0,0,0
"Kalamazoo-Portage","MI",77,77,0,0,0,0
"Kankakee-Bradley","IL",19,19,0,0,0,0
"Kansas City","MO-KS",1716,1327,38,52,299,10
"Kennewick-Richland-Pasco","WA",268,176,2,16,74,5
"Killeen-Temple-Fort Hood","TX",252,212,12,8,20,1
"Kingsport-Bristol-Bristol","TN-VA",100,98,2,0,0,0
"Kingston","NY",41,31,0,10,0,0
"Knoxville","TN",349,341,0,8,0,0
"Kokomo","IN",28,21,2,0,5,1
"La Crosse","WI-MN",47,45,2,0,0,0
"Lafayette","IN",78,78,0,0,0,0
"Lafayette","LA",114,114,0,0,0,0
"Lake Charles","LA",95,91,4,0,0,0
"Lakeland","FL",776,776,0,0,0,0
"Lancaster","PA",156,141,2,3,10,2
"Lansing-East Lansing","MI",174,107,10,0,57,7
"Laredo","TX",200,154,2,0,44,2
"Las Cruces","NM",158,131,0,0,27,3
"Las Vegas-Paradise","NV",3010,2341,0,79,590,8
"Lawrence","KS",40,30,10,0,0,0
"Lawton","OK",13,13,0,0,0,0
"Lebanon","PA",53,53,0,0,0,0
"Lewiston","ID-WA",4,4,0,0,0,0
"Lewiston-Auburn","ME",39,33,6,0,0,0
"Lexington-Fayette","KY",646,390,0,4,252,7
"Lima","OH",5,5,0,0,0,0
"Lincoln","NE",107,103,4,0,0,0
"Little Rock-North Little Rock","AR",342,318,2,0,22,4
"Logan","UT-ID",97,92,0,0,5,1
"Longview","TX",44,44,0,0,0,0
"Longview","WA",49,49,0,0,0,0
"Los Angeles-Long Beach-Santa Ana","CA",2742,1544,50,95,1053,47
"Louisville","KY-IN",815,714,0,0,101,4
"Lubbock","TX",90,84,6,0,0,0
"Lynchburg","VA",125,123,2,0,0,0
