"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX MSA",6,6,0,0,0,0
"Albany","GA MSA",21,21,0,0,0,0
"Albany-Schenectady-Troy","NY MSA",144,134,0,0,10,2
"Albuquerque","NM MSA",329,329,0,0,0,0
"Alexandria","LA MSA",21,21,0,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",125,121,0,4,0,0
"Altoona","PA MSA",2,2,0,0,0,0
"Amarillo","TX MSA",48,46,2,0,0,0
"Anchorage","AK MSA",59,43,16,0,0,0
"Anniston","AL MSA",13,8,0,0,5,1
"Appleton-Oshkosh-Neenah","WI MSA",75,51,8,0,16,1
"Asheville","NC MSA",119,65,2,4,48,2
"Athens","GA MSA",93,57,2,0,34,1
"Atlanta","GA MSA",4745,2985,22,15,1723,64
"Auburn-Opelika","AL MSA",38,26,0,0,12,1
"Augusta-Aiken","GA-SC MSA",127,127,0,0,0,0
"Austin-San Marcos","TX MSA",773,592,10,0,171,18
"Bakersfield","CA MSA",249,178,0,7,64,8
"Bangor","ME MSA",9,9,0,0,0,0
"Barnstable-Yarmouth","MA MSA",66,66,0,0,0,0
"Baton Rouge","LA MSA",141,81,0,0,60,6
"Beaumont-Port Arthur","TX MSA",34,34,0,0,0,0
"Bellingham","WA MSA",217,74,10,4,129,10
"Benton Harbor","MI MSA",3,3,0,0,0,0
"Billings","MT MSA",13,13,0,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",220,93,14,0,113,3
"Binghamton","NY MSA",2,2,0,0,0,0
"Birmingham","AL MSA",248,219,0,0,29,1
"Bismarck","ND MSA",12,12,0,0,0,0
"Bloomington","IN MSA",19,17,2,0,0,0
"Bloomington-Normal","IL MSA",30,14,0,0,16,2
"Boise City","ID MSA",363,287,8,32,36,3
"Boston-Worcester-Lawrence MA-NH-ME-CT CMSA","1228",1041,56,19,112,11,NA
"Brownsville-Harlingen-San Benito","TX MSA",159,139,4,8,8,1
"Bryan-College Station","TX MSA",143,47,0,0,96,5
"Buffalo-Niagara Falls","NY MSA",107,96,0,0,11,1
"Burlington","VT MSA",37,37,0,0,0,0
"Canton-Massillon","OH MSA",42,32,2,8,0,0
"Casper","WY MSA",4,4,0,0,0,0
"Cedar Rapids","IA MSA",105,17,0,4,84,7
"Champaign-Urbana","IL MSA",18,18,0,0,0,0
"Charleston-North Charleston","SC MSA",417,237,2,7,171,8
"Charleston","WV MSA",20,20,0,0,0,0
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",1341,813,12,8,508,31
"Charlottesville","VA MSA",88,84,4,0,0,0
"Chattanooga","TN-GA MSA",111,105,0,0,6,1
"Cheyenne","WY MSA",13,13,0,0,0,0
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",1850,1271,28,76,475,39
"Chico-Paradise","CA MSA",51,51,0,0,0,0
"Cincinnati-Hamilton","OH-KY- IN CMSA",770,617,4,44,105,12
"Clarksville-Hopkinsville","TN-KY MSA",70,62,0,0,8,1
"Cleveland-Akron","OH CMSA",518,472,6,15,25,3
"Colorado Springs","CO MSA",361,357,0,4,0,0
"Columbia","MO MSA",38,36,2,0,0,0
"Columbia","SC MSA",242,242,0,0,0,0
"Columbus","GA-AL MSA",38,38,0,0,0,0
"Columbus","OH MSA",804,480,4,18,302,30
"Corpus Christi","TX MSA",56,41,2,6,7,1
"Corvallis OR MSA","30",14,0,0,16,2,NA
"Cumberland","MD-WV MSA",7,7,0,0,0,0
"Dallas-Fort Worth","TX CMSA",3113,2558,2,3,550,4
"Danville","VA MSA",19,19,0,0,0,0
"Davenport-Moline-Rock Island","IA-IL MSA",48,12,0,0,36,3
"Dayton-Springfield","OH MSA",112,106,2,4,0,0
"Daytona Beach","FL MSA",482,374,0,32,76,4
"Decatur","Al MSA",24,19,0,0,5,1
"Decatur","IL MSA",5,5,0,0,0,0
"Denver-Boulder-Greeley","CO CMSA",3115,1626,34,21,1434,62
"Des Moines","IA MSA",125,115,10,0,0,0
"Detroit-Ann Arbor-Flint","MI CMSA",1472,911,48,73,440,54
"Dothan","AL MSA",10,10,0,0,0,0
"Dover","DE MSA",88,88,0,0,0,0
"Dubuque","IA MSA",2,2,0,0,0,0
"Duluth-Superior","MN-WI MSA",43,31,0,0,12,1
"Eau Claire","WI MSA",10,10,0,0,0,0
"El Paso","TX MSA",144,144,0,0,0,0
"Elkhart-Goshen","IN MSA",62,48,0,8,6,1
"Elmira","NY MSA",16,3,0,3,10,2
