"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX",30,30,0,0,0,0
"Akron","OH",273,194,10,12,57,5
"Albany","GA",54,49,0,0,5,1
"Albany-Schenectady-Troy","NY",195,160,0,0,35,3
"Albuquerque","NM",621,595,0,4,22,1
"Alexandria","LA",42,42,0,0,0,0
"Allentown-Bethlehem-Easton","PA-NJ",403,367,2,23,11,2
"Altoona","PA",2,2,0,0,0,0
"Amarillo","TX",53,53,0,0,0,0
"Ames","IA",15,15,0,0,0,0
"Anchorage","AK",196,93,40,0,63,10
"Anderson","IN",40,40,0,0,0,0
"Anderson","SC",84,84,0,0,0,0
"Ann Arbor","MI",279,143,0,0,136,6
"Anniston-Oxford","AL",11,11,0,0,0,0
"Appleton","WI",74,59,10,0,5,1
"Asheville","NC",251,216,8,21,6,1
"Athens-Clarke County","GA",340,340,0,0,0,0
"Atlanta-Sandy Springs-Marietta","GA",5314,4833,18,33,430,5
"Atlantic City","NJ",156,146,2,3,5,1
"Auburn-Opelika","AL",50,38,2,0,10,2
"Augusta-Richmond County","GA-SC",313,313,0,0,0,0
"Austin-Round Rock","TX",1666,1199,24,8,435,26
"Bakersfield","CA",597,582,4,0,11,1
"Baltimore-Towson","MD",651,554,2,4,91,7
"Bangor","ME",44,38,6,0,0,0
"Barnstable Town","MA",111,101,0,10,0,0
"Baton Rouge","LA",313,313,0,0,0,0
"Battle Creek","MI",21,21,0,0,0,0
"Bay City","MI",8,8,0,0,0,0
"Beaumont-Port Arthur","TX",57,47,0,0,10,1
"Bellingham","WA",217,138,4,7,68,3
"Bend","OR",333,321,12,0,0,0
"Billings","MT",166,46,0,0,120,5
"Binghamton","NY",11,11,0,0,0,0
"Birmingham-Hoover","AL",688,490,0,0,198,16
"Bismarck","ND",85,71,2,12,0,0
"Blacksburg-Christiansburg-Radford","VA",87,85,2,0,0,0
"Bloomington","IN",126,61,26,3,36,3
"Bloomington-Normal","IL",52,49,0,3,0,0
"Boise City-Nampa","ID",678,642,8,15,13,2
"Boston-Cambridge-Quincy","MA-NH",1248,653,56,41,498,28
"Boulder","CO",61,56,0,0,5,1
"Bowling Green","KY",195,69,0,6,120,5
