"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX MSA",11,11,0,0,0,0
"Albany","GA MSA",43,43,0,0,0,0
"Albany-Schenectady-Troy","NY MSA",196,145,0,0,51,6
"Albuquerque","NM MSA",591,591,0,0,0,0
"Alexandria","LA MSA",30,30,0,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",202,190,0,3,9,1
"Altoona","PA MSA",3,3,0,0,0,0
"Amarillo","TX MSA",34,34,0,0,0,0
"Anchorage","AK MSA",229,139,84,0,6,1
"Anniston","AL MSA",22,22,0,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",331,124,8,7,192,20
"Asheville","NC MSA",118,86,14,0,18,2
"Athens","GA MSA",97,73,24,0,0,0
"Atlanta","GA MSA",5520,3904,8,20,1588,91
"Auburn-Opelika","AL MSA",25,23,2,0,0,0
"Augusta-Aiken","GA-SC MSA",221,221,0,0,0,0
"Austin-San Marcos","TX MSA",533,480,6,34,13,2
"Bakersfield","CA MSA",238,226,2,4,6,1
"Bangor","ME MSA",21,21,0,0,0,0
"Barnstable-Yarmouth","MA MSA",166,122,2,0,42,1
"Baton Rouge","LA MSA",176,98,2,4,72,9
"Beaumont-Port Arthur","TX MSA",38,38,0,0,0,0
"Bellingham","WA MSA",145,111,8,3,23,2
"Benton Harbor","MI MSA",19,19,0,0,0,0
"Billings","MT MSA",56,56,0,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",181,139,2,0,40,1
"Binghamton","NY MSA",11,11,0,0,0,0
"Birmingham","AL MSA",390,361,0,0,29,2
"Bismarck","ND MSA",44,38,2,4,0,0
"Bloomington","IN MSA",60,47,4,4,5,1
"Bloomington-Normal","IL MSA",148,84,0,0,64,4
"Boise City","ID MSA",455,443,8,4,0,0
"Boston-Worcester-Lawrence MA-NH-ME-CT CMSA","1720",1180,48,67,425,22,NA
"Brownsville-Harlingen-San Benito","TX MSA",238,219,6,8,5,1
"Bryan-College Station","TX MSA",63,55,8,0,0,0
"Buffalo-Niagara Falls","NY MSA",198,167,0,0,31,2
"Burlington","VT MSA",180,67,6,19,88,8
"Canton-Massillon","OH MSA",94,89,0,0,5,1
"Casper","WY MSA",13,13,0,0,0,0
"Cedar Rapids","IA MSA",103,91,0,12,0,0
"Champaign-Urbana","IL MSA",29,25,0,4,0,0
"Charleston-North Charleston","SC MSA",397,310,4,10,73,9
"Charleston","WV MSA",38,35,0,3,0,0
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",1653,1353,6,4,290,30
"Charlottesville","VA MSA",98,91,2,0,5,1
"Chattanooga","TN-GA MSA",192,178,2,7,5,1
"Cheyenne","WY MSA",23,23,0,0,0,0
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",3896,2945,74,157,720,54
"Chico-Paradise","CA MSA",115,115,0,0,0,0
"Cincinnati-Hamilton","OH-KY- IN CMSA",1160,914,36,13,197,21
"Clarksville-Hopkinsville","TN-KY MSA",109,81,0,4,24,3
"Cleveland-Akron","OH CMSA",919,859,14,25,21,3
"Colorado Springs","CO MSA",700,504,0,0,196,21
"Columbia","MO MSA",105,73,4,4,24,1
"Columbia","SC MSA",244,244,0,0,0,0
"Columbus","GA-AL MSA",482,83,0,0,399,7
"Columbus","OH MSA",1419,952,8,133,326,25
"Corpus Christi","TX MSA",111,94,2,15,0,0
"Corvallis OR MSA","19",17,2,0,0,0,NA
"Cumberland","MD-WV MSA",14,14,0,0,0,0
"Dallas-Fort Worth","TX CMSA",4484,3271,14,4,1195,62
"Danville","VA MSA",14,14,0,0,0,0
"Davenport-Moline-Rock Island","IA-IL MSA",46,44,2,0,0,0
"Dayton-Springfield","OH MSA",238,199,2,28,9,1
"Daytona Beach","FL MSA",517,430,12,0,75,6
"Decatur","Al MSA",22,22,0,0,0,0
"Decatur","IL MSA",18,18,0,0,0,0
"Denver-Boulder-Greeley","CO CMSA",3098,1588,14,42,1454,60
"Des Moines","IA MSA",204,198,2,4,0,0
"Detroit-Ann Arbor-Flint","MI CMSA",2901,1932,28,39,902,50
"Dothan","AL MSA",33,33,0,0,0,0
"Dover","DE MSA",84,84,0,0,0,0
"Dubuque","IA MSA",25,21,4,0,0,0
"Duluth-Superior","MN-WI MSA",65,60,2,3,0,0
"Eau Claire","WI MSA",116,94,22,0,0,0
"El Paso","TX MSA",333,331,2,0,0,0
"Elkhart-Goshen","IN MSA",131,107,0,0,24,1
"Elmira","NY MSA",4,4,0,0,0,0
"Enid","OK MSA",5,3,2,0,0,0
"Erie","PA MSA",28,28,0,0,0,0
"Eugene-Springfield","OR MSA",108,104,4,0,0,0
"Evansville-Henderson","IN-KY MSA",102,102,0,0,0,0
"Fargo-Moorhead","ND-MN MSA",68,60,2,0,6,1
"Fayetteville","NC MSA",85,82,0,3,0,0
"Fayetteville-Springdale- Rogers","AR MSA",218,206,0,12,0,0
"Flagstaff","AZ-UT MSA",156,156,0,0,0,0
"Florence","AL MSA",10,10,0,0,0,0
"Florence","SC MSA",52,46,0,0,6,1
"Fort Collins-Loveland","CO MSA",282,238,0,4,40,4
"Fort Myers-Cape Coral","FL MSA",813,532,46,54,181,14
"Fort Pierce-Port St. Lucie","FL MSA",320,300,4,8,8,1
"Fort Smith","AR-OK MSA",49,39,2,8,0,0
"Fort Walton Beach","FL MSA",95,87,0,0,8,1
"Fort Wayne","IN MSA",223,214,4,0,5,1
"Fresno","CA MSA",276,267,4,0,5,1
"Gadsden","AL MSA",7,7,0,0,0,0
"Gainesville","FL MSA",132,81,2,4,45,4
"Glens Falls","NY MSA",39,37,2,0,0,0
"Goldsboro","NC MSA",32,32,0,0,0,0
"Grand Forks","ND-MN MSA",27,9,2,0,16,1
"Grand Junction","CO MSA",110,110,0,0,0,0
"Grand Rapids-Muskegon- Holland","MI MSA",686,561,26,10,89,11
"Great Falls","MT MSA",7,7,0,0,0,0
"Green Bay","WI MSA",211,71,6,0,134,10
"Greensboro--Winston-Salem-- High Point","NC MSA",799,690,8,12,89,7
"Greenville","NC MSA",85,53,8,0,24,1
"Greenville-Spartanburg- Anderson","SC MSA",498,464,14,0,20,2
"Harrisburg-Lebanon- Carlisle","PA MSA",169,169,0,0,0,0
