"gtcbsa","pemlr","prdtind1","prmjind1","year","month"
32900,1,40,10,2004,10
32900,-1,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,1,38,9,2004,10
32900,1,41,10,2004,10
32900,1,4,3,2004,10
32900,7,-1,-1,2004,10
32900,7,-1,-1,2004,10
32900,1,1,1,2004,10
32900,-1,-1,-1,2004,10
32900,1,22,5,2004,10
32900,1,50,12,2004,10
32900,1,46,11,2004,10
32900,1,38,9,2004,10
32900,1,1,1,2004,10
32900,-1,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,1,1,1,2004,10
32900,-1,-1,-1,2004,10
32900,4,1,1,2004,10
32900,4,46,11,2004,10
32900,-1,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,4,4,3,2004,10
32900,4,1,1,2004,10
32900,2,50,12,2004,10
32900,5,-1,-1,2004,10
32900,7,-1,-1,2004,10
32900,7,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,1,1,1,2004,10
32900,1,14,4,2004,10
32900,1,32,8,2004,10
32900,7,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,1,22,5,2004,10
32900,7,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,5,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,1,23,6,2004,10
32900,1,41,10,2004,10
32900,7,-1,-1,2004,10
32900,1,14,4,2004,10
32900,7,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,7,-1,-1,2004,10
32900,6,-1,-1,2004,10
32900,7,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,1,40,10,2004,10
32900,7,-1,-1,2004,10
32900,5,-1,-1,2004,10
32900,6,-1,-1,2004,10
32900,6,-1,-1,2004,10
32900,6,-1,-1,2004,10
32900,7,-1,-1,2004,10
32900,7,-1,-1,2004,10
32900,1,22,5,2004,10
32900,4,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,1,43,10,2004,10
32900,5,-1,-1,2004,10
32900,3,45,11,2004,10
32900,1,1,1,2004,10
32900,1,46,11,2004,10
32900,4,25,7,2004,10
32900,-1,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,6,-1,-1,2004,10
32900,5,-1,-1,2004,10
32900,1,23,6,2004,10
32900,-1,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,1,23,6,2004,10
32900,-1,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,1,22,5,2004,10
32900,-1,-1,-1,2004,10
32900,1,23,6,2004,10
32900,1,22,5,2004,10
32900,-1,-1,-1,2004,10
32900,-1,-1,-1,2004,10
32900,1,43,10,2004,10
32900,1,43,10,2004,10
32900,-1,-1,-1,2004,10
32900,1,1,1,2004,11
32900,1,14,4,2004,11
32900,-1,-1,-1,2004,11
32900,-1,-1,-1,2004,11
32900,-1,-1,-1,2004,11
32900,-1,-1,-1,2004,11
32900,5,-1,-1,2004,11
32900,1,40,10,2004,11
32900,1,40,10,2004,11
32900,-1,-1,-1,2004,11
32900,-1,-1,-1,2004,11
32900,-1,-1,-1,2004,11
32900,1,14,4,2004,11
32900,6,-1,-1,2004,11
32900,1,46,11,2004,11
32900,1,23,6,2004,11
32900,1,40,10,2004,11
32900,-1,-1,-1,2004,11
32900,-1,-1,-1,2004,11
32900,1,38,9,2004,11
32900,7,-1,-1,2004,11
32900,1,4,3,2004,11
32900,-1,-1,-1,2004,11
32900,7,-1,-1,2004,11
32900,7,-1,-1,2004,11
32900,-1,-1,-1,2004,11
32900,1,22,5,2004,11
32900,1,50,12,2004,11
32900,1,46,11,2004,11
32900,1,1,1,2004,11
32900,-1,-1,-1,2004,11
32900,1,46,11,2004,11
32900,-1,-1,-1,2004,11
32900,1,50,12,2004,11
32900,7,-1,-1,2004,11
32900,7,-1,-1,2004,11
32900,-1,-1,-1,2004,11
32900,1,1,1,2004,11
32900,1,14,4,2004,11
32900,1,32,8,2004,11
32900,7,-1,-1,2004,11
32900,5,-1,-1,2004,11
32900,1,22,5,2004,11
32900,1,22,5,2004,11
32900,-1,-1,-1,2004,11
32900,-1,-1,-1,2004,11
32900,7,-1,-1,2004,11
32900,1,26,7,2004,11
32900,-1,-1,-1,2004,11
32900,-1,-1,-1,2004,11
32900,1,40,10,2004,11
32900,7,-1,-1,2004,11
32900,5,-1,-1,2004,11
32900,6,51,13,2004,11
32900,6,-1,-1,2004,11
32900,6,-1,-1,2004,11
32900,7,-1,-1,2004,11
32900,7,-1,-1,2004,11
32900,-1,-1,-1,2004,11
32900,1,43,10,2004,11
32900,1,46,11,2004,11
32900,4,25,7,2004,11
32900,-1,-1,-1,2004,11
32900,-1,-1,-1,2004,11
32900,6,-1,-1,2004,11
32900,5,-1,-1,2004,11
32900,-1,-1,-1,2004,11
32900,-1,-1,-1,2004,11
32900,-1,-1,-1,2004,11
32900,1,22,5,2004,11
32900,1,36,9,2004,11
32900,1,32,8,2004,11
32900,2,23,6,2004,11
32900,1,22,5,2004,11
32900,-1,-1,-1,2004,11
32900,-1,-1,-1,2004,11
32900,1,43,10,2004,11
32900,1,43,10,2004,11
32900,-1,-1,-1,2004,11
32900,7,-1,-1,2004,12
32900,2,14,4,2004,12
32900,-1,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,5,-1,-1,2004,12
32900,5,-1,-1,2004,12
32900,1,14,4,2004,12
32900,6,-1,-1,2004,12
32900,1,46,11,2004,12
32900,1,40,10,2004,12
32900,1,40,10,2004,12
32900,-1,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,7,-1,-1,2004,12
32900,1,4,3,2004,12
32900,-1,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,7,-1,-1,2004,12
32900,1,4,3,2004,12
32900,-1,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,1,1,1,2004,12
32900,-1,-1,-1,2004,12
32900,1,46,11,2004,12
32900,-1,-1,-1,2004,12
32900,1,50,12,2004,12
32900,7,-1,-1,2004,12
32900,7,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,1,1,1,2004,12
32900,1,14,4,2004,12
32900,1,32,8,2004,12
32900,1,50,12,2004,12
32900,-1,-1,-1,2004,12
32900,1,24,6,2004,12
32900,1,51,13,2004,12
32900,1,22,5,2004,12
32900,1,22,5,2004,12
32900,1,47,12,2004,12
32900,1,46,11,2004,12
32900,-1,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,1,40,10,2004,12
32900,7,-1,-1,2004,12
32900,1,1,1,2004,12
32900,1,14,4,2004,12
32900,-1,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,1,22,5,2004,12
32900,7,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,1,43,10,2004,12
32900,1,46,11,2004,12
32900,4,25,7,2004,12
32900,-1,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,6,-1,-1,2004,12
32900,5,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,1,23,6,2004,12
32900,1,16,4,2004,12
32900,-1,-1,-1,2004,12
32900,1,22,5,2004,12
32900,-1,-1,-1,2004,12
32900,1,23,6,2004,12
32900,1,22,5,2004,12
32900,-1,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,-1,-1,-1,2004,12
32900,4,21,5,2005,1
32900,1,14,4,2005,1
32900,-1,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,1,48,12,2005,1
32900,7,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,7,-1,-1,2005,1
32900,7,-1,-1,2005,1
32900,7,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,5,-1,-1,2005,1
32900,5,-1,-1,2005,1
32900,1,14,4,2005,1
32900,6,-1,-1,2005,1
32900,1,46,11,2005,1
32900,1,40,10,2005,1
32900,1,40,10,2005,1
32900,-1,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,5,-1,-1,2005,1
32900,7,-1,-1,2005,1
32900,1,4,3,2005,1
32900,-1,-1,-1,2005,1
32900,1,49,12,2005,1
32900,7,-1,-1,2005,1
32900,1,4,3,2005,1
32900,6,-1,-1,2005,1
32900,7,-1,-1,2005,1
32900,1,4,3,2005,1
32900,-1,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,1,40,10,2005,1
32900,1,40,10,2005,1
32900,-1,-1,-1,2005,1
32900,1,1,1,2005,1
32900,4,40,10,2005,1
32900,1,1,1,2005,1
32900,-1,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,6,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,1,34,8,2005,1
32900,1,51,13,2005,1
32900,2,47,12,2005,1
32900,1,21,5,2005,1
32900,7,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,1,41,10,2005,1
32900,4,23,6,2005,1
32900,-1,-1,-1,2005,1
32900,1,40,10,2005,1
32900,6,-1,-1,2005,1
32900,1,1,1,2005,1
32900,1,14,4,2005,1
32900,-1,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,1,51,13,2005,1
32900,1,42,10,2005,1
32900,1,22,5,2005,1
32900,7,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,1,38,9,2005,1
32900,5,-1,-1,2005,1
32900,5,-1,-1,2005,1
32900,6,-1,-1,2005,1
32900,5,15,4,2005,1
32900,-1,-1,-1,2005,1
32900,1,23,6,2005,1
32900,1,16,4,2005,1
32900,-1,-1,-1,2005,1
32900,1,22,5,2005,1
32900,1,51,13,2005,1
32900,-1,-1,-1,2005,1
32900,1,23,6,2005,1
32900,1,22,5,2005,1
32900,-1,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,1,34,8,2005,1
32900,-1,-1,-1,2005,1
32900,-1,-1,-1,2005,1
32900,1,22,5,2005,1
32900,4,19,4,2005,1
32900,2,48,12,2005,2
32900,7,-1,-1,2005,2
32900,3,44,11,2005,2
32900,-1,-1,-1,2005,2
32900,-1,-1,-1,2005,2
32900,1,23,6,2005,2
32900,7,-1,-1,2005,2
32900,7,-1,-1,2005,2
32900,-1,-1,-1,2005,2
32900,-1,-1,-1,2005,2
32900,1,41,10,2005,2
32900,7,-1,-1,2005,2
32900,-1,-1,-1,2005,2
32900,5,-1,-1,2005,2
32900,1,14,4,2005,2
32900,6,-1,-1,2005,2
32900,1,46,11,2005,2
32900,1,23,6,2005,2
32900,1,40,10,2005,2
