"fips_msa","max_hpi","max_time","hpi_2009","time","percent_change","rank"
45220,220.63,2007.25,204.11,2009,8.09367497917788,88
12580,256.26,2007.25,237.4,2009,7.94439764111203,89
24540,178.15,2006,165.12,2009,7.89123062015504,90
36140,334.25,2006.75,310.01,2009,7.81910260959324,91
45104,246.23,2007.75,228.55,2009,7.73572522423976,92
33460,234.33,2007,217.61,2009,7.68347042874868,93
40484,255.79,2006.75,237.57,2009,7.66931851664772,94
34820,238.67,2008,221.72,2009,7.64477719646402,95
35084,250.23,2007,232.64,2009,7.56103851444291,96
14860,242.77,2007,225.9,2009,7.46790615316513,97
42644,266.22,2007.75,247.79,2009,7.43774970741356,98
45940,233.68,2007.25,217.52,2009,7.4292019124678,99
31020,206.38,2008,193.05,2009,6.9049469049469,100
15764,246.83,2005.5,231.05,2009,6.82969054317249,101
15764,246.83,2005.75,231.05,2009,6.82969054317249,102
24340,169.07,2005.75,158.27,2009,6.8237821444367,103
39340,206.22,2008,193.08,2009,6.80546923555004,104
35644,275.88,2007,258.38,2009,6.77297004412105,105
38900,245.32,2007.75,230.75,2009,6.3141928494041,106
29020,147.39,2005.75,138.64,2009,6.31130986728216,107
45780,163.24,2005.5,153.58,2009,6.28988149498633,108
17660,223.04,2007.5,210.13,2009,6.14381573311759,109
35300,222.93,2007,210.35,2009,5.98050867601616,110
15260,241.84,2008.25,228.28,2009,5.94007359383212,111
41540,233.94,2007.75,221,2009,5.8552036199095,112
15804,224.47,2007,212.5,2009,5.6329411764706,113
31900,163.35,2005.75,154.74,2009,5.56417215975182,114
10900,204.19,2007.25,193.46,2009,5.54636617388607,115
16974,204.97,2007,194.28,2009,5.50236771669755,116
35980,227.02,2008,215.36,2009,5.41419019316494,117
26100,166.99,2005.5,158.63,2009,5.27012544915844,118
41620,220.7,2007.75,209.82,2009,5.18539700695835,119
16820,250.39,2007.75,238.08,2009,5.17053091397848,120
28740,275.18,2006.75,261.88,2009,5.07866198258743,121
21660,223.15,2007.75,212.38,2009,5.07109897353801,122
26180,196.95,2008,187.6,2009,4.98400852878464,123
44300,195.93,2008.75,186.73,2009,4.92689980185294,124
34740,170.83,2007,162.81,2009,4.92598734721454,125
20100,215.62,2007,205.66,2009,4.84294466595352,126
41420,216.34,2008,206.43,2009,4.80065881897012,127
29404,184.11,2007.75,175.69,2009,4.79253230121238,128
42140,205.3,2007.75,196.09,2009,4.69682288744964,129
12980,177.5,2007,169.69,2009,4.60251046025104,130
48864,218.66,2007.25,209.14,2009,4.55197475375346,131
36500,223.13,2008,213.42,2009,4.54971417861493,132
18700,200.38,2007.75,191.7,2009,4.52790818988002,133
34580,231.07,2008,221.3,2009,4.41482150926345,134
41060,218.46,2007.25,209.23,2009,4.41141327725470,135
47260,257.6,2007.75,246.82,2009,4.36755530346002,136
25060,223.12,2008,214.03,2009,4.24706816801384,137
22220,181.57,2007.25,174.68,2009,3.94435539271811,138
17460,151.57,2006,145.84,2009,3.92896324739441,139
25500,218.89,2008.25,210.64,2009,3.91663501709077,140
48900,242.75,2008,233.77,2009,3.84138255550326,141
27060,202.63,2008.5,195.28,2009,3.76382630069642,142
19180,171.64,2007.5,165.55,2009,3.67864693446087,143
33860,163.27,2008.75,157.58,2009,3.61086432288363,144
34620,152.7,2005.5,147.38,2009,3.60971637942733,145
23580,200.82,2008,193.87,2009,3.58487646360963,146
33260,229.85,2008.75,222.03,2009,3.52204657028329,147
38220,169.52,2007.75,163.79,2009,3.49838207460773,148
25540,200.42,2007,193.92,2009,3.35189768976898,149
10420,154.5,2006,149.51,2009,3.33756939335161,150
16700,274.39,2008,265.63,2009,3.29782027632422,151
19060,192.55,2008.75,186.55,2009,3.21629589922271,152
19460,171.4,2008.75,166.1,2009,3.19084888621313,153
33740,185.92,2008.75,180.2,2009,3.17425083240843,154
38340,223.9,2008.75,217.02,2009,3.1702147267533,155
19140,191.7,2007.25,185.9,2009,3.11995696611081,156
48540,186.73,2008.25,181.11,2009,3.10308652200320,157
40060,223.17,2008,216.46,2009,3.09987988542917,158
28700,197.32,2008.75,191.42,2009,3.08222756242817,159
44140,211.32,2007.75,205.08,2009,3.04271503803393,160
