"fips","year","indust","gdp","industry","metro","gdp.pc","gdp.prop","gdp.delta"
10420,2006,3,33,"A,f,f,ah","Akron, OH",47.1930840680438,0.00123943661971831,0.0606060606060606
10420,2007,3,35,"A,f,f,ah","Akron, OH",50.0656575337371,0.00120594011645936,NA
10420,2006,6,107,"Mining","Akron, OH",153.019999856991,0.00401877934272300,0.0280373831775701
10420,2007,6,110,"Mining","Akron, OH",157.349209391745,0.00379009750887227,NA
10420,2005,10,545,"Utilitis","Akron, OH",778.123451784187,0.0200618420083928,0.0348623853211009
10420,2007,10,583,"Utilitis","Akron, OH",833.950809776249,0.0200875167970231,NA
10420,2001,11,902,"Cnstrctn","Akron, OH",1291.88418874113,0.0435833011209896,-0.0166297117516630
10420,2002,11,887,"Cnstrctn","Akron, OH",1268.11568303113,0.0408003679852806,0.00450958286358512
10420,2003,11,891,"Cnstrctn","Akron, OH",1272.65715387582,0.0386634844868735,0.0549943883277217
10420,2004,11,940,"Cnstrctn","Akron, OH",1342.12472622083,0.0386227298874188,0.0521276595744681
10420,2005,11,989,"Cnstrctn","Akron, OH",1412.04420883406,0.0364058013693588,0.082912032355915
10420,2006,11,1071,"Cnstrctn","Akron, OH",1531.63009202651,0.0402253521126761,-0.0532212885154062
10420,2007,11,1014,"Cnstrctn","Akron, OH",1450.47362112027,0.0349378079454226,-0.0749506903353057
10420,2008,11,938,"Cnstrctn","Akron, OH",1342.77570921605,0.0330200302742282,NA
10420,2001,12,4132,"Mnfctrng","Akron, OH",5918.03266948819,0.199652106687283,0.0469506292352372
10420,2002,12,4326,"Mnfctrng","Akron, OH",6184.74458262982,0.198988040478381,0.0399907535829866
10420,2003,12,4499,"Mnfctrng","Akron, OH",6426.13303623716,0.195226730310263,0.0866859302067126
10420,2004,12,4889,"Mnfctrng","Akron, OH",6980.47636861027,0.200879283425097,0.00715892820617713
10420,2005,12,4924,"Mnfctrng","Akron, OH",7030.23830566117,0.181255981741883,0.0298537774167344
10420,2006,12,5071,"Mnfctrng","Akron, OH",7252.00391845607,0.190460093896714,0.0120291855649773
10420,2007,12,5132,"Mnfctrng","Akron, OH",7341.05584180397,0.176825276504841,-0.0222135619641465
10420,2008,12,5018,"Mnfctrng","Akron, OH",7183.42058512382,0.176646601189848,NA
10420,2005,36,790,"Tawr,ePS","Akron, OH",1127.92206772387,0.0290804682323493,0.0189873417721519
10420,2007,36,820,"Tawr,ePS","Akron, OH",1172.96683364755,0.0282534541570479,NA
10420,2001,45,484,"Informtn","Akron, OH",693.206150056216,0.0233861615771164,-0.0309917355371901
10420,2002,45,469,"Informtn","Akron, OH",670.514380317472,0.021573137074517,0.0618336886993603
10420,2003,45,498,"Informtn","Akron, OH",711.316793075374,0.021609893686266,0.100401606425703
10420,2004,45,548,"Informtn","Akron, OH",782.430159541507,0.0225162297641548,0.062043795620438
10420,2005,45,582,"Informtn","Akron, OH",830.950181538343,0.0214238386218067,0.0103092783505155
10420,2006,45,588,"Informtn","Akron, OH",840.894952485145,0.0220845070422535,0.0153061224489796
10420,2007,45,597,"Informtn","Akron, OH",853.977072789744,0.0205698928436068,0.0418760469011725
10420,2008,45,622,"Informtn","Akron, OH",890.412037454567,0.0218960115464498,NA
10420,2001,50,1124,"Fnncandi","Akron, OH",1609.84238153551,0.0543100115964438,0.0142348754448399
10420,2002,50,1140,"Fnncandi","Akron, OH",1629.8217346736,0.0524379024839006,0.101754385964912
10420,2003,50,1256,"Fnncandi","Akron, OH",1794.00379940295,0.0545020611846388,0.0652866242038217
10420,2004,50,1338,"Fnncandi","Akron, OH",1910.38604647178,0.054975758073794,0.0717488789237668
10420,2005,50,1434,"Fnncandi","Akron, OH",2047.39271533674,0.0527865714496061,-0.0320781032078103
10420,2006,50,1388,"Fnncandi","Akron, OH",1984.96971777106,0.052131455399061,-0.00576368876080692
10420,2007,50,1380,"Fnncandi","Akron, OH",1974.01735418735,0.0475484960203976,-0.00507246376811594
10420,2008,50,1373,"Fnncandi","Akron, OH",1965.49152319151,0.0483331573203788,NA
10420,2001,55,1776,"Rlesaral","Akron, OH",2543.66554235504,0.0858136838036336,0.0275900900900901
10420,2002,55,1825,"Rlesaral","Akron, OH",2609.14444366607,0.0839466421343146,0.023013698630137
10420,2003,55,1867,"Rlesaral","Akron, OH",2666.72380054563,0.0810154046430896,0.0294590251740761
10420,2004,55,1922,"Rlesaral","Akron, OH",2744.21672744302,0.078971156216616,0.0483870967741935
10420,2005,55,2015,"Rlesaral","Akron, OH",2876.91514742227,0.0741735993521313,-0.0119106699751861
10420,2006,55,1991,"Rlesaral","Akron, OH",2847.31607210531,0.0747793427230047,0.024108488196886
10420,2007,55,2039,"Rlesaral","Akron, OH",2916.68216317971,0.0702546256417324,0.0510053948013732
10420,2008,55,2143,"Rlesaral","Akron, OH",3067.77009045842,0.0754391523216109,NA
10420,2001,58,885,"Prfssats","Akron, OH",1267.53603884246,0.0427618863548512,0.0497175141242938
10420,2002,58,929,"Prfssats","Akron, OH",1328.16174694015,0.0427322907083717,0.0559741657696448
10420,2003,58,981,"Prfssats","Akron, OH",1401.20838154004,0.0425688869602951,0.144750254841998
10420,2004,58,1123,"Prfssats","Akron, OH",1603.41071015532,0.04614183581231,0.103294746215494
10420,2005,58,1239,"Prfssats","Akron, OH",1768.98157203781,0.0456084811897224,0.0799031476997579
10420,2006,58,1338,"Prfssats","Akron, OH",1913.46504494069,0.0502535211267606,0.054559043348281
10420,2007,58,1411,"Prfssats","Akron, OH",2018.36122228866,0.0486166144092616,0.0836286321757619
