"fips","year","indust","gdp","code","industry","metro","popestimate","index.gdp"
10420,2006,11,1071,NA,"Cnstrctn","Akron, OH",699255,0.00153163009202651
10420,2006,100,4268,NA,"Trade","Akron, OH",699255,0.00610363887280034
10420,2006,71,180,NA,"Art,e,ar","Akron, OH",699255,0.00025741682218933
10420,2006,55,1991,NA,"Rlesaral","Akron, OH",699255,0.00284731607210531
10420,2006,12,5071,NA,"Mnfctrng","Akron, OH",699255,0.00725200391845607
10420,2006,58,1338,NA,"Prfssats","Akron, OH",699255,0.00191346504494069
10420,2006,45,588,NA,"Informtn","Akron, OH",699255,0.000840894952485145
10420,2006,3,33,NA,"A,f,f,ah","Akron, OH",699255,4.71930840680438e-05
10420,2006,78,2810,NA,"Govrnmnt","Akron, OH",699255,0.00401856261306676
10420,2006,67,2215,NA,"Hlthcasa","Akron, OH",699255,0.00316765700638537
10420,2006,104,2367,NA,"Edctnahs","Akron, OH",699255,0.00338503121178969
10420,2006,66,152,NA,"Edctnlsr","Akron, OH",699255,0.000217374205404323
10420,2006,62,1703,NA,"Mngmocae","Akron, OH",699255,0.00243544915660238
10420,2006,6,107,NA,"Mining","Akron, OH",699255,0.000153019999856991
10420,2006,50,1388,NA,"Fnncandi","Akron, OH",699255,0.00198496971777106
10420,2006,63,777,NA,"Admnsaws","Akron, OH",699255,0.00111118261578394
10420,2007,12,5132,NA,"Mnfctrng","Akron, OH",699082,0.00734105584180397
10420,2007,6,110,NA,"Mining","Akron, OH",699082,0.000157349209391745
10420,2007,62,1952,NA,"Mngmocae","Akron, OH",699082,0.00279223324302442
10420,2007,45,597,NA,"Informtn","Akron, OH",699082,0.000853977072789744
10420,2007,3,35,NA,"A,f,f,ah","Akron, OH",699082,5.00656575337371e-05
10420,2007,55,2039,NA,"Rlesaral","Akron, OH",699082,0.00291668216317971
10420,2007,67,2328,NA,"Hlthcasa","Akron, OH",699082,0.00333008144967257
10420,2007,58,1411,NA,"Prfssats","Akron, OH",699082,0.00201836122228866
10420,2007,63,872,NA,"Admnsaws","Akron, OH",699082,0.00124735009626911
10420,2007,10,583,NA,"Utilitis","Akron, OH",699082,0.000833950809776249
10420,2007,50,1380,NA,"Fnncandi","Akron, OH",699082,0.00197401735418735
10420,2007,74,603,NA,"Accmmafs","Akron, OH",699082,0.000862559756938385
10420,2007,100,4404,NA,"Trade","Akron, OH",699082,0.00629969016510223
10420,2007,71,176,NA,"Art,e,ar","Akron, OH",699082,0.000251758735026792
10420,2007,66,158,NA,"Edctnlsr","Akron, OH",699082,0.000226010682580870
10420,2007,11,1014,NA,"Cnstrctn","Akron, OH",699082,0.00145047362112027
10420,2007,78,2924,NA,"Govrnmnt","Akron, OH",699082,0.00418262807510421
10420,2007,36,820,NA,"Tawr,ePS","Akron, OH",699082,0.00117296683364755
10420,2007,104,2485,NA,"Edctnahs","Akron, OH",699082,0.00355466168489533
10420,2008,12,5018,NA,"Mnfctrng","Akron, OH",698553,0.00718342058512382
10420,2008,11,938,NA,"Cnstrctn","Akron, OH",698553,0.00134277570921605
10420,2008,100,4423,NA,"Trade","Akron, OH",698553,0.00633165987405394
10420,2008,78,3101,NA,"Govrnmnt","Akron, OH",698553,0.00443917641181127
10420,2008,50,1373,NA,"Fnncandi","Akron, OH",698553,0.00196549152319151
10420,2008,71,167,NA,"Art,e,ar","Akron, OH",698553,0.000239065611342303
10420,2008,67,2517,NA,"Hlthcasa","Akron, OH",698553,0.00360316253741663
10420,2008,74,615,NA,"Accmmafs","Akron, OH",698553,0.000880391323206686
10420,2008,45,622,NA,"Informtn","Akron, OH",698553,0.000890412037454567
10420,2008,58,1529,NA,"Prfssats","Akron, OH",698553,0.00218881029785857
10420,2008,104,2682,NA,"Edctnahs","Akron, OH",698553,0.00383936508754525
10420,2008,66,165,NA,"Edctnlsr","Akron, OH",698553,0.000236202550128623
10420,2008,55,2143,NA,"Rlesaral","Akron, OH",698553,0.00306777009045842
10420,2008,63,927,NA,"Admnsaws","Akron, OH",698553,0.00132702887254081
10420,2008,62,2187,NA,"Mngmocae","Akron, OH",698553,0.00313075743715939
10500,2001,11,190,NA,"Cnstrctn","Albany, GA",159814,0.00118888207541267
10500,2001,78,713,NA,"Govrnmnt","Albany, GA",159814,0.00446143641983806
10500,2001,12,985,NA,"Mnfctrng","Albany, GA",159814,0.00616341496990251
10500,2001,55,165,NA,"Rlesaral","Albany, GA",159814,0.00103245022338468
10500,2001,104,367,NA,"Edctnahs","Albany, GA",159814,0.00229641958777078
10500,2002,78,745,NA,"Govrnmnt","Albany, GA",160013,0.00465587171042353
10500,2002,104,389,NA,"Edctnahs","Albany, GA",160013,0.00243105247698624
10500,2002,55,184,NA,"Rlesaral","Albany, GA",160013,0.00114990657009118
10500,2003,78,788,NA,"Govrnmnt","Albany, GA",161128,0.00489052182116082
10500,2003,55,197,NA,"Rlesaral","Albany, GA",161128,0.00122263045529020
10500,2003,104,410,NA,"Edctnahs","Albany, GA",161128,0.00254456084603545
10500,2004,104,428,NA,"Edctnahs","Albany, GA",161404,0.00265173105994895
10500,2004,50,160,NA,"Fnncandi","Albany, GA",161404,0.000991301330822037
10500,2004,100,604,NA,"Trade","Albany, GA",161404,0.00374216252385319
10500,2004,55,214,NA,"Rlesaral","Albany, GA",161404,0.00132586552997447
10500,2004,78,809,NA,"Govrnmnt","Albany, GA",161404,0.00501226735396892
10500,2005,104,451,NA,"Edctnahs","Albany, GA",161912,0.00278546370868126
10500,2005,78,875,NA,"Govrnmnt","Albany, GA",161912,0.0054041701665102
