"SumLev","State_Fips","County_Fips","County","HUCENSUS_2000","HUESTBASE_2000","Year","HousingUnitEst"
50,5,21,"Clay County","8498",8498,2000,8509
50,5,23,"Cleburne County","13732",13732,2000,13774
50,5,25,"Cleveland County","3834",3834,2000,3844
50,5,27,"Columbia County","11566",11566,2000,11584
50,5,29,"Conway County","9028",9028,2000,9046
50,5,31,"Craighead County","35133",35133,2000,35233
50,5,33,"Crawford County","21315",21315,2000,21382
50,5,35,"Crittenden County","20507",20507,2000,20613
50,5,37,"Cross County","8030",8030,2000,8051
50,5,39,"Dallas County","4401",4401,2000,4408
50,5,41,"Desha County","6663",6663,2000,6677
50,5,43,"Drew County","8287",8287,2000,8320
50,5,45,"Faulkner County","34546",34546,2000,34725
50,5,47,"Franklin County","7673",7673,2000,7688
50,5,49,"Fulton County","5973",5973,2000,5989
50,5,51,"Garland County","44953",44953,2000,45045
50,5,53,"Grant County","6960",6960,2000,6980
50,5,55,"Greene County","16161",16161,2000,16228
50,5,57,"Hempstead County","10166",10166,2000,10187
50,5,59,"Hot Spring County","13384",13384,2000,13412
50,5,61,"Howard County","6297",6297,2000,6311
50,5,63,"Independence County","14841",14841,2000,14878
50,5,65,"Izard County","6591",6591,2000,6607
50,5,67,"Jackson County","7956",7960,2000,7972
50,5,69,"Jefferson County","34350",34351,2000,34411
50,5,71,"Johnson County","9926",9926,2000,9949
50,5,73,"Lafayette County","4560",4560,2000,4575
50,5,75,"Lawrence County","8085",8085,2000,8098
50,5,77,"Lee County","4768",4768,2000,4782
50,5,79,"Lincoln County","4955",4955,2000,4969
50,5,81,"Little River County","6435",6435,2000,6447
50,5,83,"Logan County","9942",9942,2000,9958
50,5,85,"Lonoke County","20749",20749,2000,20870
50,5,87,"Madison County","6537",6537,2000,6552
50,5,89,"Marion County","8235",8235,2000,8286
50,5,91,"Miller County","17727",17727,2000,17782
50,5,93,"Mississippi County","22310",22310,2000,22337
50,5,95,"Monroe County","5067",5067,2000,5082
50,5,97,"Montgomery County","5048",5048,2000,5063
50,5,99,"Nevada County","4751",4751,2000,4760
50,5,101,"Newton County","4316",4316,2000,4326
50,5,103,"Ouachita County","13450",13450,2000,13466
50,5,105,"Perry County","4702",4702,2000,4714
50,5,107,"Phillips County","10859",10858,2000,10863
50,5,109,"Pike County","5536",5536,2000,5551
50,5,111,"Poinsett County","11051",11051,2000,11077
50,5,113,"Polk County","9236",9236,2000,9259
50,5,115,"Pope County","22851",22851,2000,22913
50,5,117,"Prairie County","4790",4790,2000,4800
50,5,119,"Pulaski County","161135",161135,2000,161520
50,5,121,"Randolph County","8268",8268,2000,8290
50,5,123,"St. Francis County","11242",11243,2000,11277
50,5,125,"Saline County","33825",33825,2000,34002
50,5,127,"Scott County","4924",4923,2000,4938
50,5,129,"Searcy County","4292",4292,2000,4301
50,5,131,"Sebastian County","49311",49311,2000,49425
50,5,133,"Sevier County","6434",6434,2000,6447
50,5,135,"Sharp County","9342",9342,2000,9352
50,5,137,"Stone County","5715",5715,2000,5730
50,5,139,"Union County","20676",20676,2000,20706
50,5,141,"Van Buren County","9164",9164,2000,9187
50,5,143,"Washington County","64330",64383,2000,64811
50,5,145,"White County","27613",27613,2000,27691
50,5,147,"Woodruff County","4089",4085,2000,4092
50,5,149,"Yell County","9157",9157,2000,9185
50,6,1,"Alameda County","540183",540184,2000,541031
50,6,3,"Alpine County","1514",1514,2000,1520
50,6,5,"Amador County","15035",15036,2000,15093
50,6,7,"Butte County","85523",85523,2000,85766
50,6,9,"Calaveras County","22946",22946,2000,23043
50,6,11,"Colusa County","6774",6774,2000,6780
50,6,13,"Contra Costa County","354577",354577,2000,355766
50,6,15,"Del Norte County","10434",10434,2000,10441
50,6,17,"El Dorado County","71278",71277,2000,71625
50,6,19,"Fresno County","270767",270767,2000,271442
50,6,21,"Glenn County","9982",9982,2000,9988
50,6,23,"Humboldt County","55912",55912,2000,56014
50,6,25,"Imperial County","43891",43891,2000,44064
50,6,27,"Inyo County","9042",9042,2000,9042
50,6,29,"Kern County","231564",231568,2000,232226
50,6,31,"Kings County","36563",36563,2000,36659
50,6,33,"Lake County","32528",32528,2000,32547
50,6,35,"Lassen County","12000",12000,2000,12021
50,6,37,"Los Angeles County","3270909",3270906,2000,3273583
50,6,39,"Madera County","40387",40387,2000,40533
50,6,41,"Marin County","104990",104990,2000,105091
50,6,43,"Mariposa County","8826",8826,2000,8844
50,6,45,"Mendocino County","36937",36937,2000,36991
50,6,47,"Merced County","68373",68373,2000,68683
50,6,49,"Modoc County","4807",4807,2000,4804
50,6,51,"Mono County","11757",11757,2000,11812
50,6,53,"Monterey County","131708",131709,2000,132084
50,6,55,"Napa County","48554",48554,2000,48666
50,6,57,"Nevada County","44282",44282,2000,44472
50,6,59,"Orange County","969484",969485,2000,972287
50,6,61,"Placer County","107302",107302,2000,108668
50,6,63,"Plumas County","13386",13386,2000,13424
50,6,65,"Riverside County","584674",584657,2000,588037
50,6,67,"Sacramento County","474814",474814,2000,476578
50,6,69,"San Benito County","16499",16499,2000,16626
50,6,71,"San Bernardino County","601369",601385,2000,602785
50,6,73,"San Diego County","1040149",1040149,2000,1043605
50,6,75,"San Francisco County","346527",346527,2000,346848
50,6,77,"San Joaquin County","189160",189160,2000,190409
50,6,79,"San Luis Obispo County","102275",102275,2000,102650
50,6,81,"San Mateo County","260576",260578,2000,261017
50,6,83,"Santa Barbara County","142901",142901,2000,143137
50,6,85,"Santa Clara County","579329",579329,2000,580728
50,6,87,"Santa Cruz County","98873",98872,2000,98962
50,6,89,"Shasta County","68810",68810,2000,69024
50,6,91,"Sierra County","2202",2202,2000,2195
50,6,93,"Siskiyou County","21947",21947,2000,21973
50,6,95,"Solano County","134513",134513,2000,135015
50,6,97,"Sonoma County","183153",183154,2000,183699
50,6,99,"Stanislaus County","150807",150806,2000,151364
50,6,101,"Sutter County","28319",28319,2000,28367
50,6,103,"Tehama County","23547",23547,2000,23590
50,6,105,"Trinity County","7980",7980,2000,7985
50,6,107,"Tulare County","119639",119639,2000,119993
50,6,109,"Tuolumne County","28336",28336,2000,28395
50,6,111,"Ventura County","251712",251710,2000,252594
50,6,113,"Yolo County","61587",61587,2000,61859
50,6,115,"Yuba County","22636",22636,2000,22649
50,8,1,"Adams County","132594",127087,2000,128619
50,8,3,"Alamosa County","6088",6088,2000,6108
50,8,5,"Arapahoe County","196835",197193,2000,198737
50,8,7,"Archuleta County","6212",6212,2000,6306
50,8,9,"Baca County","2364",2364,2000,2368
50,8,11,"Bent County","2366",2366,2000,2372
50,8,13,"Boulder County","119900",111430,2000,112056
50,8,14,"Broomfield County","X",14655,2000,14770
50,8,15,"Chaffee County","8392",8392,2000,8457
50,8,17,"Cheyenne County","1105",1105,2000,1108
50,8,19,"Clear Creek County","5128",5128,2000,5143
50,8,21,"Conejos County","3886",3886,2000,3894
50,8,23,"Costilla County","2202",2202,2000,2207
50,8,25,"Crowley County","1542",1542,2000,1549
50,8,27,"Custer County","2989",2989,2000,3026
50,8,29,"Delta County","12374",12374,2000,12418
50,8,31,"Denver County","251435",251068,2000,251832
50,8,33,"Dolores County","1193",1193,2000,1198
50,8,35,"Douglas County","63333",63333,2000,64895
50,8,37,"Eagle County","22111",22119,2000,22299
50,8,39,"Elbert County","7113",7113,2000,7193
50,8,41,"El Paso County","202428",202429,2000,204040
50,8,43,"Fremont County","17145",17145,2000,17262
50,8,45,"Garfield County","17336",17336,2000,17520
50,8,47,"Gilpin County","2929",2940,2000,2959
50,8,49,"Grand County","10894",10894,2000,11033
50,8,51,"Gunnison County","9135",9135,2000,9220
50,8,53,"Hinsdale County","1304",1304,2000,1308
50,8,55,"Huerfano County","4599",4599,2000,4626
50,8,57,"Jackson County","1145",1145,2000,1152
50,8,59,"Jefferson County","212488",211828,2000,212567
50,8,61,"Kiowa County","817",817,2000,818
50,8,63,"Kit Carson County","3430",3430,2000,3441
50,8,65,"Lake County","3913",3913,2000,3931
50,8,67,"La Plata County","20765",20765,2000,20894
50,8,69,"Larimer County","105392",105392,2000,106290
50,8,71,"Las Animas County","7629",7629,2000,7654
50,8,73,"Lincoln County","2406",2406,2000,2412
50,8,75,"Logan County","8424",8454,2000,8476
50,8,77,"Mesa County","48427",48718,2000,49073
50,8,79,"Mineral County","1119",1119,2000,1123
50,8,81,"Moffat County","5635",5635,2000,5654
50,8,83,"Montezuma County","10497",10497,2000,10533
50,8,85,"Montrose County","14202",14202,2000,14303
50,8,87,"Morgan County","10410",10410,2000,10448
50,8,89,"Otero County","8813",8813,2000,8824
50,8,91,"Ouray County","2146",2146,2000,2164
50,8,93,"Park County","10697",10696,2000,10806
50,8,95,"Phillips County","2014",2014,2000,2017
50,8,97,"Pitkin County","10096",10096,2000,10170
50,8,99,"Prowers County","5977",5977,2000,5988
50,8,101,"Pueblo County","58926",58926,2000,59205
50,8,103,"Rio Blanco County","2855",2855,2000,2861
50,8,105,"Rio Grande County","6003",6003,2000,6039
50,8,107,"Routt County","11217",11217,2000,11358
50,8,109,"Saguache County","3087",3087,2000,3125
50,8,111,"San Juan County","632",632,2000,633
50,8,113,"San Miguel County","5197",5197,2000,5233
50,8,115,"Sedgwick County","1387",1387,2000,1388
50,8,117,"Summit County","24201",24201,2000,24297
50,8,119,"Teller County","10362",10363,2000,10460
50,8,121,"Washington County","2307",2307,2000,2313
50,8,123,"Weld County","66194",66166,2000,67221
50,8,125,"Yuma County","4295",4295,2000,4302
50,9,1,"Fairfield County","339466",339466,2000,339848
50,9,3,"Hartford County","353022",353022,2000,353260
50,9,5,"Litchfield County","79267",79281,2000,79419
50,9,7,"Middlesex County","67285",67285,2000,67467
50,9,9,"New Haven County","340732",340732,2000,341026
50,9,11,"New London County","110674",110682,2000,110828
50,9,13,"Tolland County","51570",51570,2000,51718
50,9,15,"Windham County","43959",43959,2000,44030
50,10,1,"Kent County","50481",50483,2000,50722
50,10,3,"New Castle County","199521",199521,2000,200033
50,10,5,"Sussex County","93070",93068,2000,93504
50,11,1,"District of Columbia","274845",274845,2000,274969
50,12,1,"Alachua County","95113",95113,2000,95570
50,12,3,"Baker County","7592",7592,2000,7617
50,12,5,"Bay County","78435",78436,2000,78770
50,12,7,"Bradford County","9605",9605,2000,9617
50,12,9,"Brevard County","222072",222072,2000,223065
50,12,11,"Broward County","741043",741043,2000,743805
50,12,13,"Calhoun County","5250",5250,2000,5254
50,12,15,"Charlotte County","79758",79758,2000,80150
50,12,17,"Citrus County","62204",62204,2000,62482
50,12,19,"Clay County","53748",53748,2000,54110
50,12,21,"Collier County","144536",144536,2000,146463
50,12,23,"Columbia County","23579",23578,2000,23642
50,12,27,"DeSoto County","13608",13608,2000,13633
50,12,29,"Dixie County","7362",7362,2000,7373
50,12,31,"Duval County","329778",329778,2000,331083
50,12,33,"Escambia County","124647",124647,2000,124962
50,12,35,"Flagler County","24452",24452,2000,25025
50,12,37,"Franklin County","7180",7180,2000,7210
50,12,39,"Gadsden County","17703",17703,2000,17716
50,12,41,"Gilchrist County","5906",5906,2000,5922
50,12,43,"Glades County","5790",5790,2000,5794
50,12,45,"Gulf County","7587",7586,2000,7630
50,12,47,"Hamilton County","4966",4966,2000,4973
50,12,49,"Hardee County","9820",9820,2000,9830
50,12,51,"Hendry County","12294",12294,2000,12309
50,12,53,"Hernando County","62727",62727,2000,63039
50,12,55,"Highlands County","48846",48846,2000,48943
50,12,57,"Hillsborough County","425962",425962,2000,428691
50,12,59,"Holmes County","7998",7998,2000,8005
