"from_state","from_puma","to_state","to_puma","count"
1,1900,1,1300,1
1,1900,1,1400,2
1,1900,1,1500,2
1,1900,1,1700,4
1,1900,1,1800,1
1,1900,1,1990,200
1,1900,1,2100,3
1,1900,1,2290,2
1,1900,1,2400,1
1,1900,1,2500,2
1,1900,1,2600,1
1,1900,2,100,4
1,1900,4,900,1
1,1900,6,6700,3
1,1900,6,6890,3
1,1900,6,8100,1
1,1900,8,900,4
1,1900,9,1300,1
1,1900,12,400,2
1,1900,12,700,1
1,1900,12,2600,1
1,1900,12,4000,1
1,1900,13,1100,2
1,1900,13,1700,1
1,1900,13,2100,1
1,1900,13,3000,1
1,1900,13,4300,1
1,1900,17,1100,1
1,1900,17,3490,1
1,1900,18,990,2
1,1900,20,300,1
1,1900,21,1000,1
1,1900,23,300,1
1,1900,28,700,1
1,1900,28,900,1
1,1900,28,1700,1
1,1900,28,2200,2
1,1900,36,3200,3
1,1900,36,3900,2
1,1900,37,2300,1
1,1900,37,4000,1
1,1900,37,4500,1
1,1900,39,4090,1
1,1900,40,1390,2
1,1900,45,200,1
1,1900,47,2300,1
1,1900,47,2500,2
1,1900,47,3190,1
1,1900,48,5500,1
1,1900,48,5600,2
1,1900,72,2,1
1,1900,96,1,1
1,1900,110,1,9
1,1900,210,1,1
1,1900,213,1,2
1,1900,242,1,1
1,1900,252,1,4
1,2000,1,100,1
1,2000,1,400,1
1,2000,1,500,2
1,2000,1,700,3
1,2000,1,800,1
1,2000,1,900,9
1,2000,1,1100,6
1,2000,1,1200,1
1,2000,1,1400,2
1,2000,1,1500,12
1,2000,1,1600,8
1,2000,1,1700,4
1,2000,1,1800,12
1,2000,1,1990,128
1,2000,1,2100,5
1,2000,1,2400,3
1,2000,1,2600,4
1,2000,2,200,4
1,2000,6,4090,1
1,2000,6,4590,5
1,2000,8,190,1
1,2000,12,100,3
1,2000,12,4000,2
1,2000,13,100,4
1,2000,13,1000,2
1,2000,13,1700,2
1,2000,17,3490,6
1,2000,19,1100,1
1,2000,21,1400,1
1,2000,22,300,4
1,2000,22,400,1
1,2000,22,1200,1
1,2000,22,2000,1
1,2000,26,300,4
1,2000,29,2200,2
1,2000,34,490,1
1,2000,39,1190,1
1,2000,48,1300,2
1,2000,48,2200,2
1,2000,48,5500,4
1,2000,56,400,3
1,2000,110,1,3
1,2000,253,1,1
1,2000,301,1,1
1,2000,333,1,1
1,2100,1,290,1
1,2100,1,900,2
1,2100,1,1800,1
1,2100,1,1990,3
1,2100,1,2100,92
1,2100,1,2400,2
1,2100,1,2500,1
1,2100,5,200,1
1,2100,6,2300,1
1,2100,12,100,3
1,2100,12,3600,1
1,2100,13,1400,4
1,2100,22,2000,2
1,2100,25,3900,1
1,2100,26,1100,1
1,2100,28,1100,1
1,2100,47,1500,1
1,2200,1,600,2
1,2200,1,900,4
1,2200,1,1990,1
1,2200,1,2100,2
1,2200,1,2290,171
1,2200,1,2400,5
1,2200,1,2500,1
1,2200,8,190,2
1,2200,8,800,1
1,2200,12,100,1
1,2200,12,500,1
1,2200,12,3600,1
1,2200,13,4300,4
1,2200,19,900,1
1,2200,22,1800,1
1,2200,26,2290,1
1,2200,26,3690,1
1,2200,28,200,1
1,2200,28,1490,3
1,2200,28,1900,1
1,2200,28,2100,8
1,2200,28,2200,3
1,2200,28,2300,1
1,2200,29,1700,1
1,2200,36,2500,1
1,2200,37,4200,1
1,2200,39,600,3
1,2200,47,1390,2
1,2200,48,3200,1
1,2200,55,1190,1
1,2200,110,1,2
1,2200,210,1,2
1,2200,215,1,1
1,2300,1,290,2
1,2300,1,400,4
1,2300,1,700,1
1,2300,1,1100,1
1,2300,1,2100,6
1,2300,1,2290,166
1,2300,1,2400,10
1,2300,6,1100,3
1,2300,12,1100,2
1,2300,13,1700,3
1,2300,13,1900,1
1,2300,13,3000,1
1,2300,15,300,2
1,2300,24,1200,4
1,2300,28,200,1
1,2300,28,1490,1
1,2300,28,2000,5
1,2300,28,2300,5
1,2300,29,1600,1
1,2300,29,2490,1
1,2300,35,600,2
1,2300,37,990,1
1,2300,39,2400,1
1,2300,39,3100,1
1,2300,44,100,1
1,2300,45,1090,2
1,2300,45,2100,4
