"fips","Metropolitan Area"
25980,"Hinesville-Fort Stewart, GA (MSA)"
26100,"Holland-Grand Haven, MI (MSA)"
26180,"Honolulu, HI (MSA)"
26300,"Hot Springs, AR (MSA)"
26380,"Houma-Bayou Cane-Thibodaux, LA (MSA)"
26420,"Houston-Sugar Land-Baytown, TX (MSA)"
26580,"Huntington-Ashland, WV-KY-OH (MSA)"
26620,"Huntsville, AL (MSA)"
26820,"Idaho Falls, ID (MSA)"
26900,"Indianapolis-Carmel, IN (MSA)"
26980,"Iowa City, IA (MSA)"
27060,"Ithaca, NY (MSA)"
27100,"Jackson, MI (MSA)"
27140,"Jackson, MS (MSA)"
27180,"Jackson, TN (MSA)"
27260,"Jacksonville, FL (MSA)"
27340,"Jacksonville, NC (MSA)"
27500,"Janesville, WI (MSA)"
27620,"Jefferson City, MO (MSA)"
27740,"Johnson City, TN (MSA)"
27780,"Johnstown, PA (MSA)"
27860,"Jonesboro, AR (MSA)"
27900,"Joplin, MO (MSA)"
28020,"Kalamazoo-Portage, MI (MSA)"
28100,"Kankakee-Bradley, IL (MSA)"
28140,"Kansas City, MO-KS (MSA)"
28420,"Kennewick-Pasco-Richland, WA (MSA)"
28660,"Killeen-Temple-Fort Hood, TX (MSA)"
28700,"Kingsport-Bristol-Bristol, TN-VA (MSA)"
28740,"Kingston, NY (MSA)"
28940,"Knoxville, TN (MSA)"
29020,"Kokomo, IN (MSA)"
29100,"La Crosse, WI-MN (MSA)"
29140,"Lafayette, IN (MSA)"
29180,"Lafayette, LA (MSA)"
29340,"Lake Charles, LA (MSA)"
29420,"Lake Havasu City-Kingman, AZ (MSA)"
29460,"Lakeland-Winter Haven, FL (MSA)"
29540,"Lancaster, PA (MSA)"
29620,"Lansing-East Lansing, MI (MSA)"
29700,"Laredo, TX (MSA)"
29740,"Las Cruces, NM (MSA)"
29820,"Las Vegas-Paradise, NV (MSA)"
29940,"Lawrence, KS (MSA)"
30020,"Lawton, OK (MSA)"
30140,"Lebanon, PA (MSA)"
30300,"Lewiston, ID-WA (MSA)"
30340,"Lewiston-Auburn, ME (MSA)"
30460,"Lexington-Fayette, KY (MSA)"
30620,"Lima, OH (MSA)"
30700,"Lincoln, NE (MSA)"
30780,"Little Rock-North Little Rock-Conway, AR (MSA)"
30860,"Logan, UT-ID (MSA)"
30980,"Longview, TX (MSA)"
31020,"Longview, WA (MSA)"
31100,"Los Angeles-Long Beach-Santa Ana, CA (MSA)"
31140,"Louisville-Jefferson County, KY-IN (MSA)"
31180,"Lubbock, TX (MSA)"
31340,"Lynchburg, VA (MSA)"
31420,"Macon, GA (MSA)"
31460,"Madera, CA (MSA)"
31540,"Madison, WI (MSA)"
31700,"Manchester-Nashua, NH (MSA)"
31900,"Mansfield, OH (MSA)"
32580,"McAllen-Edinburg-Mission, TX (MSA)"
32780,"Medford, OR (MSA)"
32820,"Memphis, TN-MS-AR (MSA)"
32900,"Merced, CA (MSA)"
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (MSA)"
33140,"Michigan City-La Porte, IN (MSA)"
33260,"Midland, TX (MSA)"
33340,"Milwaukee-Waukesha-West Allis, WI (MSA)"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
33540,"Missoula, MT (MSA)"
33660,"Mobile, AL (MSA)"
33700,"Modesto, CA (MSA)"
33740,"Monroe, LA (MSA)"
33780,"Monroe, MI (MSA)"
33860,"Montgomery, AL (MSA)"
34060,"Morgantown, WV (MSA)"
34100,"Morristown, TN (MSA)"
34580,"Mount Vernon-Anacortes, WA (MSA)"
34620,"Muncie, IN (MSA)"
34740,"Muskegon-Norton Shores, MI (MSA)"
34820,"Myrtle Beach-North Myrtle Beach-Conway, SC (MSA)"
34900,"Napa, CA (MSA)"
34940,"Naples-Marco Island, FL (MSA)"
34980,"Nashville-Davidson-Murfreesboro-Franklin, TN (MSA)"
35300,"New Haven-Milford, CT (MSA)"
35380,"New Orleans-Metairie-Kenner, LA (MSA)"
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA (MSA)"
35660,"Niles-Benton Harbor, MI (MSA)"
35980,"Norwich-New London, CT (MSA)"
36100,"Ocala, FL (MSA)"
36140,"Ocean City, NJ (MSA)"
36220,"Odessa, TX (MSA)"
