"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month"
"Abilene","TX",29,29,0,0,0,1
"Akron","OH",74,57,0,0,17,1
"Albany","GA",37,32,2,3,0,1
"Albany-Schenectady-Troy","NY",93,68,4,0,21,1
"Albuquerque","NM",316,285,2,3,26,1
"Alexandria","LA",36,36,0,0,0,1
"Allentown-Bethlehem-Easton","PA-NJ",244,224,2,3,15,1
"Altoona","PA",1,1,0,0,0,1
"Amarillo","TX",58,58,0,0,0,1
"Ames","IA",6,6,0,0,0,1
"Anchorage","AK",40,20,16,4,0,1
"Anderson","IN",26,24,2,0,0,1
"Anderson","SC",101,97,4,0,0,1
"Ann Arbor","MI",23,18,0,0,5,1
"Anniston-Oxford","AL",40,40,0,0,0,1
"Appleton","WI",35,31,4,0,0,1
"Asheville","NC",291,247,4,3,37,1
"Athens-Clarke County","GA",180,180,0,0,0,1
"Atlanta-Sandy Springs-Marietta","GA",4574,3040,10,39,1485,1
"Atlantic City","NJ",128,96,32,0,0,1
"Auburn-Opelika","AL",188,62,0,0,126,1
"Augusta-Richmond County","GA-SC",298,298,0,0,0,1
"Austin-Round Rock","TX",1394,858,16,0,520,1
"Bakersfield","CA",364,323,6,19,16,1
"Baltimore-Towson","MD",544,424,4,9,107,1
"Bangor","ME",15,13,2,0,0,1
"Barnstable Town","MA",59,39,4,6,10,1
"Baton Rouge","LA",515,312,2,60,141,1
"Battle Creek","MI",10,4,0,0,6,1
"Bay City","MI",3,3,0,0,0,1
"Beaumont-Port Arthur","TX",54,42,0,12,0,1
"Bellingham","WA",137,96,0,30,11,1
"Bend","OR",165,152,6,7,0,1
"Billings","MT",32,32,0,0,0,1
"Binghamton","NY",1,1,0,0,0,1
"Birmingham-Hoover","AL",481,433,0,0,48,1
"Bismarck","ND",13,13,0,0,0,1
"Bloomington","IN",34,28,2,4,0,1
"Bloomington-Normal","IL",27,16,0,0,11,1
"Boise City-Nampa","ID",595,461,10,110,14,1
"Boston-Cambridge-Quincy","MA-NH",1511,329,32,26,1124,1
"Boulder","CO",40,16,2,3,19,1
"Bowling Green","KY",64,58,2,4,0,1
"Bremerton-Silverdale","WA",63,46,0,0,17,1
"Bridgeport-Stamford-Norwalk","CT",115,98,0,0,17,1
"Brownsville-Harlingen","TX",157,147,6,4,0,1
"Brunswick","GA",57,52,0,0,5,1
"Buffalo-Niagara Falls","NY",267,62,0,3,202,1
"Burlington","NC",137,137,0,0,0,1
"Burlington-South Burlington","VT",26,21,0,0,5,1
"Canton-Massillon","OH",40,35,0,0,5,1
"Cape Coral-Fort Myers","FL",705,533,6,8,158,1
"Carson City","NV",8,8,0,0,0,1
"Casper","WY",18,18,0,0,0,1
"Cedar Rapids","IA",46,26,0,14,6,1
"Champaign-Urbana","IL",52,20,0,0,32,1
"Charleston","WV",16,16,0,0,0,1
"Charleston-North Charleston","SC",358,352,6,0,0,1
"Charlotte-Gastonia-Concord","NC-SC",2405,1794,0,9,602,1
"Charlottesville","VA",60,60,0,0,0,1
"Chattanooga","TN-GA",166,156,4,0,6,1
"Cheyenne","WY",13,13,0,0,0,1
"Chicago-Naperville-Joliet","IL-IN-WI",3916,1274,38,119,2485,1
"Chico","CA",65,65,0,0,0,1
"Cincinnati-Middletown","OH-KY-IN",745,491,8,8,238,1
"Clarksville","TN-KY",198,158,0,40,0,1
"Cleveland","TN",39,34,2,3,0,1
"Cleveland-Elyria-Mentor","OH",256,240,0,6,10,1
"Coeur dAlene","ID",79,62,2,0,15,1
"College Station-Bryan","TX",357,67,10,0,280,1
"Colorado Springs","CO",243,231,4,8,0,1
"Columbia","MO",144,40,44,0,60,1
"Columbia","SC",573,527,2,0,44,1
"Columbus","GA-AL",223,109,0,3,111,1
"Columbus","IN",15,15,0,0,0,1
"Columbus","OH",355,276,0,28,51,1
"Corpus Christi","TX",127,103,4,0,20,1
"Corvallis","OR",12,12,0,0,0,1
"Cumberland","MD-WV",5,5,0,0,0,1
"Dallas-Fort Worth-Arlington","TX",4029,2505,44,27,1453,1
"Dalton","GA",55,46,2,0,7,1
"Danville","IL",0,0,0,0,0,1
"Danville","VA",13,13,0,0,0,1
"Davenport-Moline-Rock Island","IA-IL",31,31,0,0,0,1
"Dayton","OH",113,111,2,0,0,1
"Decatur","AL",15,15,0,0,0,1
"Decatur","IL",0,0,0,0,0,1
"Deltona-Daytona Beach-Ormond Beach","FL",203,167,0,4,32,1
"Denver-Aurora","CO",1192,641,0,34,517,1
"Des Moines-West Des Moines","IA",220,192,0,0,28,1
"Detroit-Warren-Livonia","MI",299,291,0,3,5,1
"Dothan","AL",28,28,0,0,0,1
"Dover","DE",99,99,0,0,0,1
"Dubuque","IA",19,13,6,0,0,1
"Duluth","MN-WI",29,17,4,3,5,1
"Durham","NC",236,234,2,0,0,1
"Eau Claire","WI",10,8,2,0,0,1
"El Centro","CA",123,116,0,0,7,1
"El Paso","TX",257,250,0,0,7,1
"Elizabethtown","KY",32,32,0,0,0,1
"Elkhart-Goshen","IN",50,50,0,0,0,1
"Elmira","NY",3,3,0,0,0,1
"Erie","PA",14,14,0,0,0,1
