"City","State","Total","X1_Units","X2_Units","X3.4_Units","X5.Inf_Units","X5.Inf_Units_Stucture"
"Abilene","TX MSA",16,16,0,0,0,0
"Albany","GA MSA",138,42,0,0,96,12
"Albany-Schenectady-Troy","NYMSA",85,75,0,0,10,1
"Albuquerque","NM MSA",371,337,0,4,30,2
"Alexandria","LA MSA",29,29,0,0,0,0
"Allentown-Bethlehem-Easton PA MSA","98",70,0,4,24,2,NA
"Altoona","PA MSA",4,4,0,0,0,0
"Amarillo","TX MSA",40,40,0,0,0,0
"Anchorage","AK MSA",43,39,4,0,0,0
"Anniston","AL MSA",19,13,0,0,6,1
"Appleton-Oshkosh-Neenah","WIMSA",93,71,8,0,14,2
"Asheville","NC MSA",109,77,4,0,28,3
"Athens","GA MSA",95,65,30,0,0,0
"Atlanta","GA MSA",5019,3447,28,0,1544,63
"Augusta-Aiken","GA-SC MSA",176,170,0,0,6,1
"Austin-San Marcos","TX MSA",1267,600,2,16,649,40
"Bakersfield","CA MSA",215,188,0,7,20,1
"Bangor","ME MSA",9,9,0,0,0,0
"Barnstable-Yarmouth","MA MSA",104,92,0,0,12,1
"Baton Rouge","LA MSA",134,101,0,0,33,2
"Beaumont-Port Arthur","TX MSA",37,37,0,0,0,0
"Bellingham","WA MSA",70,61,4,0,5,1
"Benton Harbor","MI MSA",2,2,0,0,0,0
"Billings","MT MSA",14,14,0,0,0,0
"Biloxi-Gulfport-Pascagoula MS MSA","154",154,0,0,0,0,NA
"Binghamton","NY MSA",4,4,0,0,0,0
"Birmingham","AL MSA",327,327,0,0,0,0
"Bismarck","ND MSA",1,1,0,0,0,0
"Bloomington","IN MSA",45,35,2,8,0,0
"Bloomington-Normal","IL MSA",61,43,0,0,18,2
"Boise City","ID MSA",384,371,0,13,0,0
"Boston-Worcester-LawrenceMA-NH-ME-CT CMSA","995",817,40,31,107,8,NA
"Brownsville-Harlingen-SanBenito","TX MSA",145,128,4,7,6,1
"Bryan-College Station","TX MSA",75,41,34,0,0,0
"Buffalo-Niagara Falls","NY MSA",135,85,4,0,46,2
"Burlington","VT MSA",38,28,4,0,6,1
"Canton-Massillon","OH MSA",58,56,2,0,0,0
"Casper","WY MSA",7,7,0,0,0,0
"Cedar Rapids","IA MSA",58,22,12,4,20,2
"Champaign-Urbana","IL MSA",25,13,0,0,12,1
"Charleston-NorthCharleston","SC MSA",363,290,8,0,65,5
"Charleston","WV MSA",23,23,0,0,0,0
"Charlotte-Gastonia-RockHill","NC-SC MSA",1811,1107,26,4,674,31
"Charlottesville","VA MSA",86,84,2,0,0,0
"Chattanooga","TN-GA MSA",159,152,2,0,5,1
"Cheyenne","WY MSA",33,22,2,0,9,1
"Chicago-Gary-Kenosha","IL-IN-WI CMSA",1999,1648,14,89,248,21
"Chico-Paradise","CA MSA",70,70,0,0,0,0
"Cincinnati-Hamilton","OH-KY-IN CMSA",704,633,2,14,55,6
"Clarksville-Hopkinsville TN-KY MSA","100",67,2,8,23,3,NA
"Cleveland-Akron","OH CMSA",558,455,8,14,81,11
"Colorado Springs","CO MSA",320,274,2,12,32,2
"Columbia","MO MSA",58,56,2,0,0,0
"Columbia","SC MSA",299,299,0,0,0,0
"Columbus","GA-AL MSA",80,74,2,4,0,0
"Columbus","OH MSA",796,576,12,23,185,17
"Corpus Christi","TX MSA",117,51,4,56,6,1
"Cumberland","MD-WV MSA",10,10,0,0,0,0
"Dallas-Fort Worth","TX CMSA",2858,2355,10,0,493,26
"Danville","VA MSA",19,19,0,0,0,0
"Davenport-Moline-RockIsland","IA-IL MSA",47,41,0,0,6,1
"Dayton-Springfield","OH MSA",88,84,0,4,0,0
"Daytona Beach","FL MSA",511,323,10,3,175,8
"Decatur","Al MSA",25,20,0,0,5,1
"Decatur","IL MSA",10,8,2,0,0,0
"Denver-Boulder-Greeley","COCMSA",2824,1567,8,0,1249,73
"Des Moines","IA MSA",181,131,2,0,48,4
