"City","State","Total","X1_Units","X2_Units","X3.4_Units","X5.Inf_Units","X5.Inf_Units_Stucture"
"Abilene","TX",25,25,0,0,0,0
"Akron","OH",109,90,0,3,16,1
"Albany","GA",55,47,4,4,0,0
"Albany-Schenectady-Troy","NY",76,57,4,0,15,2
"Albuquerque","NM",506,477,0,7,22,1
"Alexandria","LA",60,60,0,0,0,0
"Allentown-Bethlehem-Easton","PA-NJ",292,276,0,0,16,2
"Altoona","PA",2,2,0,0,0,0
"Amarillo","TX",95,95,0,0,0,0
"Ames","IA",34,10,0,0,24,2
"Anchorage","AK",64,38,10,16,0,0
"Anderson","IN",19,19,0,0,0,0
"Anderson","SC",87,87,0,0,0,0
"Ann Arbor","MI",50,45,0,0,5,1
"Anniston-Oxford","AL",18,18,0,0,0,0
"Appleton","WI",42,40,2,0,0,0
"Asheville","NC",260,230,2,18,10,2
"Athens-Clarke County","GA",88,88,0,0,0,0
"Atlanta-Sandy Springs-Marietta","GA",6315,4526,14,110,1665,69
"Atlantic City","NJ",180,172,4,4,0,0
"Auburn-Opelika","AL",176,164,12,0,0,0
"Augusta-Richmond County","GA-SC",238,238,0,0,0,0
"Austin-Round Rock","TX",2248,1992,20,104,132,5
"Bakersfield","CA",402,379,4,12,7,1
"Baltimore-Towson","MD",638,588,2,0,48,5
"Bangor","ME",19,17,2,0,0,0
"Barnstable Town","MA",69,51,0,7,11,1
"Baton Rouge","LA",443,397,0,3,43,4
"Battle Creek","MI",7,7,0,0,0,0
"Bay City","MI",4,4,0,0,0,0
"Beaumont-Port Arthur","TX",64,35,0,0,29,1
"Bellingham","WA",76,76,0,0,0,0
"Bend","OR",242,236,6,0,0,0
"Billings","MT",39,39,0,0,0,0
"Binghamton","NY",0,0,0,0,0,0
"Birmingham-Hoover","AL",701,608,10,0,83,5
"Bismarck","ND",14,11,0,3,0,0
"Bloomington","IN",63,28,12,3,20,1
"Bloomington-Normal","IL",49,39,0,0,10,1
"Boise City-Nampa","ID",772,735,2,35,0,0
"Boston-Cambridge-Quincy","MA-NH",877,459,64,10,344,25
"Boulder","CO",50,45,0,0,5,1
"Bowling Green","KY",97,59,2,6,30,2
"Bremerton-Silverdale","WA",76,74,2,0,0,0
"Bridgeport-Stamford-Norwalk","CT",96,87,4,0,5,1
"Brownsville-Harlingen","TX",452,244,6,4,198,16
"Brunswick","GA",80,69,0,0,11,1
"Buffalo-Niagara Falls","NY",65,65,0,0,0,0
"Burlington","NC",147,99,0,0,48,4
"Burlington-South Burlington","VT",34,27,4,3,0,0
"Canton-Massillon","OH",63,58,0,0,5,1
"Cape Coral-Fort Myers","FL",1929,1490,0,76,363,30
"Carson City","NV",3,3,0,0,0,0
"Casper","WY",14,14,0,0,0,0
"Cedar Rapids","IA",47,40,0,7,0,0
"Champaign-Urbana","IL",33,33,0,0,0,0
"Charleston","WV",18,18,0,0,0,0
"Charleston-North Charleston","SC",700,648,0,7,45,7
"Charlotte-Gastonia-Concord","NC-SC",1629,1607,2,6,14,2
"Charlottesville","VA",153,96,2,3,52,2
"Chattanooga","TN-GA",240,227,4,0,9,1
"Cheyenne","WY",58,49,0,4,5,1
"Chicago-Naperville-Joliet","IL-IN-WI",3894,1882,56,200,1756,NA
