"City","State","Total","X1_Units","X2_Units","X3.4_Units","X5.Inf_Units","X5.Inf_Units_Stucture"
"Hickory-Morganton-Lenoir NC MSA","121",121,0,0,0,0,NA
"Honolulu","HI MSA",405,125,2,0,278,2
"Houma","LA MSA",61,59,2,0,0,0
"Houston-Galveston-BrazoriaTX CMSA","4286",2918,16,0,1352,82,NA
"Huntington-Ashland","WV-KY-OH MSA",2,2,0,0,0,0
"Huntsville","AL MSA",87,83,4,0,0,0
"Indianapolis","IN MSA",812,759,22,15,16,3
"Iowa City","IA MSA",22,22,0,0,0,0
"Jackson","MI MSA",9,9,0,0,0,0
"Jackson","MS MSA",232,212,0,8,12,1
"Jackson","TN MSA",56,56,0,0,0,0
"Jacksonville","FL MSA",1003,984,0,3,16,2
"Jacksonville","NC MSA",66,66,0,0,0,0
"Jamestown","NY MSA",1,1,0,0,0,0
"Janesville-Beloit","WI MSA",20,12,0,8,0,0
"Johnson City-Kingsport-Bristol","TN-VA MSA",114,73,0,0,41,5
"Johnstown","PA MSA",4,1,0,3,0,0
"Jonesboro","AR MSA",24,24,0,0,0,0
"Joplin","MO MSA",20,20,0,0,0,0
"Kalamazoo-Battle Creek","MIMSA",72,66,0,0,6,1
"Kansas City","MO-KS MSA",1098,751,28,47,272,34
"Killeen-Temple","TX MSA",177,129,4,20,24,1
"Knoxville","TN MSA",263,234,4,4,21,2
"Kokomo","IN MSA",25,20,2,3,0,0
"La Crosse","WI-MN MSA",9,7,2,0,0,0
"Lafayette","LA MSA",124,124,0,0,0,0
"Lafayette","IN MSA",30,27,0,3,0,0
"Lake Charles","LA MSA",72,62,0,0,10,1
"Lakeland-Winter Haven","FL MSA",600,382,2,0,216,9
"Lancaster","PA MSA",107,77,0,0,30,3
"Lansing-East Lansing","MI MSA",89,82,2,0,5,1
"Laredo","TX MSA",151,127,0,4,20,2
"Las Cruces","NM MSA",68,68,0,0,0,0
"Las Vegas","NV-AZ MSA",2407,1946,26,89,346,29
"Lawrence","KS MSA",31,29,2,0,0,0
"Lawton","OK MSA",1,1,0,0,0,0
"Lewiston-Auburn","ME MSA",5,5,0,0,0,0
"Lexington","KY MSA",263,257,6,0,0,0
"Lima","OH MSA",1,1,0,0,0,0
"Lincoln","NE MSA",102,82,6,0,14,1
"Little Rock-North LittleRock","AR MSA",243,243,0,0,0,0
"Longview-Marshall","TX MSA",13,13,0,0,0,0
"Los Angeles-Riverside-Orange County","CA CMSA",6267,5091,48,76,1052,73
"Louisville","KY-IN MSA",471,372,8,8,83,7
"Lubbock","TX MSA",108,108,0,0,0,0
"Lynchburg","VA MSA",95,90,0,0,5,1
"Macon","GA MSA",465,177,8,0,280,31
"Madison","WI MSA",380,204,26,19,131,6
"Mansfield","OH MSA",22,15,2,0,5,1
"McAllen-Edinburg-Mission TX MSA","437",398,4,22,13,2,NA
"Medford-Ashland","OR MSA",229,153,2,3,71,2
"Melbourne-Titusville-PalmBay","FL MSA",441,413,0,6,22,2
"Memphis","TN-AR-MS MSA",729,633,8,0,88,1
"Merced","CA MSA",134,134,0,0,0,0
"Miami-Fort Lauderdale","FLCMSA",1674,869,4,347,454,36
"Milwaukee-Racine","WI CMSA",715,372,22,3,318,8
"Minneapolis-St. Paul","MN-WIMSA",1497,1222,14,39,222,7
"Missoula","MT MSA",76,33,4,0,39,1
"Mobile","AL MSA",450,304,4,0,142,4
"Modesto","CA MSA",269,256,8,0,5,1
"Monroe","LA MSA",34,34,0,0,0,0
"Montgomery","AL MSA",119,119,0,0,0,0
"Muncie","IN MSA",13,13,0,0,0,0
"Myrtle Beach","SC MSA",284,216,0,0,68,7
"Naples","FL MSA",418,354,6,24,34,5
"Nashville","TN MSA",878,823,8,3,44,4
"New London-Norwich","CT-RI MSA",56,54,2,0,0,0
"New Orleans","LA MSA",377,361,6,0,10,1
"New York-Northern NewJersey-Long Island","NY-NJ-CT-PA CMSA",3191,1730,464,238,759,55
"Norfolk-Virginia Beach-Newport News","VA-NC MSA",932,624,12,4,292,6
"Ocala","FL MSA",469,447,0,11,11,2
"Odessa-Midland","TX MSA",24,24,0,0,0,0
"Oklahoma City","OK MSA",631,469,4,4,154,11
"Omaha","NE-IA MSA",238,236,2,0,0,0
"Orlando","FL MSA",2337,1555,16,0,766,35
"Owensboro","KY MSA",54,54,0,0,0,0
"Panama City","FL MSA",418,115,2,0,301,5
"Parkersburg-Marietta","WV-OHMSA",9,9,0,0,0,0
"Pensacola","FL MSA",356,253,20,3,80,4
"Peoria-Pekin","IL MSA",37,31,6,0,0,0
"Philadelphia-Wilmington-Atlantic City","PA-NJ-DE-MDCMSA",1657,1429,44,4,180,15
"Phoenix-Mesa","AZ MSA",3062,2935,8,24,95,14
"Pine Bluff","AR MSA",10,8,2,0,0,0
"Pittsburgh","PA MSA",332,291,8,9,24,4
"Pittsfield","MA MSA",3,3,0,0,0,0
"Pocatello","ID MSA",6,6,0,0,0,0
"Portland","ME MSA",85,69,2,14,0,0
"Portland-Salem","OR-WA CMSA",2000,875,36,11,1078,71
"Providence-Fall River-Warwick","RI-MA MSA",133,122,8,3,0,0
"Provo-Orem","UT MSA",239,155,10,0,74,2
"Pueblo","CO MSA",97,85,0,12,0,0
"Punta Gorda","FL MSA",127,121,0,0,6,1
"Raleigh-Durham-Chapel HillNC MSA","1508",1040,2,7,459,28,NA
"Rapid City","SD MSA",47,47,0,0,0,0
"Reading","PA MSA",55,52,0,3,0,0
"Redding","CA MSA",96,96,0,0,0,0
"Reno","NV MSA",442,319,0,3,120,5
"Richland-Kennewick-Pasco WA MSA","129",118,0,4,7,1,NA
"Richmond-Petersburg","VA MSA",753,496,0,12,245,35
"Roanoke","VA MSA",98,93,0,0,5,1
"Rochester","MN MSA",100,100,0,0,0,0
"Rochester","NY MSA",105,103,2,0,0,0
"Rockford","IL MSA",118,103,4,11,0,0
"Rocky Mount","NC MSA",80,24,24,32,0,0
"Sacramento-Yolo","CA CMSA",1613,1588,6,6,13,2
"Saginaw-Bay City-Midland MI MSA","30",30,0,0,0,0,NA
"St. Cloud","MN MSA",39,39,0,0,0,0
"St. Joseph","MO MSA",9,7,2,0,0,0
"St. Louis","MO-IL MSA",832,768,40,14,10,2
"Salinas","CA MSA",88,88,0,0,0,0
"Salt Lake City-Ogden","UT MSA",716,653,8,19,36,5
"San Angelo","TX MSA",21,21,0,0,0,0
"San Antonio","TX MSA",634,628,2,4,0,0
"San Diego","CA MSA",1036,785,14,74,163,16
"San Francisco-Oakland-SanJose","CA CMSA",1524,980,6,9,529,17
"San Luis Obispo-Atascadero-Paso Robles","CA MSA",235,179,0,0,56,2
"Santa Barbara-Santa Maria-Lompoc","CA MSA",98,64,4,0,30,3
"Santa Fe","NM MSA",43,43,0,0,0,0
"Sarasota-Bradenton","FL MSA",857,775,2,40,40,2
"Savannah","GA MSA",167,118,4,0,45,2
"Scranton--Wilkes-Barre--Hazleton","PA MSA",23,20,0,3,0,0
"Seattle-Tacoma-BremertonWA CMSA","1772",1400,46,47,279,21,NA
"Sharon","PA MSA",5,5,0,0,0,0
"Sheboygan","WI MSA",1,1,0,0,0,0
"Sherman-Denison","TX MSA",12,12,0,0,0,0
"Shreveport-Bossier City","LAMSA",96,96,0,0,0,0
"Sioux City","IA-NE MSA",9,9,0,0,0,0
"Sioux Falls","SD MSA",183,50,0,0,133,3
"South Bend","IN MSA",48,44,4,0,0,0
"Spokane","WA MSA",126,104,2,0,20,1
"Springfield","IL MSA",45,35,10,0,0,0
"Springfield","MO MSA",226,129,18,7,72,2
"Springfield","MA MSA",40,36,4,0,0,0
"State College","PA MSA",65,25,0,0,40,4
"Steubenville-Weirton","OH-WVMSA",4,2,2,0,0,0
"Stockton-Lodi","CA MSA",584,584,0,0,0,0
"Sumter","SC MSA",58,56,2,0,0,0
"Syracuse","NY MSA",54,45,0,4,5,1
"Tallahassee","FL MSA",198,196,2,0,0,0
"Tampa-St. Petersburg-Clearwater","FL MSA",1991,1381,22,14,574,37
"Terre Haute","IN MSA",17,12,0,0,5,1
"Texarkana","TX-TexarkanaARMSA",70,44,26,0,0,0
"Toledo","OH MSA",112,84,8,0,20,4
"Topeka","KS MSA",69,42,0,27,0,0
"Tucson","AZ MSA",431,412,2,3,14,2
"Tulsa","OK MSA",318,306,0,0,12,1
"Tuscaloosa","AL MSA",87,72,0,0,15,3
"Tyler","TX MSA",37,27,0,3,7,1
"Utica-Rome","NY MSA",2,2,0,0,0,0
"Victoria","TX MSA",8,8,0,0,0,0
"Visalia-Tulare-Porterville CA MSA","176",174,2,0,0,0,NA
"Waco","TX MSA",55,44,2,3,6,1
"Washington-Baltimore","DC-MD-VA-WV CMSA",4038,2849,2,6,1181,26
"Waterloo-Cedar Falls","IA MSA",9,9,0,0,0,0
"Wausau","WI MSA",30,28,2,0,0,0
"West Palm Beach-Boca RatonFL MSA","940",754,12,3,171,14,NA
"Wheeling","WV-OH MSA",2,2,0,0,0,0
"Wichita","KS MSA",140,138,2,0,0,0
"Wichita Falls","TX MSA",39,21,2,16,0,0
"Wilmington","NC MSA",434,252,0,0,182,8
"Yakima","WA MSA",26,22,4,0,0,0
"York","PA MSA",110,110,0,0,0,0
"Youngstown-Warren","OH MSA",37,32,0,0,5,1
"Yuba City","CA MSA",58,58,0,0,0,0
"Yuma","AZ MSA",114,114,0,0,0,0
"Abilene","TX MSA",23,23,0,0,0,0
"Albany","GA MSA",37,37,0,0,0,0
"Albany-Schenectady-Troy","NYMSA",133,88,0,36,9,1
"Albuquerque","NM MSA",527,443,0,11,73,1
"Alexandria","LA MSA",96,92,0,4,0,0
"Allentown-Bethlehem-Easton PA MSA","96",92,0,4,0,0,NA
"Altoona","PA MSA",2,2,0,0,0,0
"Amarillo","TX MSA",53,53,0,0,0,0
"Anchorage","AK MSA",174,52,48,0,74,11
"Anniston","AL MSA",10,10,0,0,0,0
"Appleton-Oshkosh-Neenah","WIMSA",197,103,6,4,84,4
"Asheville","NC MSA",117,109,8,0,0,0
"Athens","GA MSA",129,85,14,0,30,3
"Atlanta","GA MSA",4260,4139,6,4,111,10
"Auburn-Opelika","AL MSA",124,22,16,14,72,4
"Augusta-Aiken","GA-SC MSA",301,301,0,0,0,0
"Austin-San Marcos","TX MSA",606,513,30,50,13,2
"Bakersfield","CA MSA",351,347,0,4,0,0
"Bangor","ME MSA",16,11,2,3,0,0
"Barnstable-Yarmouth","MA MSA",37,37,0,0,0,0
"Baton Rouge","LA MSA",121,121,0,0,0,0
"Beaumont-Port Arthur","TX MSA",30,28,2,0,0,0
"Bellingham","WA MSA",115,77,2,0,36,3
"Benton Harbor","MI MSA",4,4,0,0,0,0
"Billings","MT MSA",46,46,0,0,0,0
"Biloxi-Gulfport-Pascagoula MS MSA","191",187,4,0,0,0,NA
"Binghamton","NY MSA",3,3,0,0,0,0
"Birmingham","AL MSA",429,429,0,0,0,0
"Bismarck","ND MSA",11,11,0,0,0,0
"Bloomington","IN MSA",53,26,4,11,12,1
"Bloomington-Normal","IL MSA",86,42,6,12,26,4
"Boise City","ID MSA",579,432,0,3,144,6
"Boston-Worcester-LawrenceMA-NH-ME-CT CMSA","1126",606,40,36,444,21,NA
"Brownsville-Harlingen-SanBenito","TX MSA",226,216,6,4,0,0
"Bryan-College Station","TX MSA",305,77,0,0,228,20
"Buffalo-Niagara Falls","NY MSA",64,62,2,0,0,0
"Burlington","VT MSA",35,33,2,0,0,0
"Canton-Massillon","OH MSA",62,55,4,3,0,0
"Casper","WY MSA",6,6,0,0,0,0
"Cedar Rapids","IA MSA",93,31,0,0,62,5
"Champaign-Urbana","IL MSA",21,21,0,0,0,0
"Charleston-NorthCharleston","SC MSA",432,412,2,3,15,2
"Charleston","WV MSA",15,15,0,0,0,0
"Charlotte-Gastonia-RockHill","NC-SC MSA",1199,1054,8,0,137,8
"Charlottesville","VA MSA",289,63,0,0,226,8
"Chattanooga","TN-GA MSA",216,177,4,7,28,3
"Cheyenne","WY MSA",30,24,0,0,6,1
"Chicago-Gary-Kenosha","IL-IN-WI CMSA",2523,1862,30,66,565,24
"Chico-Paradise","CA MSA",95,79,0,11,5,1
"Cincinnati-Hamilton","OH-KY-IN CMSA",691,629,2,39,21,4
"Clarksville-Hopkinsville TN-KY MSA","108",89,0,3,16,2,NA
"Cleveland-Akron","OH CMSA",554,514,2,9,29,4
"Colorado Springs","CO MSA",411,359,2,0,50,1
"Columbia","MO MSA",86,86,0,0,0,0
"Columbia","SC MSA",345,338,0,0,7,1
"Columbus","GA-AL MSA",177,146,2,24,5,1
"Columbus","OH MSA",762,716,8,4,34,2
"Corpus Christi","TX MSA",132,96,6,0,30,6
"Corvallis OR MSA","15",13,2,0,0,0,NA
"Cumberland","MD-WV MSA",18,18,0,0,0,0
"Dallas-Fort Worth","TX CMSA",3565,2737,22,216,590,24
"Danville","VA MSA",32,14,2,16,0,0
"Davenport-Moline-RockIsland","IA-IL MSA",22,22,0,0,0,0
"Dayton-Springfield","OH MSA",134,134,0,0,0,0
"Daytona Beach","FL MSA",735,650,38,0,47,5
"Decatur","Al MSA",40,40,0,0,0,0
"Decatur","IL MSA",4,4,0,0,0,0
"Denver-Boulder-Greeley","COCMSA",1867,1352,14,65,436,36
"Des Moines","IA MSA",395,125,2,8,260,25
"Detroit-Ann Arbor-Flint","MICMSA",1414,1130,6,6,272,13
"Dothan","AL MSA",36,36,0,0,0,0
"Dover","DE MSA",79,79,0,0,0,0
"Dubuque","IA MSA",15,13,2,0,0,0
"Duluth-Superior","MN-WI MSA",20,16,0,4,0,0
"Eau Claire","WI MSA",25,15,0,0,10,1
"El Paso","TX MSA",271,260,2,4,5,1
"Elkhart-Goshen","IN MSA",64,57,2,0,5,1
"Elmira","NY MSA",2,2,0,0,0,0
"Enid","OK MSA",2,2,0,0,0,0
"Erie","PA MSA",30,19,0,0,11,1
"Eugene-Springfield","OR MSA",131,109,8,0,14,2
"Evansville-Henderson","IN-KYMSA",96,96,0,0,0,0
"Fargo-Moorhead","ND-MN MSA",11,11,0,0,0,0
"Fayetteville","NC MSA",79,71,0,0,8,1
"Fayetteville-Springdale-Rogers","AR MSA",179,128,6,0,45,5
"Flagstaff","AZ-UT MSA",32,32,0,0,0,0
"Florence","AL MSA",8,8,0,0,0,0
"Florence","SC MSA",4,4,0,0,0,0
"Fort Collins-Loveland","CO MSA",249,180,16,7,46,5
"Fort Myers-Cape Coral","FL MSA",1310,606,74,28,602,34
"Fort Pierce-Port St. Lucie FL MSA","329",283,0,20,26,1,NA
"Fort Smith","AR-OK MSA",41,33,4,4,0,0
"Fort Walton Beach","FL MSA",145,111,0,3,31,2
"Fort Wayne","IN MSA",139,139,0,0,0,0
"Fresno","CA MSA",478,361,20,16,81,11
"Gadsden","AL MSA",7,7,0,0,0,0
"Gainesville","FL MSA",92,92,0,0,0,0
"Glens Falls","NY MSA",24,22,2,0,0,0
"Goldsboro","NC MSA",31,31,0,0,0,0
"Grand Forks","ND-MN MSA",0,0,0,0,0,0
"Grand Junction","CO MSA",133,117,12,4,0,0
"Grand Rapids-Muskegon-Holland","MI MSA",370,331,2,17,20,3
"Great Falls","MT MSA",2,2,0,0,0,0
"Green Bay","WI MSA",99,49,4,0,46,3
"Greensboro--Winston-Salem--High Point","NC MSA",513,511,2,0,0,0
"Greenville","NC MSA",69,67,2,0,0,0
"Greenville-Spartanburg-Anderson","SC MSA",502,475,14,0,13,1
"Harrisburg-Lebanon-Carlisle","PA MSA",107,107,0,0,0,0
"Hartford","CT MSA",182,156,4,6,16,2
"Hattiesburg","MS MSA",2,2,0,0,0,0
"Hickory-Morganton-Lenoir NC MSA","105",105,0,0,0,0,NA
"Honolulu","HI MSA",226,226,0,0,0,0
"Houma","LA MSA",57,57,0,0,0,0
"Houston-Galveston-BrazoriaTX CMSA","5816",3126,16,48,2626,127,NA
"Huntington-Ashland","WV-KY-OH MSA",1,1,0,0,0,0
"Huntsville","AL MSA",146,81,0,4,61,5
"Indianapolis","IN MSA",944,791,12,3,138,11
"Iowa City","IA MSA",36,36,0,0,0,0
"Jackson","MI MSA",2,2,0,0,0,0
"Jackson","MS MSA",180,162,2,4,12,2
"Jackson","TN MSA",21,21,0,0,0,0
"Jacksonville","FL MSA",907,858,0,0,49,1
"Jacksonville","NC MSA",66,66,0,0,0,0
"Jamestown","NY MSA",0,0,0,0,0,0
"Janesville-Beloit","WI MSA",23,16,2,0,5,1
"Johnson City-Kingsport-Bristol","TN-VA MSA",82,80,2,0,0,0
"Johnstown","PA MSA",2,2,0,0,0,0
"Jonesboro","AR MSA",15,15,0,0,0,0
"Joplin","MO MSA",14,14,0,0,0,0
"Kalamazoo-Battle Creek","MIMSA",82,69,4,9,0,0
"Kansas City","MO-KS MSA",1003,771,28,28,176,10
"Killeen-Temple","TX MSA",113,95,2,16,0,0
"Knoxville","TN MSA",298,261,12,14,11,1
"Kokomo","IN MSA",11,9,2,0,0,0
"La Crosse","WI-MN MSA",8,8,0,0,0,0
"Lafayette","LA MSA",83,83,0,0,0,0
"Lafayette","IN MSA",27,27,0,0,0,0
"Lake Charles","LA MSA",71,58,0,0,13,1
"Lakeland-Winter Haven","FL MSA",389,371,18,0,0,0
"Lancaster","PA MSA",61,55,0,0,6,1
"Lansing-East Lansing","MI MSA",90,85,0,0,5,1
"Laredo","TX MSA",145,125,0,0,20,2
"Las Cruces","NM MSA",101,97,0,4,0,0
"Las Vegas","NV-AZ MSA",3696,2289,30,20,1357,79
"Lawrence","KS MSA",51,38,6,7,0,0
"Lawton","OK MSA",10,10,0,0,0,0
"Lewiston-Auburn","ME MSA",5,5,0,0,0,0
"Lexington","KY MSA",230,218,12,0,0,0
"Lima","OH MSA",5,5,0,0,0,0
"Lincoln","NE MSA",104,86,4,0,14,1
"Little Rock-North LittleRock","AR MSA",168,165,0,3,0,0
"Longview-Marshall","TX MSA",13,13,0,0,0,0
"Los Angeles-Riverside-Orange County","CA CMSA",6605,3577,96,177,2755,142
"Louisville","KY-IN MSA",695,413,0,8,274,24
"Lubbock","TX MSA",426,122,0,0,304,15
"Lynchburg","VA MSA",101,96,0,0,5,1
"Macon","GA MSA",164,160,4,0,0,0
"Madison","WI MSA",406,142,16,8,240,5
"Mansfield","OH MSA",28,21,2,0,5,1
"McAllen-Edinburg-Mission TX MSA","534",417,6,18,93,9,NA
"Medford-Ashland","OR MSA",161,127,0,9,25,4
"Melbourne-Titusville-PalmBay","FL MSA",437,425,2,0,10,1
"Memphis","TN-AR-MS MSA",520,520,0,0,0,0
"Merced","CA MSA",154,154,0,0,0,0
"Miami-Fort Lauderdale","FLCMSA",1782,1152,26,66,538,46
"Milwaukee-Racine","WI CMSA",669,291,22,19,337,6
"Minneapolis-St. Paul","MN-WIMSA",1490,1001,18,30,441,15
"Missoula","MT MSA",195,34,26,4,131,5
"Mobile","AL MSA",486,280,2,8,196,15
"Modesto","CA MSA",258,252,0,0,6,1
"Monroe","LA MSA",25,25,0,0,0,0
"Montgomery","AL MSA",92,92,0,0,0,0
"Muncie","IN MSA",10,10,0,0,0,0
"Myrtle Beach","SC MSA",417,269,0,8,140,5
"Naples","FL MSA",641,261,16,0,364,24
"Nashville","TN MSA",724,704,4,4,12,2
"New London-Norwich","CT-RI MSA",46,43,0,3,0,0
"New Orleans","LA MSA",374,355,2,6,11,1
"New York-Northern NewJersey-Long Island","NY-NJ-CT-PA CMSA",3211,1290,586,298,1037,51
"Norfolk-Virginia Beach-Newport News","VA-NC MSA",752,716,6,4,26,2
"Ocala","FL MSA",486,467,2,0,17,2
"Odessa-Midland","TX MSA",41,41,0,0,0,0
"Oklahoma City","OK MSA",556,503,4,0,49,4
"Omaha","NE-IA MSA",304,298,6,0,0,0
"Orlando","FL MSA",1823,1465,16,0,342,21
"Owensboro","KY MSA",26,26,0,0,0,0
"Panama City","FL MSA",84,84,0,0,0,0
"Parkersburg-Marietta","WV-OHMSA",6,6,0,0,0,0
"Pensacola","FL MSA",413,279,14,0,120,3
"Peoria-Pekin","IL MSA",55,51,0,4,0,0
"Philadelphia-Wilmington-Atlantic City","PA-NJ-DE-MDCMSA",2123,1116,56,7,944,39
"Phoenix-Mesa","AZ MSA",3724,3182,6,0,536,12
"Pine Bluff","AR MSA",5,5,0,0,0,0
"Pittsburgh","PA MSA",435,278,8,25,124,12
"Pittsfield","MA MSA",0,0,0,0,0,0
"Pocatello","ID MSA",3,3,0,0,0,0
"Portland","ME MSA",84,61,8,7,8,1
"Portland-Salem","OR-WA CMSA",1067,942,20,12,93,9
"Providence-Fall River-Warwick","RI-MA MSA",108,90,10,3,5,1
"Provo-Orem","UT MSA",383,160,14,3,206,6
"Pueblo","CO MSA",129,97,16,16,0,0
"Punta Gorda","FL MSA",151,144,4,3,0,0
"Raleigh-Durham-Chapel HillNC MSA","1167",854,14,0,299,17,NA
"Rapid City","SD MSA",37,33,4,0,0,0
"Reading","PA MSA",42,38,4,0,0,0
"Redding","CA MSA",119,89,4,7,19,3
