"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month"
"Abilene","TX",20,20,0,0,0,1
"Akron","OH",135,107,0,0,28,1
"Albany","GA",70,47,2,0,21,1
"Albany-Schenectady-Troy","NY",73,63,0,0,10,1
"Albuquerque","NM",580,502,18,7,53,1
"Alexandria","LA",26,26,0,0,0,1
"Allentown-Bethlehem-Easton","PA-NJ",228,217,2,3,6,1
"Altoona","PA",6,6,0,0,0,1
"Amarillo","TX",83,83,0,0,0,1
"Ames","IA",31,7,0,0,24,1
"Anchorage","AK",51,33,10,8,0,1
"Anderson","IN",26,26,0,0,0,1
"Anderson","SC",103,97,6,0,0,1
"Ann Arbor","MI",92,87,0,0,5,1
"Anniston-Oxford","AL",33,33,0,0,0,1
"Appleton","WI",47,41,6,0,0,1
"Asheville","NC",248,232,2,0,14,1
"Athens-Clarke County","GA",112,112,0,0,0,1
"Atlanta-Sandy Springs-Marietta","GA",5059,4597,22,15,425,1
"Atlantic City","NJ",107,102,0,0,5,1
"Auburn-Opelika","AL",111,109,2,0,0,1
"Augusta-Richmond County","GA-SC",309,220,0,0,89,1
"Austin-Round Rock","TX",918,888,18,4,8,1
"Bakersfield","CA",460,453,4,3,0,1
"Baltimore-Towson","MD",540,497,0,10,33,1
"Bangor","ME",15,11,0,4,0,1
"Barnstable Town","MA",61,53,0,8,0,1
"Baton Rouge","LA",453,363,0,0,90,1
"Battle Creek","MI",7,7,0,0,0,1
"Bay City","MI",1,1,0,0,0,1
"Beaumont-Port Arthur","TX",46,46,0,0,0,1
"Bellingham","WA",138,85,2,4,47,1
"Bend","OR",237,224,10,3,0,1
"Billings","MT",16,8,8,0,0,1
"Binghamton","NY",5,5,0,0,0,1
"Birmingham-Hoover","AL",671,511,0,0,160,1
"Bismarck","ND",11,8,0,3,0,1
"Blacksburg-Christiansburg-Radford","VA",3,3,0,0,0,1
"Bloomington","IN",48,29,6,0,13,1
"Bloomington-Normal","IL",20,20,0,0,0,1
"Boise City-Nampa","ID",623,583,24,16,0,1
"Boston-Cambridge-Quincy","MA-NH",1157,488,58,36,575,1
"Boulder","CO",68,66,2,0,0,1
"Bowling Green","KY",116,59,0,0,57,1
"Bremerton-Silverdale","WA",71,71,0,0,0,1
"Bridgeport-Stamford-Norwalk","CT",132,116,0,0,16,1
"Brownsville-Harlingen","TX",210,202,8,0,0,1
"Brunswick","GA",72,72,0,0,0,1
"Buffalo-Niagara Falls","NY",83,66,0,0,17,1
"Burlington","NC",120,120,0,0,0,1
"Burlington-South Burlington","VT",37,19,4,3,11,1
"Canton-Massillon","OH",58,55,0,3,0,1
"Cape Coral-Fort Myers","FL",2181,1823,16,24,318,1
"Carson City","NV",28,4,0,0,24,1
"Casper","WY",13,13,0,0,0,1
"Cedar Rapids","IA",65,23,2,7,33,1
"Champaign-Urbana","IL",38,38,0,0,0,1
"Charleston","WV",20,20,0,0,0,1
"Charleston-North Charleston","SC",711,466,0,3,242,1
"Charlotte-Gastonia-Concord","NC-SC",1419,1321,8,0,90,1
"Charlottesville","VA",163,121,2,0,40,1
"Chattanooga","TN-GA",229,219,2,0,8,1
