"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month"
"Grand Junction","CO",73,71,2,0,0,1
"Grand Rapids-Wyoming","MI",104,86,2,3,13,1
"Great Falls","MT",5,5,0,0,0,1
"Greeley","CO",69,69,0,0,0,1
"Green Bay","WI",47,31,0,0,16,1
"Greensboro-High Point","NC",216,195,0,0,21,1
"Greenville","NC",143,103,16,0,24,1
"Greenville","SC",553,234,6,7,306,1
"Gulfport-Biloxi","MS",203,167,36,0,0,1
"Hagerstown-Martinsburg","MD-WV",149,141,4,4,0,1
"Hanford-Corcoran","CA",18,10,0,3,5,1
"Harrisburg-Carlisle","PA",99,83,0,0,16,1
"Harrisonburg","VA",55,31,0,0,24,1
"Hartford-West Hartford-East Hartford","CT",87,58,2,0,27,1
"Hattiesburg","MS",50,50,0,0,0,1
"Hickory-Lenoir-Morganton","NC",94,94,0,0,0,1
"Hinesville-Fort Stewart","GA",3,3,0,0,0,1
"Holland-Grand Haven","MI",45,15,0,0,30,1
"Honolulu","HI",92,47,0,0,45,1
"Hot Springs","AR",6,6,0,0,0,1
"Houma-Bayou Cane-Thibodaux","LA",76,76,0,0,0,1
"Houston-Sugar Land-Baytown","TX",2789,2394,46,4,345,1
"Huntington-Ashland","WV-KY-OH",11,6,0,0,5,1
"Huntsville","AL",181,181,0,0,0,1
"Idaho Falls","ID",26,26,0,0,0,1
"Indianapolis-Carmel","IN",312,282,4,11,15,1
"Iowa City","IA",31,31,0,0,0,1
"Ithaca","NY",12,7,0,0,5,1
"Jackson","MI",35,3,0,0,32,1
"Jackson","MS",117,103,0,0,14,1
"Jackson","TN",13,13,0,0,0,1
"Jacksonville","FL",759,474,10,4,271,1
"Jacksonville","NC",85,83,2,0,0,1
"Janesville","WI",8,8,0,0,0,1
"Jefferson City","MO",5,5,0,0,0,1
"Johnson City","TN",67,59,0,0,8,1
"Johnstown","PA",0,0,0,0,0,1
"Jonesboro","AR",41,41,0,0,0,1
"Joplin","MO",15,11,0,4,0,1
"Kalamazoo-Portage","MI",37,37,0,0,0,1
"Kankakee-Bradley","IL",2,2,0,0,0,1
"Kansas City","MO-KS",616,200,4,20,392,1
"Kennewick-Pasco-Richland","WA",53,53,0,0,0,1
"Killeen-Temple-Fort Hood","TX",173,151,6,16,0,1
"Kingsport-Bristol-Bristol","TN-VA",47,30,2,0,15,1
"Kingston","NY",2,2,0,0,0,1
"Knoxville","TN",225,168,12,0,45,1
"Kokomo","IN",1,1,0,0,0,1
"La Crosse","WI-MN",22,10,0,0,12,1
"Lafayette","IN",48,31,0,0,17,1
"Lafayette","LA",89,67,0,0,22,1
"Lake Charles","LA",43,36,2,0,5,1
"Lake Havasu City-Kingman","AZ",25,25,0,0,0,1
"Lakeland-Winter Haven","FL",510,171,2,0,337,1
"Lancaster","PA",41,41,0,0,0,1
"Lansing-East Lansing","MI",20,15,0,0,5,1
"Laredo","TX",101,76,0,8,17,1
"Las Cruces","NM",94,77,2,3,12,1
"Las Vegas-Paradise","NV",361,361,0,0,0,1
"Lawrence","KS",20,12,2,0,6,1
"Lawton","OK",14,14,0,0,0,1
"Lebanon","PA",35,35,0,0,0,1
"Lewiston","ID-WA",3,1,2,0,0,1
"Lewiston-Auburn","ME",7,7,0,0,0,1
"Lexington-Fayette","KY",82,82,0,0,0,1
"Lima","OH",0,0,0,0,0,1
"Lincoln","NE",63,57,6,0,0,1
"Little Rock-North Little Rock","AR",209,178,8,0,23,1
"Logan","UT-ID",15,7,0,3,5,1
"Longview","TX",28,12,0,0,16,1
"Longview","WA",13,13,0,0,0,1
"Los Angeles-Long Beach-Santa Ana","CA",1091,430,36,20,605,1
"Louisville-Jefferson County","KY-IN",237,217,4,0,16,1
"Lubbock","TX",224,47,0,0,177,1
"Lynchburg","VA",58,58,0,0,0,1
"Macon","GA",22,22,0,0,0,1
"Madera","CA",21,21,0,0,0,1
"Madison","WI",109,63,2,3,41,1
"Manchester-Nashua","NH",45,30,0,0,15,1
"Mansfield","OH",0,0,0,0,0,1
"McAllen-Edinburg-Mission","TX",434,302,4,43,85,1
"Medford","OR",24,24,0,0,0,1
"Memphis","TN-MS-AR",208,200,0,8,0,1
"Merced","CA",32,32,0,0,0,1
"Miami-Fort Lauderdale-Miami Beach","FL",689,450,20,9,210,1
"Michigan City-La Porte","IN",7,7,0,0,0,1
"Midland","TX",37,37,0,0,0,1
"Milwaukee-Waukesha-West Allis","WI",124,97,6,6,15,1
"Minneapolis-St. Paul-Bloomington","MN-WI",280,242,0,4,34,1
"Missoula","MT",13,13,0,0,0,1
"Mobile","AL",371,113,8,0,250,1
"Modesto","CA",60,46,0,0,14,1
"Monroe","LA",27,17,0,0,10,1
"Monroe","MI",7,7,0,0,0,1
"Montgomery","AL",48,48,0,0,0,1
"Morgantown","WV",39,0,0,0,39,1
"Morristown","TN",22,20,2,0,0,1
"Mount Vernon-Anacortes","WA",45,30,0,0,15,1
"Muncie","IN",5,5,0,0,0,1
"Muskegon-Norton Shores","MI",8,6,2,0,0,1
"Myrtle Beach-North Myrtle Beach-Conway","SC",263,168,0,0,95,1
"Napa","CA",5,5,0,0,0,1
"Naples-Marco Island","FL",172,75,0,0,97,1
"Nashville-Davidson--Murfreesboro","TN",540,461,12,3,64,1
"New Haven-Milford","CT",62,35,4,0,23,1
"New Orleans-Metairie-Kenner","LA",658,309,14,0,335,1
"New York-Northern New Jersey-Long Island","NY-NJ-PA",3570,788,214,129,2439,1
"Niles-Benton Harbor","MI",2,2,0,0,0,1
"Norwich-New London","CT",23,23,0,0,0,1
"Ocala","FL",142,140,2,0,0,1
"Ocean City","NJ",50,42,8,0,0,1
"Odessa","TX",25,25,0,0,0,1
"Ogden-Clearfield","UT",103,99,0,4,0,1
"Oklahoma City","OK",380,344,2,16,18,1
"Olympia","WA",75,73,2,0,0,1
"Omaha-Council Bluffs","NE-IA",478,157,6,0,315,1
"Orlando-Kissimmee","FL",1951,695,4,8,1244,1
"Oshkosh-Neenah","WI",132,31,0,0,101,1
"Owensboro","KY",18,18,0,0,0,1
"Oxnard-Thousand Oaks-Ventura","CA",68,34,2,16,16,1
"Palm Bay-Melbourne-Titusville","FL",99,99,0,0,0,1
"Palm Coast","FL",29,27,2,0,0,1
"Panama City-Lynn Haven","FL",136,35,4,0,97,1
"Parkersburg-Marietta-Vienna","WV-OH",10,10,0,0,0,1
"Pascagoula","MS",255,51,0,20,184,1
"Pensacola-Ferry Pass-Brent","FL",273,119,12,0,142,1
"Peoria","IL",12,12,0,0,0,1
"Philadelphia-Camden-Wilmington","PA-NJ-DE-MD",945,616,6,3,320,1
"Phoenix-Mesa-Scottsdale","AZ",1850,1010,4,45,791,1
"Pine Bluff","AR",28,2,2,0,24,1
"Pittsburgh","PA",258,209,6,3,40,1
"Pittsfield","MA",0,0,0,0,0,1
"Pocatello","ID",9,9,0,0,0,1
"Port St. Lucie","FL",141,110,0,12,19,1
"Portland-South Portland-Biddeford","ME",102,91,6,0,5,1
"Portland-Vancouver-Beaverton","OR-WA",413,391,2,0,20,1
