"City","State","Total","X1_Units","X2_Units","X3.4_Units","X5.Inf_Units","X5.Inf_Units_Stucture"
"Abilene","TX MSA",10,8,2,0,0,0
"Albany","GA MSA",55,55,0,0,0,0
"Albany-Schenectady-Troy","NYMSA",125,116,4,0,5,1
"Albuquerque","NM MSA",108,100,0,8,0,0
"Alexandria","LA MSA",36,28,0,0,8,1
"Allentown-Bethlehem-Easton PA MSA","145",142,0,3,0,0,NA
"Altoona","PA MSA",3,3,0,0,0,0
"Amarillo","TX MSA",57,55,2,0,0,0
"Anchorage","AK MSA",110,68,42,0,0,0
"Anniston","AL MSA",21,21,0,0,0,0
"Appleton-Oshkosh-Neenah","WIMSA",165,122,6,12,25,3
"Asheville","NC MSA",131,81,6,4,40,1
"Athens","GA MSA",91,91,0,0,0,0
"Atlanta","GA MSA",4866,3618,14,36,1198,78
"Auburn-Opelika","AL MSA",105,29,12,4,60,5
"Augusta-Aiken","GA-SC MSA",312,248,0,0,64,3
"Austin-San Marcos","TX MSA",1430,599,10,4,817,22
"Bakersfield","CA MSA",207,190,0,7,10,2
"Bangor","ME MSA",5,5,0,0,0,0
"Barnstable-Yarmouth","MA MSA",51,51,0,0,0,0
"Baton Rouge","LA MSA",101,101,0,0,0,0
"Beaumont-Port Arthur","TX MSA",44,44,0,0,0,0
"Bellingham","WA MSA",97,67,4,3,23,1
"Benton Harbor","MI MSA",7,7,0,0,0,0
"Billings","MT MSA",40,40,0,0,0,0
"Biloxi-Gulfport-Pascagoula MS MSA","161",161,0,0,0,0,NA
"Binghamton","NY MSA",5,5,0,0,0,0
"Birmingham","AL MSA",398,364,0,0,34,3
"Bismarck","ND MSA",59,11,0,0,48,3
"Bloomington","IN MSA",79,36,2,4,37,5
"Bloomington-Normal","IL MSA",40,40,0,0,0,0
"Boise City","ID MSA",414,356,6,4,48,8
"Boston-Worcester-LawrenceMA-NH-ME-CT CMSA","1197",980,62,24,131,11,NA
"Brownsville-Harlingen-SanBenito","TX MSA",244,220,8,11,5,1
"Bryan-College Station","TX MSA",82,62,20,0,0,0
"Buffalo-Niagara Falls","NY MSA",131,115,2,0,14,1
"Burlington","VT MSA",65,23,0,0,42,2
"Canton-Massillon","OH MSA",64,59,0,0,5,1
"Casper","WY MSA",10,10,0,0,0,0
"Cedar Rapids","IA MSA",42,32,2,8,0,0
"Champaign-Urbana","IL MSA",142,24,0,0,118,8
"Charleston-NorthCharleston","SC MSA",420,348,4,6,62,6
"Charleston","WV MSA",27,22,0,0,5,1
"Charlotte-Gastonia-RockHill","NC-SC MSA",1245,1152,0,9,84,7
"Charlottesville","VA MSA",241,119,0,0,122,1
"Chattanooga","TN-GA MSA",179,165,6,3,5,1
"Cheyenne","WY MSA",26,26,0,0,0,0
"Chicago-Gary-Kenosha","IL-IN-WI CMSA",2652,1818,26,95,713,40
"Chico-Paradise","CA MSA",98,96,2,0,0,0
"Cincinnati-Hamilton","OH-KY-IN CMSA",841,644,4,8,185,17
"Clarksville-Hopkinsville TN-KY MSA","112",84,28,0,0,0,NA
"Cleveland-Akron","OH CMSA",549,509,6,14,20,3
"Colorado Springs","CO MSA",288,268,2,8,10,2
"Columbia","MO MSA",71,69,2,0,0,0
"Columbia","SC MSA",330,330,0,0,0,0
"Columbus","GA-AL MSA",97,91,6,0,0,0
"Columbus","OH MSA",996,728,4,25,239,17
"Corpus Christi","TX MSA",66,57,2,7,0,0
"Corvallis OR MSA","14",14,0,0,0,0,NA
"Cumberland","MD-WV MSA",9,9,0,0,0,0
"Dallas-Fort Worth","TX CMSA",3553,2802,34,0,717,51
"Danville","VA MSA",31,28,0,3,0,0
"Davenport-Moline-RockIsland","IA-IL MSA",37,23,2,0,12,1
"Dayton-Springfield","OH MSA",119,114,2,3,0,0
"Daytona Beach","FL MSA",636,590,38,3,5,1
"Decatur","Al MSA",38,38,0,0,0,0
"Decatur","IL MSA",17,9,0,0,8,1
"Denver-Boulder-Greeley","COCMSA",2452,1236,10,62,1144,59
"Des Moines","IA MSA",440,178,6,16,240,30
"Detroit-Ann Arbor-Flint","MICMSA",1388,1160,66,7,155,13
"Dothan","AL MSA",32,32,0,0,0,0
"Dover","DE MSA",82,82,0,0,0,0
"Dubuque","IA MSA",10,10,0,0,0,0
"Duluth-Superior","MN-WI MSA",20,17,0,3,0,0
"Eau Claire","WI MSA",12,12,0,0,0,0
"El Paso","TX MSA",310,306,4,0,0,0
"Elkhart-Goshen","IN MSA",58,58,0,0,0,0
"Elmira","NY MSA",4,4,0,0,0,0
"Enid","OK MSA",50,3,0,0,47,6
"Erie","PA MSA",19,19,0,0,0,0
"Eugene-Springfield","OR MSA",132,95,4,0,33,6
"Evansville-Henderson","IN-KYMSA",114,110,0,4,0,0
"Fargo-Moorhead","ND-MN MSA",11,7,0,4,0,0
"Fayetteville","NC MSA",178,76,2,0,100,8
"Fayetteville-Springdale-Rogers","AR MSA",854,155,2,0,697,59
"Flagstaff","AZ-UT MSA",47,45,2,0,0,0
"Florence","AL MSA",11,11,0,0,0,0
"Florence","SC MSA",52,45,0,0,7,1
"Fort Collins-Loveland","CO MSA",179,154,10,3,12,1
"Fort Myers-Cape Coral","FL MSA",745,516,32,24,173,9
"Fort Pierce-Port St. Lucie FL MSA","388",295,8,0,85,6,NA
"Fort Smith","AR-OK MSA",148,33,0,0,115,1
"Fort Walton Beach","FL MSA",106,88,0,4,14,2
"Fort Wayne","IN MSA",156,152,4,0,0,0
"Fresno","CA MSA",305,279,8,8,10,2
"Gadsden","AL MSA",9,9,0,0,0,0
"Gainesville","FL MSA",93,66,0,3,24,2
"Glens Falls","NY MSA",22,22,0,0,0,0
"Goldsboro","NC MSA",32,32,0,0,0,0
"Grand Forks","ND-MN MSA",1,1,0,0,0,0
"Grand Junction","CO MSA",85,83,2,0,0,0
"Grand Rapids-Muskegon-Holland","MI MSA",430,389,4,7,30,4
"Great Falls","MT MSA",8,8,0,0,0,0
"Green Bay","WI MSA",56,47,4,0,5,1
"Greensboro--Winston-Salem--High Point","NC MSA",766,551,6,3,206,12
"Greenville","NC MSA",106,40,14,0,52,5
"Greenville-Spartanburg-Anderson","SC MSA",725,526,34,0,165,8
"Harrisburg-Lebanon-Carlisle","PA MSA",134,134,0,0,0,0
"Hartford","CT MSA",223,192,6,0,25,3
"Hattiesburg","MS MSA",12,12,0,0,0,0
"Hickory-Morganton-Lenoir NC MSA","169",143,0,0,26,1,NA
"Honolulu","HI MSA",51,49,2,0,0,0
"Houma","LA MSA",86,86,0,0,0,0
