areacode2,MSA,State,State_Alpha,County,MSAName,StateName,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,FMRType,pop100
40000009,10000,4,AZ,9,,Arizona,432,454,577,753,895,40,33489
40000011,10000,4,AZ,11,,Arizona,432,454,577,753,895,40,8547
40000012,10000,4,AZ,12,,Arizona,440,462,587,767,911,40,19715
40000017,10000,4,AZ,17,,Arizona,440,462,587,767,911,40,97470
40000023,10000,4,AZ,23,,Arizona,430,475,591,749,890,40,38381
40000025,10000,4,AZ,25,,Arizona,449,467,625,871,959,40,167517
42620000,2620,4,AZ,5,"Flagstaff, AZ--UT MSA",Arizona,670,723,939,1259,1512,40,116320
46200000,6200,4,AZ,21,"Phoenix--Mesa, AZ MSA",Arizona,549,664,835,1161,1367,50,3251876
48520000,8520,4,AZ,19,"Tucson, AZ MSA",Arizona,465,557,741,1030,1215,40,843746
49360000,9360,4,AZ,27,"Yuma, AZ MSA",Arizona,449,521,694,964,971,40,160026
50000001,10000,5,AR,1,,Arkansas,301,326,418,571,619,40,20749
50000003,10000,5,AR,3,,Arkansas,275,326,418,554,655,40,24209
50000005,10000,5,AR,5,,Arkansas,276,350,466,599,730,40,38386
50000009,10000,5,AR,9,,Arkansas,315,321,426,593,699,40,33948
50000011,10000,5,AR,11,,Arkansas,275,326,418,554,619,40,12600
50000013,10000,5,AR,13,,Arkansas,275,326,418,554,619,40,5744
50000015,10000,5,AR,15,,Arkansas,323,352,418,554,661,40,25357
50000017,10000,5,AR,17,,Arkansas,275,326,418,554,619,40,14117
50000019,10000,5,AR,19,,Arkansas,305,332,430,562,679,40,23546
50000021,10000,5,AR,21,,Arkansas,275,326,418,554,619,40,17609
50000023,10000,5,AR,23,,Arkansas,310,326,418,554,627,40,24046
50000025,10000,5,AR,25,,Arkansas,275,326,418,554,619,40,8571
50000027,10000,5,AR,27,,Arkansas,275,326,418,554,619,40,25603
50000029,10000,5,AR,29,,Arkansas,271,334,448,560,627,40,20336
50000037,10000,5,AR,37,,Arkansas,285,361,418,561,663,40,19526
50000039,10000,5,AR,39,,Arkansas,275,326,418,554,619,40,9210
50000041,10000,5,AR,41,,Arkansas,275,326,418,554,619,40,15341
50000043,10000,5,AR,43,,Arkansas,269,348,464,642,654,40,18723
50000047,10000,5,AR,47,,Arkansas,288,326,418,554,619,40,17771
50000049,10000,5,AR,49,,Arkansas,284,326,418,554,619,40,11642
50000051,10000,5,AR,51,,Arkansas,277,352,472,659,779,40,88068
50000053,10000,5,AR,53,,Arkansas,285,338,418,554,625,40,16464
50000055,10000,5,AR,55,,Arkansas,294,326,418,554,619,40,37331
50000057,10000,5,AR,57,,Arkansas,275,326,418,554,619,40,23587
50000059,10000,5,AR,59,,Arkansas,275,326,418,554,619,40,30353
50000061,10000,5,AR,61,,Arkansas,275,326,418,554,619,40,14300
50000063,10000,5,AR,63,,Arkansas,289,334,418,554,619,40,34233
50000065,10000,5,AR,65,,Arkansas,275,326,418,554,619,40,13249
50000067,10000,5,AR,67,,Arkansas,284,326,418,554,619,40,18418
50000071,10000,5,AR,71,,Arkansas,275,326,418,554,619,40,22781
50000073,10000,5,AR,73,,Arkansas,288,326,418,554,619,40,8559
50000075,10000,5,AR,75,,Arkansas,275,326,418,554,619,40,17774
50000077,10000,5,AR,77,,Arkansas,302,326,418,554,619,40,12580
50000079,10000,5,AR,79,,Arkansas,297,327,425,568,620,40,14492
50000081,10000,5,AR,81,,Arkansas,276,328,426,591,697,40,13628
50000083,10000,5,AR,83,,Arkansas,288,326,418,554,619,40,22486
50000087,10000,5,AR,87,,Arkansas,311,323,420,548,613,40,14243
50000089,10000,5,AR,89,,Arkansas,275,326,418,554,619,40,16140
50000093,10000,5,AR,93,,Arkansas,313,338,453,597,670,40,51979
50000095,10000,5,AR,95,,Arkansas,279,326,418,554,619,40,10254
50000097,10000,5,AR,97,,Arkansas,275,326,418,554,619,40,9245
50000099,10000,5,AR,99,,Arkansas,275,326,418,572,619,40,9955
50000101,10000,5,AR,101,,Arkansas,275,326,418,554,619,40,8608
50000103,10000,5,AR,103,,Arkansas,321,326,418,576,680,40,28790
50000105,10000,5,AR,105,,Arkansas,275,326,418,554,619,40,10209
50000107,10000,5,AR,107,,Arkansas,275,326,418,554,619,40,26445
50000109,10000,5,AR,109,,Arkansas,275,326,418,554,619,40,11303
50000111,10000,5,AR,111,,Arkansas,275,326,418,554,619,40,25614
50000113,10000,5,AR,113,,Arkansas,275,326,418,554,619,40,20229
50000115,10000,5,AR,115,,Arkansas,274,358,452,627,723,40,54469
50000117,10000,5,AR,117,,Arkansas,275,326,418,554,619,40,9539
50000121,10000,5,AR,121,,Arkansas,275,326,418,554,619,40,18195
50000123,10000,5,AR,123,,Arkansas,275,333,418,566,665,40,29329
50000127,10000,5,AR,127,,Arkansas,275,326,418,554,619,40,10996
50000129,10000,5,AR,129,,Arkansas,275,326,418,554,619,40,8261
50000133,10000,5,AR,133,,Arkansas,299,326,418,554,619,40,15757
50000135,10000,5,AR,135,,Arkansas,275,326,418,554,619,40,17119
50000137,10000,5,AR,137,,Arkansas,275,326,418,554,619,40,11499
50000139,10000,5,AR,139,,Arkansas,352,372,447,600,734,40,45629
50000141,10000,5,AR,141,,Arkansas,275,326,418,554,683,40,16192
50000145,10000,5,AR,145,,Arkansas,275,326,418,572,619,40,67165
50000147,10000,5,AR,147,,Arkansas,275,326,418,554,619,40,8741
50000149,10000,5,AR,149,,Arkansas,285,326,418,554,619,40,21139
52580000,2580,5,AR,143,"Fayetteville--Springdale--Rogers, AR MSA",Arkansas,351,443,582,786,813,40,311121
52720000,2720,40,OK,135,"Fort Smith, AR--OK MSA",Oklahoma,385,389,513,685,719,40,207290
53700000,3700,5,AR,31,"Jonesboro, AR MSA",Arkansas,414,451,530,729,771,40,82148
54400000,4400,5,AR,125,"Little Rock--North Little Rock, AR MSA",Arkansas,434,482,574,792,925,40,583845
56240000,6240,5,AR,69,"Pine Bluff, AR MSA",Arkansas,330,391,515,650,842,40,84278
60000003,10000,6,CA,3,,California,359,538,609,845,910,40,1208
60000005,10000,6,CA,5,,California,502,553,738,1028,1146,40,35100
60000009,10000,6,CA,9,,California,449,519,692,964,1134,40,40554
60000011,10000,6,CA,11,,California,397,445,572,797,922,40,18804
60000015,10000,6,CA,15,,California,368,504,670,935,1101,40,27507
60000021,10000,6,CA,21,,California,363,445,572,797,922,40,26453
60000023,10000,6,CA,23,,California,378,524,687,959,1133,40,126518
60000025,10000,6,CA,25,,California,405,508,625,871,912,40,142361
60000027,10000,6,CA,27,,California,377,508,652,855,922,40,17945
60000031,10000,6,CA,31,,California,412,481,599,834,982,40,129461
60000033,10000,6,CA,33,,California,414,527,705,887,1156,40,58309
60000035,10000,6,CA,35,,California,445,451,586,799,924,40,33828
60000043,10000,6,CA,43,,California,400,508,653,855,1008,40,17130
60000045,10000,6,CA,45,,California,505,609,747,1040,1048,40,86265
60000049,10000,6,CA,49,,California,397,445,572,797,922,40,9449
60000051,10000,6,CA,51,,California,550,660,878,1222,1443,40,12853
60000057,10000,6,CA,57,,California,465,636,848,1178,1364,40,92033
60000063,10000,6,CA,63,,California,401,445,572,797,922,40,20824
60000069,10000,6,CA,69,,California,620,730,914,1273,1490,40,53234
60000091,10000,6,CA,91,,California,359,483,593,824,972,40,3555
60000093,10000,6,CA,93,,California,381,445,572,797,922,40,44301
60000103,10000,6,CA,103,,California,380,445,572,797,922,40,56039
60000105,10000,6,CA,105,,California,407,445,572,797,922,40,13022
60000109,10000,6,CA,109,,California,404,551,735,1023,1206,40,54501
60680000,680,6,CA,29,"Bakersfield, CA MSA",California,445,500,628,872,965,40,661645
61620000,1620,6,CA,7,"Chico--Paradise, CA MSA",California,401,517,688,943,1128,40,203171
62840000,2840,6,CA,39,"Fresno, CA MSA",California,472,527,630,877,1010,40,922516
64480000,4480,6,CA,37,"Los Angeles--Long Beach, CA PMSA",California,723,865,1095,1478,1765,40,9519338
64940000,4940,6,CA,47,"Merced, CA MSA",California,482,544,661,914,1078,40,210554
65170000,5170,6,CA,99,"Modesto, CA MSA",California,576,619,755,1053,1242,40,446997
65775000,5775,6,CA,13,"Oakland, CA PMSA",California,936,1132,1420,1947,2325,50,2392557
65945000,5945,6,CA,59,"Orange County, CA PMSA",California,903,987,1220,1698,1889,50,2846289
66690000,6690,6,CA,89,"Redding, CA MSA",California,457,507,635,881,1038,40,163256
66780000,6780,6,CA,71,"Riverside--San Bernardino, CA PMSA",California,568,632,773,1072,1266,40,3254821
66920000,6920,6,CA,67,"Sacramento, CA PMSA",California,674,759,950,1318,1554,50,1628197
67120000,7120,6,CA,53,"Salinas, CA MSA",California,761,891,1074,1492,1565,40,401762
67320000,7320,6,CA,73,"San Diego, CA MSA",California,822,939,1175,1636,1928,50,2813833
67360000,7360,6,CA,81,"San Francisco, CA PMSA",California,1297,1680,2124,2913,3083,40,1731183
67400000,7400,6,CA,85,"San Jose, CA PMSA",California,1294,1475,1821,2496,2803,50,1682585
67460000,7460,6,CA,79,"San Luis Obispo--Atascadero--Paso Robles, CA MSA",California,681,769,975,1356,1601,40,246681
67480000,7480,6,CA,83,"Santa Barbara--Santa Maria--Lompoc, CA MSA",California,794,882,1118,1556,1757,40,399347
67485000,7485,6,CA,87,"Santa Cruz--Watsonville, CA PMSA",California,897,1068,1426,1983,2323,40,255602
67500000,7500,6,CA,97,"Santa Rosa, CA PMSA",California,828,938,1215,1690,1996,40,458614
68120000,8120,6,CA,77,"Stockton--Lodi, CA MSA",California,548,618,794,1106,1304,40,563598
68720000,8720,6,CA,95,"Vallejo--Fairfield--Napa, CA PMSA",California,845,960,1171,1626,1918,40,518821
68735000,8735,6,CA,111,"Ventura, CA PMSA",California,785,902,1142,1518,1769,50,753197
68780000,8780,6,CA,107,"Visalia--Tulare--Porterville, CA MSA",California,451,481,626,874,998,40,368021
69270000,9270,6,CA,113,"Yolo, CA PMSA",California,581,663,821,1136,1343,40,168660
69340000,9340,6,CA,115,"Yuba City, CA MSA",California,403,471,605,844,975,40,139149
80000003,10000,8,CO,3,,Colorado,451,467,585,788,939,40,14966
80000007,10000,8,CO,7,,Colorado,529,580,686,925,1100,40,9898
80000009,10000,8,CO,9,,Colorado,455,471,590,795,948,40,4517
80000011,10000,8,CO,11,,Colorado,452,469,587,791,943,40,5998
80000015,10000,8,CO,15,,Colorado,448,464,580,783,933,40,16242
80000017,10000,8,CO,17,,Colorado,445,461,577,779,928,40,2231
80000019,10000,8,CO,19,,Colorado,444,519,586,815,960,40,9322
80000021,10000,8,CO,21,,Colorado,454,470,589,794,946,40,8400
80000023,10000,8,CO,23,,Colorado,447,463,579,781,931,40,3663
80000025,10000,8,CO,25,,Colorado,446,462,578,780,930,40,5518
80000027,10000,8,CO,27,,Colorado,447,463,579,781,931,40,3503
80000029,10000,8,CO,29,,Colorado,446,462,578,780,930,40,27834
80000033,10000,8,CO,33,,Colorado,447,463,579,781,931,40,1844
80000037,10000,8,CO,37,,Colorado,618,675,899,1251,1476,40,41659
80000039,10000,8,CO,39,,Colorado,487,538,617,770,1010,40,19872
80000043,10000,8,CO,43,,Colorado,446,462,578,780,930,40,46145
80000045,10000,8,CO,45,,Colorado,528,566,715,893,1170,40,43791
80000047,10000,8,CO,47,,Colorado,440,585,744,981,1085,40,4757
80000049,10000,8,CO,49,,Colorado,540,544,689,862,1044,40,12442
80000051,10000,8,CO,51,,Colorado,458,475,595,802,956,40,13956
80000053,10000,8,CO,53,,Colorado,454,480,589,794,946,40,790
80000055,10000,8,CO,55,,Colorado,454,470,589,794,946,40,7862
