"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","3476",3476,0,0,0
"2","Akron, OH","24606",23667,450,0,489
"3","Albany, GA","6648",5369,138,0,1141
"4","Albany-Schenectady-Troy, NY","15809",15229,0,0,580
"5","Albuquerque,* NM","75761",75024,0,87,650
"6","Alexandria, LA","3879",3879,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","38426",37094,0,0,1332
"8","Altoona, PA","75",75,0,0,0
"9","Amarillo, TX","10638",10638,0,0,0
"10","Ames, IA","17420",3404,0,0,14016
"11","Anchorage,* AK","11887",7222,4227,438,0
"12","Anderson, IN","2652",2652,0,0,0
"13","Anderson, SC","14623",14493,130,0,0
"14","Ann Arbor, MI","14243",12895,0,0,1348
"15","Anniston-Oxford, AL","935",935,0,0,0
"16","Appleton, WI","15541",15116,425,0,0
"17","Asheville, NC","46288",40122,574,225,5367
"18","Athens-Clarke County, GA","18653",16394,0,0,2259
"19","Atlanta-Sandy Springs-Marietta,* GA","637314",555944,780,1452,79138
"20","Atlantic City,* NJ","16703",16703,0,0,0
"21","Auburn-Opelika,* AL","20895",16249,0,0,4646
"22","Augusta-Richmond County, GA-SC","28613",28613,0,0,0
"23","Austin-Round Rock,* TX","175251",169897,3417,139,1798
"24","Bakersfield, CA","77458",65826,791,262,10579
"25","Baltimore-Towson,* MD","96958",78571,2100,1122,15165
"26","Bangor, ME","7014",7014,0,0,0
"27","Barnstable Town, MA","17046",16618,0,428,0
"28","Baton Rouge, LA","34095",33964,131,0,0
"29","Battle Creek, MI","5106",1644,0,0,3462
"30","Bay City, MI","1155",1155,0,0,0
"31","Beaumont-Port Arthur, TX","3300",3300,0,0,0
"32","Bellingham, WA","19104",18298,0,806,0
"33","Bend,* OR","61207",56217,2840,2150,0
"34","Billings, MT","5850",5850,0,0,0
"35","Binghamton, NY","0",0,0,0,0
"36","Birmingham-Hoover,* AL","87168",87168,0,0,0
"37","Bismarck, ND","3679",3679,0,0,0
"38","Bloomington, IN","7222",5577,900,0,745
"39","Bloomington-Normal, IL","6391",4954,0,0,1437
"40","Boise City-Nampa,* ID","125586",116877,1279,7430,0
"41","Boston-Cambridge-Quincy,* MA-NH","122528",84202,4022,1270,33034
"42","Boulder, CO","15692",15364,0,0,328
"43","Bowling Green, KY","8337",8337,0,0,0
"44","Bremerton-Silverdale, WA","14689",14501,188,0,0
"45","Bridgeport-Stamford-Norwalk, CT","27599",26713,436,0,450
"46","Brownsville-Harlingen, TX","20870",19339,696,131,704
"47","Brunswick, GA","11604",11604,0,0,0
"48","Buffalo-Niagara Falls, NY","15491",12497,194,0,2800
"49","Burlington, NC","10408",10408,0,0,0
"50","Burlington-South Burlington, VT","4414",3935,479,0,0
"51","Canton-Massillon, OH","12493",12255,0,238,0
"52","Cape Coral-Fort Myers,* FL","376227",288904,1029,4672,81622
"53","Carson City,* NV","2153",2153,0,0,0
"54","Casper,* WY","2455",2455,0,0,0
"55","Cedar Rapids, IA","6822",4399,122,1338,963
"56","Champaign-Urbana, IL","10952",7456,0,0,3496
"57","Charleston, WV","2767",2767,0,0,0
"58","Charleston-North Charleston,* SC","98255",88832,711,3414,5298
"59","Charlotte-Gastonia-Concord,* NC-SC","211790",208604,434,482,2270
"60","Charlottesville,* VA","20254",18087,266,236,1665
"61","Chattanooga, TN-GA","31239",30759,179,0,301
"62","Cheyenne, WY","4967",4280,0,415,272
"63","Chicago-Naperville-Joliet,* IL-IN-WI","510427",438416,4194,17010,50807
"64","Chico, CA","8695",8695,0,0,0
"65","Cincinnati-Middletown,* OH-KY-IN","118859",111000,500,1268,6091
"66","Clarksville, TN-KY","12987",12787,0,200,0
"67","Cleveland, TN","5096",5096,0,0,0
"68","Cleveland-Elyria-Mentor,* OH","80903",76903,440,3030,530
"69","Coeur d""Alene, ID","31650",23050,171,189,8240
"70","College Station-Bryan, TX","10164",8574,432,0,1158
"71","Colorado Springs,* CO","90575",81476,0,0,9099
"72","Columbia, MO","13533",11358,1025,0,1150
"73","Columbia,* SC","67567",63888,0,55,3624
"74","Columbus, GA-AL","20032",20032,0,0,0
"75","Columbus, IN","2636",2636,0,0,0
"76","Columbus,* OH","105620",101399,600,1019,2602
"77","Corpus Christi, TX","14736",13706,113,0,917
"78","Corvallis, OR","9034",3518,0,0,5516
"79","Cumberland, MD-WV","1609",1609,0,0,0
"80","Dallas-Fort Worth-Arlington,* TX","640882",559937,1678,1330,77937
"81","Dalton,* GA","7193",6184,0,219,790
"82","Danville, IL","0",0,0,0,0
"83","Danville,* VA","2646",2351,0,0,295
"84","Davenport-Moline-Rock Island,  IA-IL","6177",6177,0,0,0
"85","Dayton, OH","35734",34037,260,1437,0
"86","Decatur, AL","4196",4196,0,0,0
"87","Decatur, IL","485",485,0,0,0
"88","Deltona-Daytona Beach-Ormond Beach,*  FL","72769",66267,397,0,6105
"89","Denver-Aurora,* CO","256330",246287,700,0,9343
"90","Des Moines,* IA","43818",43620,198,0,0
"91","Detroit-Warren-Livonia,* MI","223189",209291,735,1123,12040
"92","Dothan, AL","3561",3561,0,0,0
"93","Dover,* DE","18265",17856,0,409,0
"94","Dubuque, IA","2144",1931,213,0,0
"95","Duluth, MN-WI","3213",3213,0,0,0
"96","Durham,* NC","57770",54251,414,312,2793
"97","Eau Claire, WI","4054",3824,0,0,230
"98","El Centro,* CA","6407",5865,0,311,231
"99","El Paso, TX","45275",37075,0,65,8135
"100","Elizabethtown, KY","4258",4258,0,0,0
"101","Elkhart-Goshen, IN","8579",8579,0,0,0
"102","Elmira, NY","0",0,0,0,0
"103","Erie, PA","1644",1494,0,0,150
"104","Eugene-Springfield,* OR","25090",16638,1003,7020,429
"105","Evansville, IN-KY","15126",14826,0,0,300
"106","Fairbanks,* AK","92",92,0,0,0
"107","Fargo, ND-MN","12060",1625,0,0,10435
