"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"117","Fort Smith, AR-OK","4671",4671,0,0,0
"118","Fort Walton Beach-Crestview-Destin,  FL","5930",5930,0,0,0
"119","Fort Wayne,* IN","16972",16972,0,0,0
"120","Fresno, CA","20597",19773,169,163,492
"121","Gadsden, AL","1225",1225,0,0,0
"122","Gainesville, FL","10466",8214,0,0,2252
"123","Gainesville, GA","7990",7990,0,0,0
"124","Glens Falls, NY","6286",5973,0,0,313
"125","Goldsboro, NC","3699",3699,0,0,0
"126","Grand Forks, ND-MN","1443",1443,0,0,0
"127","Grand Junction,* CO","20879",20671,208,0,0
"128","Grand Rapids-Wyoming,* MI","21418",19660,126,440,1192
"129","Great Falls, MT","2695",2695,0,0,0
"130","Greeley,* CO","22829",17689,0,0,5140
"131","Green Bay, WI","15053",11977,705,750,1621
"132","Greensboro-High Point,* NC","62188",49620,0,0,12568
"133","Greenville, NC","16572",16572,0,0,0
"134","Greenville,* SC","35763",33490,0,0,2273
"135","Gulfport-Biloxi, MS","40724",18564,0,0,22160
"136","Hagerstown-Martinsburg, MD-WV","20396",19546,0,0,850
"137","Hanford-Corcoran, CA","3311",3311,0,0,0
"138","Harrisburg-Carlisle, PA","18267",17584,0,0,683
"139","Harrisonburg,* VA","8231",8231,0,0,0
"140","Hartford-West Hartford-East Hartford,  CT","36505",34425,138,150,1792
"141","Hattiesburg, MS","0",0,0,0,0
"142","Hickory-Lenoir-Morganton, NC","24636",24636,0,0,0
"143","Hinesville-Fort Stewart, GA","2177",2177,0,0,0
"144","Holland-Grand Haven, MI","12023",10523,0,0,1500
"145","Honolulu,* HI","28136",18547,0,0,9589
"146","Hot Springs, AR","656",656,0,0,0
"147","Houma-Bayou Cane-Thibodaux, LA","12501",12501,0,0,0
"148","Houston-Sugar Land-Baytown,* TX","635057",517486,1602,1575,114394
"149","Huntington-Ashland, WV-KY-OH","727",727,0,0,0
"150","Huntsville, AL","27908",26438,0,0,1470
"151","Idaho Falls, ID","8595",8595,0,0,0
"152","Indianapolis-Carmel,* IN","97130",89627,861,0,6642
"153","Iowa City, IA","16852",15929,200,0,723
"154","Ithaca, NY","1807",1490,0,0,317
"155","Jackson, MI","737",737,0,0,0
"156","Jackson, MS","27595",27126,0,0,469
"157","Jackson, TN","3398",3398,0,0,0
"158","Jacksonville,* FL","123327",89405,605,2785,30532
"159","Jacksonville, NC","8503",8503,0,0,0
"160","Janesville, WI","5457",4505,629,0,323
"161","Jefferson City, MO","2554",2096,0,197,261
"162","Johnson City, TN","9397",9397,0,0,0
"163","Johnstown, PA","0",0,0,0,0
"164","Jonesboro, AR","6700",4935,0,1765,0
"165","Joplin, MO","806",675,131,0,0
"166","Kalamazoo-Portage, MI","6054",6054,0,0,0
"167","Kankakee-Bradley, IL","2230",2230,0,0,0
"168","Kansas City,* MO-KS","85243",73772,822,4762,5887
"169","Kennewick-Richland-Pasco, WA","16424",16424,0,0,0
"170","Killeen-Temple-Fort Hood, TX","17659",16550,560,549,0
"171","Kingsport-Bristol-Bristol, TN-VA","5146",4391,49,0,706
"172","Kingston, NY","3915",3915,0,0,0
"173","Knoxville, TN","27251",25528,151,0,1572
"174","Kokomo, IN","990",990,0,0,0
"175","La Crosse, WI-MN","4871",4871,0,0,0
"176","Lafayette, IN","6160",6160,0,0,0
"177","Lafayette, LA","11921",10797,0,0,1124
"178","Lake Charles, LA","6604",6187,151,0,266
"179","Lake Havasu City-Kingman, AZ","24097",23153,0,944,0
"180","Lakeland,* FL","42191",42191,0,0,0
"181","Lancaster, PA","14726",13491,0,0,1235
"182","Lansing-East Lansing, MI","7216",7018,0,0,198
"183","Laredo,* TX","10325",9455,0,149,721
"184","Las Cruces,* NM","11948",11948,0,0,0
"185","Las Vegas-Paradise,* NV","808286",107049,603,0,700634
"186","Lawrence, KS","4385",3793,0,392,200
"187","Lawton, OK","2140",2140,0,0,0
"188","Lebanon, PA","5897",5897,0,0,0
"189","Lewiston, ID-WA","945",945,0,0,0
"190","Lewiston-Auburn, ME","2753",2753,0,0,0
"191","Lexington-Fayette, KY","24353",24353,0,0,0
"192","Lima, OH","0",0,0,0,0
"193","Lincoln, NE","12136",12136,0,0,0
"194","Little Rock-North Little Rock, AR","30326",30326,0,0,0
"195","Logan, UT-ID","10917",10291,0,209,417
"196","Longview, TX","3655",3011,0,0,644
"197","Longview, WA","9264",8254,241,0,769
"198","Los Angeles-Long Beach-Santa Ana,*  CA","307704",122016,6974,3637,175077
"199","Louisville-Jefferson County,* KY-IN","46667",43949,419,211,2088
"200","Lubbock, TX","11941",11941,0,0,0
"201","Lynchburg, VA","13354",13354,0,0,0
"202","Macon, GA","5685",5685,0,0,0
"203","Madera, CA","5125",4814,0,311,0
"204","Madison,* WI","41912",22572,190,1477,17673
"205","Manchester-Nashua, NH","12049",8149,0,0,3900
"206","Mansfield, OH","1641",1452,0,189,0
"207","McAllen-Edinburg-Mission,* TX","55355",39691,0,1236,14428
"208","Medford, OR","11784",10817,327,0,640
"209","Memphis,* TN-MS-AR","68656",63100,0,0,5556
"210","Merced, CA","9118",9118,0,0,0
"211","Miami-Fort Lauderdale-Miami Beach,*  FL","114654",84496,3978,842,25338
"212","Michigan City-La Porte, IN","2591",2591,0,0,0
"213","Midland,* TX","5632",5632,0,0,0
"214","Milwaukee-Waukesha-West Allis,* WI","54245",43594,810,1154,8687
"215","Minneapolis-St. Paul-Bloomington,*  MN-WI","161965",138587,784,1206,21388
"216","Missoula,* MT","8496",5194,0,157,3145
"217","Mobile, AL","15971",15815,0,0,156
"218","Modesto, CA","9831",8044,0,0,1787
"219","Monroe, LA","3513",3172,0,0,341
"220","Monroe, MI","3461",2111,0,0,1350
"221","Montgomery, AL","27356",7368,0,0,19988
"222","Morgantown, WV","2184",570,0,0,1614
"223","Morristown, TN","5457",5457,0,0,0
"224","Mount Vernon-Anacortes, WA","8443",8443,0,0,0
"225","Muncie, IN","1027",1027,0,0,0
"226","Muskegon-Norton Shores, MI","3536",2955,0,0,581
"227","Myrtle Beach-Conway-North Myrtle Beach,  SC","49634",36261,0,0,13373
"228","Napa, CA","7602",7602,0,0,0
"229","Naples-Marco Island,* FL","30831",24787,0,444,5600
"230","Nashville-Davidson--Murfreesboro,*  TN","173327",120854,254,950,51269
"231","New Haven-Milford, CT","16070",15025,0,0,1045
"232","New Orleans-Metairie-Kenner,* LA","123658",46372,1748,100,75438
