"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"117","Fort Collins-Loveland,* CO","32722",29541,203,1892,1086
"118","Fort Smith, AR-OK","5592",4906,686,0,0
"119","Fort Walton Beach-Crestview-Destin,*  FL","20420",18906,0,314,1200
"120","Fort Wayne, IN","17170",17016,154,0,0
"121","Fresno, CA","55907",53425,0,0,2482
"122","Gadsden, AL","4435",4435,0,0,0
"123","Gainesville, FL","18982",15830,0,0,3152
"124","Gainesville, GA","22110",19625,440,222,1823
"125","Glens Falls, NY","6852",6302,0,550,0
"126","Goldsboro,* NC","3642",3642,0,0,0
"127","Grand Forks, ND-MN","0",0,0,0,0
"128","Grand Junction,* CO","14267",14267,0,0,0
"129","Grand Rapids-Wyoming,* MI","35633",34931,102,0,600
"130","Great Falls, MT","431",431,0,0,0
"131","Greeley,* CO","47205",46789,0,0,416
"132","Green Bay, WI","11503",11007,209,0,287
"133","Greensboro-High Point,* NC","55586",54537,343,0,706
"134","Greenville, NC","17338",14471,121,0,2746
"135","Greenville,* SC","42598",41904,537,0,157
"136","Gulfport-Biloxi, MS","18072",16501,1272,299,0
"137","Hagerstown-Martinsburg, MD-WV","32336",30716,1485,135,0
"138","Hanford-Corcoran, CA","6502",6379,0,123,0
"139","Harrisburg-Carlisle, PA","16135",16135,0,0,0
"140","Harrisonburg,* VA","9062",8636,426,0,0
"141","Hartford-West Hartford-East Hartford,  CT","21819",19326,658,0,1835
"142","Hattiesburg, MS","809",809,0,0,0
"143","Hickory-Lenoir-Morganton, NC","17169",16592,577,0,0
"144","Hinesville-Fort Stewart, GA","2508",2508,0,0,0
"145","Holland-Grand Haven, MI","15075",13126,124,1550,275
"146","Honolulu,* HI","26881",25703,1178,0,0
"147","Hot Springs, AR","1203",1203,0,0,0
"148","Houma-Bayou Cane-Thibodaux, LA","6147",6147,0,0,0
"149","Houston-Baytown-Sugar Land,* TX","637870",505909,1303,898,129760
"150","Huntington-Ashland, WV-KY-OH","458",458,0,0,0
"151","Huntsville, AL","28535",28535,0,0,0
"152","Idaho Falls, ID","6088",6088,0,0,0
"153","Indianapolis,* IN","134747",118645,1325,338,14439
"154","Iowa City, IA","5308",5308,0,0,0
"155","Ithaca, NY","1022",642,0,0,380
"156","Jackson, MI","1431",1431,0,0,0
"157","Jackson, MS","40330",40089,0,241,0
"158","Jackson, TN","5825",5825,0,0,0
"159","Jacksonville,* FL","237202",222691,127,0,14384
"160","Jacksonville, NC","10110",10110,0,0,0
"161","Janesville, WI","8426",4036,310,0,4080
"162","Jefferson City, MO","2197",2197,0,0,0
"163","Johnson City, TN","10256",10256,0,0,0
"164","Johnstown, PA","0",0,0,0,0
"165","Jonesboro, AR","4604",4240,0,72,292
"166","Joplin, MO","2395",2395,0,0,0
"167","Kalamazoo-Portage, MI","10147",9767,380,0,0
"168","Kankakee-Bradley, IL","4459",2459,0,0,2000
"169","Kansas City,* MO-KS","128251",120390,4492,1361,2008
"170","Kennewick-Richland-Pasco, WA","22143",20707,0,0,1436
"171","Killeen-Temple-Fort Hood, TX","32564",29952,1831,781,0
"172","Kingsport-Bristol-Bristol, TN-VA","6967",6967,0,0,0
"173","Kingston, NY","3367",3367,0,0,0
"174","Knoxville, TN","36314",35425,325,564,0
"175","Kokomo, IN","1058",1058,0,0,0
"176","La Crosse, WI-MN","2302",2302,0,0,0
"177","Lafayette, IN","6640",6640,0,0,0
"178","Lafayette, LA","15756",15756,0,0,0
"179","Lake Charles, LA","9392",9207,185,0,0
"180","Lakeland,* FL","76589",62851,366,0,13372
"181","Lancaster, PA","15192",14067,0,150,975
"182","Lansing-East Lansing, MI","20545",14072,192,0,6281
"183","Laredo,* TX","11505",11280,0,0,225
"184","Las Cruces,* NM","23575",22202,0,0,1373
"185","Las Vegas-Paradise,* NV","244089",221646,0,3675,18768
"186","Lawrence, KS","1889",1889,0,0,0
