"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"117","Fort Collins-Loveland,* CO","5759",5759,0,0,0
"118","Fort Smith, AR-OK","2192",2192,0,0,0
"119","Fort Walton Beach-Crestview-Destin,  FL","4170",3420,0,0,750
"120","Fort Wayne,* IN","5024",3884,280,0,860
"121","Fresno, CA","15542",13390,0,361,1791
"122","Gadsden, AL","825",825,0,0,0
"123","Gainesville, FL","4427",3149,0,0,1278
"124","Gainesville, GA","1374",1374,0,0,0
"125","Glens Falls, NY","2176",2176,0,0,0
"126","Goldsboro, NC","0",0,0,0,0
"127","Grand Forks, ND-MN","0",0,0,0,0
"128","Grand Junction,* CO","4395",4395,0,0,0
"129","Grand Rapids-Wyoming,* MI","7887",7887,0,0,0
"130","Great Falls, MT","894",894,0,0,0
"131","Greeley,* CO","7451",7248,0,0,203
"132","Green Bay, WI","3972",3769,0,0,203
"133","Greensboro-High Point,* NC","20802",18439,0,563,1800
"134","Greenville, NC","5599",3838,0,0,1761
"135","Greenville,* SC","9553",9553,0,0,0
"136","Gulfport-Biloxi, MS","12905",10077,2828,0,0
"137","Hagerstown-Martinsburg, MD-WV","6201",6201,0,0,0
"138","Hanford-Corcoran, CA","1997",1997,0,0,0
"139","Harrisburg-Carlisle, PA","7068",7068,0,0,0
"140","Harrisonburg,* VA","3592",2210,1074,0,308
"141","Hartford-West Hartford-East Hartford,  CT","11710",10733,320,0,657
"142","Hattiesburg, MS","3180",601,0,693,1886
"143","Hickory-Lenoir-Morganton, NC","9241",9241,0,0,0
"144","Hinesville-Fort Stewart, GA","1557",1557,0,0,0
"145","Holland-Grand Haven, MI","1892",1455,0,0,437
"146","Honolulu,* HI","25648",17883,0,0,7765
"147","Hot Springs, AR","219",219,0,0,0
"148","Houma-Bayou Cane-Thibodaux, LA","6225",6225,0,0,0
"149","Houston-Sugar Land-Baytown,* TX","262705",208246,724,593,53142
"150","Huntington-Ashland, WV-KY-OH","110",110,0,0,0
"151","Huntsville, AL","21577",14585,0,0,6992
"152","Idaho Falls, ID","2038",2038,0,0,0
"153","Indianapolis-Carmel,* IN","39514",35669,0,290,3555
"154","Iowa City, IA","11576",5341,0,0,6235
"155","Ithaca, NY","918",918,0,0,0
"156","Jackson, MI","198",198,0,0,0
"157","Jackson, MS","7635",7635,0,0,0
"158","Jackson, TN","4981",4981,0,0,0
"159","Jacksonville,* FL","55512",52919,1481,0,1112
"160","Jacksonville, NC","8093",8013,80,0,0
"161","Janesville, WI","203",203,0,0,0
"162","Jefferson City, MO","630",630,0,0,0
"163","Johnson City, TN","4390",4390,0,0,0
"164","Johnstown, PA","0",0,0,0,0
"165","Jonesboro, AR","1278",1278,0,0,0
"166","Joplin, MO","862",862,0,0,0
"167","Kalamazoo-Portage, MI","2772",2109,0,0,663
"168","Kankakee-Bradley, IL","199",199,0,0,0
"169","Kansas City,* MO-KS","25202",23796,410,580,416
"170","Kennewick-Pasco-Richland, WA","6817",6204,0,0,613
"171","Killeen-Temple-Fort Hood, TX","10533",10313,220,0,0
"172","Kingsport-Bristol-Bristol, TN-VA","1577",1577,0,0,0
"173","Kingston, NY","917",917,0,0,0
