"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","3045",2745,300,0,0
"2","Akron, OH","30102",28746,136,724,496
"3","Albany, GA","7016",6429,255,178,154
"4","Albany-Schenectady-Troy, NY","38589",30168,0,0,8421
"5","Albuquerque,* NM","84828",83600,0,223,1005
"6","Alexandria, LA","7230",7230,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","54934",53947,0,308,679
"8","Altoona, PA","0",0,0,0,0
"9","Amarillo, TX","12639",12639,0,0,0
"10","Ames, IA","7067",5219,0,0,1848
"11","Anchorage,* AK","30227",17960,8061,3577,629
"12","Anderson, IN","6789",6789,0,0,0
"13","Anderson, SC","14160",14000,160,0,0
"14","Ann Arbor, MI","23214",21346,0,0,1868
"15","Anniston-Oxford, AL","1772",1772,0,0,0
"16","Appleton, WI","17771",17217,554,0,0
"17","Asheville, NC","65498",61550,108,923,2917
"18","Athens-Clarke County, GA","22996",21717,0,0,1279
"19","Atlanta-Sandy Springs-Marietta,* GA","1096681",932956,1553,0,162172
"20","Atlantic City,* NJ","21611",21258,353,0,0
"21","Auburn-Opelika,* AL","14002",13499,503,0,0
"22","Augusta-Richmond County, GA-SC","39315",39315,0,0,0
"23","Austin-Round Rock,* TX","241345",229554,2735,644,8412
"24","Bakersfield, CA","84749",81658,694,1821,576
"25","Baltimore-Towson,* MD","116951",104803,0,1009,11139
"26","Bangor, ME","7669",7543,126,0,0
"27","Barnstable Town, MA","25151",23239,0,0,1912
"28","Baton Rouge, LA","39775",39775,0,0,0
"29","Battle Creek, MI","2118",2118,0,0,0
"30","Bay City, MI","380",380,0,0,0
"31","Beaumont-Port Arthur, TX","4973",4973,0,0,0
"32","Bellingham, WA","22662",19585,329,1127,1621
"33","Bend,* OR","68537",66899,1638,0,0
"34","Billings, MT","9409",9409,0,0,0
"35","Binghamton, NY","547",547,0,0,0
"36","Birmingham-Hoover,* AL","87692",83966,0,220,3506
"37","Bismarck, ND","16226",11920,223,1823,2260
"38","Bloomington, IN","10626",7686,1619,237,1084
"39","Bloomington-Normal, IL","7738",7566,0,0,172
"40","Boise City-Nampa,* ID","169989",162246,2609,5134,0
"41","Boston-Cambridge-Quincy,* MA-NH","246957",161393,10360,8968,66236
"42","Boulder, CO","12669",12156,0,0,513
"43","Bowling Green, KY","16136",12429,1256,0,2451
"44","Bremerton-Silverdale, WA","14597",14420,177,0,0
"45","Bridgeport-Stamford-Norwalk, CT","74386",67474,1327,1085,4500
"46","Brownsville-Harlingen, TX","25325",21541,299,2805,680
"47","Brunswick, GA","17261",14951,0,181,2129
"48","Buffalo-Niagara Falls, NY","28734",27994,740,0,0
"49","Burlington, NC","16196",16196,0,0,0
"50","Burlington-South Burlington, VT","10384",9171,341,519,353
"51","Canton-Massillon, OH","15774",15356,179,0,239
"52","Cape Coral-Fort Myers,* FL","362634",307838,0,1277,53519
"53","Carson City,* NV","2639",1869,0,0,770
"54","Casper,* WY","4401",4401,0,0,0
"55","Cedar Rapids, IA","15910",11576,951,3383,0
"56","Champaign-Urbana, IL","30297",18619,130,1381,10167
"57","Charleston, WV","5661",5661,0,0,0
"58","Charleston-North Charleston,* SC","131884",126418,0,143,5323
"59","Charlotte-Gastonia-Concord,* NC-SC","265765",227674,314,613,37164
"60","Charlottesville,* VA","25741",22722,257,0,2762
"61","Chattanooga, TN-GA","39701",39171,179,0,351
"62","Cheyenne, WY","10238",9684,0,261,293
"63","Chicago-Naperville-Joliet,* IL-IN-WI","825529",703931,8553,23180,89865
"64","Chico, CA","12979",12896,83,0,0
"65","Cincinnati-Middletown,* OH-KY-IN","199522",188833,598,3132,6959
"66","Clarksville, TN-KY","19994",17138,0,1445,1411
"67","Cleveland, TN","9083",9083,0,0,0
"68","Cleveland-Elyria-Mentor,* OH","118013",111509,2127,2970,1407
"69","Coeur d""Alene, ID","37704",35912,1003,561,228
"70","College Station-Bryan, TX","15325",14851,0,474,0
"71","Colorado Springs,* CO","85988",84764,1224,0,0
"72","Columbia, MO","25178",25178,0,0,0
"73","Columbia,* SC","87329",70973,108,0,16248
"74","Columbus, GA-AL","26962",24842,0,0,2120
