"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","3519",3359,160,0,0
"2","Akron, OH","18892",18434,0,69,389
"3","Albany, GA","4098",3731,150,217,0
"4","Albany-Schenectady-Troy, NY","24551",19875,150,1115,3411
"5","Albuquerque,* NM","100141",99641,500,0,0
"6","Alexandria, LA","5652",5652,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","56456",49689,342,469,5956
"8","Altoona, PA","545",545,0,0,0
"9","Amarillo, TX","11409",11409,0,0,0
"10","Ames, IA","6857",5396,0,0,1461
"11","Anchorage,* AK","18671",14756,614,0,3301
"12","Anderson, IN","3147",3147,0,0,0
"13","Anderson, SC","14661",14661,0,0,0
"14","Ann Arbor, MI","6348",6046,0,0,302
"15","Anniston-Oxford, AL","2393",2093,0,0,300
"16","Appleton, WI","12832",9832,420,0,2580
"17","Asheville, NC","61550",54630,0,1420,5500
"18","Athens-Clarke County, GA","14094",14094,0,0,0
"19","Atlanta-Sandy Springs-Marietta,* GA","582978",483764,865,4141,94208
"20","Atlantic City,* NJ","15109",14577,0,0,532
"21","Auburn-Opelika,* AL","22150",19221,0,0,2929
"22","Augusta-Richmond County, GA-SC","30262",30262,0,0,0
"23","Austin-Round Rock,* TX","196473",192456,544,309,3164
"24","Bakersfield, CA","55983",51080,1501,3402,0
"25","Baltimore-Towson,* MD","104696",96459,0,1030,7207
"26","Bangor, ME","6604",6124,0,0,480
"27","Barnstable Town, MA","14116",13433,0,0,683
"28","Baton Rouge, LA","55995",37496,553,0,17946
"29","Battle Creek, MI","2786",1359,0,0,1427
"30","Bay City, MI","1101",1101,0,0,0
"31","Beaumont-Port Arthur, TX","11215",11215,0,0,0
"32","Bellingham, WA","16332",13771,0,1042,1519
"33","Bend,* OR","34900",34691,209,0,0
"34","Billings, MT","7915",7915,0,0,0
"35","Binghamton, NY","594",594,0,0,0
"36","Birmingham-Hoover,* AL","82918",82918,0,0,0
"37","Bismarck, ND","13734",12677,0,1057,0
"38","Bloomington, IN","8359",8100,0,259,0
"39","Bloomington-Normal, IL","4930",4653,0,0,277
"40","Boise City-Nampa,* ID","86217",80642,860,4715,0
"41","Boston-Cambridge-Quincy,* MA-NH","147532",115519,5736,2234,24043
