"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","1147",1147,0,0,0
"2","Akron, OH","9347",9135,0,0,212
"3","Albany, GA","2340",2037,150,153,0
"4","Albany-Schenectady-Troy, NY","16052",15652,0,400,0
"5","Albuquerque,* NM","26329",23377,0,422,2530
"6","Alexandria, LA","3622",3622,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","23350",23350,0,0,0
"8","Altoona, PA","1121",1121,0,0,0
"9","Amarillo, TX","42618",9261,0,0,33357
"10","Ames, IA","7607",1607,0,0,6000
"11","Anchorage,* AK","18207",11451,0,2056,4700
"12","Anderson, IN","1023",1023,0,0,0
"13","Anderson, SC","6646",5812,834,0,0
"14","Ann Arbor, MI","5056",4154,0,600,302
"15","Anniston-Oxford, AL","1693",1693,0,0,0
"16","Appleton, WI","8902",7862,1040,0,0
"17","Asheville, NC","31538",30401,0,1137,0
"18","Athens-Clarke County, GA","4801",2340,0,0,2461
"19","Atlanta-Sandy Springs-Marietta,* GA","255354",196794,345,653,57562
"20","Atlantic City-Hammonton,* NJ","11409",10928,219,0,262
"21","Auburn-Opelika,* AL","13733",12274,332,1127,0
"22","Augusta-Richmond County, GA-SC","16274",16274,0,0,0
"23","Austin-Round Rock,* TX","134723",123987,2151,110,8475
"24","Bakersfield, CA","16495",13875,476,314,1830
"25","Baltimore-Towson,* MD","65669",55479,0,0,10190
"26","Bangor, ME","2408",2408,0,0,0
"27","Barnstable Town, MA","9535",9535,0,0,0
"28","Baton Rouge, LA","25469",25469,0,0,0
"29","Battle Creek, MI","882",378,0,0,504
"30","Bay City, MI","178",178,0,0,0
"31","Beaumont-Port Arthur, TX","8627",1835,0,0,6792
"32","Bellingham, WA","7027",6127,0,0,900
"33","Bend,* OR","19059",18774,285,0,0
"34","Billings, MT","4815",4815,0,0,0
"35","Binghamton, NY","175",175,0,0,0
"36","Birmingham-Hoover,* AL","31636",30624,0,0,1012
"37","Bismarck, ND","17397",13542,0,0,3855
"38","Bloomington, IN","5253",4351,197,0,705
"39","Bloomington-Normal, IL","7253",4631,0,0,2622
"40","Boise City-Nampa,* ID","32375",31294,379,702,0
"41","Boston-Cambridge-Quincy,* MA-NH","115840",84176,2819,3031,25814
"42","Boulder, CO","6846",6470,0,0,376
"43","Bowling Green, KY","5612",4612,0,0,1000
"44","Bradenton-Sarasota-Venice,* FL","34645",32434,1172,0,1039
"45","Bremerton-Silverdale, WA","9654",9654,0,0,0
"46","Bridgeport-Stamford-Norwalk, CT","43186",27363,173,0,15650
"47","Brownsville-Harlingen, TX","6119",4807,950,362,0
"48","Brunswick, GA","7680",7680,0,0,0
"49","Buffalo-Niagara Falls, NY","16238",14571,0,0,1667
"50","Burlington, NC","8372",8372,0,0,0
"51","Burlington-South Burlington, VT","6721",3872,294,0,2555
"52","Canton-Massillon, OH","3746",3508,0,0,238
"53","Cape Coral-Fort Myers,* FL","21461",15446,0,4757,1258
"54","Carson City,* NV","0",0,0,0,0
"55","Casper, WY","2006",2006,0,0,0
"56","Cedar Rapids, IA","7380",6988,0,392,0
"57","Champaign-Urbana, IL","7843",3172,0,0,4671
"58","Charleston, WV","3304",2647,0,0,657
"59","Charleston-North Charleston-Summerville,*  SC","51045",44372,132,0,6541
"60","Charlotte-Gastonia-Concord,* NC-SC","98279",88939,0,381,8959
"61","Charlottesville, VA","11064",11064,0,0,0
"62","Chattanooga, TN-GA","13290",12284,91,0,915
"63","Cheyenne, WY","3208",2641,0,567,0
"64","Chicago-Naperville-Joliet,* IL-IN-WI","185496",157922,1822,5692,20060
"65","Chico, CA","5940",5940,0,0,0
"66","Cincinnati-Middletown,* OH-KY-IN","53228",47963,0,628,4637
"67","Clarksville, TN-KY","13336",9450,0,1850,2036
"68","Cleveland, TN","2107",1586,233,288,0
"69","Cleveland-Elyria-Mentor,* OH","48208",41306,0,536,6366
"70","Coeur dAlene, ID","9370",6959,206,0,2205
"71","College Station-Bryan, TX","32730",7018,0,0,25712
"72","Colorado Springs,* CO","43170",38094,0,0,5076
"73","Columbia, MO","4165",3923,242,0,0
"74","Columbia,* SC","40401",38595,0,0,1806
"75","Columbus, GA-AL","9659",8240,0,136,1283
"76","Columbus, IN","5379",5379,0,0,0
"77","Columbus,* OH","56130",42511,534,2253,10832
"78","Corpus Christi, TX","8113",8113,0,0,0
"79","Corvallis, OR","544",544,0,0,0
"80","Cumberland, MD-WV","1447",1447,0,0,0
"81","Dallas-Fort Worth-Arlington,* TX","342851",296613,3264,1058,41916
"82","Dalton, GA","2603",2184,0,172,247
"83","Danville, IL","0",0,0,0,0
"84","Danville, VA","745",745,0,0,0
"85","Davenport-Moline-Rock Island,  IA-IL","6645",5305,0,204,1136
"86","Dayton, OH","19205",14928,0,0,4277
"87","Decatur, AL","1344",1344,0,0,0
"88","Decatur, IL","789",789,0,0,0
"89","Deltona-Daytona Beach-Ormond Beach,*  FL","17190",15023,796,0,1371
"90","Denver-Aurora,* CO","83097",76979,2292,1610,2216
"91","Des Moines-West Des Moines,* IA","31671",30759,912,0,0
"92","Detroit-Warren-Livonia,* MI","51001",41920,1370,6518,1193
"93","Dothan, AL","3603",3603,0,0,0
"94","Dover,* DE","8556",8556,0,0,0
"95","Dubuque, IA","4984",4751,233,0,0
"96","Duluth, MN-WI","6566",5317,404,0,845
"97","Durham,* NC","29658",28069,515,257,817
"98","Eau Claire, WI","9155",7995,1160,0,0
"99","El Centro, CA","3163",3163,0,0,0
"100","El Paso, TX","42625",23847,0,0,18778
"101","Elizabethtown, KY","2288",1798,150,0,340
"102","Elkhart-Goshen, IN","6036",6036,0,0,0
"103","Elmira, NY","303",303,0,0,0
"104","Erie, PA","10086",5386,0,0,4700
"105","Eugene-Springfield, OR","16226",10374,244,0,5608
"106","Evansville, IN-KY","5882",3881,0,120,1881
"107","Fairbanks,* AK","806",806,0,0,0
"108","Fargo, ND-MN","13738",11530,0,0,2208
"109","Farmington,* NM","3893",3548,0,345,0
"110","Fayetteville, NC","30642",13402,0,0,17240
"111","Fayetteville-Springdale-Rogers,  AR-MO","19248",15834,1412,533,1469
"112","Flagstaff, AZ","3748",3748,0,0,0
"113","Flint, MI","1370",1370,0,0,0
"114","Florence, SC","5191",4351,0,0,840
"115","Florence-Muscle Shoals, AL","1984",1601,0,0,383
"116","Fond du Lac, WI","411",411,0,0,0
