"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","1934",1934,0,0,0
"2","Akron,* OH","39971",37756,804,642,769
"3","Albany, GA","6889",5330,611,948,0
"4","Albany-Schenectady-Troy, NY","39506",35120,200,0,4186
"5","Albuquerque,* NM","65162",61087,1504,338,2233
"6","Alexandria, LA","3716",3716,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","43857",42906,0,768,183
"8","Altoona, PA","278",278,0,0,0
"9","Amarillo, TX","5858",5858,0,0,0
"10","Ames, IA","8979",5563,416,0,3000
"11","Anchorage,* AK","16427",9300,2465,0,4662
"12","Anderson,* IN","5622",5622,0,0,0
"13","Anderson,* SC","10752",10522,230,0,0
"14","Ann Arbor,* MI","29625",29017,306,0,302
"15","Anniston-Oxford, AL","1331",1331,0,0,0
"16","Appleton, WI","23946",23801,145,0,0
"17","Asheville, NC","52878",48312,712,0,3854
"18","Athens-Clarke County, GA","15276",14180,0,0,1096
"19","Atlanta-Sandy Springs-Marietta, GA","830963",534723,869,1197,294174
"20","Atlantic City,* NJ","14804",12922,491,0,1391
"21","Auburn-Opelika,* AL","7700",5900,0,0,1800
"22","Augusta-Richmond County, GA-SC","24761",24761,0,0,0
"23","Austin-Round Rock,* TX","135651",123413,1069,736,10433
"24","Bakersfield, CA","72316",67012,0,4378,926
"25","Baltimore-Towson,* MD","126105",98191,0,0,27914
"26","Bangor, ME","4815",4675,140,0,0
"27","Barnstable Town, MA","21178",20155,243,780,0
"28","Baton Rouge, LA","36826",31100,0,273,5453
"29","Battle Creek, MI","2005",2005,0,0,0
"30","Bay City, MI","1282",1282,0,0,0
"31","Beaumont-Port Arthur, TX","5448",5448,0,0,0
"32","Bellingham, WA","24071",18030,579,603,4859
"33","Bend, OR","62639",61449,875,315,0
"34","Billings, MT","8879",8494,0,205,180
"35","Binghamton, NY","2074",2074,0,0,0
"36","Birmingham-Hoover, AL","72070",71620,0,0,450
"37","Bismarck, ND","8247",7376,305,566,0
"38","Blacksburg-Christiansburg-Radford,  VA","8231",7936,120,0,175
"39","Bloomington, IN","10027",7038,1664,237,1088
"40","Bloomington-Normal, IL","6952",6398,0,0,554
"41","Boise City-Nampa,* ID","112755",104672,6675,1408,0
"42","Boston-Cambridge-Quincy, MA-NH","201521",127065,7216,5478,61762
"43","Boulder,* CO","15494",14449,580,0,465
"44","Bowling Green, KY","7897",7897,0,0,0
"45","Bremerton-Silverdale,* WA","19323",18972,0,0,351
"46","Bridgeport-Stamford-Norwalk,* CT","74713",57969,1095,270,15379
"47","Brownsville-Harlingen, TX","16489",15687,257,336,209
"48","Brunswick, GA","8712",8231,300,181,0
"49","Buffalo-Niagara Falls, NY","20250",19083,249,0,918
"50","Burlington,* NC","13634",12240,0,0,1394
"51","Burlington-South Burlington, VT","8883",7817,349,364,353
"52","Canton-Massillon, OH","16970",16733,0,0,237
"53","Cape Coral-Fort Myers,* FL","268259",232422,0,0,35837
"54","Carson City,* NV","8340",4922,0,0,3418
"55","Casper,* WY","2534",2534,0,0,0
"56","Cedar Rapids, IA","15167",11351,1062,1428,1326
"57","Champaign-Urbana, IL","7466",6366,0,0,1100
"58","Charleston, WV","2993",2993,0,0,0
"59","Charleston-North Charleston,* SC","93814",89113,0,265,4436
"60","Charlotte-Gastonia-Concord, NC-SC","197069",165285,422,0,31362
"61","Charlottesville,* VA","22876",20542,266,236,1832
"62","Chattanooga, TN-GA","25849",24819,371,148,511
"63","Cheyenne, WY","5124",4158,175,519,272
"64","Chicago-Naperville-Joliet,  IL-IN-WI","689701",581310,7106,15522,85763
"65","Chico, CA","23149",12096,1775,571,8707
