"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"116","Fort Collins-Loveland,* CO","35457",32761,719,496,1481
"117","Fort Smith, AR-OK","5961",5961,0,0,0
"118","Fort Walton Beach-Crestview-Destin,*  FL","57748",24603,0,0,33145
"119","Fort Wayne, IN","20782",20782,0,0,0
"120","Fresno,* CA","73160",58797,3960,4042,6361
"121","Gadsden, AL","3014",3014,0,0,0
"122","Gainesville, FL","20486",13900,130,589,5867
"123","Gainesville, GA","13240",13240,0,0,0
"124","Glens Falls, NY","3869",3869,0,0,0
"125","Goldsboro,* NC","5178",5178,0,0,0
"126","Grand Forks, ND-MN","0",0,0,0,0
"127","Grand Junction,* CO","9423",9423,0,0,0
"128","Grand Rapids-Wyoming, MI","38156",36476,200,940,540
"129","Great Falls, MT","788",788,0,0,0
"130","Greeley,* CO","54671",49054,870,0,4747
"131","Green Bay, WI","15216",12626,1680,0,910
"132","Greensboro-High Point,* NC","64357",63880,340,137,0
"133","Greenville, NC","12363",10192,726,0,1445
"134","Greenville,* SC","38957",38120,0,0,837
"135","Gulfport-Biloxi, MS","12777",12183,0,271,323
"136","Hagerstown-Martinsburg, MD-WV","29361",28985,0,0,376
"137","Hanford-Corcoran, CA","5438",5185,0,0,253
"138","Harrisburg-Carlisle, PA","17011",17011,0,0,0
"139","Harrisonburg,* VA","7858",7858,0,0,0
"140","Hartford-West Hartford-East Hartford,*  CT","27401",25030,582,0,1789
"141","Hattiesburg, MS","7412",1690,0,0,5722
"142","Hickory-Lenoir-Morganton, NC","16016",16016,0,0,0
"143","Hinesville-Fort Stewart,* GA","3422",3422,0,0,0
"144","Holland-Grand Haven,* MI","18243",15924,623,300,1396
"145","Honolulu,* HI","144301",25345,0,3456,115500
"146","Hot Springs, AR","1093",1093,0,0,0
"147","Houma-Bayou Cane-Thibodaux, LA","7742",7742,0,0,0
"148","Houston-Baytown-Sugar Land, TX","533972",481617,584,278,51493
"149","Huntington-Ashland, WV-KY-OH","437",437,0,0,0
"150","Huntsville, AL","6950",6181,0,0,769
"151","Idaho Falls, ID","9438",7911,130,1397,0
"152","Indianapolis,* IN","145451",141075,1442,1602,1332
"153","Iowa City, IA","8682",8682,0,0,0
"154","Ithaca, NY","861",861,0,0,0
"155","Jackson, MI","1706",1706,0,0,0
"156","Jackson, MS","27914",26859,0,0,1055
"157","Jackson, TN","6729",6729,0,0,0
"158","Jacksonville,* FL","191722",164162,397,390,26773
"159","Jacksonville, NC","9260",9260,0,0,0
"160","Janesville, WI","4585",4060,525,0,0
"161","Jefferson City, MO","3979",3795,0,184,0
"162","Johnson City, TN","9488",9038,0,450,0
"163","Johnstown, PA","0",0,0,0,0
"164","Jonesboro, AR","3201",3051,0,150,0
"165","Joplin, MO","2728",2728,0,0,0
"166","Kalamazoo-Portage, MI","9370",9370,0,0,0
"167","Kankakee-Bradley,* IL","3823",3823,0,0,0
"168","Kansas City,* MO-KS","131616",125257,3013,3346,0
"169","Kennewick-Richland-Pasco, WA","22316",20599,490,345,882
"170","Killeen-Temple-Fort Hood, TX","19427",16641,1600,1186,0
"171","Kingsport-Bristol-Bristol, TN-VA","6526",6083,0,0,443
"172","Kingston, NY","2209",1918,291,0,0
"173","Knoxville, TN","35126",34383,360,98,285
"174","Kokomo, IN","2002",2002,0,0,0
"175","La Crosse, WI-MN","2576",2250,326,0,0
"176","Lafayette, IN","21237",15237,0,0,6000
"177","Lafayette, LA","13235",11662,0,0,1573
"178","Lake Charles, LA","5941",5536,257,0,148
"179","Lakeland,* FL","46750",45379,126,335,910
"180","Lancaster, PA","17966",15968,0,1781,217
"181","Lansing-East Lansing, MI","14993",13307,163,0,1523
"182","Laredo,* TX","12087",10853,84,155,995
"183","Las Cruces,* NM","13922",13922,0,0,0
"184","Las Vegas-Paradise,* NV","358406",332297,0,5556,20553
"185","Lawrence, KS","3022",3022,0,0,0
"186","Lawton, OK","1537",1437,0,0,100
"187","Lebanon, PA","3670",3420,250,0,0
"188","Lewiston, ID-WA","936",936,0,0,0
"189","Lewiston-Auburn, ME","2732",2732,0,0,0
"190","Lexington-Fayette, KY","43565",42805,0,0,760
"191","Lima, OH","1318",1318,0,0,0
"192","Lincoln, NE","12233",11552,139,0,542
"193","Little Rock-North Little Rock, AR","36164",34547,50,225,1342
"194","Logan, UT-ID","7817",7066,0,334,417
"195","Longview, TX","2302",2302,0,0,0
"196","Longview, WA","5084",5084,0,0,0
"197","Los Angeles-Long Beach-Santa Ana,*  CA","467528",316602,6373,6950,137603
"198","Louisville, KY-IN","87254",86460,0,631,163
"199","Lubbock, TX","14393",10837,2556,1000,0
"200","Lynchburg, VA","18181",16888,0,646,647
"201","Macon, GA","8924",8924,0,0,0
"202","Madera,* CA","14080",11972,737,1371,0
"203","Madison,* WI","48666",37601,2398,2530,6137
"204","Manchester-Nashua, NH","12831",10175,0,0,2656
"205","Mansfield,* OH","2842",2842,0,0,0
"206","McAllen-Edinburg-Pharr,* TX","42295",38660,186,1658,1791
"207","Medford,* OR","20425",18607,0,1818,0
"208","Memphis, TN-MS-AR","94888",94738,0,150,0
"209","Merced, CA","26949",23952,0,0,2997
"210","Miami-Fort Lauderdale-Miami Beach,  FL","378275",286204,2926,835,88310
"211","Michigan City-La Porte, IN","2689",2689,0,0,0
"212","Midland,* TX","3296",3296,0,0,0
"213","Milwaukee-Waukesha-West Allis,* WI","77817",59060,2110,1952,14695
"214","Minneapolis-St. Paul-Bloomington,*  MN-WI","251615",209647,3031,3754,35183
"215","Missoula,* MT","1760",1364,396,0,0
"216","Mobile, AL","16998",15678,299,868,153
"217","Modesto, CA","52645",49827,100,217,2501
"218","Monroe, LA","3187",3007,180,0,0
"219","Monroe,* MI","8291",8291,0,0,0
"220","Montgomery, AL","16836",16836,0,0,0
"221","Morgantown, WV","362",62,0,0,300
"222","Morristown, TN","5101",5101,0,0,0
"223","Mount Vernon-Anacortes, WA","8111",7855,256,0,0
"224","Muncie, IN","2082",2082,0,0,0
"225","Muskegon-Norton Shores,* MI","5383",4615,170,0,598
"226","Myrtle Beach-Conway-North Myrtle Beach,  SC","60290",38097,0,0,22193
"227","Napa,* CA","18880",16943,157,0,1780
"228","Naples-Marco Island,* FL","102286",68597,1539,7713,24437
"229","Nashville-Davidson--Murfreesboro,*  TN","164764",152140,1285,1783,9556
"230","New Haven-Milford,* CT","16142",12247,85,63,3747
"231","New Orleans-Metairie-Kenner,* LA","79223",67326,939,0,10958
"232","New York-Northern New Jersey-Long Island,*  NY-NJ-PA","332222",198816,33013,22671,77722
"233","Niles-Benton Harbor, MI","3024",3024,0,0,0
"234","Norwich-New London,* CT","6696",6419,0,0,277
"235","Ocala,* FL","47540",47540,0,0,0
"236","Ocean City,* NJ","8241",7142,864,235,0
"237","Odessa,* TX","2533",2533,0,0,0
"238","Ogden-Clearfield, UT","39242",38231,425,586,0
"239","Oklahoma City,* OK","90751",84202,438,200,5911
"240","Olympia,* WA","22365",22089,276,0,0
"241","Omaha-Council Bluffs,* NE-IA","45571",41907,118,0,3546
"242","Orlando,* FL","332591",294017,1012,1544,36018
"243","Oshkosh-Neenah, WI","7628",7290,178,0,160
"244","Owensboro, KY","4025",3577,0,448,0
"245","Oxnard-Thousand Oaks-Ventura,* CA","43400",37566,224,157,5453
"246","Palm Bay-Melbourne-Titusville,* FL","72338",65201,0,0,7137
"247","Panama City-Lynn Haven,* FL","105624",11288,146,417,93773
"248","Parkersburg-Marietta, WV-OH","1164",1164,0,0,0
"249","Pascagoula,* MS","5725",5655,70,0,0
"250","Pensacola-Ferry Pass-Brent, FL","48666",45022,586,0,3058
"251","Peoria, IL","11043",8645,2089,309,0
