"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"117","Fort Collins-Loveland,* CO","19949",16097,0,0,3852
"118","Fort Smith, AR-OK","5790",2724,116,150,2800
"119","Fort Walton Beach-Crestview-Destin,  FL","5124",4301,0,0,823
"120","Fort Wayne,* IN","15688",13639,0,90,1959
"121","Fresno, CA","23957",20840,0,361,2756
"122","Gadsden, AL","887",887,0,0,0
"123","Gainesville, FL","15428",3601,0,0,11827
"124","Gainesville, GA","5756",5756,0,0,0
"125","Glens Falls, NY","4703",4703,0,0,0
"126","Goldsboro, NC","1674",1674,0,0,0
"127","Grand Forks, ND-MN","1658",720,0,0,938
"128","Grand Junction,* CO","12158",11170,0,0,988
"129","Grand Rapids-Wyoming,* MI","13616",13166,0,0,450
"130","Great Falls, MT","1511",1511,0,0,0
"131","Greeley,* CO","16151",14909,0,0,1242
"132","Green Bay, WI","9153",8829,0,0,324
"133","Greensboro-High Point,* NC","31267",29146,349,1186,586
"134","Greenville, NC","6487",6105,382,0,0
"135","Greenville,* SC","23979",23296,0,0,683
"136","Gulfport-Biloxi, MS","15862",13765,1037,289,771
"137","Hagerstown-Martinsburg, MD-WV","21916",21916,0,0,0
"138","Hanford-Corcoran, CA","1127",1127,0,0,0
"139","Harrisburg-Carlisle, PA","14046",14046,0,0,0
"140","Harrisonburg,* VA","6813",6813,0,0,0
"141","Hartford-West Hartford-East Hartford,  CT","19273",17167,190,0,1916
"142","Hattiesburg, MS","5021",901,0,924,3196
"143","Hickory-Lenoir-Morganton, NC","15295",15295,0,0,0
"144","Hinesville-Fort Stewart, GA","2279",2279,0,0,0
"145","Holland-Grand Haven, MI","11434",5897,0,0,5537
"146","Honolulu,* HI","26177",13275,0,452,12450
"147","Hot Springs, AR","437",437,0,0,0
"148","Houma-Bayou Cane-Thibodaux, LA","21437",9346,0,0,12091
"149","Houston-Sugar Land-Baytown,* TX","520317",447535,334,0,72448
"150","Huntington-Ashland, WV-KY-OH","331",331,0,0,0
"151","Huntsville, AL","14390",14390,0,0,0
"152","Idaho Falls, ID","4588",4494,94,0,0
"153","Indianapolis-Carmel,* IN","99706",85304,772,800,12830
"154","Iowa City, IA","13483",9782,208,0,3493
"155","Ithaca, NY","641",641,0,0,0
"156","Jackson, MI","909",521,388,0,0
"157","Jackson, MS","19605",19385,0,220,0
"158","Jackson, TN","2000",2000,0,0,0
"159","Jacksonville,* FL","124917",84374,528,0,40015
"160","Jacksonville, NC","8487",8252,0,235,0
"161","Janesville, WI","2064",1825,239,0,0
"162","Jefferson City, MO","1291",1291,0,0,0
"163","Johnson City, TN","5879",4971,569,339,0
"164","Johnstown, PA","220",220,0,0,0
"165","Jonesboro, AR","2122",2122,0,0,0
"166","Joplin, MO","1029",1029,0,0,0
"167","Kalamazoo-Portage, MI","5454",5454,0,0,0
"168","Kankakee-Bradley, IL","508",268,240,0,0
"169","Kansas City,* MO-KS","105546",50811,1327,7570,45838
"170","Kennewick-Pasco-Richland, WA","12473",11723,0,0,750
"171","Killeen-Temple-Fort Hood, TX","16714",15150,1564,0,0
"172","Kingsport-Bristol-Bristol, TN-VA","4499",4187,54,0,258
"173","Kingston, NY","2065",2065,0,0,0
"174","Knoxville, TN","22988",21934,1054,0,0
"175","Kokomo, IN","444",444,0,0,0
"176","La Crosse, WI-MN","3477",3045,0,0,432
"177","Lafayette, IN","10045",10045,0,0,0
"178","Lafayette, LA","8037",7206,0,0,831
"179","Lake Charles, LA","5445",4498,125,0,822
"180","Lake Havasu City-Kingman, AZ","8132",5341,0,0,2791
"181","Lakeland-Winter Haven,* FL","35231",35231,0,0,0
"182","Lancaster, PA","11513",10313,0,0,1200
"183","Lansing-East Lansing, MI","4154",3952,0,0,202
"184","Laredo,* TX","8646",7258,0,201,1187
"185","Las Cruces,* NM","11006",10880,126,0,0
"186","Las Vegas-Paradise,* NV","143278",72369,876,259,69774
"187","Lawrence, KS","4188",4188,0,0,0
"188","Lawton, OK","2476",1996,0,0,480
"189","Lebanon, PA","4644",4644,0,0,0
"190","Lewiston, ID-WA","432",432,0,0,0
"191","Lewiston-Auburn, ME","1048",1048,0,0,0
"192","Lexington-Fayette, KY","18540",18135,0,405,0
"193","Lima, OH","418",186,232,0,0
"194","Lincoln, NE","9993",7530,2463,0,0
"195","Little Rock-North Little Rock, AR","22890",22055,383,0,452
"196","Logan, UT-ID","4547",4130,0,0,417
"197","Longview, TX","1990",1990,0,0,0
"198","Longview, WA","5141",4898,243,0,0
"199","Los Angeles-Long Beach-Santa Ana,*  CA","165513",110339,6113,411,48650
"200","Louisville-Jefferson County,* KY-IN","49884",35464,590,0,13830
"201","Lubbock, TX","24832",24009,0,823,0
"202","Lynchburg, VA","9143",8324,0,0,819
"203","Macon, GA","3305",3305,0,0,0
"204","Madera, CA","2038",2038,0,0,0
"205","Madison,* WI","39847",19563,549,3048,16687
"206","Manchester-Nashua, NH","7770",6629,460,0,681
"207","Mansfield, OH","2570",2570,0,0,0
"208","McAllen-Edinburg-Mission,* TX","40355",39670,97,588,0
"209","Medford, OR","12378",6628,0,0,5750
"210","Memphis,* TN-MS-AR","49807",32175,2157,324,15151
"211","Merced, CA","978",978,0,0,0
"212","Miami-Fort Lauderdale-Miami Beach,*  FL","143791",66096,509,4865,72321
"213","Michigan City-La Porte, IN","2925",2925,0,0,0
"214","Midland,* TX","4129",4129,0,0,0
"215","Milwaukee-Waukesha-West Allis,* WI","34138",29120,880,1688,2450
"216","Minneapolis-St. Paul-Bloomington,*  MN-WI","113992",97842,772,0,15378
"217","Missoula,* MT","4070",4070,0,0,0
"218","Mobile, AL","27915",23808,0,0,4107
"219","Modesto, CA","7939",5313,0,0,2626
"220","Monroe, LA","3127",2668,0,0,459
"221","Monroe, MI","477",477,0,0,0
"222","Montgomery, AL","5481",5481,0,0,0
"223","Morgantown, WV","1690",1090,0,0,600
"224","Morristown, TN","4176",4176,0,0,0
"225","Mount Vernon-Anacortes, WA","5496",5299,197,0,0
"226","Muncie, IN","1498",1498,0,0,0
"227","Muskegon-Norton Shores, MI","1428",1428,0,0,0
"228","Myrtle Beach-North Myrtle Beach-Conway,  SC","24229",16205,0,0,8024
"229","Napa, CA","4572",4572,0,0,0
"230","Naples-Marco Island,* FL","30181",22176,3200,2072,2733
"231","Nashville-Davidson--Murfreesboro,*  TN","90329",88621,0,0,1708
"232","New Haven-Milford, CT","7490",6669,0,0,821
"233","New Orleans-Metairie-Kenner,* LA","40107",33720,892,0,5495
"234","New York-Northern New Jersey-Long Island,*  NY-NJ-PA","317870",191192,11550,12194,102934
"235","Niles-Benton Harbor, MI","617",617,0,0,0
"236","Norwich-New London, CT","5576",5576,0,0,0
"237","Ocala,* FL","13287",13202,85,0,0
"238","Ocean City,* NJ","9474",8456,0,0,1018
"239","Odessa,* TX","11507",4353,154,0,7000
"240","Ogden-Clearfield, UT","19805",19805,0,0,0
"241","Oklahoma City,* OK","48220",45136,1358,0,1726
"242","Olympia, WA","14645",14441,0,0,204
"243","Omaha-Council Bluffs,* NE-IA","49444",47264,579,0,1601
"244","Orlando-Kissimmee,* FL","113862",100397,337,1046,12082
"245","Oshkosh-Neenah, WI","4966",4516,0,450,0
"246","Owensboro, KY","1898",1349,91,134,324
"247","Oxnard-Thousand Oaks-Ventura, CA","7161",4833,0,365,1963
"248","Palm Bay-Melbourne-Titusville,* FL","24346",18866,0,0,5480
"249","Palm Coast, FL","13452",6866,0,0,6586
"250","Panama City-Lynn Haven, FL","7007",5389,121,0,1497
"251","Parkersburg-Marietta-Vienna, WV-OH","1442",1332,0,0,110
"252","Pascagoula, MS","8169",6704,0,0,1465
"253","Pensacola-Ferry Pass-Brent,* FL","15023",15023,0,0,0
"254","Peoria, IL","10423",10423,0,0,0
"255","Philadelphia-Camden-Wilmington,*  PA-NJ-DE-MD","108475",91615,1901,640,14319
"256","Phoenix-Mesa-Scottsdale,* AZ","187659",182224,136,1987,3312
"257","Pine Bluff, AR","329",249,0,0,80
"258","Pittsburgh,* PA","56935",54761,380,1794,0
"259","Pittsfield, MA","918",918,0,0,0
"260","Pocatello, ID","2032",2032,0,0,0
"261","Port St. Lucie,* FL","15788",14920,0,0,868
"262","Portland-South Portland-Biddeford,  ME","20387",18208,993,261,925
"263","Portland-Vancouver-Beaverton,* OR-WA","209915",78768,687,1425,129035
"264","Poughkeepsie-Newburgh-Middletown,  NY","10126",9556,0,0,570
"265","Prescott, AZ","7099",7099,0,0,0
"266","Providence-New Bedford-Fall River,  RI-MA","17600",17009,256,335,0
"267","Provo-Orem, UT","16352",14543,0,1317,492
"268","Pueblo,* CO","4887",4887,0,0,0
"269","Punta Gorda,* FL","11915",4734,914,822,5445
"270","Racine, WI","5041",5041,0,0,0
"271","Raleigh-Cary,* NC","114759",95492,662,315,18290
"272","Rapid City, SD","4621",4597,0,0,24
"273","Reading, PA","8027",8027,0,0,0
"274","Redding, CA","5246",4654,0,0,592
"275","Reno-Sparks,* NV","33788",15890,0,0,17898
"276","Richmond,* VA","58812",56872,0,490,1450
"277","Riverside-San Bernardino-Ontario,*  CA","121792",107394,2060,0,12338
"278","Roanoke, VA","10069",10069,0,0,0
"279","Rochester, MN","6795",6795,0,0,0
"280","Rochester, NY","19432",17997,310,525,600
