"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"116","Fort Collins-Loveland,* CO","45712",41030,647,1694,2341
"117","Fort Smith, AR-OK","6956",6050,756,150,0
"118","Fort Walton Beach-Crestview-Destin,*  FL","42183",29951,0,0,12232
"119","Fort Wayne, IN","44186",41291,0,0,2895
"120","Fresno, CA","94095",86733,917,1099,5346
"121","Gadsden, AL","3002",3002,0,0,0
"122","Gainesville, FL","15789",13498,0,460,1831
"123","Gainesville, GA","21108",21108,0,0,0
"124","Glens Falls, NY","10670",10670,0,0,0
"125","Goldsboro,* NC","5579",5579,0,0,0
"126","Grand Forks, ND-MN","3293",3293,0,0,0
"127","Grand Junction,* CO","28140",28140,0,0,0
"128","Grand Rapids-Wyoming,* MI","53565",51092,410,255,1808
"129","Great Falls, MT","2649",2649,0,0,0
"130","Greeley,* CO","79391",77970,140,976,305
"131","Green Bay, WI","22018",20437,615,0,966
"132","Greensboro-High Point,* NC","89566",84359,80,67,5060
"133","Greenville, NC","9918",6930,655,0,2333
"134","Greenville,* SC","56303",54421,126,0,1756
"135","Gulfport-Biloxi, MS","25196",22378,433,405,1980
"136","Hagerstown-Martinsburg, MD-WV","62748",60832,1916,0,0
"137","Hanford-Corcoran, CA","9756",9756,0,0,0
"138","Harrisburg-Carlisle, PA","27860",27145,620,0,95
"139","Harrisonburg,* VA","17453",16209,1244,0,0
"140","Hartford-West Hartford-East Hartford,  CT","53830",52270,173,0,1387
"141","Hattiesburg, MS","1094",1094,0,0,0
"142","Hickory-Lenoir-Morganton, NC","25389",23027,0,0,2362
"143","Hinesville-Fort Stewart, GA","2855",2855,0,0,0
"144","Holland-Grand Haven, MI","20100",17490,492,1586,532
"145","Honolulu,* HI","78434",48665,0,1964,27805
"146","Hot Springs, AR","1640",1640,0,0,0
"147","Houma-Bayou Cane-Thibodaux, LA","6369",6369,0,0,0
"148","Houston-Baytown-Sugar Land,* TX","840240",762881,2843,828,73688
"149","Huntington-Ashland, WV-KY-OH","612",612,0,0,0
"150","Huntsville, AL","26704",26704,0,0,0
"151","Idaho Falls, ID","22141",20108,0,2033,0
"152","Indianapolis,* IN","212191",197956,1640,3013,9582
"153","Iowa City, IA","17808",11658,0,0,6150
"154","Ithaca, NY","2036",1762,274,0,0
"155","Jackson, MI","5086",5086,0,0,0
"156","Jackson, MS","47641",45730,0,370,1541
"157","Jackson, TN","6924",6924,0,0,0
"158","Jacksonville,* FL","430414",336273,1104,11216,81821
"159","Jacksonville, NC","17546",17546,0,0,0
"160","Janesville, WI","8979",8067,512,225,175
"161","Jefferson City, MO","4998",4481,0,196,321
"162","Johnson City, TN","9281",8914,0,69,298
"163","Johnstown, PA","380",380,0,0,0
"164","Jonesboro, AR","7198",7198,0,0,0
"165","Joplin, MO","1896",1896,0,0,0
"166","Kalamazoo-Portage, MI","14232",14232,0,0,0
