"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"116","Fort Collins-Loveland,* CO","72938",42229,1912,11039,17758
"117","Fort Smith, AR-OK","4876",4404,472,0,0
"118","Fort Walton Beach-Crestview-Destin,  FL","44160",21945,0,0,22215
"119","Fort Wayne,* IN","27692",25537,155,0,2000
"120","Fresno, CA","77417",63066,712,1375,12264
"121","Gadsden, AL","3163",3163,0,0,0
"122","Gainesville, FL","16756",14494,0,0,2262
"123","Gainesville, GA","32719",32719,0,0,0
"124","Glens Falls, NY","6705",6609,96,0,0
"125","Goldsboro, NC","7508",7508,0,0,0
"126","Grand Forks, ND-MN","0",0,0,0,0
"127","Grand Junction,* CO","33805",27969,0,0,5836
"128","Grand Rapids-Wyoming,* MI","32686",30051,0,0,2635
"129","Great Falls, MT","3719",3719,0,0,0
"130","Greeley,* CO","67506",60660,447,1172,5227
"131","Green Bay, WI","13694",10982,360,1085,1267
"132","Greensboro-High Point,* NC","87709",78109,0,0,9600
"133","Greenville, NC","26576",21628,2577,0,2371
"134","Greenville,* SC","59170",58325,262,0,583
"135","Gulfport-Biloxi, MS","45349",41666,576,938,2169
"136","Hagerstown-Martinsburg, MD-WV","60406",60406,0,0,0
"137","Hanford-Corcoran, CA","7608",7608,0,0,0
"138","Harrisburg-Carlisle, PA","26061",24571,200,0,1290
"139","Harrisonburg,* VA","12303",12303,0,0,0
"140","Hartford-West Hartford-East Hartford,  CT","44490",42359,148,0,1983
"141","Hattiesburg, MS","2579",2579,0,0,0
"142","Hickory-Lenoir-Morganton, NC","27859",26757,230,0,872
"143","Hinesville-Fort Stewart, GA","845",305,0,540,0
"144","Holland-Grand Haven, MI","15278",13593,0,1301,384
"145","Honolulu,* HI","45457",40957,0,0,4500
"146","Hot Springs, AR","1640",1640,0,0,0
"147","Houma-Bayou Cane-Thibodaux, LA","47509",47509,0,0,0
"148","Houston-Baytown-Sugar Land,* TX","940102",843068,3296,668,93070
"149","Huntington-Ashland, WV-KY-OH","308",308,0,0,0
"150","Huntsville, AL","39652",39652,0,0,0
"151","Idaho Falls, ID","14110",13667,0,443,0
"152","Indianapolis-Carmel,* IN","212928",198073,3634,390,10831
"153","Iowa City, IA","13770",11444,0,400,1926
"154","Ithaca, NY","883",883,0,0,0
"155","Jackson, MI","2977",2977,0,0,0
"156","Jackson, MS","61402",59452,0,0,1950
"157","Jackson, TN","12571",10123,0,0,2448
"158","Jacksonville,* FL","292401",271189,310,204,20698
"159","Jacksonville, NC","16446",16076,370,0,0
"160","Janesville, WI","7347",7028,319,0,0
"161","Jefferson City, MO","5758",4162,0,196,1400
"162","Johnson City, TN","14265",13138,0,219,908
"163","Johnstown, PA","112",112,0,0,0
"164","Jonesboro, AR","5850",5429,0,0,421
"165","Joplin, MO","2515",2515,0,0,0
"166","Kalamazoo-Portage, MI","13258",12587,0,671,0
"167","Kankakee-Bradley, IL","4645",4645,0,0,0
"168","Kansas City,* MO-KS","191337",177175,3756,8384,2022
"169","Kennewick-Richland-Pasco, WA","31192",29159,247,1116,670
"170","Killeen-Temple-Fort Hood, TX","43482",33635,2278,368,7201
"171","Kingsport-Bristol-Bristol, TN-VA","9095",9095,0,0,0
"172","Kingston, NY","5765",5765,0,0,0
"173","Knoxville, TN","60652",54232,180,740,5500
"174","Kokomo, IN","2989",2989,0,0,0
"175","La Crosse, WI-MN","8079",6089,90,0,1900
"176","Lafayette, IN","14348",13148,0,0,1200
"177","Lafayette, LA","21759",21177,0,0,582
"178","Lake Charles, LA","4144",3680,233,0,231
"179","Lakeland,* FL","150045",148168,137,0,1740
"180","Lancaster, PA","19681",19402,279,0,0
"181","Lansing-East Lansing, MI","12511",11846,0,0,665
"182","Laredo,* TX","18149",15561,0,136,2452
"183","Las Cruces,* NM","31291",30955,0,336,0
"184","Las Vegas-Paradise,* NV","668477",373306,4495,6804,283872
"185","Lawrence, KS","8184",6904,0,1280,0
"186","Lawton, OK","2548",2548,0,0,0
"187","Lebanon, PA","10291",10291,0,0,0
"188","Lewiston, ID-WA","1844",1462,382,0,0
"189","Lewiston-Auburn, ME","3640",3640,0,0,0
"190","Lexington-Fayette, KY","64392",60248,0,1135,3009
"191","Lima, OH","507",507,0,0,0
"192","Lincoln, NE","23765",20835,497,0,2433
"193","Little Rock-North Little Rock, AR","52576",51599,131,0,846
"194","Logan, UT-ID","9188",8437,0,334,417
"195","Longview, TX","11836",11836,0,0,0
"196","Longview, WA","9328",9328,0,0,0
"197","Los Angeles-Long Beach-Santa Ana,*  CA","477650",306051,7050,7511,157038
"198","Louisville-Jefferson County,* KY-IN","73213",68052,1328,1000,2833
"199","Lubbock, TX","16873",16393,480,0,0
"200","Lynchburg, VA","23411",23411,0,0,0
"201","Macon, GA","10840",10840,0,0,0
"202","Madera, CA","17937",17937,0,0,0
"203","Madison,* WI","56198",47901,2144,1359,4794
"204","Manchester-Nashua, NH","20454",19680,184,0,590
"205","Mansfield, OH","3547",3073,198,276,0
"206","McAllen-Edinburg-Pharr,* TX","96824",80153,157,2575,13939
"207","Medford,* OR","22052",21371,276,0,405
"208","Memphis, TN-MS-AR","162280",128254,0,0,34026
"209","Merced, CA","35929",34132,0,0,1797
"210","Miami-Fort Lauderdale-Miami Beach,*  FL","630634",353999,3443,2827,270365
"211","Michigan City-La Porte, IN","4176",4176,0,0,0
"212","Midland,* TX","5140",5140,0,0,0
"213","Milwaukee-Waukesha-West Allis,* WI","75548",69063,1445,1077,3963
"214","Minneapolis-St. Paul-Bloomington,*  MN-WI","307686",260277,1828,3348,42233
"215","Missoula,* MT","3978",3692,286,0,0
"216","Mobile, AL","44792",39201,0,0,5591
"217","Modesto, CA","42698",39086,201,276,3135
"218","Monroe, LA","4426",4375,51,0,0
"219","Monroe, MI","5967",5967,0,0,0
"220","Montgomery, AL","25744",25744,0,0,0
"221","Morgantown, WV","0",0,0,0,0
"222","Morristown, TN","10075",10075,0,0,0
"223","Mount Vernon-Anacortes, WA","14343",14087,256,0,0
"224","Muncie, IN","2500",2500,0,0,0
"225","Muskegon-Norton Shores, MI","2875",2465,410,0,0
"226","Myrtle Beach-Conway-North Myrtle Beach,  SC","167364",105939,149,4200,57076
"227","Napa, CA","9468",4815,0,0,4653
"228","Naples-Marco Island,* FL","158694",114808,0,26194,17692
"229","Nashville-Davidson--Murfreesboro,*  TN","232803",228728,2400,128,1547
