"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","2237",1791,446,0,0
"2","Akron, OH","12467",9391,0,69,3007
"3","Albany, GA","2774",2624,150,0,0
"4","Albany-Schenectady-Troy, NY","10793",10793,0,0,0
"5","Albuquerque,* NM","30554",27165,0,0,3389
"6","Alexandria, LA","3590",3590,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","16574",16319,0,0,255
"8","Altoona, PA","400",400,0,0,0
"9","Amarillo, TX","9642",9642,0,0,0
"10","Ames, IA","1859",1190,0,0,669
"11","Anchorage,* AK","9769",4529,669,458,4113
"12","Anderson, IN","1334",1089,245,0,0
"13","Anderson, SC","8909",8909,0,0,0
"14","Ann Arbor, MI","3108",2806,0,0,302
"15","Anniston-Oxford, AL","1635",1635,0,0,0
"16","Appleton, WI","4380",4206,174,0,0
"17","Asheville, NC","44186",44186,0,0,0
"18","Athens-Clarke County, GA","7428",7428,0,0,0
"19","Atlanta-Sandy Springs-Marietta,* GA","304790",238422,0,1566,64802
"20","Atlantic City-Hammonton,* NJ","9587",9587,0,0,0
"21","Auburn-Opelika,* AL","14860",14860,0,0,0
"22","Augusta-Richmond County, GA-SC","28168",26199,60,0,1909
"23","Austin-Round Rock,* TX","211317",145523,2854,6490,56450
"24","Bakersfield, CA","28876",22493,413,2302,3668
"25","Baltimore-Towson,* MD","80176",38648,0,0,41528
"26","Bangor, ME","1008",1008,0,0,0
"27","Barnstable Town, MA","21409",21409,0,0,0
"28","Baton Rouge, LA","47767",46563,0,0,1204
"29","Battle Creek, MI","510",510,0,0,0
"30","Bay City, MI","105",105,0,0,0
"31","Beaumont-Port Arthur, TX","24626",6802,362,0,17462
"32","Bellingham, WA","4296",2689,0,0,1607
"33","Bend,* OR","11908",11908,0,0,0
"34","Billings, MT","3555",3555,0,0,0
"35","Binghamton, NY","543",543,0,0,0
"36","Birmingham-Hoover,* AL","37753",32700,0,0,5053
"37","Bismarck, ND","1385",1385,0,0,0
"38","Bloomington, IN","4331",3515,816,0,0
"39","Bloomington-Normal, IL","2611",1850,0,0,761
"40","Boise City-Nampa,* ID","43362",42569,0,793,0
"41","Boston-Cambridge-Quincy,* MA-NH","76711",58260,1211,4381,12859
"42","Boulder, CO","6105",5281,0,0,824
"43","Bowling Green, KY","4734",4734,0,0,0
"44","Bradenton-Sarasota-Venice,* FL","32656",28351,250,0,4055
"45","Bremerton-Silverdale, WA","9232",9232,0,0,0
"46","Bridgeport-Stamford-Norwalk, CT","107374",38770,405,0,68199
"47","Brownsville-Harlingen, TX","10662",10662,0,0,0
"48","Brunswick, GA","8637",8637,0,0,0
"49","Buffalo-Niagara Falls, NY","8855",8855,0,0,0
"50","Burlington, NC","10003",10003,0,0,0
"51","Burlington-South Burlington, VT","5107",4895,212,0,0
"52","Canton-Massillon, OH","3782",3782,0,0,0
"53","Cape Coral-Fort Myers,* FL","41195",28477,0,0,12718
"54","Carson City,* NV","300",300,0,0,0
"55","Casper, WY","4016",3517,0,499,0
"56","Cedar Rapids, IA","1698",1432,0,266,0
"57","Champaign-Urbana, IL","3973",2707,35,0,1231
"58","Charleston, WV","2315",2315,0,0,0
"59","Charleston-North Charleston-Summerville,*  SC","86217",83425,0,0,2792
"60","Charlotte-Gastonia-Concord,* NC-SC","224148",143946,0,1127,79075
"61","Charlottesville, VA","19265",19265,0,0,0
"62","Chattanooga, TN-GA","15946",13199,93,0,2654
"63","Cheyenne, WY","2052",2052,0,0,0
"64","Chicago-Naperville-Joliet,* IL-IN-WI","268719",148521,2883,4068,113247
"65","Chico, CA","7215",7082,0,133,0
"66","Cincinnati-Middletown,* OH-KY-IN","63493",56368,900,0,6225
"67","Clarksville, TN-KY","10651",8282,0,2369,0
"68","Cleveland, TN","2729",2615,114,0,0
"69","Cleveland-Elyria-Mentor,* OH","36339",32905,305,0,3129
"70","Coeur dAlene, ID","12845",8724,0,0,4121
"71","College Station-Bryan, TX","11478",8105,2366,0,1007
"72","Colorado Springs,* CO","15691",15691,0,0,0
"73","Columbia, MO","6195",5656,0,539,0
"74","Columbia,* SC","40366",36925,0,788,2653
"75","Columbus, GA-AL","9922",7537,166,136,2083
"76","Columbus, IN","2797",2797,0,0,0
"77","Columbus,* OH","56319",46559,1490,600,7670
"78","Corpus Christi, TX","17193",11067,0,0,6126
"79","Corvallis, OR","0",0,0,0,0
"80","Cumberland, MD-WV","1286",1286,0,0,0
"81","Dallas-Fort Worth-Arlington,* TX","480634",276517,2952,2925,198240
"82","Dalton, GA","3638",3157,0,172,309
"83","Danville, IL","0",0,0,0,0
"84","Danville, VA","1289",994,0,0,295
"85","Davenport-Moline-Rock Island,  IA-IL","2459",2459,0,0,0
"86","Dayton, OH","13115",13115,0,0,0
"87","Decatur, AL","1603",1603,0,0,0
"88","Decatur, IL","0",0,0,0,0
"89","Deltona-Daytona Beach-Ormond Beach,*  FL","18552",14638,0,0,3914
"90","Denver-Aurora,* CO","134391",80668,962,0,52761
"91","Des Moines-West Des Moines,* IA","50193",17084,270,0,32839
"92","Detroit-Warren-Livonia,* MI","29133",26377,0,0,2756
"93","Dothan, AL","2469",2469,0,0,0
"94","Dover,* DE","11734",11734,0,0,0
"95","Dubuque, IA","926",926,0,0,0
"96","Duluth, MN-WI","2947",2110,0,0,837
"97","Durham,* NC","42059",39055,0,0,3004
"98","Eau Claire, WI","2369",1523,166,0,680
"99","El Centro, CA","1318",1318,0,0,0
"100","El Paso, TX","29145",23589,184,5372,0
"101","Elizabethtown, KY","4406",4406,0,0,0
"102","Elkhart-Goshen, IN","5422",5422,0,0,0
"103","Elmira, NY","0",0,0,0,0
"104","Erie, PA","1524",1524,0,0,0
"105","Eugene-Springfield, OR","9664",9394,270,0,0
"106","Evansville, IN-KY","7936",7197,0,322,417
"107","Fairbanks,* AK","1654",1412,242,0,0
"108","Fargo, ND-MN","556",556,0,0,0
"109","Farmington,* NM","3248",3248,0,0,0
"110","Fayetteville, NC","17075",16287,0,0,788
"111","Fayetteville-Springdale-Rogers,  AR-MO","22370",19655,1254,0,1461
"112","Flagstaff, AZ","5993",5993,0,0,0
"113","Flint, MI","1741",1741,0,0,0
"114","Florence, SC","4259",4259,0,0,0
"115","Florence-Muscle Shoals, AL","5500",5500,0,0,0
"116","Fond du Lac, WI","524",524,0,0,0
"117","Fort Collins-Loveland,* CO","20021",12325,0,411,7285
"118","Fort Smith, AR-OK","7060",4046,300,1000,1714
"119","Fort Walton Beach-Crestview-Destin,  FL","6419",6133,0,0,286
"120","Fort Wayne,* IN","8908",8908,0,0,0
"121","Fresno, CA","25115",20193,0,0,4922
"122","Gadsden, AL","784",784,0,0,0
"123","Gainesville, FL","12852",10224,0,0,2628
"124","Gainesville, GA","4204",4204,0,0,0
"125","Glens Falls, NY","2737",2737,0,0,0
"126","Goldsboro, NC","3644",3644,0,0,0
"127","Grand Forks, ND-MN","3500",0,0,0,3500
"128","Grand Junction,* CO","13978",13652,326,0,0
"129","Grand Rapids-Wyoming,* MI","17952",16270,126,226,1330
"130","Great Falls, MT","874",874,0,0,0
"131","Greeley,* CO","16270",16270,0,0,0
"132","Green Bay, WI","3679",2915,0,0,764
"133","Greensboro-High Point,* NC","37493",36981,0,0,512
"134","Greenville, NC","15228",12102,1134,0,1992
"135","Greenville,* SC","45668",31814,500,803,12551
"136","Gulfport-Biloxi, MS","22237",20299,1938,0,0
"137","Hagerstown-Martinsburg, MD-WV","31960",31268,292,400,0
"138","Hanford-Corcoran, CA","2131",1651,0,214,266
"139","Harrisburg-Carlisle, PA","17248",15526,0,0,1722
"140","Harrisonburg,* VA","8371",6065,0,0,2306
"141","Hartford-West Hartford-East Hartford,  CT","12552",10819,199,0,1534
"142","Hattiesburg, MS","8527",8527,0,0,0
"143","Hickory-Lenoir-Morganton, NC","17333",17333,0,0,0
"144","Hinesville-Fort Stewart, GA","671",671,0,0,0
"145","Holland-Grand Haven, MI","3803",2699,0,0,1104
"146","Honolulu,* HI","18688",13010,0,0,5678
"147","Hot Springs, AR","656",656,0,0,0
"148","Houma-Bayou Cane-Thibodaux, LA","13489",13489,0,0,0
"149","Houston-Sugar Land-Baytown,* TX","468192",432695,2748,412,32337
"150","Huntington-Ashland, WV-KY-OH","796",521,0,0,275
"151","Huntsville, AL","19602",19602,0,0,0
"152","Idaho Falls, ID","3177",3177,0,0,0
"153","Indianapolis-Carmel,* IN","61804",59107,400,1041,1256
"154","Iowa City, IA","5120",5120,0,0,0
"155","Ithaca, NY","2096",1779,0,0,317
"156","Jackson, MI","2750",350,0,0,2400
"157","Jackson, MS","21252",20705,0,0,547
"158","Jackson, TN","2085",2085,0,0,0
"159","Jacksonville,* FL","120297",90302,656,580,28759
"160","Jacksonville, NC","8443",8340,103,0,0
"161","Janesville, WI","1493",1493,0,0,0
"162","Jefferson City, MO","877",877,0,0,0
"163","Johnson City, TN","7741",7341,0,0,400
"164","Johnstown, PA","0",0,0,0,0
"165","Jonesboro, AR","3988",3988,0,0,0
"166","Joplin, MO","1142",1087,0,55,0
"167","Kalamazoo-Portage, MI","7745",7745,0,0,0
"168","Kankakee-Bradley, IL","147",147,0,0,0
"169","Kansas City,* MO-KS","73062",49259,225,1892,21686
"170","Kennewick-Pasco-Richland, WA","11947",11947,0,0,0
"171","Killeen-Temple-Fort Hood, TX","19738",18685,321,732,0
"172","Kingsport-Bristol-Bristol, TN-VA","4497",3535,84,0,878
"173","Kingston, NY","689",689,0,0,0
"174","Knoxville, TN","28073",23765,1022,0,3286
"175","Kokomo, IN","188",188,0,0,0
"176","La Crosse, WI-MN","1918",928,0,0,990
"177","Lafayette, IN","6001",5176,0,0,825
"178","Lafayette, LA","9696",8621,0,0,1075
"179","Lake Charles, LA","5873",5456,151,0,266
"180","Lake Havasu City-Kingman, AZ","4718",4718,0,0,0
"181","Lakeland-Winter Haven,* FL","67887",29493,129,0,38265
"182","Lancaster, PA","6200",6200,0,0,0
"183","Lansing-East Lansing, MI","3368",3170,0,0,198
"184","Laredo,* TX","9198",7984,0,397,817
"185","Las Cruces,* NM","20263",18962,156,218,927
"186","Las Vegas-Paradise,* NV","65601",49536,0,0,16065
"187","Lawrence, KS","2378",1995,143,0,240
"188","Lawton, OK","2725",2725,0,0,0
"189","Lebanon, PA","4882",4882,0,0,0
"190","Lewiston, ID-WA","552",197,355,0,0
"191","Lewiston-Auburn, ME","1115",1115,0,0,0
"192","Lexington-Fayette, KY","16420",16420,0,0,0
"193","Lima, OH","0",0,0,0,0
"194","Lincoln, NE","9178",8764,414,0,0
"195","Little Rock-North Little Rock, AR","31100",29511,432,0,1157
"196","Logan, UT-ID","1901",1234,0,250,417
"197","Longview, TX","2981",2246,0,0,735
"198","Longview, WA","2826",2826,0,0,0
"199","Los Angeles-Long Beach-Santa Ana,*  CA","179936",103625,4486,2118,69707
"200","Louisville-Jefferson County,* KY-IN","44558",43165,193,0,1200
"201","Lubbock, TX","27297",8997,0,0,18300
"202","Lynchburg, VA","11136",11136,0,0,0
"203","Macon, GA","4092",4092,0,0,0
"204","Madera, CA","3956",3956,0,0,0
"205","Madison,* WI","20201",16703,327,248,2923
"206","Manchester-Nashua, NH","7990",6459,0,0,1531
"207","Mansfield, OH","0",0,0,0,0
"208","McAllen-Edinburg-Mission,* TX","48471",39709,253,3005,5504
