"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","3246",3246,0,0,0
"2","Akron, OH","26047",24568,136,776,567
"3","Albany, GA","5562",5129,255,178,0
"4","Albany-Schenectady-Troy, NY","31089",21197,0,1400,8492
"5","Albuquerque,* NM","77020",75465,0,310,1245
"6","Alexandria, LA","8350",8350,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","55574",52764,127,0,2683
"8","Altoona, PA","87",87,0,0,0
"9","Amarillo, TX","8510",8510,0,0,0
"10","Ames, IA","4239",4239,0,0,0
"11","Anchorage,* AK","27869",14598,5178,3157,4936
"12","Anderson, IN","4565",4565,0,0,0
"13","Anderson, SC","15042",15042,0,0,0
"14","Ann Arbor, MI","13830",13528,0,0,302
"15","Anniston-Oxford, AL","1729",1549,0,180,0
"16","Appleton, WI","16346",15112,1234,0,0
"17","Asheville, NC","46771",44155,336,0,2280
"18","Athens-Clarke County, GA","15219",15219,0,0,0
"19","Atlanta-Sandy Springs-Marietta,* GA","727619",688024,314,437,38844
"20","Atlantic City,* NJ","18076",17494,582,0,0
"21","Auburn-Opelika,* AL","13287",13287,0,0,0
"22","Augusta-Richmond County, GA-SC","32889",32889,0,0,0
"23","Austin-Round Rock,* TX","221884",191228,4456,159,26041
"24","Bakersfield, CA","86613",81962,1464,2178,1009
"25","Baltimore-Towson,* MD","130941",114066,136,0,16739
"26","Bangor, ME","5927",5927,0,0,0
"27","Barnstable Town, MA","38720",36285,250,0,2185
"28","Baton Rouge, LA","39897",38333,0,297,1267
"29","Battle Creek, MI","1473",1473,0,0,0
"30","Bay City, MI","1255",1255,0,0,0
"31","Beaumont-Port Arthur, TX","6733",6733,0,0,0
"32","Bellingham, WA","21165",20593,572,0,0
"33","Bend,* OR","72068",69840,1723,505,0
"34","Billings, MT","7606",6654,0,293,659
"35","Binghamton, NY","618",425,193,0,0
"36","Birmingham-Hoover,* AL","92045",91435,0,0,610
"37","Bismarck, ND","11131",9981,0,1150,0
"38","Bloomington, IN","10461",7385,1619,316,1141
"39","Bloomington-Normal, IL","7054",6739,0,0,315
"40","Boise City-Nampa,* ID","184447",174411,2269,2387,5380
"41","Boston-Cambridge-Quincy,* MA-NH","281316",171463,7034,4128,98691
"42","Boulder, CO","16767",16034,0,0,733
"43","Bowling Green, KY","15889",15889,0,0,0
"44","Bremerton-Silverdale, WA","26520",20380,0,0,6140
"45","Bridgeport-Stamford-Norwalk, CT","51652",51154,90,0,408
"46","Brownsville-Harlingen, TX","18484",17368,339,777,0
"47","Brunswick, GA","15930",13801,0,0,2129
"48","Buffalo-Niagara Falls, NY","27000",25045,755,1200,0
"49","Burlington, NC","12574",12308,0,0,266
"50","Burlington-South Burlington, VT","9217",7534,924,0,759
"51","Canton-Massillon, OH","18598",18359,0,0,239
"52","Cape Coral-Fort Myers,* FL","357635",290117,543,2998,63977
"53","Carson City,* NV","5507",3211,0,0,2296
"54","Casper,* WY","3997",3997,0,0,0
"55","Cedar Rapids, IA","15456",10725,129,3862,740
"56","Champaign-Urbana, IL","9461",9461,0,0,0
"57","Charleston, WV","3686",3686,0,0,0
"58","Charleston-North Charleston,* SC","117890",109621,0,0,8269
"59","Charlotte-Gastonia-Concord,* NC-SC","273228",256441,0,613,16174
"60","Charlottesville,* VA","26240",24590,0,0,1650
"61","Chattanooga, TN-GA","26859",25625,268,0,966
"62","Cheyenne, WY","9929",9257,0,261,411
"63","Chicago-Naperville-Joliet,* IL-IN-WI","841218",722618,15191,24557,78852
"64","Chico, CA","12801",12801,0,0,0
"65","Cincinnati-Middletown,* OH-KY-IN","173410",161137,614,3424,8235
"66","Clarksville, TN-KY","19575",16055,0,0,3520
"67","Cleveland, TN","9180",8850,330,0,0
"68","Cleveland-Elyria-Mentor,* OH","119902",114095,2014,2919,874
"69","Coeur d""Alene, ID","35240",33081,615,807,737
"70","College Station-Bryan, TX","6700",6700,0,0,0
"71","Colorado Springs,* CO","84180",75528,1442,180,7030
"72","Columbia, MO","22455",17455,5000,0,0
"73","Columbia,* SC","63189",57567,108,0,5514
"74","Columbus, GA-AL","19316",16354,0,131,2831
"75","Columbus, IN","5184",5184,0,0,0
"76","Columbus,* OH","184356",146200,2867,21016,14273
"77","Corpus Christi, TX","18421",16073,148,718,1482
"78","Corvallis, OR","7514",5200,289,0,2025
"79","Cumberland, MD-WV","1354",1354,0,0,0
