"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"116","Fond du Lac, WI","1199",1199,0,0,0
"117","Fort Collins-Loveland,* CO","28027",21327,685,1317,4698
"118","Fort Smith, AR-OK","5775",5097,303,0,375
"119","Fort Walton Beach-Crestview-Destin,  FL","5451",5451,0,0,0
"120","Fort Wayne,* IN","18642",14641,0,0,4001
"121","Fresno, CA","35687",30484,389,1540,3274
"122","Gadsden, AL","2056",2056,0,0,0
"123","Gainesville, FL","7551",5495,130,100,1826
"124","Gainesville, GA","9472",9472,0,0,0
"125","Glens Falls, NY","3782",3782,0,0,0
"126","Goldsboro, NC","5391",5391,0,0,0
"127","Grand Forks, ND-MN","4129",4129,0,0,0
"128","Grand Junction,* CO","15247",14919,328,0,0
"129","Grand Rapids-Wyoming,* MI","28870",28520,0,350,0
"130","Great Falls, MT","3431",3431,0,0,0
"131","Greeley,* CO","23364",23017,0,0,347
"132","Green Bay, WI","13240",10066,0,0,3174
"133","Greensboro-High Point,* NC","40920",38176,70,0,2674
"134","Greenville, NC","13956",10715,1011,0,2230
"135","Greenville,* SC","55351",38819,0,227,16305
"136","Gulfport-Biloxi, MS","29449",23850,2556,500,2543
"137","Hagerstown-Martinsburg, MD-WV","21269",20989,280,0,0
"138","Hanford-Corcoran, CA","4345",4345,0,0,0
"139","Harrisburg-Carlisle, PA","17634",17634,0,0,0
"140","Harrisonburg,* VA","13934",10492,250,0,3192
"141","Hartford-West Hartford-East Hartford,  CT","23525",19994,385,140,3006
"142","Hattiesburg, MS","435",435,0,0,0
"143","Hickory-Lenoir-Morganton, NC","22788",22104,325,0,359
"144","Hinesville-Fort Stewart, GA","982",982,0,0,0
"145","Holland-Grand Haven, MI","5219",4782,0,0,437
"146","Honolulu,* HI","32352",17794,0,904,13654
"147","Hot Springs, AR","656",656,0,0,0
"148","Houma-Bayou Cane-Thibodaux, LA","12357",12012,0,345,0
"149","Houston-Sugar Land-Baytown,* TX","718994",549135,3160,0,166699
"150","Huntington-Ashland, WV-KY-OH","459",459,0,0,0
"151","Huntsville, AL","30983",22758,0,0,8225
"152","Idaho Falls, ID","6695",6695,0,0,0
"153","Indianapolis-Carmel,* IN","96763",94631,391,1225,516
"154","Iowa City, IA","19128",19128,0,0,0
"155","Ithaca, NY","1211",771,0,0,440
"156","Jackson, MI","3429",1029,0,0,2400
"157","Jackson, MS","27416",25909,0,330,1177
"158","Jackson, TN","4149",4149,0,0,0
"159","Jacksonville,* FL","108094",102932,257,0,4905
"160","Jacksonville, NC","12972",11792,180,1000,0
"161","Janesville, WI","5276",5276,0,0,0
"162","Jefferson City, MO","2528",2528,0,0,0
"163","Johnson City, TN","11140",11140,0,0,0
"164","Johnstown, PA","366",366,0,0,0
"165","Jonesboro, AR","4073",4073,0,0,0
"166","Joplin, MO","1352",1212,140,0,0
"167","Kalamazoo-Portage, MI","7059",3989,0,575,2495
"168","Kankakee-Bradley, IL","1710",1710,0,0,0
"169","Kansas City,* MO-KS","92406",74198,969,5004,12235
"170","Kennewick-Pasco-Richland, WA","17062",16229,0,0,833
"171","Killeen-Temple-Fort Hood, TX","31182",24601,3457,124,3000
"172","Kingsport-Bristol-Bristol, TN-VA","7571",7413,0,0,158
"173","Kingston, NY","2495",2130,365,0,0
"174","Knoxville, TN","30719",29286,1433,0,0
"175","Kokomo, IN","1517",1517,0,0,0
"176","La Crosse, WI-MN","6172",5496,140,200,336
"177","Lafayette, IN","9303",9263,0,0,40
"178","Lafayette, LA","11496",10812,0,0,684
"179","Lake Charles, LA","7294",4824,251,190,2029
"180","Lake Havasu City-Kingman, AZ","12380",11207,671,502,0
"181","Lakeland-Winter Haven,* FL","46000",45393,82,525,0
"182","Lancaster, PA","14744",13774,0,0,970
"183","Lansing-East Lansing, MI","5896",4795,0,0,1101
"184","Laredo,* TX","11052",9842,0,201,1009
"185","Las Cruces,* NM","14345",13702,169,474,0
"186","Las Vegas-Paradise,* NV","137283",127751,0,1679,7853
"187","Lawrence, KS","3685",3131,0,174,380
"188","Lawton, OK","1793",1793,0,0,0
"189","Lebanon, PA","6324",6324,0,0,0
"190","Lewiston, ID-WA","958",648,310,0,0
"191","Lewiston-Auburn, ME","2726",2726,0,0,0
"192","Lexington-Fayette, KY","34504",20938,0,816,12750
"193","Lima, OH","0",0,0,0,0
"194","Lincoln, NE","16313",12913,200,0,3200
"195","Little Rock-North Little Rock, AR","35496",33629,1050,698,119
"196","Logan, UT-ID","3843",3092,0,334,417
