"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"118","Fort Smith, AR-OK","3596",3596,0,0,0
"119","Fort Walton Beach-Crestview-Destin,  FL","2403",1991,0,0,412
"120","Fort Wayne, IN","10841",10601,240,0,0
"121","Fresno, CA","12498",12498,0,0,0
"122","Gadsden, AL","1248",1248,0,0,0
"123","Gainesville, FL","4219",3306,0,0,913
"124","Gainesville, GA","1496",1496,0,0,0
"125","Glens Falls, NY","3448",3042,0,406,0
"126","Goldsboro, NC","1536",1382,154,0,0
"127","Grand Forks, ND-MN","446",446,0,0,0
"128","Grand Junction,* CO","3709",3709,0,0,0
"129","Grand Rapids-Wyoming,* MI","12098",9163,0,0,2935
"130","Great Falls, MT","1253",1253,0,0,0
"131","Greeley,* CO","5486",5254,0,0,232
"132","Green Bay, WI","3024",2781,0,0,243
"133","Greensboro-High Point,* NC","16339",14828,407,0,1104
"134","Greenville, NC","4109",3437,672,0,0
"135","Greenville,* SC","11054",11054,0,0,0
"136","Gulfport-Biloxi, MS","23923",6637,1466,0,15820
"137","Hagerstown-Martinsburg, MD-WV","7124",7124,0,0,0
"138","Hanford-Corcoran, CA","4581",629,0,3952,0
"139","Harrisburg-Carlisle, PA","8380",8380,0,0,0
"140","Harrisonburg,* VA","2775",2775,0,0,0
"141","Hartford-West Hartford-East Hartford,  CT","11293",9861,0,0,1432
"142","Hattiesburg, MS","825",825,0,0,0
"143","Hickory-Lenoir-Morganton, NC","10091",10091,0,0,0
"144","Hinesville-Fort Stewart, GA","1217",1217,0,0,0
"145","Holland-Grand Haven, MI","2758",2728,0,30,0
"146","Honolulu,* HI","17539",6779,0,452,10308
"147","Hot Springs, AR","219",219,0,0,0
"148","Houma-Bayou Cane-Thibodaux, LA","6565",6565,0,0,0
"149","Houston-Sugar Land-Baytown,* TX","313584",243901,1613,0,68070
"150","Huntington-Ashland, WV-KY-OH","110",110,0,0,0
"151","Huntsville, AL","24298",10630,0,0,13668
"152","Idaho Falls, ID","1692",1692,0,0,0
"153","Indianapolis-Carmel,* IN","54364",38915,210,884,14355
"154","Iowa City, IA","7836",5760,0,0,2076
"155","Ithaca, NY","480",0,480,0,0
"156","Jackson, MI","273",273,0,0,0
"157","Jackson, MS","18074",18074,0,0,0
"158","Jackson, TN","6673",2344,0,1804,2525
"159","Jacksonville,* FL","57278",53351,1015,0,2912
"160","Jacksonville, NC","8380",8230,0,150,0
"161","Janesville, WI","961",161,800,0,0
"162","Jefferson City, MO","813",813,0,0,0
"163","Johnson City, TN","3385",1681,120,0,1584
"164","Johnstown, PA","107",107,0,0,0
"165","Jonesboro, AR","1180",1180,0,0,0
"166","Joplin, MO","999",999,0,0,0
