"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","5227",5227,0,0,0
"2","Akron,* OH","45982",43631,998,549,804
"3","Albany, GA","12861",8841,621,0,3399
"4","Albany-Schenectady-Troy, NY","29008",28428,0,0,580
"5","Albuquerque,* NM","73102",72525,0,87,490
"6","Alexandria, LA","5977",5977,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","70976",69756,329,526,365
"8","Altoona, PA","4368",4368,0,0,0
"9","Amarillo, TX","11482",11482,0,0,0
"10","Ames, IA","10380",7818,0,0,2562
"11","Anchorage,* AK","32928",20291,4111,1522,7004
"12","Anderson,* IN","10591",8556,0,482,1553
"13","Anderson,* SC","12617",12557,60,0,0
"14","Ann Arbor,* MI","41489",33128,155,464,7742
"15","Anniston-Oxford, AL","2353",2353,0,0,0
"16","Appleton, WI","21403",21211,192,0,0
"17","Asheville, NC","51008",49349,1074,585,0
"18","Athens-Clarke County, GA","25213",25103,110,0,0
"19","Atlanta-Sandy Springs-Marietta,* GA","682778",643161,2150,423,37044
"20","Atlantic City,* NJ","20394",18626,219,309,1240
"21","Auburn-Opelika,* AL","16060",12627,1205,428,1800
"22","Augusta-Richmond County, GA-SC","42441",41058,1383,0,0
"23","Austin-Round Rock,* TX","177848",174972,376,125,2375
"24","Bakersfield, CA","88266",87901,138,227,0
"25","Baltimore-Towson,* MD","122441",114912,138,642,6749
"26","Bangor, ME","5213",5073,140,0,0
"27","Barnstable Town, MA","32084",23907,0,761,7416
"28","Baton Rouge, LA","36085",36085,0,0,0
"29","Battle Creek, MI","2165",2165,0,0,0
"30","Bay City, MI","1017",1017,0,0,0
"31","Beaumont-Port Arthur, TX","9228",9228,0,0,0
"32","Bellingham, WA","36371",26721,1468,639,7543
"33","Bend,* OR","54907",50537,3081,1289,0
"34","Billings, MT","11770",11770,0,0,0
"35","Binghamton, NY","4105",2411,0,0,1694
"36","Birmingham-Hoover,* AL","105343",103138,0,0,2205
"37","Bismarck, ND","22114",16819,365,1273,3657
"38","Blacksburg-Christiansburg-Radford,  VA","11258",10518,150,0,590
"39","Bloomington, IN","13098",9569,2089,237,1203
"40","Bloomington-Normal, IL","12236",12236,0,0,0
"41","Boise City-Nampa,* ID","111707",108747,720,1499,741
"42","Boston-Cambridge-Quincy,* MA-NH","204737",153033,4349,3139,44216
"43","Boulder,* CO","25101",23704,199,0,1198
"44","Bowling Green, KY","12565",12565,0,0,0
"45","Bremerton-Silverdale,* WA","23600",22768,832,0,0
"46","Bridgeport-Stamford-Norwalk,* CT","63918",61535,0,233,2150
"47","Brownsville-Harlingen, TX","20302",18373,196,701,1032
"48","Brunswick, GA","12852",12548,123,181,0
"49","Buffalo-Niagara Falls, NY","31888",30973,280,400,235
"50","Burlington,* NC","15963",15263,0,0,700
"51","Burlington-South Burlington, VT","15899",12801,641,617,1840
"52","Canton-Massillon, OH","22955",22400,0,318,237
"53","Cape Coral-Fort Myers,* FL","282938",174308,16307,18392,73931
"54","Carson City,* NV","2468",2468,0,0,0
"55","Casper,* WY","5029",5029,0,0,0
"56","Cedar Rapids, IA","16378",12740,978,663,1997
"57","Champaign-Urbana, IL","15068",13486,0,0,1582
"58","Charleston, WV","3204",2927,277,0,0
"59","Charleston-North Charleston,* SC","100507",94737,277,878,4615
"60","Charlotte-Gastonia-Concord,* NC-SC","296079",279643,1812,550,14074
"61","Charlottesville,* VA","23896",21313,371,436,1776
"62","Chattanooga, TN-GA","39955",38244,358,318,1035
"63","Cheyenne, WY","6508",5503,175,830,0
"64","Chicago-Naperville-Joliet,* IL-IN-WI","723462",672233,9012,4667,37550
"65","Chico, CA","19203",19122,81,0,0
"66","Cincinnati-Middletown,* OH-KY-IN","187162",174739,545,2507,9371
"67","Clarksville, TN-KY","18140",16399,1560,181,0
"68","Cleveland, TN","5264",5114,0,150,0
