"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"117","Fort Smith, AR-OK","5461",4965,0,0,496
"118","Fort Walton Beach-Crestview-Destin,  FL","8367",6093,0,0,2274
"119","Fort Wayne,* IN","17990",17990,0,0,0
"120","Fresno, CA","32161",25859,0,0,6302
"121","Gadsden, AL","1437",1437,0,0,0
"122","Gainesville, FL","9946",8006,0,0,1940
"123","Gainesville, GA","17889",17889,0,0,0
"124","Glens Falls, NY","7354",6226,381,434,313
"125","Goldsboro, NC","5022",5022,0,0,0
"126","Grand Forks, ND-MN","1272",1272,0,0,0
"127","Grand Junction,* CO","17530",17530,0,0,0
"128","Grand Rapids-Wyoming,* MI","30640",29587,393,0,660
"129","Great Falls, MT","4027",4027,0,0,0
"130","Greeley,* CO","25328",25328,0,0,0
"131","Green Bay, WI","11692",10766,0,0,926
"132","Greensboro-High Point,* NC","47222",40851,0,0,6371
"133","Greenville, NC","14677",11126,3551,0,0
"134","Greenville,* SC","50615",36573,0,514,13528
"135","Gulfport-Biloxi, MS","17935",17721,214,0,0
"136","Hagerstown-Martinsburg, MD-WV","22544",22367,177,0,0
"137","Hanford-Corcoran, CA","2855",2641,0,214,0
"138","Harrisburg-Carlisle, PA","20249",17701,0,0,2548
"139","Harrisonburg,* VA","9809",9609,200,0,0
"140","Hartford-West Hartford-East Hartford,  CT","32778",29647,238,0,2893
"141","Hattiesburg, MS","1948",1948,0,0,0
"142","Hickory-Lenoir-Morganton, NC","28479",27893,446,140,0
"143","Hinesville-Fort Stewart, GA","0",0,0,0,0
"144","Holland-Grand Haven, MI","5596",5596,0,0,0
"145","Honolulu,* HI","31792",19931,0,0,11861
"146","Hot Springs, AR","656",656,0,0,0
"147","Houma-Bayou Cane-Thibodaux, LA","13964",13964,0,0,0
"148","Houston-Sugar Land-Baytown,* TX","717097",531219,1269,824,183785
"149","Huntington-Ashland, WV-KY-OH","443",443,0,0,0
"150","Huntsville, AL","33112",23476,0,0,9636
"151","Idaho Falls, ID","10142",9759,138,245,0
"152","Indianapolis-Carmel,* IN","126673",122908,2024,1741,0
"153","Iowa City, IA","9707",9707,0,0,0
"154","Ithaca, NY","2048",1731,0,0,317
"155","Jackson, MI","4409",1052,0,0,3357
"156","Jackson, MS","29013",28622,0,0,391
"157","Jackson, TN","3227",3227,0,0,0
"158","Jacksonville,* FL","80728",80578,150,0,0
"159","Jacksonville, NC","12870",12060,0,0,810
"160","Janesville, WI","5455",5132,0,0,323
"161","Jefferson City, MO","2551",2237,0,0,314
"162","Johnson City, TN","14467",14467,0,0,0
"163","Johnstown, PA","282",282,0,0,0
"164","Jonesboro, AR","3366",2588,0,778,0
"165","Joplin, MO","1494",839,230,425,0
"166","Kalamazoo-Portage, MI","7733",7733,0,0,0
"167","Kankakee-Bradley, IL","4399",3864,186,349,0
"168","Kansas City,* MO-KS","125145",103114,419,11973,9639
"169","Kennewick-Richland-Pasco, WA","14657",14657,0,0,0
"170","Killeen-Temple-Fort Hood, TX","20348",17519,567,710,1552
"171","Kingsport-Bristol-Bristol, TN-VA","4623",4072,138,0,413
"172","Kingston, NY","9838",2838,0,0,7000
"173","Knoxville, TN","41979",41979,0,0,0
"174","Kokomo, IN","980",980,0,0,0
"175","La Crosse, WI-MN","5228",4888,340,0,0
"176","Lafayette, IN","7127",7127,0,0,0
"177","Lafayette, LA","13860",13127,0,0,733
"178","Lake Charles, LA","6867",6182,419,0,266
"179","Lake Havasu City-Kingman, AZ","9647",9647,0,0,0
"180","Lakeland,* FL","43306",43306,0,0,0
"181","Lancaster, PA","15443",13223,0,0,2220
"182","Lansing-East Lansing, MI","11627",11049,0,0,578
"183","Laredo,* TX","10495",9560,111,199,625
"184","Las Cruces,* NM","11360",10577,323,460,0
"185","Las Vegas-Paradise,* NV","663744",242033,0,4556,417155
"186","Lawrence, KS","7231",1873,0,1913,3445
"187","Lawton, OK","2560",2560,0,0,0
"188","Lebanon, PA","4438",4438,0,0,0
"189","Lewiston, ID-WA","852",852,0,0,0
"190","Lewiston-Auburn, ME","2724",2724,0,0,0
"191","Lexington-Fayette, KY","55042",54272,770,0,0
"192","Lima, OH","0",0,0,0,0
"193","Lincoln, NE","16644",16644,0,0,0
"194","Little Rock-North Little Rock, AR","25124",25039,85,0,0
"195","Logan, UT-ID","8598",8181,0,0,417
"196","Longview, TX","3063",2511,0,0,552
"197","Longview, WA","7690",6921,0,0,769
"198","Los Angeles-Long Beach-Santa Ana,*  CA","400603",148115,6476,3061,242951
"199","Louisville-Jefferson County,* KY-IN","59299",51615,180,0,7504
"200","Lubbock, TX","17311",17311,0,0,0
"201","Lynchburg, VA","13882",13882,0,0,0
"202","Macon, GA","4483",4483,0,0,0
"203","Madera, CA","5338",5338,0,0,0
"204","Madison,* WI","44295",26992,3142,1678,12483
"205","Manchester-Nashua, NH","22389",10606,120,0,11663
"206","Mansfield, OH","3834",2964,510,360,0
"207","McAllen-Edinburg-Mission,* TX","58087",42878,0,2369,12840
"208","Medford, OR","11623",11351,272,0,0
