"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","3023",3023,0,0,0
"2","Akron, OH","4219",4042,0,0,177
"3","Albany, GA","1638",1488,150,0,0
"4","Albany-Schenectady-Troy, NY","14206",11230,0,1475,1501
"5","Albuquerque,* NM","19956",17570,0,1159,1227
"6","Alexandria, LA","5948",5948,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","14649",14649,0,0,0
"8","Altoona, PA","61",61,0,0,0
"9","Amarillo, TX","8344",8016,0,328,0
"10","Ames, IA","1483",1483,0,0,0
"11","Anchorage,* AK","5946",5304,0,642,0
"12","Anderson, IN","802",802,0,0,0
"13","Anderson, SC","3010",3010,0,0,0
"14","Ann Arbor, MI","1528",1226,0,0,302
"15","Anniston-Oxford, AL","5490",2082,160,0,3248
"16","Appleton, WI","5160",4930,230,0,0
"17","Asheville, NC","21939",16631,0,0,5308
"18","Athens-Clarke County, GA","4815",3910,150,0,755
"19","Atlanta-Sandy Springs-Marietta,* GA","94944",86607,425,734,7178
"20","Atlantic City-Hammonton,* NJ","3622",3622,0,0,0
"21","Auburn-Opelika,* AL","10813",10159,0,0,654
"22","Augusta-Richmond County, GA-SC","16698",16698,0,0,0
"23","Austin-Round Rock,* TX","94396",80998,750,825,11823
"24","Bakersfield, CA","9637",8542,476,314,305
"25","Baltimore-Towson,* MD","36670",35270,150,0,1250
"26","Bangor, ME","1691",1691,0,0,0
"27","Barnstable Town, MA","5672",5047,0,0,625
"28","Baton Rouge, LA","21818",21818,0,0,0
"29","Battle Creek, MI","0",0,0,0,0
"30","Bay City, MI","240",240,0,0,0
"31","Beaumont-Port Arthur, TX","35829",13347,0,0,22482
"32","Bellingham, WA","3421",3421,0,0,0
"33","Bend,* OR","9325",9325,0,0,0
"34","Billings, MT","2056",2056,0,0,0
"35","Binghamton, NY","256",256,0,0,0
"36","Birmingham-Hoover,* AL","27640",26874,0,0,766
"37","Bismarck, ND","624",624,0,0,0
"38","Bloomington, IN","3485",3062,0,0,423
"39","Bloomington-Normal, IL","4141",1404,0,0,2737
"40","Boise City-Nampa,* ID","23430",22728,0,702,0
"41","Boston-Cambridge-Quincy,* MA-NH","66032",54567,3506,1618,6341
"42","Boulder, CO","2571",2421,0,150,0
"43","Bowling Green, KY","3320",2940,0,0,380
"44","Bradenton-Sarasota-Venice,* FL","23847",16729,0,618,6500
"45","Bremerton-Silverdale, WA","6169",6169,0,0,0
"46","Bridgeport-Stamford-Norwalk, CT","13864",11601,508,635,1120
"47","Brownsville-Harlingen, TX","4778",4631,147,0,0
"48","Brunswick, GA","6621",6621,0,0,0
"49","Buffalo-Niagara Falls, NY","8733",8733,0,0,0
"50","Burlington, NC","7390",7390,0,0,0
"51","Burlington-South Burlington, VT","2655",2383,0,272,0
"52","Canton-Massillon, OH","3875",3637,0,0,238
"53","Cape Coral-Fort Myers,* FL","18006",13712,0,0,4294
"54","Cape Girardeau-Jackson, MO-IL","685",545,140,0,0
"55","Carson City,* NV","439",439,0,0,0
"56","Casper, WY","567",567,0,0,0
"57","Cedar Rapids, IA","4866",4125,199,542,0
"58","Champaign-Urbana, IL","2292",2292,0,0,0
"59","Charleston, WV","1723",1723,0,0,0
"60","Charleston-North Charleston-Summerville,*  SC","52128",49592,0,1242,1294
"61","Charlotte-Gastonia-Concord,* NC-SC","76106",54783,0,0,21323
"62","Charlottesville, VA","7971",7314,0,0,657
"63","Chattanooga, TN-GA","11076",10527,91,0,458
"64","Cheyenne, WY","1886",1886,0,0,0
"65","Chicago-Naperville-Joliet,* IL-IN-WI","103875",76446,1715,5981,19733
"66","Chico, CA","2787",2361,0,426,0
"67","Cincinnati-Middletown,* OH-KY-IN","43831",43016,0,0,815
"68","Clarksville, TN-KY","14386",13068,138,380,800
"69","Cleveland, TN","2709",2354,145,210,0
"70","Cleveland-Elyria-Mentor,* OH","22641",21626,0,1015,0
"71","Coeur dAlene, ID","9526",9526,0,0,0
"72","College Station-Bryan, TX","11148",11148,0,0,0
"73","Colorado Springs,* CO","30931",30561,370,0,0
"74","Columbia, MO","4883",4733,150,0,0
"75","Columbia,* SC","31674",27514,0,0,4160
"76","Columbus, GA-AL","10642",9827,0,136,679
"77","Columbus, IN","1953",1953,0,0,0
"78","Columbus,* OH","47640",44690,1309,275,1366
"79","Corpus Christi, TX","6335",6335,0,0,0
"80","Corvallis, OR","76",76,0,0,0
"81","Cumberland, MD-WV","2307",1407,0,0,900
"82","Dallas-Fort Worth-Arlington,* TX","238142",199879,1249,113,36901
"83","Dalton,* GA","1681",1681,0,0,0
"84","Danville, IL","0",0,0,0,0
"85","Danville, VA","745",745,0,0,0
"86","Davenport-Moline-Rock Island,  IA-IL","3388",3388,0,0,0
"87","Dayton, OH","11895",11272,0,113,510
"88","Decatur, AL","543",543,0,0,0
"89","Decatur, IL","222",222,0,0,0
"90","Deltona-Daytona Beach-Ormond Beach,*  FL","15190",14602,0,0,588
"91","Denver-Aurora-Broomfield,* CO","47503",34049,251,0,13203
"92","Des Moines-West Des Moines,* IA","24534",24302,232,0,0
"93","Detroit-Warren-Livonia,* MI","13162",13162,0,0,0
"94","Dothan, AL","2497",2497,0,0,0
"95","Dover,* DE","5886",5886,0,0,0
"96","Dubuque, IA","5206",4683,523,0,0
