"x","y","id"
-87.667481,31.957537,"01.025"
-87.50262,31.829199,"01.025"
-87.50093,31.829251,"01.025"
-87.500931,31.828359,"01.025"
-87.562229,31.475368,"01.025"
-87.56336,31.464696,"01.025"
-87.567285,31.454555,"01.025"
-87.849544,31.206105,"01.025"
-87.853499,31.203445,"01.025"
-87.855999,31.203452,"01.025"
-88.180384,31.814546,"01.025"
-88.180821,31.818341,"01.025"
-88.180495,31.820128,"01.025"
-88.069215,31.986575,"01.025"
-88.07349,31.990182,"01.025"
-88.032382,31.989942,"01.025"
-87.667769,31.991355,"01.025"
-85.85189,33.498742,"01.027"
-85.666831,33.496283,"01.027"
-85.643482,33.495885,"01.027"
-85.644146,33.481103,"01.027"
-85.653677,33.110232,"01.027"
-85.653654,33.106635,"01.027"
-85.699278,33.106059,"01.027"
-85.999966,33.090701,"01.027"
-86.00917,33.09026,"01.027"
-86.009343,33.104637,"01.027"
-86.172838,33.195101,"01.027"
-86.17283,33.195681,"01.027"
-86.120567,33.194511,"01.027"
-85.877038,33.498886,"01.027"
-85.398837,33.964129,"01.029"
-85.313999,33.529807,"01.029"
-85.304439,33.482884,"01.029"
-85.307746,33.481579,"01.029"
-85.834988,33.469614,"01.029"
-85.887782,33.469428,"01.029"
-85.887675,33.476768,"01.029"
-85.64704,33.648772,"01.029"
-85.638579,33.648413,"01.029"
-85.638578,33.649129,"01.029"
-85.637124,33.846904,"01.029"
-85.637014,33.875944,"01.029"
-85.601899,33.874865,"01.029"
-85.407637,33.964204,"01.029"
-85.953971,31.619046,"01.031"
-85.799828,31.618033,"01.031"
-85.789142,31.617964,"01.031"
-85.789141,31.587866,"01.031"
-85.791401,31.196462,"01.031"
-85.791402,31.196349,"01.031"
-85.791518,31.196374,"01.031"
-86.116736,31.182099,"01.031"
-86.125405,31.182057,"01.031"
-86.125482,31.192754,"01.031"
-86.194727,31.524421,"01.031"
-86.194784,31.529949,"01.031"
-86.156559,31.530203,"01.031"
-86.004044,31.619067,"01.031"
-88.035167,34.905532,"01.033"
-87.426314,34.710904,"01.033"
-87.42654,34.708884,"01.033"
-87.428481,34.707327,"01.033"
-87.515786,34.567616,"01.033"
-87.517919,34.566288,"01.033"
-87.52401,34.570253,"01.033"
-88.120075,34.581468,"01.033"
-88.139988,34.581703,"01.033"
-88.139246,34.587795,"01.033"
-88.040871,34.906613,"01.033"
-86.905184,31.727177,"01.035"
-86.706812,31.523785,"01.035"
-86.701539,31.523812,"01.035"
-86.701372,31.49853,"01.035"
-86.700177,31.210973,"01.035"
-86.70029,31.192307,"01.035"
-86.700976,31.193372,"01.035"
-87.390128,31.26047,"01.035"
-87.427293,31.260387,"01.035"
-87.427186,31.263985,"01.035"
-86.905894,31.752767,"01.035"
-86.079662,33.104696,"01.037"
-86.007214,32.791483,"01.037"
-86.007062,32.754986,"01.037"
-86.05125,32.755049,"01.037"
-86.264834,32.753488,"01.037"
-86.281076,32.753434,"01.037"
-86.296052,32.753537,"01.037"
