"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month","Year"
"Richland-Kennewick-Pasco","WA MSA",137,131,0,0,6,5,2002
"Richmond-Petersburg","VA MSA",1054,681,2,0,371,5,2002
"Roanoke","VA MSA",87,85,2,0,0,5,2002
"Rochester","MN MSA",90,90,0,0,0,5,2002
"Rochester","NY MSA",198,167,0,7,24,5,2002
"Rockford","IL MSA",160,158,2,0,0,5,2002
"Rocky Mount","NC MSA",66,53,8,0,5,5,2002
"Sacramento-Yolo","CA CMSA",1411,1336,6,13,56,5,2002
"Saginaw-Bay City-Midland","MI MSA",70,60,2,3,5,5,2002
"St. Cloud","MN MSA",61,56,0,0,5,5,2002
"St. Joseph","MO MSA",14,12,2,0,0,5,2002
"St. Louis","MO-IL MSA",1428,983,50,26,369,5,2002
"Salinas","CA MSA",85,85,0,0,0,5,2002
"Salt Lake City-Ogden","UT MSA",994,744,16,32,202,5,2002
"San Angelo","TX MSA",27,27,0,0,0,5,2002
"San Antonio","TX MSA",1333,955,6,0,372,5,2002
"San Diego","CA MSA",1066,844,18,7,197,5,2002
"San Francisco-Oakland-San Jose","CA CMSA",1647,1368,8,10,261,5,2002
"San Luis Obispo-Atascadero- Paso Robles","CA MSA",193,171,0,3,19,5,2002
"Santa Barbara-Santa Maria- Lompoc","CA MSA",114,114,0,0,0,5,2002
"Santa Fe","NM MSA",69,62,0,0,7,5,2002
"Sarasota-Bradenton","FL MSA",803,495,0,44,264,5,2002
"Savannah","GA MSA",486,134,0,0,352,5,2002
"Scranton--Wilkes-Barre-- Hazleton","PA MSA",61,54,0,7,0,5,2002
"Seattle-Tacoma-Bremerton","Seattle-Tacoma-Bremerton WA CMSA",2544,1488,80,37,939,5,2002
"Sharon","PA MSA",9,9,0,0,0,5,2002
"Sheboygan","WI MSA",11,9,2,0,0,5,2002
"Sherman-Denison","TX MSA",10,10,0,0,0,5,2002
"Shreveport-Bossier City","LA MSA",291,107,0,0,184,5,2002
"Sioux City","IA-NE MSA",12,10,2,0,0,5,2002
"Sioux Falls","SD MSA",181,149,2,0,30,5,2002
"South Bend","IN MSA",137,75,2,0,60,5,2002
"Spokane","WA MSA",259,155,2,0,102,5,2002
"Springfield","IL MSA",55,45,10,0,0,5,2002
"Springfield","MO MSA",193,175,6,7,5,5,2002
"Springfield","MA MSA",64,60,4,0,0,5,2002
"State College","PA MSA",31,31,0,0,0,5,2002
"Steubenville-Weirton","OH-WV MSA",4,4,0,0,0,5,2002
"Stockton-Lodi","CA MSA",497,497,0,0,0,5,2002
"Sumter","SC MSA",38,29,4,0,5,5,2002
"Syracuse","NY MSA",129,89,0,0,40,5,2002
"Tallahassee","FL MSA",140,120,14,6,0,5,2002
"Tampa-St. Petersburg- Clearwater","FL MSA",1853,1306,28,36,483,5,2002
"Terre Haute","IN MSA",21,21,0,0,0,5,2002
"Texarkana  TX-Texarkana "," AR MSA",15,15,0,0,0,5,2002
"Toledo","OH MSA",184,168,16,0,0,5,2002
"Topeka","KS MSA",102,50,0,4,48,5,2002
"Tucson","AZ MSA",559,539,20,0,0,5,2002
"Tulsa","OK MSA",375,360,2,0,13,5,2002
"Tuscaloosa","AL MSA",62,62,0,0,0,5,2002
"Tyler","TX MSA",38,32,0,0,6,5,2002
"Utica-Rome","NY MSA",10,10,0,0,0,5,2002
"Victoria","TX MSA",30,30,0,0,0,5,2002
"Visalia-Tulare-Porterville","CA MSA",177,173,4,0,0,5,2002
"Waco","TX MSA",52,46,0,0,6,5,2002
"Washington-Baltimore","DC-MD- VA-WV CMSA",4140,3471,4,3,662,5,2002
"Waterloo-Cedar Falls","IA MSA",52,14,16,0,22,5,2002
"Wausau","WI MSA",70,53,4,0,13,5,2002
"West Palm Beach-Boca Raton","Raton FL MSA",1137,833,2,18,284,5,2002
"Wheeling","WV-OH MSA",2,2,0,0,0,5,2002
"Wichita","KS MSA",199,199,0,0,0,5,2002
"Wichita Falls","TX MSA",25,23,2,0,0,5,2002
"Wilmington","NC MSA",413,321,4,0,88,5,2002
"Yakima","WA MSA",32,32,0,0,0,5,2002
"York","PA MSA",133,131,2,0,0,5,2002
"Youngstown-Warren","OH MSA",111,95,16,0,0,5,2002
"Yuba City","CA MSA",115,115,0,0,0,5,2002
"Yuma","AZ MSA",88,88,0,0,0,5,2002
"Abilene","TX MSA",12,12,0,0,0,6,2002
"Albany","GA MSA",58,56,2,0,0,6,2002
"Albany-Schenectady-Troy","NY MSA",214,199,0,0,15,6,2002
"Albuquerque","NM MSA",552,552,0,0,0,6,2002
"Alexandria","LA MSA",33,31,2,0,0,6,2002
"Allentown-Bethlehem-Easton","PA MSA",197,166,0,15,16,6,2002
"Altoona","PA MSA",7,7,0,0,0,6,2002
"Amarillo","TX MSA",45,45,0,0,0,6,2002
"Anchorage","AK MSA",219,65,136,18,0,6,2002
"Anniston","AL MSA",31,26,0,0,5,6,2002
"Appleton-Oshkosh-Neenah","WI MSA",374,98,18,4,254,6,2002
"Asheville","NC MSA",205,146,12,47,0,6,2002
"Athens","GA MSA",98,88,10,0,0,6,2002
"Atlanta","GA MSA",5890,4110,12,43,1725,6,2002
"Auburn-Opelika","AL MSA",172,57,6,3,106,6,2002
"Augusta-Aiken","GA-SC MSA",280,200,6,0,74,6,2002
"Austin-San Marcos","TX MSA",1070,693,12,12,353,6,2002
"Bakersfield","CA MSA",322,322,0,0,0,6,2002
"Bangor","ME MSA",42,42,0,0,0,6,2002
"Barnstable-Yarmouth","MA MSA",98,57,0,36,5,6,2002
"Baton Rouge","LA MSA",107,103,0,4,0,6,2002
"Beaumont-Port Arthur","TX MSA",56,56,0,0,0,6,2002
"Bellingham","WA MSA",138,100,8,3,27,6,2002
"Benton Harbor","MI MSA",15,15,0,0,0,6,2002
"Billings","MT MSA",51,51,0,0,0,6,2002
"Biloxi-Gulfport-Pascagoula","MS MSA",167,165,2,0,0,6,2002
"Binghamton","NY MSA",13,13,0,0,0,6,2002
"Birmingham","AL MSA",347,334,0,0,13,6,2002
"Bismarck","ND MSA",106,54,0,8,44,6,2002
"Bloomington","IN MSA",185,67,104,14,0,6,2002
"Bloomington-Normal","IL MSA",75,75,0,0,0,6,2002
"Boise City","ID MSA",483,456,16,6,5,6,2002
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",1946,1122,58,34,732,6,2002
"Brownsville-Harlingen-San Benito","TX MSA",236,218,10,8,0,6,2002
"Bryan-College Station","TX MSA",90,88,2,0,0,6,2002
"Buffalo-Niagara Falls","NY MSA",211,163,6,0,42,6,2002
"Burlington","VT MSA",97,40,4,4,49,6,2002
"Canton-Massillon","OH MSA",93,82,8,3,0,6,2002
"Casper","WY MSA",13,13,0,0,0,6,2002
"Cedar Rapids","IA MSA",164,60,4,4,96,6,2002
"Champaign-Urbana","IL MSA",168,34,2,0,132,6,2002
"Charleston-North Charleston","SC MSA",588,559,4,3,22,6,2002
"Charleston","WV MSA",22,22,0,0,0,6,2002
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",1641,1354,8,20,259,6,2002
"Charlottesville","VA MSA",186,135,2,19,30,6,2002
"Chattanooga","TN-GA MSA",208,188,10,4,6,6,2002
"Cheyenne","WY MSA",49,49,0,0,0,6,2002
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",4453,3131,68,228,1026,6,2002
"Chico-Paradise","CA MSA",105,103,2,0,0,6,2002
"Cincinnati-Hamilton","OH-KY- IN CMSA",1052,867,10,27,148,6,2002
"Clarksville-Hopkinsville","TN-KY MSA",106,106,0,0,0,6,2002
"Cleveland-Akron","OH CMSA",985,838,24,49,74,6,2002
"Colorado Springs","CO MSA",560,536,2,12,10,6,2002
"Columbia","MO MSA",107,101,6,0,0,6,2002
"Columbia","SC MSA",423,402,6,0,15,6,2002
"Columbus","GA-AL MSA",359,83,4,48,224,6,2002
"Columbus","OH MSA",1367,922,42,48,355,6,2002
"Corpus Christi","TX MSA",100,81,4,15,0,6,2002
"Corvallis","Corvallis OR MSA",68,30,4,3,31,6,2002
"Cumberland","MD-WV MSA",17,17,0,0,0,6,2002
"Dallas-Fort Worth","TX CMSA",4361,3509,12,136,704,6,2002
"Danville","VA MSA",25,25,0,0,0,6,2002
"Davenport-Moline-Rock Island","IA-IL MSA",42,42,0,0,0,6,2002
"Dayton-Springfield","OH MSA",318,250,0,36,32,6,2002
"Daytona Beach","FL MSA",562,450,2,0,110,6,2002
"Decatur","Al MSA",39,34,0,0,5,6,2002
"Decatur","IL MSA",11,11,0,0,0,6,2002
"Denver-Boulder-Greeley","CO CMSA",2931,1985,6,73,867,6,2002
"Des Moines","IA MSA",363,277,10,4,72,6,2002
"Detroit-Ann Arbor-Flint","MI CMSA",2443,1867,24,45,507,6,2002
"Dothan","AL MSA",28,28,0,0,0,6,2002
"Dover","DE MSA",98,98,0,0,0,6,2002
"Dubuque","IA MSA",39,18,2,0,19,6,2002
"Duluth-Superior","MN-WI MSA",88,85,0,3,0,6,2002
"Eau Claire","WI MSA",283,90,0,40,153,6,2002
"El Paso","TX MSA",315,299,2,9,5,6,2002
"Elkhart-Goshen","IN MSA",94,85,0,4,5,6,2002
"Elmira","NY MSA",6,6,0,0,0,6,2002
"Enid","OK MSA",3,3,0,0,0,6,2002
"Erie","PA MSA",43,31,0,12,0,6,2002
"Eugene-Springfield","OR MSA",130,122,8,0,0,6,2002
"Evansville-Henderson","IN-KY MSA",161,109,0,4,48,6,2002
"Fargo-Moorhead","ND-MN MSA",162,90,12,28,32,6,2002
"Fayetteville","NC MSA",77,77,0,0,0,6,2002
"Fayetteville-Springdale- Rogers","AR MSA",611,326,12,188,85,6,2002
"Flagstaff","AZ-UT MSA",55,51,4,0,0,6,2002
"Florence","AL MSA",3,3,0,0,0,6,2002
"Florence","SC MSA",5,5,0,0,0,6,2002
"Fort Collins-Loveland","CO MSA",317,234,6,6,71,6,2002
"Fort Myers-Cape Coral","FL MSA",836,656,64,32,84,6,2002
"Fort Pierce-Port St. Lucie","FL MSA",442,357,2,4,79,6,2002
"Fort Smith","AR-OK MSA",41,35,6,0,0,6,2002
"Fort Walton Beach","FL MSA",124,91,2,3,28,6,2002
"Fort Wayne","IN MSA",312,270,10,0,32,6,2002
"Fresno","CA MSA",325,319,6,0,0,6,2002
"Gadsden","AL MSA",11,11,0,0,0,6,2002
"Gainesville","FL MSA",412,348,0,0,64,6,2002
"Glens Falls","NY MSA",42,42,0,0,0,6,2002
"Goldsboro","NC MSA",47,47,0,0,0,6,2002
"Grand Forks","ND-MN MSA",13,13,0,0,0,6,2002
"Grand Junction","CO MSA",123,111,4,3,5,6,2002
"Grand Rapids-Muskegon- Holland","MI MSA",653,553,14,13,73,6,2002
"Great Falls","MT MSA",11,11,0,0,0,6,2002
"Green Bay","WI MSA",109,72,4,0,33,6,2002
"Greensboro--Winston-Salem-- High Point","NC MSA",1335,743,28,15,549,6,2002
"Greenville","NC MSA",111,70,16,0,25,6,2002
"Greenville-Spartanburg- Anderson","SC MSA",767,599,8,0,160,6,2002
"Harrisburg-Lebanon- Carlisle","PA MSA",199,196,0,3,0,6,2002
"Hartford","CT MSA",315,274,14,3,24,6,2002
"Hattiesburg","MS MSA",4,4,0,0,0,6,2002
"Hickory-Morganton-Lenoir","NC MSA",211,176,4,0,31,6,2002
"Honolulu","HI MSA",139,123,0,16,0,6,2002
"Houma","LA MSA",61,61,0,0,0,6,2002
"Houston-Galveston-Brazoria","Houston-Galveston-Brazoria TX CMSA",3357,2895,46,8,408,6,2002
"Huntington-Ashland","WV-KY- OH MSA",5,2,0,3,0,6,2002
"Huntsville","AL MSA",57,57,0,0,0,6,2002
"Indianapolis","IN MSA",1340,1151,30,20,139,6,2002
"Iowa City","IA MSA",39,33,2,4,0,6,2002
"Jackson","MI MSA",10,10,0,0,0,6,2002
"Jackson","MS MSA",398,213,2,0,183,6,2002
"Jackson","TN MSA",43,41,2,0,0,6,2002
"Jacksonville","FL MSA",1363,985,0,0,378,6,2002
"Jacksonville","NC MSA",83,83,0,0,0,6,2002
"Jamestown","NY MSA",1,1,0,0,0,6,2002
"Janesville-Beloit","WI MSA",40,27,4,4,5,6,2002
"Johnson City-Kingsport- Bristol","TN-VA MSA",107,96,0,0,11,6,2002
"Johnstown","PA MSA",4,4,0,0,0,6,2002
"Jonesboro","AR MSA",31,31,0,0,0,6,2002
"Joplin","MO MSA",25,25,0,0,0,6,2002
"Kalamazoo-Battle Creek","MI MSA",226,116,4,10,96,6,2002
"Kansas City","MO-KS MSA",1136,932,96,90,18,6,2002
"Killeen-Temple","TX MSA",273,165,76,32,0,6,2002
"Knoxville","TN MSA",402,372,6,11,13,6,2002
"Kokomo","IN MSA",38,33,2,3,0,6,2002
"La Crosse","WI-MN MSA",39,31,2,6,0,6,2002
"Lafayette","LA MSA",87,87,0,0,0,6,2002
"Lafayette","IN MSA",60,60,0,0,0,6,2002
"Lake Charles","LA MSA",19,19,0,0,0,6,2002
"Lakeland-Winter Haven","FL MSA",452,392,2,0,58,6,2002
"Lancaster","PA MSA",101,101,0,0,0,6,2002
"Lansing-East Lansing","MI MSA",137,101,2,0,34,6,2002
"Laredo","TX MSA",165,137,0,4,24,6,2002
"Las Cruces","NM MSA",69,69,0,0,0,6,2002
"Las Vegas","NV-AZ MSA",2748,2090,12,23,623,6,2002
"Lawrence","KS MSA",251,41,10,0,200,6,2002
"Lawton","OK MSA",17,12,0,0,5,6,2002
"Lewiston-Auburn","ME MSA",27,27,0,0,0,6,2002
"Lexington","KY MSA",381,357,4,20,0,6,2002
"Lima","OH MSA",12,10,2,0,0,6,2002
"Lincoln","NE MSA",156,125,6,0,25,6,2002
"Little Rock-North Little Rock","AR MSA",391,218,4,8,161,6,2002
"Longview-Marshall","TX MSA",18,18,0,0,0,6,2002
"Los Angeles-Riverside- Orange County","CA CMSA",5420,4239,38,65,1078,6,2002
"Louisville","KY-IN MSA",604,562,4,12,26,6,2002
"Lubbock","TX MSA",503,89,0,48,366,6,2002
"Lynchburg","VA MSA",121,115,0,0,6,6,2002
"Macon","GA MSA",166,166,0,0,0,6,2002
"Madison","WI MSA",396,187,10,26,173,6,2002
"Mansfield","OH MSA",39,33,2,4,0,6,2002
"McAllen-Edinburg-Mission","TX MSA",542,485,10,26,21,6,2002
"Medford-Ashland","OR MSA",145,138,2,0,5,6,2002
"Melbourne-Titusville-Palm Bay","FL MSA",339,312,0,0,27,6,2002
"Memphis","TN-AR-MS MSA",713,697,0,0,16,6,2002
"Merced","CA MSA",191,116,0,75,0,6,2002
"Miami-Fort Lauderdale","FL CMSA",1973,730,22,20,1201,6,2002
"Milwaukee-Racine","WI CMSA",763,347,48,15,353,6,2002
"Minneapolis-St. Paul","MN-WI MSA",1966,1580,24,49,313,6,2002
"Missoula","MT MSA",191,68,24,7,92,6,2002
"Mobile","AL MSA",397,371,0,4,22,6,2002
"Modesto","CA MSA",263,259,4,0,0,6,2002
"Monroe","LA MSA",25,25,0,0,0,6,2002
"Montgomery","AL MSA",122,122,0,0,0,6,2002
"Muncie","IN MSA",21,21,0,0,0,6,2002
"Myrtle Beach","SC MSA",238,208,2,4,24,6,2002
"Naples","FL MSA",778,506,8,103,161,6,2002
"Nashville","TN MSA",1050,951,2,3,94,6,2002
"New London-Norwich","CT-RI MSA",78,76,2,0,0,6,2002
"New Orleans","LA MSA",323,296,2,12,13,6,2002
"New York-Northern New Jersey-Long Island","NY-NJ- CT-PA CMSA",5369,2581,414,432,1942,6,2002
"Norfolk-Virginia Beach- Newport News","VA-NC MSA",906,604,8,0,294,6,2002
"Ocala","FL MSA",458,452,0,0,6,6,2002
"Odessa-Midland","TX MSA",33,33,0,0,0,6,2002
"Oklahoma City","OK MSA",425,425,0,0,0,6,2002
"Omaha","NE-IA MSA",527,343,12,12,160,6,2002
"Orlando","FL MSA",2883,1618,26,40,1199,6,2002
"Owensboro","KY MSA",60,60,0,0,0,6,2002
"Panama City","FL MSA",296,83,0,0,213,6,2002
"Parkersburg-Marietta","WV-OH MSA",22,18,0,4,0,6,2002
"Pensacola","FL MSA",204,198,6,0,0,6,2002
"Peoria-Pekin","IL MSA",109,97,12,0,0,6,2002
"Philadelphia-Wilmington- Atlantic City","PA-NJ-DE-MD CMSA",1871,1555,20,22,274,6,2002
"Phoenix-Mesa","AZ MSA",4945,3608,16,15,1306,6,2002
"Pine Bluff","AR MSA",9,5,4,0,0,6,2002
"Pittsburgh","PA MSA",679,524,16,35,104,6,2002
"Pittsfield","MA MSA",0,0,0,0,0,6,2002
"Pocatello","ID MSA",12,8,4,0,0,6,2002
"Portland","ME MSA",170,140,4,11,15,6,2002
"Portland-Salem","OR-WA CMSA",1351,1040,26,64,221,6,2002
"Providence-Fall River- Warwick","RI-MA MSA",338,223,24,86,5,6,2002
"Provo-Orem","UT MSA",262,192,8,0,62,6,2002
"Pueblo","CO MSA",105,97,8,0,0,6,2002
"Punta Gorda","FL MSA",67,63,4,0,0,6,2002
"Raleigh-Durham-Chapel Hill","Hill NC MSA",1581,1197,34,3,347,6,2002
"Rapid City","SD MSA",61,61,0,0,0,6,2002
"Reading","PA MSA",71,71,0,0,0,6,2002
"Redding","CA MSA",100,100,0,0,0,6,2002
"Reno","NV MSA",380,356,0,0,24,6,2002
"Richland-Kennewick-Pasco","WA MSA",141,127,2,4,8,6,2002
"Richmond-Petersburg","VA MSA",906,616,0,0,290,6,2002
"Roanoke","VA MSA",84,84,0,0,0,6,2002
"Rochester","MN MSA",112,104,0,0,8,6,2002
"Rochester","NY MSA",202,181,4,7,10,6,2002
"Rockford","IL MSA",172,145,6,11,10,6,2002
"Rocky Mount","NC MSA",70,55,10,0,5,6,2002
"Sacramento-Yolo","CA CMSA",1686,1666,4,10,6,6,2002
"Saginaw-Bay City-Midland","MI MSA",50,40,2,3,5,6,2002
"St. Cloud","MN MSA",69,61,0,3,5,6,2002
"St. Joseph","MO MSA",14,10,4,0,0,6,2002
"St. Louis","MO-IL MSA",1069,948,52,42,27,6,2002
"Salinas","CA MSA",116,110,0,0,6,6,2002
"Salt Lake City-Ogden","UT MSA",834,754,10,13,57,6,2002
"San Angelo","TX MSA",19,19,0,0,0,6,2002
"San Antonio","TX MSA",1464,932,6,72,454,6,2002
"San Diego","CA MSA",1095,670,20,81,324,6,2002
"San Francisco-Oakland-San Jose","CA CMSA",2181,1260,28,115,778,6,2002
"San Luis Obispo-Atascadero- Paso Robles","CA MSA",171,160,8,3,0,6,2002
"Santa Barbara-Santa Maria- Lompoc","CA MSA",92,79,2,6,5,6,2002
"Santa Fe","NM MSA",62,55,0,0,7,6,2002
"Sarasota-Bradenton","FL MSA",889,399,4,12,474,6,2002
"Savannah","GA MSA",171,108,6,3,54,6,2002
"Scranton--Wilkes-Barre-- Hazleton","PA MSA",73,58,2,7,6,6,2002
"Seattle-Tacoma-Bremerton","Seattle-Tacoma-Bremerton WA CMSA",2766,1745,62,77,882,6,2002
"Sharon","PA MSA",12,10,2,0,0,6,2002
"Sheboygan","WI MSA",5,3,2,0,0,6,2002
"Sherman-Denison","TX MSA",18,18,0,0,0,6,2002
"Shreveport-Bossier City","LA MSA",88,88,0,0,0,6,2002
"Sioux City","IA-NE MSA",11,11,0,0,0,6,2002
"Sioux Falls","SD MSA",185,132,0,0,53,6,2002
"South Bend","IN MSA",73,67,0,0,6,6,2002
"Spokane","WA MSA",169,130,8,3,28,6,2002
"Springfield","IL MSA",55,45,10,0,0,6,2002
"Springfield","MO MSA",221,194,4,4,19,6,2002
"Springfield","MA MSA",86,77,6,3,0,6,2002
"State College","PA MSA",166,166,0,0,0,6,2002
"Steubenville-Weirton","OH-WV MSA",6,6,0,0,0,6,2002
"Stockton-Lodi","CA MSA",463,463,0,0,0,6,2002
"Sumter","SC MSA",32,28,4,0,0,6,2002
"Syracuse","NY MSA",118,91,2,12,13,6,2002
"Tallahassee","FL MSA",109,105,4,0,0,6,2002
"Tampa-St. Petersburg- Clearwater","FL MSA",1885,1390,104,15,376,6,2002
"Terre Haute","IN MSA",17,17,0,0,0,6,2002
"Texarkana  TX-Texarkana "," AR MSA",20,20,0,0,0,6,2002
"Toledo","OH MSA",196,118,8,12,58,6,2002
"Topeka","KS MSA",326,56,0,0,270,6,2002
"Tucson","AZ MSA",451,449,2,0,0,6,2002
"Tulsa","OK MSA",301,286,0,0,15,6,2002
"Tuscaloosa","AL MSA",112,64,0,0,48,6,2002
"Tyler","TX MSA",38,30,0,0,8,6,2002
"Utica-Rome","NY MSA",12,12,0,0,0,6,2002
"Victoria","TX MSA",42,42,0,0,0,6,2002
"Visalia-Tulare-Porterville","CA MSA",129,123,0,6,0,6,2002
"Waco","TX MSA",97,47,18,3,29,6,2002
"Washington-Baltimore","DC-MD- VA-WV CMSA",4198,3741,4,4,449,6,2002
"Waterloo-Cedar Falls","IA MSA",43,10,14,3,16,6,2002
"Wausau","WI MSA",62,56,6,0,0,6,2002
"West Palm Beach-Boca Raton","Raton FL MSA",1513,842,4,3,664,6,2002
"Wheeling","WV-OH MSA",1,1,0,0,0,6,2002
"Wichita","KS MSA",214,202,8,4,0,6,2002
"Wichita Falls","TX MSA",18,16,2,0,0,6,2002
"Wilmington","NC MSA",493,309,0,0,184,6,2002
"Yakima","WA MSA",28,26,2,0,0,6,2002
"York","PA MSA",131,118,8,0,5,6,2002
"Youngstown-Warren","OH MSA",96,87,0,4,5,6,2002
"Yuba City","CA MSA",69,69,0,0,0,6,2002
"Yuma","AZ MSA",111,111,0,0,0,6,2002
"Abilene","TX MSA",14,14,0,0,0,7,2002
"Albany","GA MSA",40,40,0,0,0,7,2002
"Albany-Schenectady-Troy","NY MSA",226,189,0,0,37,7,2002
"Albuquerque","NM MSA",626,623,0,3,0,7,2002
"Alexandria","LA MSA",38,38,0,0,0,7,2002
"Allentown-Bethlehem-Easton","PA MSA",287,247,0,6,34,7,2002
"Altoona","PA MSA",5,5,0,0,0,7,2002
"Amarillo","TX MSA",78,78,0,0,0,7,2002
"Anchorage","AK MSA",171,89,24,34,24,7,2002
"Anniston","AL MSA",20,20,0,0,0,7,2002
"Appleton-Oshkosh-Neenah","WI MSA",288,142,10,4,132,7,2002
"Asheville","NC MSA",155,147,4,4,0,7,2002
"Athens","GA MSA",719,103,0,0,616,7,2002
"Atlanta","GA MSA",5895,4479,34,13,1369,7,2002
"Auburn-Opelika","AL MSA",214,26,4,0,184,7,2002
"Augusta-Aiken","GA-SC MSA",284,224,0,8,52,7,2002
"Austin-San Marcos","TX MSA",815,677,8,3,127,7,2002
"Bakersfield","CA MSA",340,340,0,0,0,7,2002
"Bangor","ME MSA",37,27,2,8,0,7,2002
"Barnstable-Yarmouth","MA MSA",95,90,0,0,5,7,2002
"Baton Rouge","LA MSA",117,117,0,0,0,7,2002
"Beaumont-Port Arthur","TX MSA",46,46,0,0,0,7,2002
"Bellingham","WA MSA",178,112,8,0,58,7,2002
"Benton Harbor","MI MSA",11,11,0,0,0,7,2002
"Billings","MT MSA",47,39,0,0,8,7,2002
"Biloxi-Gulfport-Pascagoula","MS MSA",171,171,0,0,0,7,2002
"Binghamton","NY MSA",10,10,0,0,0,7,2002
"Birmingham","AL MSA",493,405,2,22,64,7,2002
"Bismarck","ND MSA",105,71,2,8,24,7,2002
"Bloomington","IN MSA",67,67,0,0,0,7,2002
"Bloomington-Normal","IL MSA",119,86,0,3,30,7,2002
"Boise City","ID MSA",496,485,2,4,5,7,2002
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",1837,1159,44,34,600,7,2002
"Brownsville-Harlingen-San Benito","TX MSA",252,225,8,3,16,7,2002
"Bryan-College Station","TX MSA",59,49,2,0,8,7,2002
"Buffalo-Niagara Falls","NY MSA",252,158,0,8,86,7,2002
"Burlington","VT MSA",58,48,2,0,8,7,2002
"Canton-Massillon","OH MSA",88,82,6,0,0,7,2002
"Casper","WY MSA",16,11,0,0,5,7,2002
"Cedar Rapids","IA MSA",161,77,2,16,66,7,2002
"Champaign-Urbana","IL MSA",64,64,0,0,0,7,2002
"Charleston-North Charleston","SC MSA",448,396,2,20,30,7,2002
"Charleston","WV MSA",18,18,0,0,0,7,2002
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",1672,1411,26,44,191,7,2002
"Charlottesville","VA MSA",325,100,4,8,213,7,2002
"Chattanooga","TN-GA MSA",221,196,14,4,7,7,2002
"Cheyenne","WY MSA",23,23,0,0,0,7,2002
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",4671,2803,82,155,1631,7,2002
"Chico-Paradise","CA MSA",130,128,2,0,0,7,2002
"Cincinnati-Hamilton","OH-KY- IN CMSA",1062,868,4,40,150,7,2002
"Clarksville-Hopkinsville","TN-KY MSA",140,90,22,12,16,7,2002
"Cleveland-Akron","OH CMSA",1046,813,16,62,155,7,2002
"Colorado Springs","CO MSA",554,525,4,0,25,7,2002
"Columbia","MO MSA",96,84,4,0,8,7,2002
"Columbia","SC MSA",357,350,0,0,7,7,2002
"Columbus","GA-AL MSA",93,85,4,4,0,7,2002
"Columbus","OH MSA",1474,1000,16,46,412,7,2002
"Corpus Christi","TX MSA",92,81,2,9,0,7,2002
"Corvallis","Corvallis OR MSA",61,30,4,3,24,7,2002
"Cumberland","MD-WV MSA",14,14,0,0,0,7,2002
"Dallas-Fort Worth","TX CMSA",4140,3477,26,8,629,7,2002
"Danville","VA MSA",43,40,0,3,0,7,2002
"Davenport-Moline-Rock Island","IA-IL MSA",50,40,0,0,10,7,2002
"Dayton-Springfield","OH MSA",255,218,0,9,28,7,2002
"Daytona Beach","FL MSA",729,430,30,4,265,7,2002
"Decatur","Al MSA",36,36,0,0,0,7,2002
"Decatur","IL MSA",22,22,0,0,0,7,2002
"Denver-Boulder-Greeley","CO CMSA",1727,1566,6,19,136,7,2002
"Des Moines","IA MSA",348,231,8,29,80,7,2002
"Detroit-Ann Arbor-Flint","MI CMSA",2262,1964,12,56,230,7,2002
"Dothan","AL MSA",27,27,0,0,0,7,2002
"Dover","DE MSA",123,123,0,0,0,7,2002
"Dubuque","IA MSA",25,20,2,3,0,7,2002
"Duluth-Superior","MN-WI MSA",47,45,2,0,0,7,2002
"Eau Claire","WI MSA",150,75,6,9,60,7,2002
"El Paso","TX MSA",309,298,2,4,5,7,2002
"Elkhart-Goshen","IN MSA",99,88,2,0,9,7,2002
"Elmira","NY MSA",10,7,0,3,0,7,2002
"Enid","OK MSA",14,11,0,3,0,7,2002
"Erie","PA MSA",42,32,2,8,0,7,2002
"Eugene-Springfield","OR MSA",139,134,2,3,0,7,2002
"Evansville-Henderson","IN-KY MSA",123,109,2,4,8,7,2002
"Fargo-Moorhead","ND-MN MSA",220,103,30,4,83,7,2002
"Fayetteville","NC MSA",244,154,0,0,90,7,2002
"Fayetteville-Springdale- Rogers","AR MSA",138,122,4,7,5,7,2002
"Flagstaff","AZ-UT MSA",59,57,2,0,0,7,2002
"Florence","AL MSA",8,6,2,0,0,7,2002
"Florence","SC MSA",5,5,0,0,0,7,2002
"Fort Collins-Loveland","CO MSA",317,275,2,25,15,7,2002
"Fort Myers-Cape Coral","FL MSA",952,618,92,24,218,7,2002
"Fort Pierce-Port St. Lucie","FL MSA",483,340,2,0,141,7,2002
"Fort Smith","AR-OK MSA",45,38,4,3,0,7,2002
"Fort Walton Beach","FL MSA",140,101,0,0,39,7,2002
"Fort Wayne","IN MSA",259,207,2,0,50,7,2002
"Fresno","CA MSA",511,479,8,24,0,7,2002
"Gadsden","AL MSA",15,15,0,0,0,7,2002
"Gainesville","FL MSA",287,98,4,4,181,7,2002
"Glens Falls","NY MSA",47,44,0,3,0,7,2002
"Goldsboro","NC MSA",32,32,0,0,0,7,2002
"Grand Forks","ND-MN MSA",93,11,0,0,82,7,2002
