"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month","Year"
"Fort Myers-Cape Coral","FL MSA",524,327,22,27,148,1,2000
"Fort Pierce-Port St. Lucie","FL MSA",340,212,0,0,128,1,2000
"Fort Smith","AR-OK MSA",35,27,8,0,0,1,2000
"Fort Walton Beach","FL MSA",156,98,0,0,58,1,2000
"Fort Wayne","IN MSA",109,107,2,0,0,1,2000
"Fresno","CA MSA",155,155,0,0,0,1,2000
"Gadsden","AL MSA",5,5,0,0,0,1,2000
"Gainesville","FL MSA",157,80,2,0,75,1,2000
"Glens Falls","NY MSA",14,14,0,0,0,1,2000
"Goldsboro","NC MSA",29,22,4,3,0,1,2000
"Grand Forks","ND-MN MSA",0,0,0,0,0,1,2000
"Grand Junction","CO MSA",64,56,0,0,8,1,2000
"Grand Rapids-Muskegon- Holland","MI MSA",407,322,6,0,79,1,2000
"Great Falls","MT MSA",6,2,0,4,0,1,2000
"Green Bay","WI MSA",37,25,2,0,10,1,2000
"Greensboro--Winston-Salem-- High Point","NC MSA",681,477,0,4,200,1,2000
"Greenville","NC MSA",121,50,8,0,63,1,2000
"Greenville-Spartanburg- Anderson","SC MSA",533,497,6,0,30,1,2000
"Harrisburg-Lebanon- Carlisle","PA MSA",87,87,0,0,0,1,2000
"Hartford","CT MSA",185,172,0,0,13,1,2000
"Hattiesburg","MS MSA",6,6,0,0,0,1,2000
"Hickory-Morganton-Lenoir","NC MSA",151,117,4,0,30,1,2000
"Honolulu","HI MSA",100,100,0,0,0,1,2000
"Houma","LA MSA",83,83,0,0,0,1,2000
"Houston-Galveston-Brazoria","Houston-Galveston-Brazoria TX CMSA",2345,1953,28,4,360,1,2000
"Huntington-Ashland","WV-KY- OH MSA",1,1,0,0,0,1,2000
"Huntsville","AL MSA",80,72,0,3,5,1,2000
"Indianapolis","IN MSA",709,664,16,10,19,1,2000
"Iowa City","IA MSA",37,19,2,4,12,1,2000
"Jackson","MI MSA",3,3,0,0,0,1,2000
"Jackson","MS MSA",200,165,0,3,32,1,2000
"Jackson","TN MSA",45,45,0,0,0,1,2000
"Jacksonville","FL MSA",990,515,6,4,465,1,2000
"Jacksonville","NC MSA",48,48,0,0,0,1,2000
"Jamestown","NY MSA",1,1,0,0,0,1,2000
"Janesville-Beloit","WI MSA",26,23,0,3,0,1,2000
"Johnson City-Kingsport- Bristol","TN-VA MSA",126,62,0,0,64,1,2000
"Johnstown","PA MSA",2,2,0,0,0,1,2000
"Jonesboro","AR MSA",12,10,2,0,0,1,2000
"Joplin","MO MSA",13,11,2,0,0,1,2000
"Kalamazoo-Battle Creek","MI MSA",72,72,0,0,0,1,2000
"Kansas City","MO-KS MSA",1238,742,24,48,424,1,2000
"Killeen-Temple","TX MSA",135,115,12,8,0,1,2000
"Knoxville","TN MSA",240,203,4,3,30,1,2000
"Kokomo","IN MSA",22,22,0,0,0,1,2000
"La Crosse","WI-MN MSA",12,10,2,0,0,1,2000
"Lafayette","LA MSA",141,101,40,0,0,1,2000
"Lafayette","IN MSA",118,34,6,0,78,1,2000
"Lake Charles","LA MSA",73,60,4,0,9,1,2000
"Lakeland-Winter Haven","FL MSA",275,269,0,0,6,1,2000
"Lancaster","PA MSA",92,90,2,0,0,1,2000
"Lansing-East Lansing","MI MSA",74,72,2,0,0,1,2000
"Laredo","TX MSA",109,103,0,0,6,1,2000
"Las Cruces","NM MSA",65,65,0,0,0,1,2000
"Las Vegas","NV-AZ MSA",2117,1645,10,31,431,1,2000
"Lawrence","KS MSA",41,23,6,0,12,1,2000
"Lawton","OK MSA",11,11,0,0,0,1,2000
"Lewiston-Auburn","ME MSA",7,7,0,0,0,1,2000
"Lexington","KY MSA",210,183,14,0,13,1,2000
"Lima","OH MSA",0,0,0,0,0,1,2000
"Lincoln","NE MSA",107,64,4,0,39,1,2000
"Little Rock-North Little Rock","AR MSA",157,157,0,0,0,1,2000
"Longview-Marshall","TX MSA",14,14,0,0,0,1,2000
"Los Angeles-Riverside- Orange County","CA CMSA",3782,2244,54,93,1391,1,2000
"Louisville","KY-IN MSA",439,375,4,20,40,1,2000
"Lubbock","TX MSA",56,49,0,0,7,1,2000
"Lynchburg","VA MSA",65,60,2,3,0,1,2000
"Macon","GA MSA",149,145,4,0,0,1,2000
"Madison","WI MSA",232,107,6,24,95,1,2000
"Mansfield","OH MSA",33,5,0,28,0,1,2000
"McAllen-Edinburg-Mission","TX MSA",387,343,4,11,29,1,2000
"Medford-Ashland","OR MSA",65,63,2,0,0,1,2000
"Melbourne-Titusville-Palm Bay","FL MSA",364,230,0,16,118,1,2000
"Memphis","TN-AR-MS MSA",1059,461,0,0,598,1,2000
"Merced","CA MSA",58,58,0,0,0,1,2000
"Miami-Fort Lauderdale","FL CMSA",1575,1272,4,12,287,1,2000
"Milwaukee-Racine","WI CMSA",499,249,18,15,217,1,2000
"Minneapolis-St. Paul","MN-WI MSA",1037,838,28,14,157,1,2000
"Missoula","MT MSA",10,10,0,0,0,1,2000
"Mobile","AL MSA",371,241,4,0,126,1,2000
"Modesto","CA MSA",128,117,2,4,5,1,2000
"Monroe","LA MSA",17,17,0,0,0,1,2000
"Montgomery","AL MSA",105,105,0,0,0,1,2000
"Muncie","IN MSA",78,10,0,8,60,1,2000
"Myrtle Beach","SC MSA",460,143,0,16,301,1,2000
"Naples","FL MSA",876,321,4,75,476,1,2000
"Nashville","TN MSA",675,595,10,8,62,1,2000
"New London-Norwich","CT-RI MSA",63,55,0,0,8,1,2000
"New Orleans","LA MSA",259,217,4,3,35,1,2000
"New York-Northern New Jersey-Long Island","NY-NJ- CT-PA CMSA",4764,1972,270,125,2397,1,2000
