state,city,abbr
AZ,Phoenix,PHXR
CA,Los Angeles,LXXR
CA,San Diego,SDXR
CA,San Francisco,SFXR
CO,Denver,DNXR
DC,Washington,WDXR
FL,Miami,MIXR
FL,Tampa,TPXR
GA,Atlanta,ATXR
IL,Chicago,CHXR
MA,Boston,BOXR
MI,Detroit,DEXR
MN,Minneapolis,MNXR
NC,Charlotte,CRXR
NV,Las Vegas,LVXR
NY,New York,NYXR
OH,Cleveland,CEXR
OR,Portland,POXR
TX,Dallas,DAXR
WA,Seattle,SEXR
