"cbsa","cbsaname","intptlon","intptlat","pop2k","afact"
"cbsa","CBSA Name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2000 census","cbsa to cbsa alloc factor"
"13020","Bay City, MI Metropolitan Statistical Area",-83.92606,43.631787,110157,1 
"13060","Bay City, TX Micropolitan Statistical Area",-96.001687,28.916087,37957,1 
"13100","Beatrice, NE Micropolitan Statistical Area",-96.715723,40.267976,22993,1 
"13140","Beaumont-Port Arthur, TX Metropolitan Statistical Area",-94.042798,30.070519,385090,1 
"13180","Beaver Dam, WI Micropolitan Statistical Area",-88.712408,43.434888,85897,1 
"13220","Beckley, WV Micropolitan Statistical Area",-81.208059,37.77025,79220,1 
"13260","Bedford, IN Micropolitan Statistical Area",-86.494106,38.845154,45922,1 
"13300","Beeville, TX Micropolitan Statistical Area",-97.737518,28.398256,32359,1 
"13340","Bellefontaine, OH Micropolitan Statistical Area",-83.783022,40.387629,46005,1 
"13380","Bellingham, WA Metropolitan Statistical Area",-122.483411,48.818831,166814,1 
"13420","Bemidji, MN Micropolitan Statistical Area",-94.856284,47.59308,39650,1 
"13460","Bend, OR Metropolitan Statistical Area",-121.308274,44.086126,115367,1 
"13500","Bennettsville, SC Micropolitan Statistical Area",-79.668989,34.635112,28818,1 
"13540","Bennington, VT Micropolitan Statistical Area",-73.154758,42.97026,36994,1 
"13620","Berlin, NH-VT Micropolitan Statistical Area",-71.421168,44.575683,39570,1 
"13660","Big Rapids, MI Micropolitan Statistical Area",-85.387574,43.657129,40553,1 
"13700","Big Spring, TX Micropolitan Statistical Area",-101.461712,32.244123,33627,1 
"13740","Billings, MT Metropolitan Statistical Area",-108.574747,45.757413,138904,1 
"13780","Binghamton, NY Metropolitan Statistical Area",-76.007635,42.121653,252320,1 
"13820","Birmingham-Hoover, AL Metropolitan Statistical Area",-86.797108,33.506301,1052238,1 
"13860","Bishop, CA Micropolitan Statistical Area",-118.276056,37.16268,17945,1 
"13900","Bismarck, ND Metropolitan Statistical Area",-100.835379,46.819135,94719,1 
"13940","Blackfoot, ID Micropolitan Statistical Area",-112.362512,43.213232,41735,1 
