"cbsa","cbsaname","pop2k","afact"
"cbsa","CBSA Name","Total Pop, 2000 census","cbsa to cbsa alloc factor"
"27780","Johnstown, PA Metropolitan Statistical Area",152598,1 
"27860","Jonesboro, AR Metropolitan Statistical Area",107762,1 
"27900","Joplin, MO Metropolitan Statistical Area",157322,1 
"27940","Juneau, AK Micropolitan Statistical Area",30711,1 
"27980","Kahului-Wailuku, HI Micropolitan Statistical Area",128094,1 
"28020","Kalamazoo-Portage, MI Metropolitan Statistical Area",314866,1 
"28060","Kalispell, MT Micropolitan Statistical Area",74471,1 
"28100","Kankakee-Bradley, IL Metropolitan Statistical Area",103833,1 
"28140","Kansas City, MO-KS Metropolitan Statistical Area",1836038,1 
"28180","Kapaa, HI Micropolitan Statistical Area",58463,1 
"28260","Kearney, NE Micropolitan Statistical Area",49141,1 
"28300","Keene, NH Micropolitan Statistical Area",73825,1 
"28340","Kendallville, IN Micropolitan Statistical Area",46275,1 
"28380","Kennett, MO Micropolitan Statistical Area",33155,1 
"28420","Kennewick-Pasco-Richland, WA Metropolitan Statistical Area",191822,1 
"28500","Kerrville, TX Micropolitan Statistical Area",43653,1 
"28540","Ketchikan, AK Micropolitan Statistical Area",14070,1 
"28580","Key West, FL Micropolitan Statistical Area",79589,1 
"28620","Kill Devil Hills, NC Micropolitan Statistical Area",29967,1 
"28660","Killeen-Temple-Fort Hood, TX Metropolitan Statistical Area",330714,1 
"28700","Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",298484,1 
"28740","Kingston, NY Metropolitan Statistical Area",177749,1 
"28780","Kingsville, TX Micropolitan Statistical Area",31963,1 
"28820","Kinston, NC Micropolitan Statistical Area",59648,1 
"28860","Kirksville, MO Micropolitan Statistical Area",29147,1 
"28900","Klamath Falls, OR Micropolitan Statistical Area",63775,1 
"28940","Knoxville, TN Metropolitan Statistical Area",616079,1 
"28980","Kodiak, AK Micropolitan Statistical Area",13913,1 
"29020","Kokomo, IN Metropolitan Statistical Area",101541,1 
"29060","Laconia, NH Micropolitan Statistical Area",56325,1 
"29100","La Crosse, WI-MN Metropolitan Statistical Area",126838,1 
"29140","Lafayette, IN Metropolitan Statistical Area",178541,1 
"29180","Lafayette, LA Metropolitan Statistical Area",239086,1 
"29220","La Follette, TN Micropolitan Statistical Area",39854,1 
"29260","La Grande, OR Micropolitan Statistical Area",24530,1 
"29300","LaGrange, GA Micropolitan Statistical Area",58779,1 
"29340","Lake Charles, LA Metropolitan Statistical Area",193568,1 
"29380","Lake City, FL Micropolitan Statistical Area",56513,1 
"29420","Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",155032,1 
"29460","Lakeland-Winter Haven, FL Metropolitan Statistical Area",483924,1 
"29500","Lamesa, TX Micropolitan Statistical Area",14985,1 
"29540","Lancaster, PA Metropolitan Statistical Area",470658,1 
"29580","Lancaster, SC Micropolitan Statistical Area",61351,1 
"29620","Lansing-East Lansing, MI Metropolitan Statistical Area",447728,1 
"29660","Laramie, WY Micropolitan Statistical Area",32014,1 
"29700","Laredo, TX Metropolitan Statistical Area",193117,1 
"29740","Las Cruces, NM Metropolitan Statistical Area",174682,1 
"29780","Las Vegas, NM Micropolitan Statistical Area",30126,1 
"29820","Las Vegas-Paradise, NV Metropolitan Statistical Area",1375765,1 
"29860","Laurel, MS Micropolitan Statistical Area",83107,1 
"29900","Laurinburg, NC Micropolitan Statistical Area",35998,1 
"29940","Lawrence, KS Metropolitan Statistical Area",99962,1 
"29980","Lawrenceburg, TN Micropolitan Statistical Area",39926,1 
"30020","Lawton, OK Metropolitan Statistical Area",114996,1 
"30060","Lebanon, MO Micropolitan Statistical Area",32513,1 
"30100","Lebanon, NH-VT Micropolitan Statistical Area",167387,1 
"30140","Lebanon, PA Metropolitan Statistical Area",120327,1 
"30220","Levelland, TX Micropolitan Statistical Area",22716,1 
"30260","Lewisburg, PA Micropolitan Statistical Area",41624,1 
"30280","Lewisburg, TN Micropolitan Statistical Area",26767,1 
"30300","Lewiston, ID-WA Metropolitan Statistical Area",57961,1 
"30340","Lewiston-Auburn, ME Metropolitan Statistical Area",103793,1 
"30380","Lewistown, PA Micropolitan Statistical Area",46486,1 
"30420","Lexington, NE Micropolitan Statistical Area",26508,1 
"30460","Lexington-Fayette, KY Metropolitan Statistical Area",408326,1 
"30500","Lexington Park, MD Micropolitan Statistical Area",86211,1 
"30580","Liberal, KS Micropolitan Statistical Area",22510,1 
"30620","Lima, OH Metropolitan Statistical Area",108473,1 
"30660","Lincoln, IL Micropolitan Statistical Area",31183,1 
"30700","Lincoln, NE Metropolitan Statistical Area",266787,1 
"30740","Lincolnton, NC Micropolitan Statistical Area",63780,1 
"30780","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",610518,1 
"30820","Lock Haven, PA Micropolitan Statistical Area",37914,1 
"30860","Logan, UT-ID Metropolitan Statistical Area",102720,1 
"30900","Logansport, IN Micropolitan Statistical Area",40930,1 
"30940","London, KY Micropolitan Statistical Area",52715,1 
"30980","Longview, TX Metropolitan Statistical Area",194042,1 
"31020","Longview, WA Metropolitan Statistical Area",92948,1 
"31060","Los Alamos, NM Micropolitan Statistical Area",18343,1 
"31100","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",12365627,1 
"31140","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",1161975,1 
"31180","Lubbock, TX Metropolitan Statistical Area",249700,1 
"31260","Lufkin, TX Micropolitan Statistical Area",80130,1 
"31300","Lumberton, NC Micropolitan Statistical Area",123339,1 
"31340","Lynchburg, VA Metropolitan Statistical Area",228616,1 
"31380","Macomb, IL Micropolitan Statistical Area",32913,1 
"31420","Macon, GA Metropolitan Statistical Area",222368,1 
"31460","Madera, CA Metropolitan Statistical Area",123109,1 
"31500","Madison, IN Micropolitan Statistical Area",31705,1 
"31540","Madison, WI Metropolitan Statistical Area",501774,1 
"31580","Madisonville, KY Micropolitan Statistical Area",46519,1 
"31620","Magnolia, AR Micropolitan Statistical Area",25603,1 
"31660","Malone, NY Micropolitan Statistical Area",51134,1 
"31700","Manchester-Nashua, NH Metropolitan Statistical Area",380841,1 
"31740","Manhattan, KS Micropolitan Statistical Area",108999,1 
"31820","Manitowoc, WI Micropolitan Statistical Area",82887,1 
"31860","Mankato-North Mankato, MN Micropolitan Statistical Area",85712,1 
"31900","Mansfield, OH Metropolitan Statistical Area",128852,1 
"31940","Marinette, WI-MI Micropolitan Statistical Area",68710,1 
"31980","Marion, IN Micropolitan Statistical Area",73403,1 
"32020","Marion, OH Micropolitan Statistical Area",66217,1 
"32060","Marion-Herrin, IL Micropolitan Statistical Area",61296,1 
"32100","Marquette, MI Micropolitan Statistical Area",64634,1 
"32140","Marshall, MN Micropolitan Statistical Area",25425,1 
"32180","Marshall, MO Micropolitan Statistical Area",23756,1 
"32220","Marshall, TX Micropolitan Statistical Area",62110,1 
"32260","Marshalltown, IA Micropolitan Statistical Area",39311,1 
"32270","Marshfield-Wisconsin Rapids, WI Micropolitan Statistical Area",75555,1 
"32280","Martin, TN Micropolitan Statistical Area",34895,1 
"32300","Martinsville, VA Micropolitan Statistical Area",73346,1 
"32340","Maryville, MO Micropolitan Statistical Area",21912,1 
"32380","Mason City, IA Micropolitan Statistical Area",54356,1 
"32460","Mayfield, KY Micropolitan Statistical Area",37028,1 
"32500","Maysville, KY Micropolitan Statistical Area",30892,1 
"32540","McAlester, OK Micropolitan Statistical Area",43953,1 
"32580","McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",569463,1 
"32620","McComb, MS Micropolitan Statistical Area",52539,1 
"32660","McMinnville, TN Micropolitan Statistical Area",38276,1 
"32700","McPherson, KS Micropolitan Statistical Area",29554,1 
"32740","Meadville, PA Micropolitan Statistical Area",90366,1 
"32780","Medford, OR Metropolitan Statistical Area",181269,1 
"32820","Memphis, TN-MS-AR Metropolitan Statistical Area",1205204,1 
"32860","Menomonie, WI Micropolitan Statistical Area",39858,1 
"32900","Merced, CA Metropolitan Statistical Area",210554,1 
"32940","Meridian, MS Micropolitan Statistical Area",106569,1 
"32980","Merrill, WI Micropolitan Statistical Area",29641,1 
"33020","Mexico, MO Micropolitan Statistical Area",25853,1 
"33060","Miami, OK Micropolitan Statistical Area",33194,1 
"33100","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area",5007564,1 
"33140","Michigan City-La Porte, IN Metropolitan Statistical Area",110106,1 
"33180","Middlesborough, KY Micropolitan Statistical Area",30060,1 
"33220","Midland, MI Micropolitan Statistical Area",82874,1 
"33260","Midland, TX Metropolitan Statistical Area",116009,1 
"33300","Milledgeville, GA Micropolitan Statistical Area",54776,1 
"33340","Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",1500741,1 
"33380","Minden, LA Micropolitan Statistical Area",41831,1 
"33420","Mineral Wells, TX Micropolitan Statistical Area",27026,1 
"33460","Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",2968806,1 
"33500","Minot, ND Micropolitan Statistical Area",67392,1 
"33540","Missoula, MT Metropolitan Statistical Area",95802,1 
"33580","Mitchell, SD Micropolitan Statistical Area",21880,1 
"33620","Moberly, MO Micropolitan Statistical Area",24663,1 
"33660","Mobile, AL Metropolitan Statistical Area",399843,1 
"33700","Modesto, CA Metropolitan Statistical Area",446997,1 
"33740","Monroe, LA Metropolitan Statistical Area",170053,1 
"33780","Monroe, MI Metropolitan Statistical Area",145945,1 
"33820","Monroe, WI Micropolitan Statistical Area",33647,1 
"33860","Montgomery, AL Metropolitan Statistical Area",346528,1 
"33940","Montrose, CO Micropolitan Statistical Area",33432,1 
"33980","Morehead City, NC Micropolitan Statistical Area",59383,1 
"34020","Morgan City, LA Micropolitan Statistical Area",53500,1 
"34060","Morgantown, WV Metropolitan Statistical Area",111200,1 
"34100","Morristown, TN Metropolitan Statistical Area",123081,1 
"34140","Moscow, ID Micropolitan Statistical Area",34935,1 
"34180","Moses Lake, WA Micropolitan Statistical Area",74698,1 
"34220","Moultrie, GA Micropolitan Statistical Area",42053,1 
"34260","Mountain Home, AR Micropolitan Statistical Area",38386,1 
"34300","Mountain Home, ID Micropolitan Statistical Area",29130,1 
"34340","Mount Airy, NC Micropolitan Statistical Area",71219,1 
"34380","Mount Pleasant, MI Micropolitan Statistical Area",63351,1 
"34420","Mount Pleasant, TX Micropolitan Statistical Area",28118,1 
"34460","Mount Sterling, KY Micropolitan Statistical Area",40195,1 
"34500","Mount Vernon, IL Micropolitan Statistical Area",48666,1 
"34540","Mount Vernon, OH Micropolitan Statistical Area",54500,1 
"34580","Mount Vernon-Anacortes, WA Metropolitan Statistical Area",102979,1 
"34620","Muncie, IN Metropolitan Statistical Area",118769,1 
"34660","Murray, KY Micropolitan Statistical Area",34177,1 
"34700","Muscatine, IA Micropolitan Statistical Area",53905,1 
"34740","Muskegon-Norton Shores, MI Metropolitan Statistical Area",170200,1 
"34780","Muskogee, OK Micropolitan Statistical Area",69451,1 
"34820","Myrtle Beach-North Myrtle Beach-Conway, SC Metropolitan Statistical Area",196629,1 
"34860","Nacogdoches, TX Micropolitan Statistical Area",59203,1 
"34900","Napa, CA Metropolitan Statistical Area",124279,1 
"34940","Naples-Marco Island, FL Metropolitan Statistical Area",251377,1 
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Are",1311789,1 
"35020","Natchez, MS-LA Micropolitan Statistical Area",54587,1 
"35060","Natchitoches, LA Micropolitan Statistical Area",39080,1 
"35100","New Bern, NC Micropolitan Statistical Area",114751,1 
"35140","Newberry, SC Micropolitan Statistical Area",36108,1 
"35220","New Castle, IN Micropolitan Statistical Area",48508,1 
"35260","New Castle, PA Micropolitan Statistical Area",94643,1 
"35300","New Haven-Milford, CT Metropolitan Statistical Area",824008,1 
"35340","New Iberia, LA Micropolitan Statistical Area",73266,1 
"35380","New Orleans-Metairie-Kenner, LA Metropolitan Statistical Area",1316510,1 
"35420","New Philadelphia-Dover, OH Micropolitan Statistical Area",90914,1 
"35460","Newport, TN Micropolitan Statistical Area",33565,1 
"35500","Newton, IA Micropolitan Statistical Area",37213,1 
"35580","New Ulm, MN Micropolitan Statistical Area",26911,1 
"35620","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",18323002,1 
"35660","Niles-Benton Harbor, MI Metropolitan Statistical Area",162453,1 
"35700","Nogales, AZ Micropolitan Statistical Area",38381,1 
"35740","Norfolk, NE Micropolitan Statistical Area",49538,1 
"35820","North Platte, NE Micropolitan Statistical Area",35939,1 
"35860","North Vernon, IN Micropolitan Statistical Area",27554,1 
"35900","North Wilkesboro, NC Micropolitan Statistical Area",65632,1 
"35940","Norwalk, OH Micropolitan Statistical Area",59487,1 
"35980","Norwich-New London, CT Metropolitan Statistical Area",259088,1 
"36020","Oak Harbor, WA Micropolitan Statistical Area",71558,1 
"36060","Oak Hill, WV Micropolitan Statistical Area",47579,1 
"36100","Ocala, FL Metropolitan Statistical Area",258916,1 
"36140","Ocean City, NJ Metropolitan Statistical Area",102326,1 
"36180","Ocean Pines, MD Micropolitan Statistical Area",46543,1 
"36220","Odessa, TX Metropolitan Statistical Area",121123,1 
"36260","Ogden-Clearfield, UT Metropolitan Statistical Area",442656,1 
"36300","Ogdensburg-Massena, NY Micropolitan Statistical Area",111931,1 
"36340","Oil City, PA Micropolitan Statistical Area",57565,1 
"36380","Okeechobee, FL Micropolitan Statistical Area",35910,1 
"36420","Oklahoma City, OK Metropolitan Statistical Area",1095421,1 
"36460","Olean, NY Micropolitan Statistical Area",83955,1 
"36500","Olympia, WA Metropolitan Statistical Area",207355,1 
"36540","Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",767041,1 
"36580","Oneonta, NY Micropolitan Statistical Area",61676,1 
"36620","Ontario, OR-ID Micropolitan Statistical Area",52193,1 
"36660","Opelousas-Eunice, LA Micropolitan Statistical Area",87700,1 
"36700","Orangeburg, SC Micropolitan Statistical Area",91582,1 
"36740","Orlando-Kissimmee, FL Metropolitan Statistical Area",1644561,1 
"36780","Oshkosh-Neenah, WI Metropolitan Statistical Area",156763,1 
"36820","Oskaloosa, IA Micropolitan Statistical Area",22335,1 
"36860","Ottawa-Streator, IL Micropolitan Statistical Area",153098,1 
"36900","Ottumwa, IA Micropolitan Statistical Area",36051,1 
"36940","Owatonna, MN Micropolitan Statistical Area",33680,1 
"36980","Owensboro, KY Metropolitan Statistical Area",109875,1 
"37020","Owosso, MI Micropolitan Statistical Area",71687,1 
"37060","Oxford, MS Micropolitan Statistical Area",38744,1 
"37100","Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",753197,1 
"37140","Paducah, KY-IL Micropolitan Statistical Area",98765,1 
"37220","Pahrump, NV Micropolitan Statistical Area",32485,1 
"37260","Palatka, FL Micropolitan Statistical Area",70423,1 
"37300","Palestine, TX Micropolitan Statistical Area",55109,1 
"37340","Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",476230,1 
"37380","Palm Coast, FL Metropolitan Statistical Area",49832,1 
"37420","Pampa, TX Micropolitan Statistical Area",23631,1 
"37460","Panama City-Lynn Haven, FL Metropolitan Statistical Area",148217,1 
"37500","Paragould, AR Micropolitan Statistical Area",37331,1 
"37540","Paris, TN Micropolitan Statistical Area",31115,1 
"37580","Paris, TX Micropolitan Statistical Area",48499,1 
"37620","Parkersburg-Marietta-Vienna, WV-OH Metropolitan Statistical Area",164624,1 
"37660","Parsons, KS Micropolitan Statistical Area",22835,1 
"37700","Pascagoula, MS Metropolitan Statistical Area",150564,1 
"37740","Payson, AZ Micropolitan Statistical Area",51335,1 
"37780","Pecos, TX Micropolitan Statistical Area",13137,1 
"37800","Pella, IA Micropolitan Statistical Area",32052,1 
"37820","Pendleton-Hermiston, OR Micropolitan Statistical Area",81543,1 
"37860","Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",412153,1 
"37900","Peoria, IL Metropolitan Statistical Area",366899,1 
"37940","Peru, IN Micropolitan Statistical Area",36082,1 
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",5687147,1 
"38020","Phoenix Lake-Cedar Ridge, CA Micropolitan Statistical Area",54501,1 
"38060","Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",3251876,1 
"38100","Picayune, MS Micropolitan Statistical Area",48621,1 
"38180","Pierre, SD Micropolitan Statistical Area",19253,1 
"38200","Pierre Part, LA Micropolitan Statistical Area",23388,1 
"38220","Pine Bluff, AR Metropolitan Statistical Area",107341,1 
"38260","Pittsburg, KS Micropolitan Statistical Area",38242,1 
"38300","Pittsburgh, PA Metropolitan Statistical Area",2431087,1 
"38340","Pittsfield, MA Metropolitan Statistical Area",134953,1 
"38380","Plainview, TX Micropolitan Statistical Area",36602,1 
"38420","Platteville, WI Micropolitan Statistical Area",49597,1 
"38460","Plattsburgh, NY Micropolitan Statistical Area",79894,1 
"38500","Plymouth, IN Micropolitan Statistical Area",45128,1 
"38540","Pocatello, ID Metropolitan Statistical Area",83103,1 
"38580","Point Pleasant, WV-OH Micropolitan Statistical Area",57026,1 
"38620","Ponca City, OK Micropolitan Statistical Area",48080,1 
"38700","Pontiac, IL Micropolitan Statistical Area",39678,1 
"38740","Poplar Bluff, MO Micropolitan Statistical Area",40867,1 
"38780","Portales, NM Micropolitan Statistical Area",18018,1 
"38820","Port Angeles, WA Micropolitan Statistical Area",64525,1 
"38860","Portland-South Portland-Biddeford, ME Metropolitan Statistical Area",487568,1 
"38900","Portland-Vancouver-Beaverton, OR-WA Metropolitan Statistical Area",1927881,1 
"38940","Port St. Lucie, FL Metropolitan Statistical Area",319426,1 
"39020","Portsmouth, OH Micropolitan Statistical Area",79195,1 
"39060","Pottsville, PA Micropolitan Statistical Area",150336,1 
"39100","Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area",621517,1 
"39140","Prescott, AZ Metropolitan Statistical Area",167517,1 
"39220","Price, UT Micropolitan Statistical Area",20422,1 
"39260","Prineville, OR Micropolitan Statistical Area",19182,1 
"39300","Providence-New Bedford-Fall River, RI-MA Metropolitan Statistical Area",1582997,1 
"39340","Provo-Orem, UT Metropolitan Statistical Area",376774,1 
"39380","Pueblo, CO Metropolitan Statistical Area",141472,1 
"39420","Pullman, WA Micropolitan Statistical Area",40740,1 
"39460","Punta Gorda, FL Metropolitan Statistical Area",141627,1 
"39500","Quincy, IL-MO Micropolitan Statistical Area",78771,1 
"39540","Racine, WI Metropolitan Statistical Area",188831,1 
"39580","Raleigh-Cary, NC Metropolitan Statistical Area",797071,1 
"39660","Rapid City, SD Metropolitan Statistical Area",112818,1 
"39700","Raymondville, TX Micropolitan Statistical Area",20082,1 
"39740","Reading, PA Metropolitan Statistical Area",373638,1 
"39780","Red Bluff, CA Micropolitan Statistical Area",56039,1 
"39820","Redding, CA Metropolitan Statistical Area",163256,1 
"39860","Red Wing, MN Micropolitan Statistical Area",44127,1 
"39900","Reno-Sparks, NV Metropolitan Statistical Area",342885,1 
"39940","Rexburg, ID Micropolitan Statistical Area",39286,1 
"39980","Richmond, IN Micropolitan Statistical Area",71097,1 
"40060","Richmond, VA Metropolitan Statistical Area",1096957,1 
"40080","Richmond-Berea, KY Micropolitan Statistical Area",87454,1 
"40100","Rio Grande City-Roma, TX Micropolitan Statistical Area",53597,1 
"40140","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",3254821,1 
"40180","Riverton, WY Micropolitan Statistical Area",35804,1 
"40220","Roanoke, VA Metropolitan Statistical Area",288309,1 
"40260","Roanoke Rapids, NC Micropolitan Statistical Area",79456,1 
"40300","Rochelle, IL Micropolitan Statistical Area",51032,1 
"40340","Rochester, MN Metropolitan Statistical Area",163618,1 
"40380","Rochester, NY Metropolitan Statistical Area",1037831,1 
"40420","Rockford, IL Metropolitan Statistical Area",320204,1 
"40460","Rockingham, NC Micropolitan Statistical Area",46564,1 
"40500","Rockland, ME Micropolitan Statistical Area",39618,1 
"40540","Rock Springs, WY Micropolitan Statistical Area",37613,1 
"40580","Rocky Mount, NC Metropolitan Statistical Area",143026,1 
"40620","Rolla, MO Micropolitan Statistical Area",39825,1 
"40660","Rome, GA Metropolitan Statistical Area",90565,1 
"40700","Roseburg, OR Micropolitan Statistical Area",100399,1 
"40740","Roswell, NM Micropolitan Statistical Area",61382,1 
"40760","Ruidoso, NM Micropolitan Statistical Area",19411,1 
"40780","Russellville, AR Micropolitan Statistical Area",75608,1 
"40820","Ruston, LA Micropolitan Statistical Area",57906,1 
"40860","Rutland, VT Micropolitan Statistical Area",63400,1 
"40900","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",1796857,1 
"40940","Safford, AZ Micropolitan Statistical Area",42036,1 
"40980","Saginaw-Saginaw Township North, MI Metropolitan Statistical Area",210039,1 
"41060","St. Cloud, MN Metropolitan Statistical Area",167392,1 
"41100","St. George, UT Metropolitan Statistical Area",90354,1 
"41140","St. Joseph, MO-KS Metropolitan Statistical Area",122336,1 
"41180","St. Louis, MO-IL Metropolitan Statistical Area",2700011,1 
"41220","St. Marys, GA Micropolitan Statistical Area",43664,1 
"41260","St. Marys, PA Micropolitan Statistical Area",35112,1 
"41420","Salem, OR Metropolitan Statistical Area",347214,1 
"41460","Salina, KS Micropolitan Statistical Area",59760,1 
"41500","Salinas, CA Metropolitan Statistical Area",401762,1 
"41540","Salisbury, MD Metropolitan Statistical Area",109391,1 
"41580","Salisbury, NC Micropolitan Statistical Area",130340,1 
"41620","Salt Lake City, UT Metropolitan Statistical Area",968858,1 
"41660","San Angelo, TX Metropolitan Statistical Area",105781,1 
"41700","San Antonio, TX Metropolitan Statistical Area",1711703,1 
"41740","San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area",2813833,1 
"41780","Sandusky, OH Metropolitan Statistical Area",79551,1 
"41820","Sanford, NC Micropolitan Statistical Area",49040,1 
"41860","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",4123740,1 
"41940","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",1735819,1 
"42020","San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",246681,1 
"42060","Santa Barbara-Santa Maria-Goleta, CA Metropolitan Statistical Area",399347,1 
"42100","Santa Cruz-Watsonville, CA Metropolitan Statistical Area",255602,1 
"42140","Santa Fe, NM Metropolitan Statistical Area",129292,1 
"42220","Santa Rosa-Petaluma, CA Metropolitan Statistical Area",458614,1 
"42300","Sault Ste. Marie, MI Micropolitan Statistical Area",38543,1 
"42340","Savannah, GA Metropolitan Statistical Area",293000,1 
"42380","Sayre, PA Micropolitan Statistical Area",62761,1 
"42420","Scottsbluff, NE Micropolitan Statistical Area",37770,1 
"42460","Scottsboro, AL Micropolitan Statistical Area",53926,1 
"42500","Scottsburg, IN Micropolitan Statistical Area",22960,1 
"42540","Scranton--Wilkes-Barre, PA Metropolitan Statistical Area",560625,1 
"42580","Seaford, DE Micropolitan Statistical Area",156638,1 
"42620","Searcy, AR Micropolitan Statistical Area",67165,1 
"42660","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",3043878,1 
"42680","Sebastian-Vero Beach, FL Metropolitan Statistical Area",112947,1 
"42700","Sebring, FL Micropolitan Statistical Area",87366,1 
"42740","Sedalia, MO Micropolitan Statistical Area",39403,1 
"42780","Selinsgrove, PA Micropolitan Statistical Area",37546,1 
"42820","Selma, AL Micropolitan Statistical Area",46365,1 
"42860","Seneca, SC Micropolitan Statistical Area",66215,1 
"42900","Seneca Falls, NY Micropolitan Statistical Area",33342,1 
"42940","Sevierville, TN Micropolitan Statistical Area",71170,1 
"42980","Seymour, IN Micropolitan Statistical Area",41335,1 
"43060","Shawnee, OK Micropolitan Statistical Area",65521,1 
"43100","Sheboygan, WI Metropolitan Statistical Area",112646,1 
"43140","Shelby, NC Micropolitan Statistical Area",96287,1 
"43180","Shelbyville, TN Micropolitan Statistical Area",37586,1 
"43220","Shelton, WA Micropolitan Statistical Area",49405,1 
"43260","Sheridan, WY Micropolitan Statistical Area",26560,1 
"43300","Sherman-Denison, TX Metropolitan Statistical Area",110595,1 
"43320","Show Low, AZ",97470,1 
"43340","Shreveport-Bossier City, LA Metropolitan Statistical Area",375965,1 
"43380","Sidney, OH Micropolitan Statistical Area",47910,1 
"43420","Sierra Vista-Douglas, AZ Micropolitan Statistical Area",117755,1 
"43460","Sikeston, MO Micropolitan Statistical Area",40422,1 
"43500","Silver City, NM Micropolitan Statistical Area",31002,1 
"43540","Silverthorne, CO Micropolitan Statistical Area",23548,1 
"43580","Sioux City, IA-NE-SD Metropolitan Statistical Area",143053,1 
"43620","Sioux Falls, SD Metropolitan Statistical Area",187093,1 
"43660","Snyder, TX Micropolitan Statistical Area",16361,1 
"43700","Somerset, KY Micropolitan Statistical Area",56217,1 
"43740","Somerset, PA Micropolitan Statistical Area",80023,1 
"43780","South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",316663,1 
"43860","Southern Pines-Pinehurst, NC Micropolitan Statistical Area",74769,1 
"43900","Spartanburg, SC Metropolitan Statistical Area",253791,1 
"43940","Spearfish, SD Micropolitan Statistical Area",21802,1 
"43980","Spencer, IA Micropolitan Statistical Area",17372,1 
"44020","Spirit Lake, IA Micropolitan Statistical Area",16424,1 
"44060","Spokane, WA Metropolitan Statistical Area",417939,1 
"44100","Springfield, IL Metropolitan Statistical Area",201437,1 
"44140","Springfield, MA Metropolitan Statistical Area",680014,1 
"44180","Springfield, MO Metropolitan Statistical Area",368374,1 
"44220","Springfield, OH Metropolitan Statistical Area",144742,1 
"44260","Starkville, MS Micropolitan Statistical Area",42902,1 
"44300","State College, PA Metropolitan Statistical Area",135758,1 
"44340","Statesboro, GA Micropolitan Statistical Area",55983,1 
"44380","Statesville-Mooresville, NC Micropolitan Statistical Area",122660,1 
"44420","Staunton-Waynesboro, VA Micropolitan Statistical Area",108988,1 
"44500","Stephenville, TX Micropolitan Statistical Area",33001,1 
"44540","Sterling, CO Micropolitan Statistical Area",20504,1 
"44580","Sterling, IL Micropolitan Statistical Area",60653,1 
"44620","Stevens Point, WI Micropolitan Statistical Area",67182,1 
"44660","Stillwater, OK Micropolitan Statistical Area",68190,1 
"44700","Stockton, CA Metropolitan Statistical Area",563598,1 
"44740","Storm Lake, IA Micropolitan Statistical Area",20411,1 
"44780","Sturgis, MI Micropolitan Statistical Area",62422,1 
"44860","Sulphur Springs, TX Micropolitan Statistical Area",31960,1 
"44900","Summerville, GA Micropolitan Statistical Area",25470,1 
"44940","Sumter, SC Metropolitan Statistical Area",104646,1 
"44980","Sunbury, PA Micropolitan Statistical Area",94556,1 
"45000","Susanville, CA Micropolitan Statistical Area",33828,1 
"45020","Sweetwater, TX Micropolitan Statistical Area",15802,1 
"45060","Syracuse, NY Metropolitan Statistical Area",650154,1 
"45140","Tahlequah, OK Micropolitan Statistical Area",42521,1 
"45180","Talladega-Sylacauga, AL Micropolitan Statistical Area",80321,1 
"45220","Tallahassee, FL Metropolitan Statistical Area",320304,1 
"45260","Tallulah, LA Micropolitan Statistical Area",13728,1 
"45300","Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",2395997,1 
"45340","Taos, NM Micropolitan Statistical Area",29979,1 
"45380","Taylorville, IL Micropolitan Statistical Area",35372,1 
"45460","Terre Haute, IN Metropolitan Statistical Area",170943,1 
"45500","Texarkana, TX-Texarkana, AR Metropolitan Statistical Area",129749,1 
"45540","The Villages, FL Micropolitan Statistical Area",53345,1 
"45580","Thomaston, GA Micropolitan Statistical Area",27597,1 
"45620","Thomasville, GA Micropolitan Statistical Area",42737,1 
"45640","Thomasville-Lexington, NC Micropolitan Statistical Area",147246,1 
"45660","Tiffin, OH Micropolitan Statistical Area",58683,1 
