"cbsa","cbsaname","pop2k","afact"
"cbsa","CBSA Name","Total Pop, 2000 census","cbsa to cbsa alloc factor"
"14140","Bluefield, WV-VA Micropolitan Statistical Area",107578,1 
"14180","Blytheville, AR Micropolitan Statistical Area",51979,1 
"14220","Bogalusa, LA Micropolitan Statistical Area",43926,1 
"14260","Boise City-Nampa, ID Metropolitan Statistical Area",464840,1 
"14300","Bonham, TX Micropolitan Statistical Area",31242,1 
"14340","Boone, IA Micropolitan Statistical Area",26224,1 
"14380","Boone, NC Micropolitan Statistical Area",42695,1 
"14420","Borger, TX Micropolitan Statistical Area",23857,1 
"14460","Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",4391344,1 
"14500","Boulder, CO Metropolitan Statistical Area",269814,1 
"14540","Bowling Green, KY Metropolitan Statistical Area",104166,1 
"14580","Bozeman, MT Micropolitan Statistical Area",67831,1 
"14600","Bradenton-Sarasota-Venice, FL Metropolitan Statistical Area",589959,1 
"14620","Bradford, PA Micropolitan Statistical Area",45936,1 
"14660","Brainerd, MN Micropolitan Statistical Area",82249,1 
"14700","Branson, MO Micropolitan Statistical Area",68361,1 
"14740","Bremerton-Silverdale, WA Metropolitan Statistical Area",231969,1 
"14780","Brenham, TX Micropolitan Statistical Area",30373,1 
"14820","Brevard, NC Micropolitan Statistical Area",29334,1 
"14860","Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",882567,1 
"14940","Brigham City, UT Micropolitan Statistical Area",42745,1 
"15020","Brookhaven, MS Micropolitan Statistical Area",33166,1 
"15060","Brookings, OR Micropolitan Statistical Area",21137,1 
"15100","Brookings, SD Micropolitan Statistical Area",28220,1 
"15140","Brownsville, TN Micropolitan Statistical Area",19797,1 
"15180","Brownsville-Harlingen, TX Metropolitan Statistical Area",335227,1 
"15220","Brownwood, TX Micropolitan Statistical Area",37674,1 
"15260","Brunswick, GA Metropolitan Statistical Area",93044,1 
"15340","Bucyrus, OH Micropolitan Statistical Area",46966,1 
"15380","Buffalo-Niagara Falls, NY Metropolitan Statistical Area",1170111,1 
"15420","Burley, ID Micropolitan Statistical Area",41590,1 
"15460","Burlington, IA-IL Micropolitan Statistical Area",50564,1 
"15500","Burlington, NC Metropolitan Statistical Area",130800,1 
"15540","Burlington-South Burlington, VT Metropolitan Statistical Area",198889,1 
"15580","Butte-Silver Bow, MT Micropolitan Statistical Area",34606,1 
"15620","Cadillac, MI Micropolitan Statistical Area",44962,1 
"15660","Calhoun, GA Micropolitan Statistical Area",44104,1 
"15700","Cambridge, MD Micropolitan Statistical Area",30674,1 
"15740","Cambridge, OH Micropolitan Statistical Area",40792,1 
"15780","Camden, AR Micropolitan Statistical Area",34534,1 
"15820","Campbellsville, KY Micropolitan Statistical Area",22927,1 
"15860","Canon City, CO Micropolitan Statistical Area",46145,1 
"15900","Canton, IL Micropolitan Statistical Area",38250,1 
"15940","Canton-Massillon, OH Metropolitan Statistical Area",406934,1 
"15980","Cape Coral-Fort Myers, FL Metropolitan Statistical Area",440888,1 
"16020","Cape Girardeau-Jackson, MO-IL Micropolitan Statistical Area",90312,1 
"16060","Carbondale, IL Micropolitan Statistical Area",59612,1 
"16100","Carlsbad-Artesia, NM Micropolitan Statistical Area",51658,1 
"16180","Carson City, NV Metropolitan Statistical Area",52457,1 
"16220","Casper, WY Metropolitan Statistical Area",66533,1 
"16260","Cedar City, UT Micropolitan Statistical Area",33779,1 
"16300","Cedar Rapids, IA Metropolitan Statistical Area",237230,1 
"16340","Cedartown, GA Micropolitan Statistical Area",38127,1 
"16380","Celina, OH Micropolitan Statistical Area",40924,1 
"16420","Central City, KY Micropolitan Statistical Area",31839,1 
"16460","Centralia, IL Micropolitan Statistical Area",41691,1 
"16500","Centralia, WA Micropolitan Statistical Area",68600,1 
"16540","Chambersburg, PA Micropolitan Statistical Area",129313,1 
"16580","Champaign-Urbana, IL Metropolitan Statistical Area",210275,1 
"16620","Charleston, WV Metropolitan Statistical Area",309635,1 
"16660","Charleston-Mattoon, IL Micropolitan Statistical Area",64449,1 
"16700","Charleston-North Charleston-Summerville, SC Metropolitan Statistical Area",549033,1 
"16740","Charlotte-Gastonia-Concord, NC-SC Metropolitan Statistical Area",1330448,1 
"16820","Charlottesville, VA Metropolitan Statistical Area",174021,1 
"16860","Chattanooga, TN-GA Metropolitan Statistical Area",476531,1 
"16900","Chester, SC Micropolitan Statistical Area",34068,1 
"16940","Cheyenne, WY Metropolitan Statistical Area",81607,1 
"16980","Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area",9098316,1 
"17020","Chico, CA Metropolitan Statistical Area",203171,1 
"17060","Chillicothe, OH Micropolitan Statistical Area",73345,1 
"17140","Cincinnati-Middletown, OH-KY-IN Metropolitan Statistical Area",2009632,1 
"17180","City of The Dalles, OR Micropolitan Statistical Area",23791,1 
"17200","Claremont, NH Micropolitan Statistical Area",40458,1 
"17220","Clarksburg, WV Micropolitan Statistical Area",92144,1 
"17260","Clarksdale, MS Micropolitan Statistical Area",30622,1 
"17300","Clarksville, TN-KY Metropolitan Statistical Area",232000,1 
"17340","Clearlake, CA Micropolitan Statistical Area",58309,1 
"17380","Cleveland, MS Micropolitan Statistical Area",40633,1 
"17420","Cleveland, TN Metropolitan Statistical Area",104015,1 
"17460","Cleveland-Elyria-Mentor, OH Metropolitan Statistical Area",2148143,1 
"17500","Clewiston, FL Micropolitan Statistical Area",36210,1 
"17540","Clinton, IA Micropolitan Statistical Area",50149,1 
"17580","Clovis, NM Micropolitan Statistical Area",45044,1 
"17660","Coeur dAlene, ID Metropolitan Statistical Area",108685,1 
"17700","Coffeyville, KS Micropolitan Statistical Area",36252,1 
"17740","Coldwater, MI Micropolitan Statistical Area",45787,1 
"17780","College Station-Bryan, TX Metropolitan Statistical Area",184885,1 
"17820","Colorado Springs, CO Metropolitan Statistical Area",537484,1 
"17860","Columbia, MO Metropolitan Statistical Area",145666,1 
"17900","Columbia, SC Metropolitan Statistical Area",647158,1 
"17940","Columbia, TN Micropolitan Statistical Area",69498,1 
"17980","Columbus, GA-AL Metropolitan Statistical Area",281768,1 
"18020","Columbus, IN Metropolitan Statistical Area",71435,1 
"18060","Columbus, MS Micropolitan Statistical Area",61586,1 
"18100","Columbus, NE Micropolitan Statistical Area",31662,1 
"18140","Columbus, OH Metropolitan Statistical Area",1612694,1 
"18180","Concord, NH Micropolitan Statistical Area",136225,1 
"18220","Connersville, IN Micropolitan Statistical Area",25588,1 
"18260","Cookeville, TN Micropolitan Statistical Area",93417,1 
"18300","Coos Bay, OR Micropolitan Statistical Area",62779,1 
"18340","Corbin, KY Micropolitan Statistical Area",35865,1 
"18380","Cordele, GA Micropolitan Statistical Area",21996,1 
"18420","Corinth, MS Micropolitan Statistical Area",34558,1 
"18460","Cornelia, GA Micropolitan Statistical Area",35902,1 
"18500","Corning, NY Micropolitan Statistical Area",98726,1 
"18580","Corpus Christi, TX Metropolitan Statistical Area",403280,1 
"18620","Corsicana, TX Micropolitan Statistical Area",45124,1 
"18660","Cortland, NY Micropolitan Statistical Area",48599,1 
"18700","Corvallis, OR Metropolitan Statistical Area",78153,1 
"18740","Coshocton, OH Micropolitan Statistical Area",36655,1 
"18820","Crawfordsville, IN Micropolitan Statistical Area",37629,1 
"18860","Crescent City, CA Micropolitan Statistical Area",27507,1 
"18900","Crossville, TN Micropolitan Statistical Area",46802,1 
"18940","Crowley, LA Micropolitan Statistical Area",58861,1 
"18980","Cullman, AL Micropolitan Statistical Area",77483,1 
"19020","Culpeper, VA Micropolitan Statistical Area",34262,1 
"19060","Cumberland, MD-WV Metropolitan Statistical Area",102008,1 
"19100","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",5161544,1 
"19140","Dalton, GA Metropolitan Statistical Area",120031,1 
"19180","Danville, IL Metropolitan Statistical Area",83919,1 
"19220","Danville, KY Micropolitan Statistical Area",51058,1 
"19260","Danville, VA Metropolitan Statistical Area",110156,1 
"19300","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",140415,1 
"19340","Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",376019,1 
"19380","Dayton, OH Metropolitan Statistical Area",848153,1 
"19460","Decatur, AL Metropolitan Statistical Area",145867,1 
"19500","Decatur, IL Metropolitan Statistical Area",114706,1 
"19540","Decatur, IN Micropolitan Statistical Area",33625,1 
"19580","Defiance, OH Micropolitan Statistical Area",39500,1 
"19620","Del Rio, TX Micropolitan Statistical Area",44856,1 
"19660","Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",443343,1 
"19700","Deming, NM Micropolitan Statistical Area",25016,1 
"19740","Denver-Aurora, CO Metropolitan Statistical Area",2179240,1 
"19760","De Ridder, LA Micropolitan Statistical Area",32986,1 
"19780","Des Moines-West Des Moines, IA Metropolitan Statistical Area",481394,1 
"19820","Detroit-Warren-Livonia, MI Metropolitan Statistical Area",4452557,1 
"19860","Dickinson, ND Micropolitan Statistical Area",23524,1 
"19900","Dillon, SC Micropolitan Statistical Area",30722,1 
"19940","Dixon, IL Micropolitan Statistical Area",36062,1 
"19980","Dodge City, KS Micropolitan Statistical Area",32458,1 
"20020","Dothan, AL Metropolitan Statistical Area",130861,1 
"20060","Douglas, GA Micropolitan Statistical Area",45022,1 
"20100","Dover, DE Metropolitan Statistical Area",126697,1 
"20140","Dublin, GA Micropolitan Statistical Area",53434,1 
"20180","DuBois, PA Micropolitan Statistical Area",83382,1 
"20220","Dubuque, IA Metropolitan Statistical Area",89143,1 
"20260","Duluth, MN-WI Metropolitan Statistical Area",275486,1 
"20300","Dumas, TX Micropolitan Statistical Area",20121,1 
"20340","Duncan, OK Micropolitan Statistical Area",43182,1 
"20380","Dunn, NC Micropolitan Statistical Area",91025,1 
"20420","Durango, CO Micropolitan Statistical Area",43941,1 
"20460","Durant, OK Micropolitan Statistical Area",36534,1 
"20500","Durham, NC Metropolitan Statistical Area",426493,1 
"20540","Dyersburg, TN Micropolitan Statistical Area",37279,1 
"20580","Eagle Pass, TX Micropolitan Statistical Area",47297,1 
"20620","East Liverpool-Salem, OH Micropolitan Statistical Area",112075,1 
"20660","Easton, MD Micropolitan Statistical Area",33812,1 
"20700","East Stroudsburg, PA Micropolitan Statistical Area",138687,1 
"20740","Eau Claire, WI Metropolitan Statistical Area",148337,1 
"20780","Edwards, CO Micropolitan Statistical Area",49471,1 
"20820","Effingham, IL Micropolitan Statistical Area",34264,1 
"20900","El Campo, TX Micropolitan Statistical Area",41188,1 
"20940","El Centro, CA Metropolitan Statistical Area",142361,1 
"20980","El Dorado, AR Micropolitan Statistical Area",45629,1 
"21020","Elizabeth City, NC Micropolitan Statistical Area",53150,1 
"21060","Elizabethtown, KY Metropolitan Statistical Area",107547,1 
"21120","Elk City, OK Micropolitan Statistical Area",19799,1 
"21140","Elkhart-Goshen, IN Metropolitan Statistical Area",182791,1 
"21220","Elko, NV Micropolitan Statistical Area",46942,1 
"21260","Ellensburg, WA Micropolitan Statistical Area",33362,1 
"21300","Elmira, NY Metropolitan Statistical Area",91070,1 
"21340","El Paso, TX Metropolitan Statistical Area",679622,1 
"21380","Emporia, KS Micropolitan Statistical Area",38965,1 
"21420","Enid, OK Micropolitan Statistical Area",57813,1 
"21460","Enterprise-Ozark, AL Micropolitan Statistical Area",92744,1 
"21500","Erie, PA Metropolitan Statistical Area",280843,1 
"21540","Escanaba, MI Micropolitan Statistical Area",38520,1 
"21580","Espanola, NM Micropolitan Statistical Area",41190,1 
"21640","Eufaula, AL-GA Micropolitan Statistical Area",31636,1 
"21660","Eugene-Springfield, OR Metropolitan Statistical Area",322959,1 
"21700","Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area",126518,1 
"21740","Evanston, WY Micropolitan Statistical Area",19742,1 
"21780","Evansville, IN-KY Metropolitan Statistical Area",342815,1 
"21820","Fairbanks, AK Metropolitan Statistical Area",82840,1 
"21860","Fairmont, MN Micropolitan Statistical Area",21802,1 
"21900","Fairmont, WV Micropolitan Statistical Area",56598,1 
"21980","Fallon, NV Micropolitan Statistical Area",23982,1 
"22020","Fargo, ND-MN Metropolitan Statistical Area",174367,1 
"22060","Faribault-Northfield, MN Micropolitan Statistical Area",56665,1 
"22100","Farmington, MO Micropolitan Statistical Area",55641,1 
"22140","Farmington, NM Metropolitan Statistical Area",113801,1 
"22180","Fayetteville, NC Metropolitan Statistical Area",336609,1 
"22220","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",347045,1 
"22260","Fergus Falls, MN Micropolitan Statistical Area",57159,1 
"22280","Fernley, NV Micropolitan Statistical Area",34501,1 
"22300","Findlay, OH Micropolitan Statistical Area",71295,1 
"22340","Fitzgerald, GA Micropolitan Statistical Area",27415,1 
"22380","Flagstaff, AZ Metropolitan Statistical Area",116320,1 
"22420","Flint, MI Metropolitan Statistical Area",436141,1 
"22500","Florence, SC Metropolitan Statistical Area",193155,1 
"22520","Florence-Muscle Shoals, AL Metropolitan Statistical Area",142950,1 
"22540","Fond du Lac, WI Metropolitan Statistical Area",97296,1 
"22580","Forest City, NC Micropolitan Statistical Area",62899,1 
"22620","Forrest City, AR Micropolitan Statistical Area",29329,1 
"22660","Fort Collins-Loveland, CO Metropolitan Statistical Area",251494,1 
"22700","Fort Dodge, IA Micropolitan Statistical Area",40235,1 
"22780","Fort Leonard Wood, MO Micropolitan Statistical Area",41165,1 
"22800","Fort Madison-Keokuk, IA-MO Micropolitan Statistical Area",45468,1 
"22820","Fort Morgan, CO Micropolitan Statistical Area",27171,1 
"22840","Fort Payne, AL Micropolitan Statistical Area",64452,1 
"22860","Fort Polk South, LA Micropolitan Statistical Area",52531,1 
"22900","Fort Smith, AR-OK Metropolitan Statistical Area",273170,1 
"22980","Fort Valley, GA Micropolitan Statistical Area",23668,1 
"23020","Fort Walton Beach-Crestview-Destin, FL Metropolitan Statistical Area",170498,1 
"23060","Fort Wayne, IN Metropolitan Statistical Area",390156,1 
"23140","Frankfort, IN Micropolitan Statistical Area",33866,1 
"23180","Frankfort, KY Micropolitan Statistical Area",66798,1 
"23240","Fredericksburg, TX Micropolitan Statistical Area",20814,1 
"23300","Freeport, IL Micropolitan Statistical Area",48979,1 
"23340","Fremont, NE Micropolitan Statistical Area",36160,1 
"23380","Fremont, OH Micropolitan Statistical Area",61792,1 
"23420","Fresno, CA Metropolitan Statistical Area",799407,1 
"23460","Gadsden, AL Metropolitan Statistical Area",103459,1 
"23500","Gaffney, SC Micropolitan Statistical Area",52537,1 
"23540","Gainesville, FL Metropolitan Statistical Area",232392,1 
"23580","Gainesville, GA Metropolitan Statistical Area",139277,1 
"23620","Gainesville, TX Micropolitan Statistical Area",36363,1 
"23660","Galesburg, IL Micropolitan Statistical Area",74571,1 
"23700","Gallup, NM Micropolitan Statistical Area",74798,1 
"23780","Garden City, KS Micropolitan Statistical Area",40523,1 
"23820","Gardnerville Ranchos, NV Micropolitan Statistical Area",41259,1 
