"stateFIPS","countyFIPS","total","vac","nostat","vac_days","nostat_days"
"01","001",23396,266,2402,136200,1591689
"01","003",92769,891,14268,310213,9335710
"01","005",13271,275,2311,201810,1646318
"01","007",8554,92,1087,53255,771872
"01","009",24696,95,3378,57808,2444362
"01","011",4480,171,928,128405,776586
"01","013",11052,254,2101,152867,1686174
"01","015",59231,2594,7891,1486066,5703231
"01","017",17917,958,1803,679250,1176771
"01","019",12513,95,2087,63527,1609346
"01","021",19569,201,3003,111163,2126592
"01","023",6345,279,664,147819,530350
"01","025",11816,271,2114,143656,1540083
"01","027",9125,3,3138,140,2846873
"01","029",7166,83,1221,63652,917033
"01","031",23935,718,3211,298640,2273640
"01","033",27399,884,2744,547691,2112626
"01","035",5394,121,1123,49774,612528
"01","037",3862,3,711,105,558002
"01","039",18710,781,2969,462120,2322844
"01","041",8831,85,2302,48824,1969568
"01","043",38914,404,5037,185710,3565459
"01","045",23211,718,2639,420508,1913993
"01","047",22995,1796,3027,1397805,2149336
"01","049",30293,308,4773,169620,3466135
"01","051",33819,377,3827,221102,2571411
"01","053",19192,485,3926,274189,3003362
"01","055",50218,2478,4102,1429909,2938528
"01","057",8591,193,1385,117784,1082871
"01","059",14038,153,1672,100232,1278143
"01","061",12681,329,1757,219540,1282536
"01","063",4550,112,1073,75165,968384
"01","065",7576,122,1196,100916,833148
"01","067",8729,154,1305,121391,912251
"01","069",47774,1053,5147,608343,3301597
"01","071",25018,296,3709,177157,2582447
"01","073",318386,21597,21348,12808529,14909489
"01","075",6568,0,1213,0,963894
"01","077",44343,1666,4250,898043,3070909
"01","079",15707,74,2048,30975,1446081
"01","081",72053,1638,8410,887468,5724938
"01","083",35317,467,3785,198093,2428643
"01","085",4931,16,1004,9690,712801
"01","087",10582,710,1557,521521,1073165
"01","089",148819,4281,7851,1948409,4573531
"01","091",10999,351,1565,245730,1314554
"01","093",13935,2,2367,1527,1840500
"01","095",42615,856,4729,405774,3271975
"01","097",180173,8290,13488,4671723,8882649
"01","099",8584,179,1514,102611,1167103
"01","101",108119,8249,6953,4822218,4949371
"01","103",54358,1506,4331,839769,3187670
"01","105",3207,157,333,132200,278281
"01","107",8496,137,1286,83421,1054395
"01","109",17016,439,3183,261787,2454969
"01","111",11778,153,2180,97480,1649940
"01","113",26384,1269,3261,863901,2328684
"01","115",36124,159,6355,65594,4255658
"01","117",80957,188,7459,66648,4570872
"01","119",5090,188,776,143492,612505
"01","121",38103,984,5249,547953,3968626
"01","123",21772,408,2651,252474,2098024
"01","125",91923,3457,11561,1320141,7955268
"01","127",32490,632,5426,455288,4243265
"01","129",4877,0,523,0,311770
"01","131",5293,145,1036,134336,786677
"01","133",11284,104,1595,54228,1214580
"02","013",0,0,0,0,0
"02","016",0,0,0,0,0
"02","020",109312,3169,4359,1390951,3078965
"02","050",0,0,0,0,0
"02","060",0,0,0,0,0
"02","068",53,0,0,0,0
"02","070",0,0,0,0,0
"02","090",32505,2208,3409,1041231,2238288
"02","100",145,0,13,0,9820
"02","110",10937,96,934,60743,570289
"02","122",11878,447,2361,123077,1801446
"02","130",4462,48,518,26628,350661
"02","150",3783,100,958,19595,795947
"02","164",0,0,0,0,0
"02","170",20908,1029,2800,520417,1635527
"02","180",0,0,0,0,0
"02","185",0,0,0,0,0
"02","188",0,0,0,0,0
"02","201",0,0,0,0,0
"02","220",3573,30,1039,5045,815747
"02","232",0,0,0,0,0
"02","240",379,0,56,0,24009
"02","261",682,0,79,0,38617
"02","270",0,0,0,0,0
"02","280",0,0,0,0,0
