"stateFIPS","countyFIPS","total","vac","nostat","vac_days","nostat_days"
"01","001",23494,264,2441,148989,1777955
"01","003",93098,918,14420,322721,10309650
"01","005",13365,278,2348,215561,1830777
"01","007",8583,103,1104,58294,847856
"01","009",24780,89,3404,62326,2655127
"01","011",4492,168,927,136682,844695
"01","013",11072,269,2127,147842,1845434
"01","015",59420,2619,7923,1627596,6308469
"01","017",17964,932,1905,700443,1330676
"01","019",12571,91,2143,69917,1776048
"01","021",19630,197,3056,123744,2348587
"01","023",6319,255,663,150688,569461
"01","025",11849,265,2135,158125,1707073
"01","027",9145,12,3147,889,3124460
"01","029",7190,83,1253,64448,1012354
"01","031",24134,679,3375,337487,2518346
"01","033",27435,902,2777,585056,2317599
"01","035",5400,115,1143,58470,709495
"01","037",3890,5,731,518,619438
"01","039",18765,776,3012,506196,2547053
"01","041",8862,86,2325,51436,2167114
"01","043",39029,376,5115,197717,3951489
"01","045",23681,770,3195,443439,2112809
"01","047",23178,1812,3211,1507028,2393806
"01","049",30378,281,4890,178889,3824768
"01","051",33962,373,3881,241009,2862904
"01","053",19204,493,3953,294475,3233120
"01","055",50533,2502,4390,1563011,3263746
"01","057",8597,180,1401,126231,1191118
"01","059",14066,172,1727,108515,1393742
"01","061",12775,329,1864,235818,1416593
"01","063",4557,112,1077,81405,1063661
"01","065",7604,125,1211,102253,923669
"01","067",8796,174,1343,133567,1019534
"01","069",48305,1070,5576,647330,3657926
"01","071",25059,296,3729,188751,2856860
"01","073",318610,21742,21275,13604747,16350473
"01","075",6577,0,1238,0,1051600
"01","077",44380,1700,4342,963368,3374048
"01","079",15767,59,2144,31310,1594301
"01","081",73350,1652,9600,959128,6397284
"01","083",35428,507,3726,221186,2682641
"01","085",4979,16,1034,11146,809363
"01","087",10635,700,1599,550775,1205321
"01","089",149064,4272,7649,2024190,4947198
"01","091",11023,379,1605,271976,1446325
"01","093",14009,1,2439,1150,2023374
"01","095",42768,946,4837,447505,3620576
"01","097",180522,8180,13775,4995376,9839710
"01","099",8620,175,1524,113741,1286129
"01","101",108139,8398,6933,5145782,5393946
"01","103",54431,1511,4344,886440,3513840
"01","105",3214,155,334,145397,308954
"01","107",8504,142,1280,92585,1152297
"01","109",17082,429,3227,278626,2725694
"01","111",11794,150,2250,98408,1828580
"01","113",26441,1185,3417,811116,2594085
"01","115",36260,172,6470,72740,4701413
"01","117",81097,176,7289,69008,4973148
"01","119",5086,185,774,159188,681502
"01","121",38145,1039,5304,605610,4345364
"01","123",21874,448,2716,277316,2283821
