"stateFIPS","countyFIPS","total","vac","nostat","vac_days","nostat_days"
"05","117",3748,0,1863,0,1537659
"05","119",182103,6143,7316,3837381,4042531
"05","121",7770,110,647,60822,437625
"05","123",9828,370,994,209931,625867
"05","125",44109,402,2948,246889,1447159
"05","127",5119,0,2118,0,1579925
"05","129",5400,10,2897,685,2239333
"05","131",52399,1805,2526,933671,1277846
"05","133",5928,98,634,58376,386763
"05","135",8378,0,1465,0,871956
"05","137",4732,0,1264,0,939456
"05","139",19115,1157,1341,630763,745261
"05","141",7300,0,1378,0,893551
"05","143",88551,610,9773,323008,5109614
"05","145",29920,370,2630,222394,1526264
"05","147",2762,86,357,57429,269470
"05","149",11210,54,4490,27437,3628377
"06","001",571742,6032,5719,3035121,2505580
"06","003",391,0,108,0,31996
"06","005",13166,336,1319,109271,857664
"06","007",91455,2643,2644,1139065,1648157
"06","009",12517,172,2375,50023,1526323
"06","011",4816,139,445,63911,231435
"06","013",396760,5486,7074,2053137,3289064
"06","015",10106,434,679,211632,414163
"06","017",65640,685,5390,211880,2992806
"06","019",305746,3711,11608,1355676,5431158
"06","021",9683,286,545,74063,296061
"06","023",52532,1894,3679,769116,2645839
"06","025",47218,438,3471,109958,1851444
"06","027",6902,104,499,41525,308333
"06","029",270213,4493,12546,1456190,6606074
"06","031",42733,654,2075,228274,1024857
"06","033",21937,1762,2384,843059,1486653
"06","035",8699,348,915,147334,638789
"06","037",3379523,34632,39754,13324044,20156878
"06","039",46691,1266,1999,544656,1099964
"06","041",102566,1821,2071,677725,1299570
"06","043",6570,159,518,53945,313771
"06","045",31808,684,3161,360016,2383392
"06","047",84141,1843,6566,522674,3469780
"06","049",2946,48,435,31487,339299
"06","051",1570,110,411,6021,121872
"06","053",132743,2042,6962,555826,5083965
"06","055",52976,471,1351,199262,792231
"06","057",42306,430,4017,182565,2714563
"06","059",1043666,10198,12691,2847445,6043795
"06","061",131913,1122,7795,309401,4703750
"06","063",6713,122,1769,20442,1179473
"06","065",774215,19839,45910,7559882,23073273
"06","067",552924,12352,12510,3785502,6405510
"06","069",16206,354,221,100132,150699
"06","071",632092,12876,18315,4273458,8534998
"06","073",1149801,11820,37347,3023830,21849581
"06","075",357715,7754,6294,3544185,3475833
"06","077",230299,4916,7952,1380165,3685861
"06","079",113488,610,7839,343444,5139180
"06","081",265819,3091,4333,1040839,1527568
"06","083",152462,1342,5551,663006,3639219
"06","085",624038,5105,8864,1667795,4855406
"06","087",98034,1500,2553,673224,1614296
"06","089",71331,2092,2142,845654,1506330
"06","091",159,0,22,0,12775
"06","093",17109,950,934,402150,608474
"06","095",152768,1727,2299,839561,1306638
"06","097",191048,4217,5530,1445138,2798923
"06","099",176991,3234,5054,1096446,2857350
"06","101",33204,504,791,194943,412855
"06","103",24137,695,802,274584,531404
"06","105",1121,52,337,24046,246085
"06","107",130621,1065,6251,282565,3262020
"06","109",20529,214,1339,88545,855230
"06","111",277448,1194,4392,658697,2166850
"06","113",72565,1047,2366,298656,1335867
"06","115",26558,1914,2101,741449,1279869
"08","001",180735,6393,11551,2141158,7278430
"08","003",6522,120,504,52977,315558
"08","005",247435,7828,12768,2764326,8027736
"08","007",5307,18,1890,3843,1382092
"08","009",1583,206,253,118898,196952
"08","011",2248,234,288,138827,190822
"08","013",133830,2039,3993,905367,2352978
"08","015",8382,241,1969,124931,1297208
"08","017",228,0,48,0,35980
"08","019",2295,0,383,0,239027
"08","021",1502,2,379,787,226753
"08","023",838,1,411,117,128526
"08","025",1202,59,167,38535,115400
"08","027",1534,4,311,2158,197990
"08","029",16784,184,6252,69790,5078000
"08","031",286216,16342,7751,6109698,4478412
"08","033",174,5,61,2052,48711
"08","035",108932,866,8491,184776,4708234
"08","037",9998,1957,1286,1602583,923215
"08","039",7923,9,1147,3032,717807
"08","041",260777,9610,15489,3701601,8703529
"08","043",18400,402,1341,185452,949501
"08","045",22663,524,2345,243712,1468934
"08","047",2050,0,515,0,422584
"08","049",743,0,226,0,136746
"08","051",6965,139,1504,65267,847658
"08","053",46,1,7,201,4206
"08","055",2920,232,163,129292,108221
"08","057",197,0,24,0,18515
"08","059",234293,5783,9376,1692231,6037779
"08","061",432,0,109,0,86639
"08","063",2874,147,275,93406,177392
"08","065",3274,423,466,254769,222070
"08","067",22041,113,2587,57760,1579522
"08","069",134691,1492,12805,654859,7900847
"08","071",6724,377,536,178494,356945
"08","073",1109,7,286,3344,203553
"08","075",8242,384,508,185146,355110
"08","077",61156,865,3903,313533,1963761
"08","079",330,2,57,465,27897
"08","081",5817,236,309,132156,203103
"08","083",9359,238,1192,86962,828313
"08","085",17090,270,2237,115411,1342321
"08","087",10978,340,738,160618,492158
"08","089",8525,536,555,255458,360618
"08","091",1405,0,227,0,122291
"08","093",4850,1,476,264,254618
"08","095",2006,95,314,41685,217447
"08","097",7436,579,757,446281,578208
"08","099",5093,567,437,229398,304138
"08","101",68478,2945,2816,1343344,1897792
"08","103",2259,286,286,129928,164696
"08","105",5953,232,647,98848,362265
"08","107",6684,13,3027,6582,2060024
"08","109",992,1,257,28,186522
"08","111",0,0,0,0,0
"08","113",1743,60,541,51136,452268
"08","115",1069,98,103,62471,71734
"08","117",2400,0,539,0,346040
"08","119",9433,3,1696,351,1103382
"08","121",2049,107,222,35875,144342
"08","123",100798,2887,14518,980965,10145662
"08","125",4310,149,379,62332,265069
"09","001",349087,3949,2141,2157239,1335414
"09","003",368735,6377,4539,3334273,2861162
"09","005",78060,2262,3265,1387531,2388819
"09","007",70868,1515,1726,775723,1226404
"09","009",348494,6215,3261,3825982,2252708
"09","011",117812,2289,5791,1229772,4187979
"09","013",62964,966,7660,434605,6385291
"09","015",44127,1353,2116,606307,1597395
"10","001",69600,777,10138,300004,5771979
"10","003",225798,4897,11606,2399919,5816967
