"msa_code","city"
"10020","Abbeville LA"
"10100","Aberdeen SD"
"10140","Aberdeen WA"
"10180","Abilene TX"
"10220","Ada OK"
"10260","Adjuntas PR"
"10300","Adrian MI"
"10420","Akron OH"
"10460","Alamogordo NM"
"10500","Albany GA"
"10540","Albany-Lebanon OR"
"10580","Albany-Schenectady-Troy NY"
"10620","Albemarle NC"
"10660","Albert Lea MN"
"10700","Albertville AL"
"10740","Albuquerque NM"
"10760","Alexander City AL"
"10780","Alexandria LA"
"10820","Alexandria MN"
"10860","Alice TX"
"10880","Allegan MI"
"10900","Allentown-Bethlehem-Easton PA-NJ"
"10940","Alma MI"
"10980","Alpena MI"
"11020","Altoona PA"
"11060","Altus OK"
"11100","Amarillo TX"
"11140","Americus GA"
"11180","Ames IA"
"11220","Amsterdam NY"
"11260","Anchorage AK"
"11300","Anderson IN"
"11340","Anderson SC"
"11380","Andrews TX"
"11420","Angola IN"
"11460","Ann Arbor MI"
"11500","Anniston-Oxford AL"
"11540","Appleton WI"
"11580","Arcadia FL"
"11620","Ardmore OK"
"11660","Arkadelphia AR"
"11700","Asheville NC"
"11740","Ashland OH"
"11780","Ashtabula OH"
"11820","Astoria OR"
"11860","Atchison KS"
"11900","Athens OH"
"11940","Athens TN"
"11980","Athens TX"
"12020","Athens-Clarke County GA"
"12060","Atlanta-Sandy Springs-Marietta GA"
"12100","Atlantic City NJ"
"12100","Atlantic City-Hammonton NJ"
"12140","Auburn IN"
"12180","Auburn NY"
"12220","Auburn-Opelika AL"
"12260","Augusta-Richmond County GA-SC"
"12300","Augusta-Waterville ME"
"12380","Austin MN"
"12420","Austin-Round Rock TX"
"12460","Bainbridge GA"
"12540","Bakersfield CA"
"12580","Baltimore-Towson MD"
"12620","Bangor ME"
"12660","Baraboo WI"
"12700","Barnstable Town MA"
"12740","Barre VT"
"12780","Bartlesville OK"
"12820","Bastrop LA"
"12860","Batavia NY"
"12900","Batesville AR"
"12940","Baton Rouge LA"
"12980","Battle Creek MI"
